@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ TABLE %s "ORBIT"
@ TYPE %s "ORBIT"
@ SEQUENCE %s "LHCB1"
@ Q1 %le 0.26998810745173746
@ Q2 %le 0.3219859684952381
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean_linx"
*                 NAME                    S                COUNT                    X                 STDX                 XMDL               MUXMDL
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288                    5           0.23977866     0.00577430255413                    0        0.02850035689
        "BPMYB.4L2.B1"               48.858                    5           0.19997118    0.002803187486028                    0        0.05528819485
         "BPMS.2L2.B1"              161.394                    5            1.0261048    0.006190812819015                    0         0.2259694338
        "BPMSW.1L2.B1"              171.328                    5            3.2439626    0.005322992188821                    0         0.2493408462
        "BPMSW.1R2.B1"              214.518                    5            1.2385166     0.00509790363195                    0         0.6114563603
         "BPMS.2R2.B1"              224.452                    5          -0.23652536    0.008241659653652                    0         0.6294099833
        "BPMSX.4R2.B1"             262.3035                    5           -0.2161851    0.004151030360311                    0         0.6728227315
        "BPMWB.4R2.B1"             312.5965                    5           0.80350164    0.009060125865052                    0         0.7542339749
        "BPMYB.4R2.B1"              336.988                    5          -0.54160596    0.007596670624337                    0          0.789002014
         "BPMR.5R2.B1"              366.522                    5          -0.19994438    0.002457648362525                    0         0.8893043057
          "BPM.6R2.B1"              439.818                    5           -0.2672089    0.004945417109631                    0          1.055201055
        "BPM_A.7R2.B1"              452.693                    5         -0.029849464     0.00462777883039                    0          1.072400914
          "BPM.8R2.B1"               494.13                    5           0.12875524    0.006375449926917                    0          1.153834211
          "BPM.9R2.B1"              533.195                    5           0.29135592    0.002059306157379                    0          1.303087395
         "BPM.11R2.B1"             625.4967                    5          0.033976996    0.002106944827983                    0           1.58287562
         "BPM.12R2.B1"             680.2203                    5          -0.05826765    0.009621632482631                    0          1.719570564
         "BPM.13R2.B1"             733.6688                    5           -0.5480439    0.003201546038447                    0          1.832297266
         "BPM.14R2.B1"             787.1173                    5          0.016644546    0.004652986581008                    0          1.970047759
         "BPM.15R2.B1"             840.5658                    5          -0.10960762    0.002608164887008                    0           2.08165613
         "BPM.16R2.B1"             894.0143                    5          -0.41291382    0.008843055820577                    0          2.215090242
         "BPM.17R2.B1"             947.4628                    5            0.3513423    0.004095032283169                    0          2.330684812
         "BPM.18R2.B1"             1000.911                    5          0.060651126    0.003019997773252                    0          2.468484949
         "BPM.19R2.B1"              1054.36                    5          -0.79845624    0.002517404786427                    0           2.58012965
         "BPM.20R2.B1"             1107.808                    5         -0.046264998     0.00769360961171                    0          2.713520129
         "BPM.21R2.B1"             1161.257                    5         -0.020674778    0.004514663439429                    0          2.829075832
         "BPM.22R2.B1"             1214.705                    5           0.15205398     0.00148107527757                    0          2.966921332
         "BPM.23R2.B1"             1268.154                    5           -0.7139843    0.003698429949624                    0          3.082355874
         "BPM.24R2.B1"             1321.602                    5           0.04122691    0.009793537357928                    0          3.219855843
         "BPM.25R2.B1"             1375.051                    5          -0.63534196    0.003650899702614                    0          3.334640443
         "BPM.26R2.B1"             1428.499                    5          0.086051478    0.001324438211333                    0          3.472511246
         "BPM.27R2.B1"             1481.948                    5          0.015796714    0.003130025358594                    0           3.58793445
         "BPM.28R2.B1"             1535.397                    5          -0.20959394    0.009291917250525                    0          3.725408761
         "BPM.29R2.B1"             1588.845                    5          -0.19098234    0.004454811657816                    0          3.840205376
         "BPM.31R2.B1"             1695.742                    5          -0.25232948     0.00270584663974                    0          4.093511769
         "BPM.32R2.B1"             1749.191                    5           -0.2700045     0.01125823132291                    0           4.23096143
         "BPM.33R2.B1"             1802.639                    5          -0.09243487    0.004172736655911                    0          4.345771575
         "BPM.34R2.B1"             1856.088                    5         -0.060708494    0.001333556163468                    0          4.483691878
         "BPM.33L3.B1"             1909.536                    5         -0.057394214    0.002049176909143                    0          4.599087804
