@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ TABLE %s "ORBIT"
@ TYPE %s "ORBIT"
@ SEQUENCE %s "LHCB1"
@ Q1 %le 0.26998810745173746
@ Q2 %le 0.3219859684952381
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean_liny"
*                 NAME                    S                COUNT                    Y                 STDY                 YMDL               MUYMDL
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288                    5          -0.21095808    0.003434995139124                    0         0.1288149927
        "BPMYB.4L2.B1"               48.858                    5           -0.1643883    0.004143418560106                    0           0.18377066
        "BPMWI.4L2.B1"              73.3255                    5          0.019729096    0.002292645294816                    0         0.2188270116
        "BPMSX.4L2.B1"             123.4225                    5         -0.081472002    0.003741627395505                    0         0.3002505176
         "BPMS.2L2.B1"              161.394                    5           -0.7896357    0.001531388874234                    0          0.343889329
        "BPMSW.1L2.B1"              171.328                    5           0.37635204    0.003887963247078                    0         0.3618233924
        "BPMSW.1R2.B1"              214.518                    5            2.1784426    0.003612441811379                    0         0.7236300453
         "BPMS.2R2.B1"              224.452                    5            1.0351036    0.004323773194833                    0         0.7471123247
        "BPMSX.4R2.B1"             262.3035                    5           0.25129442    0.001815321718547                    0          0.797548567
        "BPMWB.4R2.B1"             312.5965                    5           0.13065184    0.002787228156183                    0         0.8668142804
        "BPMYB.4R2.B1"              336.988                    5          0.024855932    0.006200665435735                    0         0.9178217237
         "BPMR.5R2.B1"              366.522                    5            0.1271393    0.002482421513809                    0         0.9519395108
          "BPM.6R2.B1"              439.818                    5            0.1282012    0.002683329869439                    0          1.130184579
        "BPM_A.7R2.B1"              452.693                    5          -0.15773582    0.001838110455283                    0          1.160207909
          "BPM.8R2.B1"               494.13                    5           0.09556229    0.003530610075194                    0          1.282933566
          "BPM.9R2.B1"              533.195                    5          0.062962916    0.002766371606441                    0           1.41646986
         "BPM.10R2.B1"              573.658                    5          -0.27203852    0.003093552216114                    0          1.505993376
         "BPM.11R2.B1"             625.4967                    5         -0.035913332     0.00237507960269                    0          1.632276833
         "BPM.12R2.B1"             680.2203                    5          0.069805632    0.002016887168038                    0          1.754235445
         "BPM.13R2.B1"             733.6688                    5          0.032487518    0.002990871632383                    0          1.902715285
         "BPM.14R2.B1"             787.1173                    5         -0.077904242    0.003609113639634                    0          2.014269882
         "BPM.15R2.B1"             840.5658                    5           0.11724826    0.003201194511213                    0          2.146114081
         "BPM.16R2.B1"             894.0143                    5           0.10329158    0.001996237749823                    0          2.253406124
         "BPM.17R2.B1"             947.4628                    5          -0.23112924    0.002390121400811                    0          2.381137697
         "BPM.19R2.B1"              1054.36                    5          -0.12470366    0.002607182244995                    0          2.624637222
         "BPM.20R2.B1"             1107.808                    5           0.36646018    0.001669170660484                    0          2.732467172
         "BPM.21R2.B1"             1161.257                    5          -0.32585266    0.003452879472357                    0          2.859713929
         "BPM.22R2.B1"             1214.705                    5           0.46476052    0.003211968771615                    0          2.970144278
         "BPM.23R2.B1"             1268.154                    5          0.101027096    0.003100982372418                    0          3.102088026
         "BPM.24R2.B1"             1321.602                    5          -0.11511996     0.00281879939879                    0          3.213410205
         "BPM.25R2.B1"             1375.051                    5          -0.17412008    0.002530164691441                    0          3.345677326
         "BPM.26R2.B1"             1428.499                    5           0.07750663    0.002322540781218                    0          3.456132534
         "BPM.27R2.B1"             1481.948                    5          -0.75808974    0.003104396186492                    0          3.587988369
         "BPM.28R2.B1"             1535.397                    5           -0.1697118    0.001833535919534                    0          3.699278728
         "BPM.29R2.B1"             1588.845                    5          -0.18995674    0.001816482581974                    0          3.831630954
         "BPM.30R2.B1"             1642.294                    5            0.2411771     0.00288092676898                    0          3.942124072
         "BPM.31R2.B1"             1695.742                    5           0.29945648    0.002093254114008                    0          4.073899148
         "BPM.32R2.B1"             1749.191                    5           -0.4213617    0.002417833994339                    0          4.185144879
