@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ Q1 %le 0.26998810745173746
@ Q2 %le 0.3219859684952381
@ RMSbetabeat %le -0.007052486441806194
@ RescalingFactor %le 1.0071025768682822
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean_linx"
*                 NAME                    S                COUNT                 BETX              BETXSTD              BETXMDL               MUXMDL            BETXPHASE         BETXSTDPHASE
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288                    5       144.5806602174       7.689545986621          178.1688385        0.02850035689       145.6074055802       1.452825352039
        "BPMYB.4L2.B1"               48.858                    5       68.02374137786       3.612778463715          84.62656828        0.05528819485       68.50693686793      0.5933650087368
         "BPMS.2L2.B1"              161.394                    5       72.70687557317       3.818554174746           63.5416427         0.2259694338        73.2232267821       0.334731531556
        "BPMSW.1L2.B1"              171.328                    5       61.22720747206       3.280906007022          56.76860717         0.2493408462       61.66213183619       0.680505756431
        "BPMSW.1R2.B1"              214.518                    5       58.77436376852       3.258563374227          56.59517013         0.6114563603       59.19180999083        1.06259267423
         "BPMS.2R2.B1"              224.452                    5       179.1780607913        9.47832513997          173.3980631         0.6294099833       180.4506057581       1.500859801697
        "BPMSX.4R2.B1"             262.3035                    5       102.8237260508       5.718748470461          100.3557064         0.6728227315       103.5541775216       1.887601531531
        "BPMWB.4R2.B1"             312.5965                    5        118.202522857        6.28957768466          105.1862234         0.7542339749       119.0421307416       1.079981812609
        "BPMYB.4R2.B1"              336.988                    5       104.2407942045       5.590377299676          100.8542826          0.789002014       104.9813305507       1.211033358094
         "BPMR.5R2.B1"              366.522                    5       26.80539951087       1.430889679669            29.901733         0.8893043057       26.99580480049      0.2762100298735
          "BPM.6R2.B1"              439.818                    5       152.6281995814       8.147790429208          171.2804611          1.055201055       153.7122999142       1.611526765713
        "BPM_A.7R2.B1"              452.693                    5        78.6229845746       4.225741418108          83.18949499          1.072400914       79.18139165207      0.9987803258277
          "BPM.8R2.B1"               494.13                    5       130.1780609168       6.829755276739           116.204224          1.153834211       131.1026651295      0.4562723270265
          "BPM.9R2.B1"              533.195                    5       18.93271267303        1.04069150016           16.7883698          1.303087395       19.06717870638      0.3229014310856
         "BPM.11R2.B1"             625.4967                    5       34.95484849997       1.869958859043          34.00327056           1.58287562       35.20315305839      0.3777169648691
         "BPM.12R2.B1"             680.2203                    5       212.7255930531       11.31302634586          175.9286472          1.719570564       214.2367240267       2.038954234146
         "BPM.13R2.B1"             733.6688                    5       35.10219860207       1.869614815309           33.2096062          1.832297266       35.35146140093      0.3560587237559
         "BPM.14R2.B1"             787.1173                    5       139.5519443581       7.329878884867          169.9929451          1.970047759        140.543082969      0.6986244942204
         "BPM.15R2.B1"             840.5658                    5       34.87934857113       1.841101641507          34.94152942           2.08165613       35.12707601678      0.2454160444519
         "BPM.16R2.B1"             894.0143                    5        205.936397504       10.79895028582          169.1147582          2.215090242       207.3990352429      0.6903130851864
         "BPM.17R2.B1"             947.4628                    5        34.4027843256        1.81341180594          33.14903194          2.330684812       34.64713636033      0.2333375267825
         "BPM.18R2.B1"             1000.911                    5       141.3132175927       7.415699372898          169.9053479          2.468484949       142.3168601776      0.5548960644209
         "BPM.19R2.B1"              1054.36                    5       33.87413727316        1.81647873579          34.94065313           2.58012965        34.1147056351      0.3993396291518
         "BPM.20R2.B1"             1107.808                    5       205.2633457806       10.78971900726           169.202432          2.713520129       206.7212415029      0.9812332580756
         "BPM.21R2.B1"             1161.257                    5       34.82658901958       1.882274789517          33.15008195          2.829075832         35.074000909      0.4608436776134
         "BPM.22R2.B1"             1214.705                    5       137.9271916289       7.226881093151          169.8176059          2.966921332       138.9068567164      0.3812543032992
         "BPM.23R2.B1"             1268.154                    5        34.8466793348       1.876847804653          33.07063943          3.082355874       35.09418634379      0.4505686651714
         "BPM.24R2.B1"             1321.602                    5       217.1286678207       11.42785701813          170.9387219          3.219855843       218.6707928254       1.336707052835
