@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ Q1 %le 0.27998806745173926
@ Q2 %le 0.30998589849523894
@ RMSbetabeat %le 0
@ RescalingFactor %le 1.007102578825859
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean_linx"
*                 NAME                    S                COUNT                 BETX              BETXSTD              BETXMDL               MUXMDL            BETXPHASE         BETXSTDPHASE
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288                    5       138.9237109208       7.386784255589          178.1688385        0.02850035689       139.9102872024       1.386577494112
        "BPMYB.4L2.B1"               48.858                    5       66.47641967728       3.536845939002          84.62656828        0.05528819485        66.9486257193      0.6176494027179
         "BPMS.2L2.B1"              161.394                    5        76.8701203411       4.037172876423           63.5416427         0.2259694338       77.41603821535      0.3535286521011
        "BPMSW.1L2.B1"              171.328                    5        64.6090610362       3.463215457065          56.76860717         0.2493408462         65.068007065      0.7228542482491
        "BPMSW.1R2.B1"              214.518                    5       59.83772488188       3.317303683611          56.59517013         0.6114563603       60.26272338615       1.081845031523
         "BPMS.2R2.B1"              224.452                    5       184.3149282578       9.751372790226          173.3980631         0.6294099833       185.6239589715       1.554230767327
        "BPMSX.4R2.B1"             262.3035                    5       107.7477644429       5.987158591204          100.3557064         0.6728227315       108.5131957819       1.962158752404
        "BPMWB.4R2.B1"             312.5965                    5       124.7079066501       6.638454665196          105.1862234         0.7542339749       125.5937249651       1.155005506106
        "BPMYB.4R2.B1"              336.988                    5       109.0263003934       5.846411455682          100.8542826          0.789002014       109.8008322616       1.263108595536
         "BPMR.5R2.B1"              366.522                    5       26.43741435168       1.409633354969            29.901733         0.8893043057       26.62520524186      0.2657463750846
          "BPM.6R2.B1"              439.818                    5       149.2573513318       7.961529094011          171.2804611          1.055201055       150.3175119703        1.54893903529
        "BPM_A.7R2.B1"              452.693                    5       77.82727339999       4.178455945959          83.18949499          1.072400914       78.38002544758      0.9720771895628
          "BPM.8R2.B1"               494.13                    5       135.4750130572       7.108451871299           116.204224          1.153834211       136.4372419444      0.4864876163052
          "BPM.9R2.B1"              533.195                    5       19.69047942092       1.081501182945           16.7883698          1.303087395       19.83032686718      0.3326536826587
         "BPM.11R2.B1"             625.4967                    5       34.87527949168       1.866637351584          34.00327056           1.58287562       35.12302138377      0.3810821551892
         "BPM.12R2.B1"             680.2203                    5       224.8166118486       11.95794106105          175.9286472          1.719570564       226.4136344539       2.165328283237
         "BPM.13R2.B1"             733.6688                    5       36.06022829722        1.91908089302           33.2096062          1.832297266       36.31629518468      0.3569047471941
         "BPM.14R2.B1"             787.1173                    5       132.0472232779       6.935866709482          169.9929451          1.970047759       132.9850609209      0.6622849718724
         "BPM.15R2.B1"             840.5658                    5       34.81053551243       1.837355353101          34.94152942           2.08165613        35.0577742223      0.2467473544003
         "BPM.16R2.B1"             894.0143                    5       217.6451015481       11.41307525255          169.1147582          2.215090242       219.1908990032      0.7331628147327
         "BPM.17R2.B1"             947.4628                    5       35.23989447782       1.858604513851          33.14903194          2.330684812       35.49019121218      0.2490964023558
         "BPM.18R2.B1"             1000.911                    5         133.66480501       7.014390378253          169.9053479          2.468484949       134.6141264342      0.5257151574569
         "BPM.19R2.B1"              1054.36                    5       33.94462798245       1.819376891545          34.94065313           2.58012965       34.18569756347      0.3965232552137
         "BPM.20R2.B1"             1107.808                    5       216.9933124101       11.40575205078           169.202432          2.713520129          218.5345217       1.031193328009
         "BPM.21R2.B1"             1161.257                    5       35.59296278539       1.922760277772          33.15008195          2.829075832       35.84581815334      0.4668324224745
         "BPM.22R2.B1"             1214.705                    5        130.455312323        6.83538019431          169.8176059          2.966921332       131.3819063515      0.3606333693426
         "BPM.23R2.B1"             1268.154                    5       34.99589036102       1.886466823833          33.07063943          3.082355874        35.2444562061      0.4607695596471
         "BPM.24R2.B1"             1321.602                    5       229.5606246416       12.08227848501          170.9387219          3.219855843        231.191046115       1.414194928658
