@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ Q1 %le 0.27998806745173926
@ Q2 %le 0.30998589849523894
@ RMSbetabeat %le -0.01145928342060546
@ RescalingFactor %le 1.0071025768682822
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean_linx"
*                 NAME                    S                COUNT                 BETX              BETXSTD              BETXMDL               MUXMDL            BETXPHASE         BETXSTDPHASE
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288                    5       140.6947904659       7.689545986621          178.1688385        0.02850035689       141.6939401686       1.452825352039
        "BPMYB.4L2.B1"               48.858                    5       67.55584050369       3.612778463715          84.62656828        0.05528819485       68.03571233665      0.5933650087368
         "BPMS.2L2.B1"              161.394                    5       76.85248429539       3.818554174746           63.5416427         0.2259694338       77.39827687501       0.334731531556
        "BPMSW.1L2.B1"              171.328                    5       63.96209564172       3.280906007022          56.76860717         0.2493408462        64.4164471453       0.680505756431
        "BPMSW.1R2.B1"              214.518                    5       60.93278271438       3.258563374227          56.59517013         0.6114563603       61.36555915513        1.06259267423
         "BPMS.2R2.B1"              224.452                    5       187.8163098523        9.47832513997          173.3980631         0.6294099833       189.1502047428       1.500859801697
        "BPMSX.4R2.B1"             262.3035                    5         109.47055804       5.718748470461          100.3557064         0.6728227315         110.24822807       1.887601531531
        "BPMWB.4R2.B1"             312.5965                    5       123.1137966644        6.28957768466          105.1862234         0.7542339749       123.9882899652       1.079981812609
        "BPMYB.4R2.B1"              336.988                    5       105.9008431795       5.590377299676          100.8542826          0.789002014       106.6531726688       1.211033358094
         "BPMR.5R2.B1"              366.522                    5       25.41139701009       1.430889679669            29.901733         0.8893043057          25.59190036      0.2762100298735
          "BPM.6R2.B1"              439.818                    5       151.5678842058       8.147790429208          171.2804611          1.055201055       152.6444532419       1.611526765713
        "BPM_A.7R2.B1"              452.693                    5        79.1559473823       4.225741418108          83.18949499          1.072400914       79.71813974221      0.9987803258277
          "BPM.8R2.B1"               494.13                    5       137.9562133309       6.829755276739           116.204224          1.153834211       138.9360627396      0.4562723270265
          "BPM.9R2.B1"              533.195                    5       19.02077691899        1.04069150016           16.7883698          1.303087395       19.15586841209      0.3229014310856
         "BPM.11R2.B1"             625.4967                    5       35.48479721183       1.869958859043          34.00327056           1.58287562       35.73686630326      0.3777169648691
         "BPM.12R2.B1"             680.2203                    5       225.3926508411       11.31302634586          175.9286472          1.719570564       226.9937643273       2.038954234146
         "BPM.13R2.B1"             733.6688                    5       34.46332307069       1.869614815309           33.2096062          1.832297266       34.70804917642      0.3560587237559
         "BPM.14R2.B1"             787.1173                    5       131.6410790571       7.329878884867          169.9929451          1.970047759       132.5760323954      0.6986244942204
         "BPM.15R2.B1"             840.5658                    5       35.37430972992       1.841101641507          34.94152942           2.08165613       35.62555259282      0.2454160444519
         "BPM.16R2.B1"             894.0143                    5       218.5134744095       10.79895028582          169.1147582          2.215090242       220.0654392783      0.6903130851864
         "BPM.17R2.B1"             947.4628                    5       33.81811806597        1.81341180594          33.14903194          2.330684812       34.05831740222      0.2333375267825
         "BPM.18R2.B1"             1000.911                    5       133.2394684531       7.415699372898          169.9053479          2.468484949       134.1857692083      0.5548960644209
         "BPM.19R2.B1"              1054.36                    5       34.31359738297        1.81647873579          34.94065313           2.58012965       34.55728671588      0.3993396291518
         "BPM.20R2.B1"             1107.808                    5       217.8990250854       10.78971900726           169.202432          2.713520129       219.4466665084      0.9812332580756
         "BPM.21R2.B1"             1161.257                    5       34.27693409706       1.882274789517          33.15008195          2.829075832       34.52044117791      0.4608436776134
         "BPM.22R2.B1"             1214.705                    5       129.9881635311       7.226881093151          169.8176059          2.966921332       130.9114395298      0.3812543032992
         "BPM.23R2.B1"             1268.154                    5       35.36058688762       1.876847804653          33.07063943          3.082355874        35.6117440499      0.4505686651714
         "BPM.24R2.B1"             1321.602                    5       230.0353110005       11.42785701813          170.9387219          3.219855843       231.6691035744       1.336707052835
