@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ Q1 %le 0.26998810745173746
@ Q2 %le 0.3219859684952381
@ RMSbetabeat %le 0.19907717396019964
@ RescalingFactor %le 0.8339745338286971
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean_liny"
*                 NAME                    S                COUNT                 BETY              BETYSTD              BETYMDL               MUYMDL            BETYPHASE         BETYSTDPHASE
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288                    5       66.87398418066        3.35267242358          36.79482557         0.1288149927       55.77094660038      0.4154343782697
        "BPMYB.4L2.B1"               48.858                    5       205.6044587905       10.27393839934          100.3752236           0.18377066       171.4693567963        1.18266333968
        "BPMWI.4L2.B1"              73.3255                    5       234.4670164968       11.77998684629           104.615664         0.2188270116        195.538985802       1.519801233655
        "BPMSX.4L2.B1"             123.4225                    5       172.9693541138       8.849694011749          100.0906172         0.3002505176       144.2525257579        1.81934729924
         "BPMS.2L2.B1"              161.394                    5       247.9406462672        12.4067176897          173.4911575          0.343889329       206.7768335932       1.407876094714
        "BPMSW.1L2.B1"              171.328                    5        67.1662880222       3.562839523926          56.68772805         0.3618233924       56.01544805984       1.043324792102
        "BPMSW.1R2.B1"              214.518                    5       121.5571255511       6.095393998462          56.48963259         0.7236300453       101.3758137776      0.7914918557801
         "BPMS.2R2.B1"              224.452                    5       133.3208544672       6.638970695826          63.25823474         0.7471123247       111.1860138287      0.5409927856719
        "BPMSX.4R2.B1"             262.3035                    5       304.7598941147       15.39911503532          170.4985196          0.797548567       254.1606590057       2.364805274717
        "BPMWB.4R2.B1"             312.5965                    5       86.36379047167       4.372492071872           83.4627772         0.8668142804       72.02547326313      0.7582630580019
        "BPMYB.4R2.B1"              336.988                    5       47.31844595756       2.424787288197          84.98694135         0.9178217237       39.46214421874      0.5237112844191
         "BPMR.5R2.B1"              366.522                    5       79.44669977001       3.964062142108          186.8117439         0.9519395108       66.25671476476      0.4279319125602
          "BPM.6R2.B1"              439.818                    5       80.13014978875       4.144097757337          48.24663378          1.130184579        66.8261326686       1.021403440649
        "BPM_A.7R2.B1"              452.693                    5       197.6019122705       9.843163034925          97.70295594          1.160207909       164.7951211833      0.7819388875357
          "BPM.8R2.B1"               494.13                    5       53.08035060406       2.669919235904          25.96766236          1.282933566       44.26755870607      0.3882655070983
          "BPM.9R2.B1"              533.195                    5       80.10988093247       3.998912824888          126.4031329           1.41646986       66.80960102269      0.4454696783982
         "BPM.10R2.B1"              573.658                    5       19.44093965295      0.9792210302101          35.56830699          1.505993376       16.21317188605      0.1510352006864
         "BPM.11R2.B1"             625.4967                    5       334.1331993129       16.65767193424          181.0658953          1.632276833        278.658381445       1.690707638601
         "BPM.12R2.B1"             680.2203                    5       70.04692281396       3.561243229828          29.83416307          1.754235445       58.41762201324      0.6705047384905
         "BPM.13R2.B1"             733.6688                    5       123.2831165148       6.142602666646          170.1838407          1.902715285       102.8149694489      0.5375996756905
         "BPM.14R2.B1"             787.1173                    5       20.38026883885       1.045976059506          34.97966159          2.014269882        16.9968079535       0.230129558509
         "BPM.15R2.B1"             840.5658                    5       338.6707720445        16.8360383236          172.5389157          2.146114081       282.4427377629       1.274070242556
         "BPM.16R2.B1"             894.0143                    5        89.6857520898       4.477322238438           36.8973893          2.253406124       74.79571341932      0.4528798100381
         "BPM.17R2.B1"             947.4628                    5       178.4401335835       8.877108616862           171.728576          2.381137697       148.8142365818       0.655812648273
         "BPM.19R2.B1"              1054.36                    5       272.9170984795       13.59845392309          171.3012469          2.624637222       227.6057886968         1.1174732806
         "BPM.20R2.B1"             1107.808                    5       92.06504544899       4.585731101174           36.8519765          2.732467172        76.7797477839      0.3615772253534
         "BPM.21R2.B1"             1161.257                    5       236.8587483248       11.79551040135          172.9584609          2.859713929       197.5337790473      0.9375406058221
         "BPM.22R2.B1"             1214.705                    5       15.84669974931      0.8053622285545          35.06965999          2.970144278       13.21571412368      0.1491019382227
         "BPM.23R2.B1"             1268.154                    5       220.7939475334       11.00459828148          171.9793822          3.102088026        184.136611482      0.9117067952812
         "BPM.24R2.B1"             1321.602                    5       83.79261674257       4.199635700978          34.78263937          3.213410205        69.8809789718      0.5549588712953
         "BPM.25R2.B1"             1375.051                    5       269.5459112211       13.39723778032          172.7553624          3.345677326       224.7944351761      0.8557702141666
         "BPM.26R2.B1"             1428.499                    5       18.35529816288      0.9189833440191          35.08021379          3.456132534       15.30781206807      0.1154938497212
         "BPM.27R2.B1"             1481.948                    5       209.3579635116       10.41144464265          172.1018731          3.587988369       174.5990092458      0.7636237987429
         "BPM.28R2.B1"             1535.397                    5       77.40436573139       3.912511722582           34.7744099          3.699278728       64.55321770305      0.6157630807927
         "BPM.29R2.B1"             1588.845                    5        310.080710472       15.44571525613          172.6277671          3.831630954       258.5996031775       1.470815119874
         "BPM.30R2.B1"             1642.294                    5       20.23572530029       1.048703195881          35.08605467          3.942124072       16.87616374345      0.2490954850403
         "BPM.31R2.B1"             1695.742                    5        154.550492088       7.691926793576          172.2335761          4.073899148       128.8908651248      0.5898961927914
