@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ Q1 %le 0.27998806745173926
@ Q2 %le 0.30998589849523894
@ RMSbetabeat %le 0
@ RescalingFactor %le 0.8339745172393
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean_liny"
*                 NAME                    S                COUNT                 BETY              BETYSTD              BETYMDL               MUYMDL            BETYPHASE         BETYSTDPHASE
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288                    5       62.80025346072       3.148650647714          36.79482557         0.1288149927       52.37357302267       0.390601935477
        "BPMYB.4L2.B1"               48.858                    5       194.2772607366       9.707313063934          100.3752236           0.18377066       162.0227304374       1.105677118407
        "BPMWI.4L2.B1"              73.3255                    5       223.0038953496       11.23075054353           104.615664         0.2188270116        185.979011806        1.56838509253
        "BPMSX.4L2.B1"             123.4225                    5       168.3686349695       8.612651044097          100.0906172         0.3002505176       140.4156273237       1.765975175601
         "BPMS.2L2.B1"              161.394                    5       246.0207411076       12.32557017975          173.4911575          0.343889329       205.1756556947       1.471772426787
        "BPMSW.1L2.B1"              171.328                    5       67.39780494426       3.571073010909          56.68772805         0.3618233924       56.20856384665       1.037841629334
        "BPMSW.1R2.B1"              214.518                    5       115.6555593328       5.797998624172          56.48963259         0.7236300453       96.45404786531      0.7434019282786
         "BPMS.2R2.B1"              224.452                    5          127.5245662       6.353371487258          63.25823474         0.7471123247       106.3520911773      0.5346223236517
        "BPMSX.4R2.B1"             262.3035                    5       295.8172076682       14.96937618062          170.4985196          0.797548567       246.7027155922       2.386177358501
        "BPMWB.4R2.B1"             312.5965                    5        86.9350307223       4.406965261292           83.4627772         0.8668142804       72.50186250157      0.7837811829131
        "BPMYB.4R2.B1"              336.988                    5       49.70910530989         2.5533764858          84.98694135         0.9178217237       41.45588392453       0.569630142419
         "BPMR.5R2.B1"              366.522                    5       84.63438132561       4.223013295879          186.8117439         0.9519395108       70.58311989079      0.4568708644537
          "BPM.6R2.B1"              439.818                    5       75.23222448782       3.889631863422          48.24663378          1.130184579       62.74140529398      0.9550462885204
        "BPM_A.7R2.B1"              452.693                    5       185.9770637881       9.266711334856          97.70295594          1.160207909       155.1002777655      0.7510174312311
          "BPM.8R2.B1"               494.13                    5        51.2716152342        2.57740016358          25.96766236          1.282933566       42.75913023054      0.3667791747108
          "BPM.9R2.B1"              533.195                    5       84.00689690128        4.19163074087          126.4031329           1.41646986       70.05961206948      0.4528377801123
         "BPM.10R2.B1"              573.658                    5       19.40854115836      0.9805358876447          35.56830699          1.505993376       16.18615403965      0.1650309152275
         "BPM.11R2.B1"             625.4967                    5       313.6744584164       15.63493378492          181.0658953          1.632276833       261.5963186468       1.564298332787
         "BPM.12R2.B1"             680.2203                    5       67.22131849299       3.419350592868          29.83416307          1.754235445       56.06114128556      0.6467324168512
         "BPM.13R2.B1"             733.6688                    5       128.1033750361       6.385197306024          170.1838407          1.902715285       106.8349257443        0.57119869131
         "BPM.14R2.B1"             787.1173                    5       20.07989369605       1.029360088901          34.97966159          2.014269882        16.7462970556      0.2232167486808
         "BPM.15R2.B1"             840.5658                    5       318.2271354966       15.81843206793          172.5389157          2.146114081       265.3932632584       1.178596941489
         "BPM.16R2.B1"             894.0143                    5       85.81339585883       4.288379660081           36.8973893          2.253406124       71.56624684632      0.4586702633363
         "BPM.17R2.B1"             947.4628                    5        180.884292127        8.99828082108           171.728576          2.381137697       150.8526045719      0.6488976003988
         "BPM.19R2.B1"              1054.36                    5       256.0818351333       12.75967203974          171.3012469          2.624637222       213.5656152736       1.048804746809
         "BPM.20R2.B1"             1107.808                    5       87.52935992813        4.36217834949           36.8519765          2.732467172       72.99710512505      0.3592907508378
         "BPM.21R2.B1"             1161.257                    5       235.4879860172       11.74099383185          172.9584609          2.859713929       196.3905650573       1.018178493475
         "BPM.22R2.B1"             1214.705                    5       16.87180220734      0.8570186738364          35.06965999          2.970144278       14.07062179145      0.1571412459956
