@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ Q1 %le 0.27998806745173926
@ Q2 %le 0.30998589849523894
@ RMSbetabeat %le 0.22819082000573657
@ RescalingFactor %le 0.8339745338286971
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean_liny"
*                 NAME                    S                COUNT                 BETY              BETYSTD              BETYMDL               MUYMDL            BETYPHASE         BETYSTDPHASE
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288                    5       62.42058083514        3.35267242358          36.79482557         0.1288149927       52.05693848173      0.4154343782697
        "BPMYB.4L2.B1"               48.858                    5       189.3944078252       10.27393839934          100.3752236           0.18377066       157.9505497189        1.18266333968
        "BPMWI.4L2.B1"              73.3255                    5       218.1758630331       11.77998684629           104.615664         0.2188270116       181.9526158578       1.519801233655
        "BPMSX.4L2.B1"             123.4225                    5       172.1056586523       8.849694011749          100.0906172         0.3002505176       143.5322232948        1.81934729924
         "BPMS.2L2.B1"              161.394                    5       257.7940252471        12.4067176897          173.4911575          0.343889329       214.9943265147       1.407876094714
        "BPMSW.1L2.B1"              171.328                    5       70.93198368588       3.562839523926          56.68772805         0.3618233924       59.15596893824       1.043324792102
        "BPMSW.1R2.B1"              214.518                    5       113.3893606253       6.095393998462          56.48963259         0.7236300453       94.56408791339      0.7914918557801
         "BPMS.2R2.B1"              224.452                    5       126.2806759917       6.638970695826          63.25823474         0.7471123247        105.314693963      0.5409927856719
        "BPMSX.4R2.B1"             262.3035                    5       302.3958307756       15.39911503532          170.4985196          0.797548567        252.189100714       2.364805274717
        "BPMWB.4R2.B1"             312.5965                    5       91.55951414227       4.372492071872           83.4627772         0.8668142804       76.35859081478      0.7582630580019
        "BPMYB.4R2.B1"              336.988                    5        51.3539460055       2.424787288197          84.98694135         0.9178217237       42.82762847469      0.5237112844191
         "BPMR.5R2.B1"              366.522                    5       85.89108023486       3.964062142108          186.8117439         0.9519395108       71.63117939994      0.4279319125602
          "BPM.6R2.B1"              439.818                    5       74.73847817662       4.144097757337          48.24663378          1.130184579       62.32964085612       1.021403440649
        "BPM_A.7R2.B1"              452.693                    5       182.2703998511       9.843163034925          97.70295594          1.160207909       152.0090179617      0.7819388875357
          "BPM.8R2.B1"               494.13                    5       51.89762281661       2.669919235904          25.96766236          1.282933566        43.2811961224      0.3882655070983
          "BPM.9R2.B1"              533.195                    5       86.92593677146       3.998912824888          126.4031329           1.41646986       72.49401804905      0.4454696783982
         "BPM.10R2.B1"              573.658                    5        20.2832380977      0.9792210302101          35.56830699          1.505993376       16.91562401583      0.1510352006864
         "BPM.11R2.B1"             625.4967                    5       311.3091918161       16.65767193424          181.0658953          1.632276833       259.6237539364       1.690707638601
         "BPM.12R2.B1"             680.2203                    5       66.72150974648       3.561243229828          29.83416307          1.754235445       55.64429927742      0.6705047384905
         "BPM.13R2.B1"             733.6688                    5       133.3300622438       6.142602666646          170.1838407          1.902715285       111.1938655004      0.5375996756905
         "BPM.14R2.B1"             787.1173                    5       21.09976117633       1.045976059506          34.97966159          2.014269882       17.59685269191       0.230129558509
         "BPM.15R2.B1"             840.5658                    5       313.6304765001        16.8360383236          172.5389157          2.146114081       261.5597735045       1.274070242556
         "BPM.16R2.B1"             894.0143                    5       85.37041885277       4.477322238438           36.8973893          2.253406124       71.19683153914      0.4528798100381
         "BPM.17R2.B1"             947.4628                    5       191.0261432869       8.877108616862           171.728576          2.381137697       159.3106276572       0.655812648273
         "BPM.19R2.B1"              1054.36                    5       255.3501453763       13.59845392309          171.3012469          2.624637222       212.9554049784         1.1174732806
         "BPM.20R2.B1"             1107.808                    5       86.32156646494       4.585731101174           36.8519765          2.732467172       71.98984228125      0.3615772253534
         "BPM.21R2.B1"             1161.257                    5       249.7127168117       11.79551040135          172.9584609          2.859713929       208.2536405213      0.9375406058221
         "BPM.22R2.B1"             1214.705                    5       16.98788398648      0.8053622285545          35.06965999          2.970144278       14.16743056177      0.1491019382227
