@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ Q1 %le 0.26998810745173746
@ Q2 %le 0.3219859684952381
@ RMSbetabeat %le -1
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean_linx"
*                 NAME                    S                COUNT                 BETX              SYSBETX             STATBETX              ERRBETX        CORR_ALFABETA                 ALFX              SYSALFX             STATALFX              ERRALFX              BETXMDL              ALFXMDL               MUXMDL        NCOMBINATIONS
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288                    5       155.9237528474                    0                    0       1.970029326301                    0       2.336748369393                    0                    0      0.0311841013243          183.0897094           2.91146722        0.02747351719                   45
        "BPMYB.4L2.B1"               48.858                    5       77.77045528329                    0                    0      0.9314233740188                    0       1.498200548193                    0                    0     0.02196775225545          85.21270332          1.846773231        0.05380365677                   45
         "BPMS.2L2.B1"              161.394                    5       74.40961289065                    0                    0      0.5464614353928                    0      -1.523486346036                    0                    0     0.02028670520547          60.11405294         -1.262235539          0.231999936                   44
        "BPMSW.1L2.B1"              171.328                    5       65.28221423148                    0                    0      0.5076867678488                    0       2.548016105642                    0                    0     0.01382932402881          54.34129783           2.02650348         0.2565684864                   36
        "BPMSW.1R2.B1"              214.518                    5       58.83561042075                    0                    0      0.6349524845405                    0      -2.398460676634                    0                    0     0.02257920753005          54.59040222         -2.032271121         0.6108337603                   43
         "BPMS.2R2.B1"              224.452                    5       190.2159716506                    0                    0       1.771109737529                    0      -12.00221007317                    0                    0     0.09928256118378          165.4229535         -10.29874092         0.6295529988                   43
        "BPMSX.4R2.B1"             262.3035                    5       116.9828817184                    0                    0      0.5502602387011                    0      0.1416211332227                    0                    0     0.01103607522569          94.26230986         0.2118592489         0.6754822511                   43
        "BPMWB.4R2.B1"             312.5965                    5       125.3199388695                    0                    0       0.925213522692                    0     -0.3076283257439                    0                    0     0.01250477680985           100.990119        -0.3456315261          0.761672617                   36
        "BPMYB.4R2.B1"              336.988                    5       115.5386520827                    0                    0      0.8412700906341                    0       2.546382815282                    0                    0     0.01736285000893            99.273341          2.017018918         0.7974539059                   44
         "BPMR.5R2.B1"              366.522                    5       28.09027443182                    0                    0      0.2953630668577                    0   -0.003008771447051                    0                    0     0.01076013641361          31.54206354        -0.2285450794         0.8956042044                   45
          "BPM.6R2.B1"              439.818                    5       157.3521424623                    0                    0       1.646186997324                    0       3.598516144431                    0                    0     0.04361714381974          172.4786787          4.178179118          1.053717119                   45
        "BPM_A.7R2.B1"              452.693                    5       78.81172105811                    0                    0      0.8717514415665                    0        2.43906323125                    0                    0      0.0333457932859          82.62937401          2.800407651          1.070915119                   45
          "BPM.8R2.B1"               494.13                    5       132.7229691659                    0                    0      0.9118550248969                    0      -1.398413588433                    0                    0     0.01645623699491          109.6524773        -0.9955572704          1.155306586                   45
          "BPM.9R2.B1"              533.195                    5       18.96669412753                    0                    0      0.2025849894356                    0      0.5094093113168                    0                    0    0.007275747788687          16.71064137         0.2436736637          1.311684365                   43
         "BPM.11R2.B1"             625.4967                    5       33.74544193171                    0                    0      0.3802730064844                    0      0.3716370511136                    0                    0     0.01385824446238          33.49544775          0.621754117          1.581504808                   35
         "BPM.12R2.B1"             680.2203                    5       214.5507047191                    0                    0       1.469976140111                    0       -2.88422829859                    0                    0      0.0267727586318          166.0414644          -2.25692058          1.725227911                   33
         "BPM.13R2.B1"             733.6688                    5       35.04807196102                    0                    0      0.1734250705335                    0      0.7759575298704                    0                    0    0.008669275944789          33.82524053         0.4977111491          1.840692184                   32
         "BPM.14R2.B1"             787.1173                    5        138.234458693                    0                    0       1.560008190473                    0      -1.902325764594                    0                    0     0.02487084523245          180.2085351         -2.455995503          1.971578578                   31
         "BPM.15R2.B1"             840.5658                    5        33.7289547032                    0                    0      0.2170285492075                    0      0.3189090151457                    0                    0     0.01156886794501          34.45262377         0.5876710553          2.080267421                   23
         "BPM.16R2.B1"             894.0143                    5       207.5410812339                    0                    0       1.317629881709                    0       -2.82855927905                    0                    0     0.02031821349101          159.3809451         -2.168365205          2.220477307                   21
         "BPM.17R2.B1"             947.4628                    5       34.20368494396                    0                    0      0.2593775023187                    0      0.7246133049702                    0                    0     0.01131848579087          33.72213067         0.4554229512          2.339108106                   21
         "BPM.18R2.B1"             1000.911                    5       139.3801953127                    0                    0        1.57639997289                    0      -1.940055689017                    0                    0     0.02365571668487          180.2008945         -2.457101392          2.470104711                   21
         "BPM.19R2.B1"              1054.36                    5       34.06478103378                    0                    0      0.1579793931714                    0      0.3172927678755                    0                    0    0.006176535042676          34.49316221         0.5880740191          2.578720208                   21
         "BPM.20R2.B1"             1107.808                    5       207.0781336237                    0                    0       1.169676621317                    0      -2.810914672005                    0                    0     0.02148374154374          159.3906044         -2.167287313          2.718810917                   21
         "BPM.21R2.B1"             1161.257                    5       34.29845497423                    0                    0      0.1728465109047                    0      0.7302250866007                    0                    0    0.005796957685715            33.681667         0.4550328496          2.837525496                   21
