@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ Q1 %le 0.27998806745173926
@ Q2 %le 0.30998589849523894
@ RMSbetabeat %le -1
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean_linx"
*                 NAME                    S                COUNT                 BETX              SYSBETX             STATBETX              ERRBETX        CORR_ALFABETA                 ALFX              SYSALFX             STATALFX              ERRALFX              BETXMDL              ALFXMDL               MUXMDL        NCOMBINATIONS
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288                    5       148.9128839475                    0                    0       1.941124006147                    0       2.188402422586                    0                    0     0.03075077303843          178.1688385          2.776483774        0.02850035689                   45
        "BPMYB.4L2.B1"               48.858                    5       75.74993154431                    0                    0      0.9374834967686                    0       1.402264196321                    0                    0     0.02206168679321          84.62656828          1.771025716        0.05528819485                   45
         "BPMS.2L2.B1"              161.394                    5       79.33579210794                    0                    0      0.5777447803852                    0      -1.623766401044                    0                    0     0.02080236978867           63.5416427         -1.302118065         0.2259694338                   44
        "BPMSW.1L2.B1"              171.328                    5       69.48763207615                    0                    0       0.516873298711                    0       2.727647186391                    0                    0     0.01432623227035          56.76860717          2.164303659         0.2493408462                   36
        "BPMSW.1R2.B1"              214.518                    5       59.98734066994                    0                    0      0.6609845759672                    0      -2.507456155312                    0                    0     0.02367547828889          56.59517013         -2.160287983         0.6114563603                   43
         "BPMS.2R2.B1"              224.452                    5       196.3550394115                    0                    0       1.861059883642                    0      -12.44605151203                    0                    0      0.1043594467955          173.3980631         -10.83907417         0.6294099833                   43
        "BPMSX.4R2.B1"             262.3035                    5       123.3935639093                    0                    0       0.581113531295                    0      0.1137961884809                    0                    0     0.01136719516351          100.3557064         0.2140282446         0.6728227315                   43
        "BPMWB.4R2.B1"             312.5965                    5        133.318287047                    0                    0       0.935276625654                    0     -0.3103213560528                    0                    0     0.01253642408181          105.1862234        -0.3100757465         0.7542339749                   36
        "BPMYB.4R2.B1"              336.988                    5       121.6349324428                    0                    0      0.8735412806173                    0       2.719266987391                    0                    0     0.01805248710286          100.8542826          2.111274446          0.789002014                   44
         "BPMR.5R2.B1"              366.522                    5       27.65062069592                    0                    0      0.2893111918434                    0     0.05808167423341                    0                    0     0.01089412032304            29.901733        -0.1829743965         0.8893043057                   45
          "BPM.6R2.B1"              439.818                    5       153.3181155695                    0                    0        1.74256141117                    0       3.448680153975                    0                    0     0.04545277608458          171.2804611          4.086118332          1.055201055                   45
        "BPM_A.7R2.B1"              452.693                    5       77.85215672894                    0                    0      0.9068954166985                    0       2.347016692746                    0                    0     0.03420287331591          83.18949499          2.755898455          1.072400914                   45
          "BPM.8R2.B1"               494.13                    5       138.8682479602                    0                    0      0.9600715137373                    0      -1.508045744005                    0                    0     0.01684595094698           116.204224         -1.081905997          1.153834211                   45
          "BPM.9R2.B1"              533.195                    5       19.87514640713                    0                    0      0.1979906917122                    0      0.5783735436971                    0                    0    0.007037100597789           16.7883698         0.3084229749          1.303087395                   43
         "BPM.11R2.B1"             625.4967                    5       33.64985632776                    0                    0       0.377667228054                    0      0.3066565124979                    0                    0     0.01340380564776          34.00327056         0.5688802373           1.58287562                   35
         "BPM.12R2.B1"             680.2203                    5       228.4529726123                    0                    0       1.466428778756                    0      -3.078702788185                    0                    0     0.02651871012516          175.9286472         -2.364014852          1.719570564                   33
         "BPM.13R2.B1"             733.6688                    5       36.11053118296                    0                    0      0.1593438376452                    0      0.8567801896804                    0                    0    0.008691249049646           33.2096062         0.5490248881          1.832297266                   32
         "BPM.14R2.B1"             787.1173                    5       129.8951675417                    0                    0          1.474523694                    0      -1.779965141521                    0                    0     0.02396553831022          169.9929451         -2.341402732          1.970047759                   31
         "BPM.15R2.B1"             840.5658                    5         33.665558983                    0                    0      0.2132279398724                    0      0.2554084203329                    0                    0     0.01131306226487          34.94152942         0.5335135165           2.08165613                   23
         "BPM.16R2.B1"             894.0143                    5       220.6308446207                    0                    0       1.347661919502                    0      -3.014157641765                    0                    0     0.02058616945742          169.1147582          -2.27697609          2.215090242                   21
         "BPM.17R2.B1"             947.4628                    5        35.1520542724                    0                    0      0.2443530297706                    0      0.8043221079155                    0                    0     0.01116377727977          33.14903194         0.5084460799          2.330684812                   21
