@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ Q1 %le 0.27998806745173926
@ Q2 %le 0.30998589849523894
@ RMSbetabeat %le 0
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean_linx"
*                 NAME                    S                COUNT                 BETX              SYSBETX             STATBETX              ERRBETX        CORR_ALFABETA                 ALFX              SYSALFX             STATALFX              ERRALFX              BETXMDL              ALFXMDL               MUXMDL        NCOMBINATIONS
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288                    5       151.7330167294                    0                    0       1.970029326301                    0       2.450353336326                    0                    0      0.0311841013243          178.1688385          2.776483774        0.02850035689                   45
        "BPMYB.4L2.B1"               48.858                    5       77.23551169927                    0                    0      0.9314233740188                    0       1.562279215979                    0                    0     0.02196775225545          84.62656828          1.771025716        0.05528819485                   45
         "BPMS.2L2.B1"              161.394                    5       78.65230847872                    0                    0      0.5464614353928                    0      -1.476823539153                    0                    0     0.02028670520547           63.5416427         -1.302118065         0.2259694338                   44
        "BPMSW.1L2.B1"              171.328                    5       68.19823086464                    0                    0      0.5076867678488                    0       2.385785138656                    0                    0     0.01382932402881          56.76860717          2.164303659         0.2493408462                   36
        "BPMSW.1R2.B1"              214.518                    5       60.99627857742                    0                    0      0.6349524845405                    0      -2.256329899687                    0                    0     0.02257920753005          56.59517013         -2.160287983         0.6114563603                   43
         "BPMS.2R2.B1"              224.452                    5       199.3863629989                    0                    0       1.771109737529                    0      -11.40389391865                    0                    0     0.09928256118378          173.3980631         -10.83907417         0.6294099833                   43
        "BPMSX.4R2.B1"             262.3035                    5       124.5450037135                    0                    0      0.5502602387011                    0      0.1401859225123                    0                    0     0.01103607522569          100.3557064         0.2140282446         0.6728227315                   43
        "BPMWB.4R2.B1"             312.5965                    5       130.5269388424                    0                    0       0.925213522692                    0     -0.3429034643909                    0                    0     0.01250477680985          105.1862234        -0.3100757465         0.7542339749                   36
        "BPMYB.4R2.B1"              336.988                    5       117.3786209973                    0                    0      0.8412700906341                    0       2.432702352186                    0                    0     0.01736285000893          100.8542826          2.111274446          0.789002014                   44
         "BPMR.5R2.B1"              366.522                    5       26.62945260039                    0                    0      0.2953630668577                    0   -0.003758120930666                    0                    0     0.01076013641361            29.901733        -0.1829743965         0.8893043057                   45
          "BPM.6R2.B1"              439.818                    5       156.2590096304                    0                    0       1.646186997324                    0       3.679591188708                    0                    0     0.04361714381974          171.2804611          4.086118332          1.055201055                   45
        "BPM_A.7R2.B1"              452.693                    5       79.34596325665                    0                    0      0.8717514415665                    0         2.4784553733                    0                    0      0.0333457932859          83.18949499          2.755898455          1.072400914                   45
          "BPM.8R2.B1"               494.13                    5       140.6531801074                    0                    0      0.9118550248969                    0       -1.28680386175                    0                    0     0.01645623699491           116.204224         -1.081905997          1.153834211                   45
          "BPM.9R2.B1"              533.195                    5       19.05491643595                    0                    0      0.2025849894356                    0      0.4024655856189                    0                    0    0.007275747788687           16.7883698         0.3084229749          1.303087395                   43
         "BPM.11R2.B1"             625.4967                    5       34.25705489101                    0                    0      0.3802730064844                    0      0.4061784034832                    0                    0     0.01385824446238          34.00327056         0.5688802373           1.58287562                   35
         "BPM.12R2.B1"             680.2203                    5       227.3264414611                    0                    0       1.469976140111                    0      -2.753567389393                    0                    0      0.0267727586318          175.9286472         -2.364014852          1.719570564                   33
         "BPM.13R2.B1"             733.6688                    5       34.41018155843                    0                    0      0.1734250705335                    0      0.7034338920064                    0                    0    0.008669275944789           33.2096062         0.5490248881          1.832297266                   32
         "BPM.14R2.B1"             787.1173                    5       130.3982784972                    0                    0       1.560008190473                    0      -1.995429260942                    0                    0     0.02487084523245          169.9929451         -2.341402732          1.970047759                   31
         "BPM.15R2.B1"             840.5658                    5       34.20759100774                    0                    0      0.2170285492075                    0      0.3512818170097                    0                    0     0.01156886794501          34.94152942         0.5335135165           2.08165613                   23
         "BPM.16R2.B1"             894.0143                    5       220.2161603912                    0                    0       1.317629881709                    0      -2.693638087773                    0                    0     0.02031821349101          169.1147582          -2.27697609          2.215090242                   21
         "BPM.17R2.B1"             947.4628                    5       33.62240232589                    0                    0      0.2593775023187                    0      0.6490472497953                    0                    0     0.01131848579087          33.14903194         0.5084460799          2.330684812                   21
         "BPM.18R2.B1"             1000.911                    5       131.4168869177                    0                    0        1.57639997289                    0      -2.036917776836                    0                    0     0.02365571668487          169.9053479         -2.340258202          2.468484949                   21
         "BPM.19R2.B1"              1054.36                    5       34.50671442659                    0                    0      0.1579793931714                    0      0.3500901961453                    0                    0    0.006176535042676          34.94065313          0.532981601           2.58012965                   21
         "BPM.20R2.B1"             1107.808                    5       219.8255283305                    0                    0       1.169676621317                    0      -2.674153091139                    0                    0     0.02148374154374           169.202432         -2.278126756          2.713520129                   21
         "BPM.21R2.B1"             1161.257                    5        33.7571353922                    0                    0      0.1728465109047                    0      0.6528275326863                    0                    0    0.005796957685715          33.15008195         0.5089803744          2.829075832                   21
         "BPM.22R2.B1"             1214.705                    5       131.1427037488                    0                    0       1.337707314208                    0      -2.034241672329                    0                    0     0.02109693658915          169.8176059         -2.339101512          2.966921332                   21
         "BPM.23R2.B1"             1268.154                    5       34.47989548913                    0                    0      0.1962981865796                    0      0.3628057436194                    0                    0    0.007046312790093          33.07063943         0.5121908189          3.082355874                   21
         "BPM.24R2.B1"             1321.602                    5       219.4357205256                    0                    0       1.192868186389                    0      -2.690263662602                    0                    0     0.01832900700464          170.9387219         -2.356419947          3.219855843                   22
         "BPM.25R2.B1"             1375.051                    5       32.81798815939                    0                    0      0.1637527443353                    0      0.6521034978851                    0                    0    0.006074572364932          33.15909255         0.5198668252          3.334640443                   21
