@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ Q1 %le 0.26998810745173746
@ Q2 %le 0.3219859684952381
@ RMSbetabeat %le -1
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean_liny"
*                 NAME                    S                COUNT                 BETY              SYSBETY             STATBETY              ERRBETY        CORR_ALFABETA                 ALFY              SYSALFY             STATALFY              ERRALFY              BETYMDL              ALFYMDL               MUYMDL        NCOMBINATIONS
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288                    5       68.40027883526                    0                    0      0.2832436005323                    0      -2.759990565731                    0                    0    0.005593291557379          39.41995653         -1.108799359         0.1270655138                   43
        "BPMYB.4L2.B1"               48.858                    5        232.806866688                    0                    0      0.8297874059654                    0      -5.367168414364                    0                    0     0.01088761316778          108.9662243         -2.272156778         0.1778759531                   41
        "BPMWI.4L2.B1"              73.3255                    5       257.2081740777                    0                    0       1.119015983191                    0       0.759853886271                    0                    0     0.01257020822295          112.4272973         0.3716926889         0.2102939566                   27
        "BPMSX.4L2.B1"             123.4225                    5       198.2652986597                    0                    0      0.6522479613496                    0       0.417599325248                    0                    0    0.007884165711055          100.5929122        -0.1354632704         0.2883613087                   33
         "BPMS.2L2.B1"              161.394                    5       250.0970781532                    0                    0       1.230167086554                    0       16.41098664628                    0                    0     0.05956185211024          166.8599948          10.49684016          0.332767395                   41
        "BPMSW.1L2.B1"              171.328                    5       67.45420361855                    0                    0         1.1499187068                    0       3.531617559155                    0                    0     0.01769373321504          53.67824318          2.104607746         0.3515639059                   33
        "BPMSW.1R2.B1"              214.518                    5        131.597998029                    0                    0      0.7422549811298                    0      -5.140974605149                    0                    0    0.009622272403382          60.55874487         -2.263915495         0.7147686712                   26
         "BPMS.2R2.B1"              224.452                    5        147.858783699                    0                    0       1.423627338137                    0       3.398668641725                    0                    0     0.01370466798508          66.78489675          1.429994649         0.7368319813                   34
        "BPMSX.4R2.B1"             262.3035                    5       335.0103513095                    0                    0       1.778210279344                    0       3.280400061742                    0                    0     0.01462581967097          171.8314391          1.331370856         0.7856765879                   34
        "BPMWB.4R2.B1"             312.5965                    5       93.09913643926                    0                    0       0.444279576208                    0       1.505901937928                    0                    0    0.006034281978706           78.7265187          0.519879227         0.8568449234                   34
        "BPMYB.4R2.B1"              336.988                    5       51.21305839603                    0                    0      0.9848903390874                    0     -0.4953974278711                    0                    0     0.02014156459433          78.30849047         -1.631830481         0.9117061727                   33
         "BPMR.5R2.B1"              366.522                    5       81.61008813354                    0                    0       1.339694420323                    0       1.123101872686                    0                    0     0.01011157641987          172.7953181          1.915926412         0.9487126457                   42
          "BPM.6R2.B1"              439.818                    5       90.64101801135                    0                    0      0.5281905369767                    0      -3.674881399527                    0                    0     0.01444549064496          51.72717034         -1.643866131          1.128343417                   34
        "BPM_A.7R2.B1"              452.693                    5       207.2372446932                    0                    0       1.009345110002                    0      -5.614654405424                    0                    0     0.01847508812331          105.9211531         -2.565375249          1.156168167                   42
          "BPM.8R2.B1"               494.13                    5       54.21637485163                    0                    0       0.119382279265                    0       1.565708892756                    0                    0    0.003544057755574          26.55945586         0.5087859844          1.271282094                   43
          "BPM.9R2.B1"              533.195                    5       79.37733642827                    0                    0      0.7882547007416                    0     -0.8949210982436                    0                    0    0.009462052677663          116.4915824         -2.170202797          1.410239148                   34
         "BPM.10R2.B1"              573.658                    5       18.54652337149                    0                    0      0.1832308353616                    0    -0.03812420714829                    0                    0    0.008926958275335          34.09126819         0.6233035793          1.506269821                   32
         "BPM.11R2.B1"             625.4967                    5       335.1215526174                    0                    0       1.382193169844                    0      -5.639303193877                    0                    0     0.01375924294758           194.340959         -2.764165729          1.630293814                   26
         "BPM.12R2.B1"             680.2203                    5       66.08936966728                    0                    0      0.2078766105652                    0       1.585572493077                    0                    0     0.00875943038807          31.32110358          0.589056918            1.7435977                   33
         "BPM.13R2.B1"             733.6688                    5       122.0309447361                    0                    0        1.22582614994                    0       -1.13144048224                    0                    0     0.01204489955934          157.3598175          -2.24602454          1.895335755                   41
         "BPM.14R2.B1"             787.1173                    5       20.64365804645                    0                    0      0.1393766108697                    0     -0.2504703075351                    0                    0    0.003952251083771          33.78687091         0.4418031567          2.014871963                   33
