@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ Q1 %le 0.27998806745173926
@ Q2 %le 0.30998589849523894
@ RMSbetabeat %le -1
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean_liny"
*                 NAME                    S                COUNT                 BETY              SYSBETY             STATBETY              ERRBETY        CORR_ALFABETA                 ALFY              SYSALFY             STATALFY              ERRALFY              BETYMDL              ALFYMDL               MUYMDL        NCOMBINATIONS
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288                    5       63.25103724809                    0                    0      0.2688265422642                    0      -2.556486065539                    0                    0    0.005468885948762          36.79482557        -0.9912747554         0.1288149927                   43
        "BPMYB.4L2.B1"               48.858                    5       216.6835363657                    0                    0      0.8023806024192                    0      -5.027673281994                    0                    0     0.01069082806482          100.3752236         -2.099653686           0.18377066                   41
        "BPMWI.4L2.B1"              73.3255                    5       241.4656756931                    0                    0       1.073316589743                    0       0.667757466048                    0                    0     0.01238331423458           104.615664         0.3071908419         0.2188270116                   27
        "BPMSX.4L2.B1"             123.4225                    5       191.3438313279                    0                    0      0.6565406940846                    0      0.3308450139108                    0                    0    0.007885187381866          100.0906172        -0.2168651366         0.3002505176                   34
         "BPMS.2L2.B1"              161.394                    5       248.3464780432                    0                    0       1.625397580749                    0       16.15206216627                    0                    0     0.06285334331066          173.4911575          10.83992329          0.343889329                   42
        "BPMSW.1L2.B1"              171.328                    5       67.94299056641                    0                    0       1.265155480502                    0       3.466700558233                    0                    0     0.01833316229887          56.68772805          2.159094076         0.3618233924                   34
        "BPMSW.1R2.B1"              214.518                    5       123.5553193187                    0                    0      0.6970274643007                    0      -4.868712337082                    0                    0    0.008988155032267          56.48963259         -2.154507472         0.7236300453                   34
         "BPMS.2R2.B1"              224.452                    5       141.0027727311                    0                    0      0.9828381262916                    0       3.152232072545                    0                    0     0.01375603839406          63.25823474          1.294080365         0.7471123247                   42
        "BPMSX.4R2.B1"             262.3035                    5       323.9040938704                    0                    0        1.73803977144                    0       3.089847510026                    0                    0     0.01472558389617          170.4985196          1.239294701          0.797548567                   35
        "BPMWB.4R2.B1"             312.5965                    5       94.09936197794                    0                    0      0.4793155168148                    0       1.437763792136                    0                    0    0.006277506117052           83.4627772         0.4912789848         0.8668142804                   35
        "BPMYB.4R2.B1"              336.988                    5       54.58418467854                    0                    0       1.075678055746                    0     -0.5817866840545                    0                    0     0.02163394155345          84.98694135         -1.781095706         0.9178217237                   34
         "BPMR.5R2.B1"              366.522                    5       88.46918458656                    0                    0       1.469072408129                    0       1.226141135759                    0                    0     0.01049165661353          186.8117439          2.099036309         0.9519395108                   43
          "BPM.6R2.B1"              439.818                    5       83.68033664562                    0                    0      0.5061458292659                    0      -3.398611545601                    0                    0     0.01416100831981          48.24663378          -1.49070054          1.130184579                   34
        "BPM_A.7R2.B1"              452.693                    5       191.8994296616                    0                    0      0.9726128112958                    0      -5.208484856899                    0                    0     0.01763616674455          97.70295594           -2.3505672          1.160207909                   42
          "BPM.8R2.B1"               494.13                    5       51.88054014222                    0                    0      0.1197710235403                    0       1.432778662092                    0                    0    0.003279122241659          25.96766236         0.4190413276          1.282933566                   43
          "BPM.9R2.B1"              533.195                    5        84.2664518222                    0                    0      0.8600427120523                    0        -1.0039833126                    0                    0    0.009983249629486          126.4031329         -2.366456164           1.41646986                   34
         "BPM.10R2.B1"              573.658                    5       18.52228861678                    0                    0      0.1992518747368                    0     0.04369703129164                    0                    0    0.009529574393315          35.56830699          0.722509937          1.505993376                   32
         "BPM.11R2.B1"             625.4967                    5        308.835103774                    0                    0       1.349873776354                    0      -5.212913818569                    0                    0     0.01324287852243          181.0658953         -2.534540121          1.632276833                   26
         "BPM.12R2.B1"             680.2203                    5       62.45423338608                    0                    0      0.2059521997696                    0       1.435975136078                    0                    0    0.008736392112716          29.83416307         0.4961358234          1.754235445                   33
         "BPM.13R2.B1"             733.6688                    5       128.2969740372                    0                    0        1.33440898628                    0      -1.246522973337                    0                    0     0.01324341908662          170.1838407         -2.455674382          1.902715285                   41
         "BPM.14R2.B1"             787.1173                    5       20.27289252546                    0                    0      0.1508382350886                    0     -0.1662242266445                    0                    0    0.004191148643309          34.97966159          0.533487711          2.014269882                   33
         "BPM.15R2.B1"             840.5658                    5       321.8534584844                    0                    0      0.9470942774445                    0      -5.198006798958                    0                    0    0.009181593425544          172.5389157         -2.323662463          2.146114081                   34
         "BPM.16R2.B1"             894.0143                    5       82.50179948005                    0                    0      0.1449585172608                    0       1.613965383928                    0                    0    0.004561065426358           36.8973893         0.5642768502          2.253406124                   34
         "BPM.17R2.B1"             947.4628                    5        178.290325528                    0                    0       1.092749816301                    0      -1.534128613491                    0                    0    0.008842436121534           171.728576         -2.259680781          2.381137697                   44
         "BPM.19R2.B1"              1054.36                    5       259.0548564365                    0                    0       1.012325986805                    0      -4.326349037562                    0                    0    0.008584913362177          171.3012469         -2.307334657          2.624637222                   44
         "BPM.20R2.B1"             1107.808                    5       83.01424305627                    0                    0      0.1075060114392                    0       1.084807465768                    0                    0     0.00273900280691           36.8519765         0.5564854736          2.732467172                   35
         "BPM.21R2.B1"             1161.257                    5       237.4386543152                    0                    0       1.095520449777                    0      -2.323406335138                    0                    0      0.0119814299339          172.9584609         -2.276876611          2.859713929                   35
         "BPM.22R2.B1"             1214.705                    5       17.21989666923                    0                    0      0.2316781108556                    0      0.4945893011665                    0                    0    0.009059470217141          35.06965999         0.5489285431          2.970144278                   43
         "BPM.23R2.B1"             1268.154                    5       196.9023176997                    0                    0      0.8856335848295                    0      -3.507293588864                    0                    0    0.006497861110743          171.9793822         -2.314312662          3.102088026                   42
         "BPM.24R2.B1"             1321.602                    5       73.49747432027                    0                    0      0.1080531085125                    0      0.7945716285734                    0                    0     0.00436341665882          34.78263937         0.5406672874          3.213410205                   26
         "BPM.25R2.B1"             1375.051                    5       269.3714051487                    0                    0       1.190719516838                    0      -2.818287942283                    0                    0     0.01130950826462          172.7553624         -2.332620471          3.345677326                   26
         "BPM.26R2.B1"             1428.499                    5       18.87066229609                    0                    0      0.2443245508909                    0      0.6521157693348                    0                    0    0.006426838386826          35.08021379         0.5483527972          3.456132534                   42
         "BPM.27R2.B1"             1481.948                    5       175.1893820641                    0                    0        1.11706792358                    0      -3.166893302671                    0                    0    0.009815341435976          172.1018731         -2.315596967          3.587988369                   42
         "BPM.28R2.B1"             1535.397                    5       70.55870266125                    0                    0      0.1263722703108                    0      0.6579102380687                    0                    0    0.004965211498089           34.7744099         0.5413030638          3.699278728                   26
         "BPM.29R2.B1"             1588.845                    5       283.6816817492                    0                    0       1.143451514442                    0       -3.09709541183                    0                    0     0.01013354888106          172.6277671         -2.331203197          3.831630954                   26
         "BPM.30R2.B1"             1642.294                    5       21.86909248367                    0                    0      0.1769191817225                    0      0.8194566856052                    0                    0    0.004462478799192          35.08605467         0.5476619563          3.942124072                   42
         "BPM.31R2.B1"             1695.742                    5       151.1251815805                    0                    0       1.069006319966                    0      -2.753244697608                    0                    0      0.0104310071265          172.2335761         -2.317136139          4.073899148                   42
         "BPM.32R2.B1"             1749.191                    5       67.74049415226                    0                    0      0.1312890414139                    0      0.4805573303598                    0                    0    0.004137690336667          34.77100323         0.5420435732          4.185144879                   26
         "BPM.33R2.B1"             1802.639                    5       312.0435081527                    0                    0       1.109920611847                    0      -3.523236525185                    0                    0     0.01036442170757          172.4929851         -2.329554149          4.317573876                   26
         "BPM.34R2.B1"             1856.088                    5       25.71040176271                    0                    0      0.1179668826046                    0       1.023090002124                    0                    0    0.003724266398855          35.08700052         0.5468775625          4.428116968                   42
         "BPM.33L3.B1"             1909.536                    5       129.2074697282                    0                    0       1.001118650688                    0       -2.35996825078                    0                    0    0.009820613457421          172.3703842         -2.318882183          4.559820933                   42
         "BPM.32L3.B1"             1962.985                    5       63.11238398217                    0                    0      0.1517972122933                    0      0.3043851175732                    0                    0    0.005731918169777           34.7725256         0.5428657247          4.671010647                   26
         "BPM.31L3.B1"             2016.433                    5       325.8732817389                    0                    0       1.225027724994                    0      -3.818493267874                    0                    0     0.01055104347479          172.3552194         -2.327724749          4.803505659                   26
         "BPM.30L3.B1"             2069.882                    5        29.3687364976                    0                    0      0.1511191692428                    0       1.146105759955                    0                    0    0.004547360318512          35.08302183         0.5460240751          4.914109258                   42
         "BPM.29L3.B1"              2123.33                    5       112.9073717587                    0                    0       1.092304414091                    0      -2.042620608765                    0                    0    0.009855184866903          172.5080315         -2.320780652          5.045753951                   42
         "BPM.28L3.B1"             2176.779                    5       58.72563555447                    0                    0      0.1482122891995                    0      0.1920250873766                    0                    0    0.006295142963115          34.77892953         0.5437438815           5.15687803                   26
         "BPM.27L3.B1"             2230.227                    5       338.2983638116                    0                    0      0.8787254689771                    0      -4.101773622011                    0                    0    0.008940754811696          172.2187657          -2.32577204          5.289426216                   26
         "BPM.26L3.B1"             2283.676                    5       32.83968026848                    0                    0     0.09301137307397                    0         1.2764356735                    0                    0    0.003665199398094          35.07424267         0.5451281079          5.400098994                   42
         "BPM.25L3.B1"             2337.124                    5       100.7907157601                    0                    0      0.8598915849219                    0      -1.760873037103                    0                    0    0.006889572421081          172.6422258         -2.322772347          5.531698078                   43
         "BPM.24L3.B1"             2390.573                    5       54.70513254581                    0                    0      0.1079338205397                    0      0.1133194334531                    0                    0    0.002931781294539          34.79001534         0.5446506607          5.642748974                   35
         "BPM.23L3.B1"             2444.021                    5       353.1426207926                    0                    0       1.017094398081                    0      -4.416599687507                    0                    0    0.007301569203266           172.087879         -2.323756915          5.775335813                   35
         "BPM.22L3.B1"              2497.47                    5       37.72312493666                    0                    0      0.1945525113767                    0        1.37702416952                    0                    0    0.005802140502278          35.06093679         0.5442175995          5.886084306                   44
         "BPM.21L3.B1"             2550.918                    5       90.64426374352                    0                    0      0.9617862765705                    0      -1.518000621024                    0                    0    0.006929278887187          172.7687826         -2.324795163          6.017652843                   45
         "BPM.20L3.B1"             2604.367                    5       53.56586879419                    0                    0      0.1107730684267                    0     0.06686604472089                    0                    0    0.002698034117918          36.83767405         0.5650935138          6.124963223                   45
         "BPM.19L3.B1"             2657.815                    5       369.4958368206                    0                    0      0.8003043463845                    0      -4.747608480357                    0                    0    0.008779710964634          171.4417157         -2.257585784           6.25296634                   45
         "BPM.18L3.B1"             2711.264                    5       47.24378530021                    0                    0      0.1230011645778                    0       1.531671800439                    0                    0    0.002615882315626          35.03809936         0.5396502337          6.364041996                   45
         "BPM.17L3.B1"             2764.712                    5       79.24202015017                    0                    0       1.294224317185                    0      -1.115605880721                    0                    0      0.0135274362818          171.6108778         -2.309967709          6.496209852                   45
         "BPM.16L3.B1"             2818.161                    5       43.23839027971                    0                    0      0.1711486266643                    0     -0.2455740006641                    0                    0    0.002661282534037          36.81097255         0.5579583295           6.60399547                   44
         "BPM.15L3.B1"             2871.609                    5       373.9183659717                    0                    0      0.9519337395964                    0      -5.077666815375                    0                    0    0.006225430700088          172.6027018         -2.273367383          6.731502327                   35
         "BPM.14L3.B1"             2925.058                    5       60.41749779395                    0                    0      0.1387854589013                    0       1.738364789204                    0                    0    0.002695324476282            35.097094         0.5471189027          6.842017257                   35
         "BPM.13L3.B1"             2978.506                    5       85.86803604119                    0                    0       1.241116172851                    0     -0.8971388758287                    0                    0     0.01047874547727          170.4679579          -2.29351943          6.974621749                   42
         "BPM.12L3.B1"             3031.955                    5       31.23784320271                    0                    0      0.1350788141638                    0      -0.302706457511                    0                    0    0.004579662142855          33.52416853         0.5182029509          7.089041947                   42
         "BPM.11L3.B1"             3085.403                    5       384.0372303681                    0                    0       1.025440901443                    0      -5.632487437384                    0                    0    0.008161981904232          179.2056033         -2.455346188          7.221441899                   34
         "BPM.10L3.B1"             3138.184                    5       61.76121038173                    0                    0      0.1211706386575                    0        1.77691994929                    0                    0    0.004973941294645           34.5666434         0.5905429232          7.329280312                   34
          "BPM.9L3.B1"             3177.249                    5       72.17674358371                    0                    0      0.7644364956812                    0     -0.6152006547076                    0                    0     0.01153248496444          111.8873859         -1.777915442          7.446567113                   34
          "BPM.8L3.B1"             3217.712                    5       18.27275471098                    0                    0     0.06573222517491                    0      -0.595449454073                    0                    0    0.003951104465036          15.14789775         0.2100490711          7.613110673                   43
          "BPM.7L3.B1"             3256.776                    5       303.9693189712                    0                    0      0.8643546520399                    0      -6.342520502106                    0                    0    0.009673251613089          145.3939331          -3.21891589          7.786634285                   43
          "BPM.6L3.B1"             3329.415                    5       78.90138670524                    0                    0      0.5660552937859                    0     -0.5749083068269                    0                    0    0.008083718300409           80.4449331         -1.384768265          7.905753551                   42
       "BPMWG.A5L3.B1"              3371.12                    5       157.1158310973                    0                    0       2.413806500758                    0      -1.277825281385                    0                    0     0.01598226863654          259.0264461           -2.8972954          7.952399834                   34
         "BPMW.5L3.B1"              3400.09                    5       154.8115392983                    0                    0       2.291928061965                    0       1.330366029686                    0                    0     0.01189919903314          293.9949979          1.899749586          7.967965005                   41
        "BPMWE.4L3.B1"             3475.218                    5       55.00104804905                    0                    0      0.8909259544013                    0    -0.01466308340829                    0                    0     0.01154816475166          97.03231124         0.7219452106          8.041329244                   42
         "BPMW.4R3.B1"             3547.728                    5       452.5194730079                    0                    0        1.20892166118                    0      -5.344442850713                    0                    0    0.008066359603091          355.1813947         -3.455001533          8.122239552                   34
        "BPMWE.4R3.B1"             3575.273                    5       514.8545302674                    0                    0       2.073497500812                    0       3.243963253852                    0                    0     0.01031472439809          366.4329278          2.871014443           8.13355968                   35
         "BPMW.5R3.B1"             3650.401                    5       162.4232406542                    0                    0      0.1153019306764                    0        1.60344337712                    0                    0    0.002346867185115          77.41271946         0.9760227245          8.207147222                   42
       "BPMWJ.A5R3.B1"             3679.119                    5       192.9356758988                    0                    0      0.4329433455956                    0      -2.544942148077                    0                    0    0.006027565001401           87.4730024         -1.250495538          8.270594653                   43
        "BPMWC.6R3.B1"             3718.937                    5       458.2089783333                    0                    0       1.165282268949                    0      -4.134040202692                    0                    0    0.007294555524248          233.5255616         -2.417504453          8.315529194                   35
         "BPMR.6R3.B1"             3731.015                    5       466.5632094718                    0                    0       1.181213813949                    0       5.106312368263                    0                    0    0.005252013641521          245.3540078          2.315763349          8.323193215                   35
        "BPM_A.7R3.B1"             3786.839                    5       77.10055698623                    0                    0      0.1843595183161                    0       1.857254710824                    0                    0    0.002308649855191          67.61909035         0.8680808301          8.394536487                   44
          "BPM.8R3.B1"             3825.903                    5       107.1186013112                    0                    0      0.9781952878586                    0     -0.8198234125298                    0                    0    0.006629563536721           179.912715         -2.188360343          8.456383625                   44
          "BPM.9R3.B1"             3864.968                    5       33.18936036629                    0                    0      0.4381700402135                    0      0.4077431653255                    0                    0    0.005439938876586          72.72352942            1.0540328          8.509065169                   44
         "BPM.10R3.B1"             3905.431                    5       130.5353945673                    0                    0       1.069839657746                    0      -2.092314607946                    0                    0    0.005236230357919          170.1111011         -1.840306656          8.572308453                   44
         "BPM.11R3.B1"             3958.212                    5         76.162791078                    0                    0      0.1722265044512                    0      0.3571218125342                    0                    0    0.003364404621225          41.61791423         0.5545212291          8.674264088                   45
         "BPM.12R3.B1"             4012.935                    5        341.257598452                    0                    0      0.8418327643033                    0      -3.497248274062                    0                    0     0.00420721058647          162.5971256         -1.940172877          8.796502025                   44
         "BPM.13R3.B1"             4066.384                    5       33.78750029292                    0                    0      0.1485997681906                    0       1.258898008156                    0                    0    0.003521392376842          35.09029452         0.4846335149          8.911225449                   45
         "BPM.14R3.B1"             4119.833                    5       96.90697094908                    0                    0      0.7820808211002                    0      -1.725206807208                    0                    0    0.008276578138823          174.4458658         -2.343586748           9.04170967                   45
         "BPM.15R3.B1"             4173.281                    5       60.10401331633                    0                    0     0.09479113493663                    0     0.05599710457122                    0                    0    0.002441315021119          36.78239738         0.5744937728          9.148502905                   45
         "BPM.16R3.B1"              4226.73                    5       380.3599039129                    0                    0      0.8559188385548                    0      -4.555458308033                    0                    0    0.007288507685112          169.7052596         -2.236659529          9.277477306                   45
         "BPM.17R3.B1"             4280.178                    5       45.15495093077                    0                    0      0.1309047318193                    0       1.625822103885                    0                    0    0.002397689532582          35.04480273         0.5293889909          9.389222504                   45
         "BPM.18R3.B1"             4333.627                    5       78.46641674471                    0                    0        1.23585322625                    0      -1.196954725204                    0                    0      0.0115749728296          173.3894208         -2.332838433          9.520481009                   45
         "BPM.19R3.B1"             4387.075                    5        47.1779072004                    0                    0      0.1717794457787                    0     -0.2075612478769                    0                    0    0.004728420611033          36.85596452         0.5689396144          9.627532199                   44
         "BPM.20R3.B1"             4440.524                    5       384.4755060159                    0                    0       1.042634453269                    0       -5.20468787352                    0                    0    0.008259660757658          170.8288122         -2.249159757          9.755790667                   35
         "BPM.21R3.B1"             4493.972                    5       57.83061995343                    0                    0      0.1260323829138                    0       1.740139773097                    0                    0     0.00311885502141          35.00422616         0.5356635698          9.867170502                   35
         "BPM.22R3.B1"             4547.421                    5       80.88067365157                    0                    0       1.326546151656                    0     -0.8641339278327                    0                    0     0.01456112882946          172.2192263         -2.318813986          9.999114731                   43
         "BPM.23R3.B1"             4600.869                    5       34.16905600344                    0                    0      0.2370238077127                    0     -0.3206421185614                    0                    0    0.008051458691527          34.83463931         0.5426300298          10.11024382                   42
         "BPM.24R3.B1"             4654.318                    5        383.327594691                    0                    0       1.039275677881                    0      -5.463531216181                    0                    0    0.008762090645874          172.5335397         -2.328243608          10.24249271                   26
         "BPM.25R3.B1"             4707.766                    5       62.61381478407                    0                    0      0.1048905222032                    0       1.781984585555                    0                    0    0.003856406978974           35.0244143         0.5464673212          10.35313864                   26
         "BPM.26R3.B1"             4761.215                    5       89.31363081129                    0                    0        1.12384780575                    0     -0.8382241782427                    0                    0     0.01185786809266           172.299497         -2.319755272          10.48503302                   42
         "BPM.27R3.B1"             4814.663                    5       29.27883963479                    0                    0      0.1800463936937                    0     -0.2894879480597                    0                    0    0.006127625591663          34.83267256         0.5430825039          10.59613477                   42
         "BPM.28R3.B1"             4868.112                    5       363.6036192697                    0                    0       1.123752529266                    0      -5.395403884758                    0                    0     0.01105640385428          172.4514408          -2.32723602          10.72843009                   26
         "BPM.29R3.B1"              4921.56                    5       66.00446130185                    0                    0      0.1026363517141                    0       1.730153056443                    0                    0    0.005510423359605          35.02488337         0.5459884087          10.83910673                   26
         "BPM.30R3.B1"             4975.009                    5       103.5377690995                    0                    0      0.9629095167178                    0     -0.8694886036312                    0                    0    0.007899268313992          172.3827827         -2.320821291          10.97095802                   42
         "BPM.31R3.B1"             5028.457                    5       25.03539651861                    0                    0      0.2214195210374                    0     -0.2465775952105                    0                    0    0.007869332211006          34.83370482          0.543584114          11.08202552                   42
         "BPM.32R3.B1"             5081.906                    5       351.4156315849                    0                    0       1.122954591813                    0      -5.307426095533                    0                    0     0.00976453726294          172.3676189         -2.326119896          11.21436068                   26
         "BPM.33R3.B1"             5135.354                    5       70.72159832814                    0                    0      0.1091206593839                    0       1.694443410819                    0                    0    0.003372329590728          35.02235785          0.545468019           11.3250744                   26
         "BPM.34R3.B1"             5188.803                    5       120.4908592663                    0                    0       1.134436698906                    0     -0.9966197128311                    0                    0     0.01151354243817          172.4664861         -2.321978801          11.45688985                   42
         "BPM.33L4.B1"             5242.251                    5       21.43972538325                    0                    0      0.1978961288322                    0     -0.1936929148836                    0                    0    0.007281450114265          34.83770389         0.5441192186           11.5679173                   42
         "BPM.32L4.B1"               5295.7                    5       335.3700571084                    0                    0        1.58102096558                    0      -5.213179324617                    0                    0     0.01627524919819          172.2846877         -2.324930041          11.70028445                   26
         "BPM.31L4.B1"             5349.148                    5        75.2594820787                    0                    0      0.1347972387403                    0        1.63126240057                    0                    0    0.003260132847363          35.01691647         0.5449223791          11.81104047                   26
         "BPM.30L4.B1"             5402.597                    5       143.9893628507                    0                    0       1.117430848949                    0       -1.20411332042                    0                    0     0.00983058974255          172.5479974         -2.323191709          11.94282843                   42
         "BPM.29L4.B1"             5456.045                    5       18.12654655316                    0                    0      0.1923697791458                    0    -0.07995243842058                    0                    0    0.005976082163641          34.84454507         0.5446711319          12.05381128                   42
         "BPM.28L4.B1"             5509.494                    5       305.2665912606                    0                    0       1.241777443575                    0      -4.899814890292                    0                    0     0.01028954559436          172.2052331         -2.323703555          12.18620156                   26
         "BPM.27L4.B1"             5562.942                    5        76.9747156604                    0                    0       0.149926662865                    0       1.524583994661                    0                    0    0.005464923333942          35.00872891         0.5443685033          12.29700381                   26
         "BPM.26L4.B1"             5616.391                    5       173.2111851428                    0                    0      0.7900841957998                    0      -1.469377357553                    0                    0    0.007537298869517          172.6247747         -2.324422192          12.42877347                   42
         "BPM.25L4.B1"             5669.839                    5       16.24637914796                    0                    0      0.1068907547983                    0     0.04113281993069                    0                    0    0.003900412994016          34.85401505         0.5452226439          12.53970857                   42
         "BPM.24L4.B1"             5723.288                    5       278.1797591414                    0                    0      0.7767887398385                    0      -4.685396511152                    0                    0    0.008335632162608          172.1317328         -2.322478685           12.6721124                   26
         "BPM.23L4.B1"             5776.736                    5       80.27868198174                    0                    0     0.08696474579004                    0       1.415429886017                    0                    0    0.001771991434738          34.99805049         0.5438236629          12.78296335                   26
         "BPM.22L4.B1"             5830.185                    5       206.8756103491                    0                    0        0.79704995403                    0      -1.772463949507                    0                    0    0.007442405587328          172.6944239         -2.325631882          12.91472449                   42
         "BPM.21L4.B1"             5883.634                    5       15.03590279404                    0                    0      0.1295184624493                    0      0.2054993485921                    0                    0    0.004394993731792          34.86581851         0.5457565571          13.02561017                   43
         "BPM.20L4.B1"             5937.082                    5       257.8846011662                    0                    0        1.08015649854                    0      -4.310724700666                    0                    0    0.004017733913724          170.1990878         -2.296699797          13.15893512                   35
         "BPM.19L4.B1"             5990.531                    5       89.60044262644                    0                    0      0.1159976336981                    0       1.412618906036                    0                    0    0.004812893752088          36.95364672         0.5508053592          13.26700231                   35
