@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ Q1 %le 0.27998806745173926
@ Q2 %le 0.30998589849523894
@ RMSbetabeat %le 0
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean_liny"
*                 NAME                    S                COUNT                 BETY              SYSBETY             STATBETY              ERRBETY        CORR_ALFABETA                 ALFY              SYSALFY             STATALFY              ERRALFY              BETYMDL              ALFYMDL               MUYMDL        NCOMBINATIONS
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288                    5       63.84523348643                    0                    0      0.2832436005323                    0      -3.087212453921                    0                    0    0.005593291557379          36.79482557        -0.9912747554         0.1288149927                   43
        "BPMYB.4L2.B1"               48.858                    5       214.4521520273                    0                    0      0.8297874059654                    0       -5.80812358375                    0                    0     0.01088761316778          100.3752236         -2.099653686           0.18377066                   41
        "BPMWI.4L2.B1"              73.3255                    5       239.3369276286                    0                    0       1.119015983191                    0      0.9194028455156                    0                    0     0.01257020822295           104.615664         0.3071908419         0.2188270116                   27
        "BPMSX.4L2.B1"             123.4225                    5        197.275291849                    0                    0      0.6522479613496                    0      0.2608504585007                    0                    0    0.007884165711055          100.0906172        -0.2168651366         0.3002505176                   33
         "BPMS.2L2.B1"              161.394                    5       260.0361556296                    0                    0       1.230167086554                    0       15.89157958828                    0                    0     0.05956185211024          173.4911575          10.83992329          0.343889329                   41
        "BPMSW.1L2.B1"              171.328                    5       71.23604134612                    0                    0         1.1499187068                    0       3.442494587673                    0                    0     0.01769373321504          56.68772805          2.159094076         0.3618233924                   33
        "BPMSW.1R2.B1"              214.518                    5       122.7555586595                    0                    0      0.7422549811298                    0      -5.402038386618                    0                    0    0.009622272403382          56.48963259         -2.154507472         0.7236300453                   26
         "BPMS.2R2.B1"              224.452                    5       140.0509112504                    0                    0       1.423627338137                    0       3.755622991305                    0                    0     0.01370466798508          63.25823474          1.294080365         0.7471123247                   34
        "BPMSX.4R2.B1"             262.3035                    5       332.4116311201                    0                    0       1.778210279344                    0       3.524124677286                    0                    0     0.01462581967097          170.4985196          1.239294701          0.797548567                   34
        "BPMWB.4R2.B1"             312.5965                    5       98.70006460914                    0                    0       0.444279576208                    0       1.593569356008                    0                    0    0.006034281978706           83.4627772         0.4912789848         0.8668142804                   34
        "BPMYB.4R2.B1"              336.988                    5       55.58070605287                    0                    0      0.9848903390874                    0     -0.4538805075358                    0                    0     0.02014156459433          84.98694135         -1.781095706         0.9178217237                   33
         "BPMR.5R2.B1"              366.522                    5       88.22995351781                    0                    0       1.339694420323                    0       1.025127832244                    0                    0     0.01011157641987          186.8117439          2.099036309         0.9519395108                   42
          "BPM.6R2.B1"              439.818                    5       84.54210761376                    0                    0      0.5281905369767                    0      -4.052465874954                    0                    0     0.01444549064496          48.24663378          -1.49070054          1.130184579                   34
        "BPM_A.7R2.B1"              452.693                    5       191.1581473086                    0                    0       1.009345110002                    0      -6.127753098641                    0                    0     0.01847508812331          97.70295594           -2.3505672          1.160207909                   42
          "BPM.8R2.B1"               494.13                    5       53.00833435562                    0                    0       0.119382279265                    0       1.901031444434                    0                    0    0.003544057755574          25.96766236         0.4190413276          1.282933566                   43
          "BPM.9R2.B1"              533.195                    5       86.13106457201                    0                    0      0.7882547007416                    0      -0.820704097565                    0                    0    0.009462052677663          126.4031329         -2.366456164           1.41646986                   34
         "BPM.10R2.B1"              573.658                    5       19.35007032293                    0                    0      0.1832308353616                    0    -0.03288945045126                    0                    0    0.008926958275335          35.56830699          0.722509937          1.505993376                   32
         "BPM.11R2.B1"             625.4967                    5       312.2300325738                    0                    0       1.382193169844                    0      -6.150215770821                    0                    0     0.01375924294758          181.0658953         -2.534540121          1.632276833                   26
         "BPM.12R2.B1"             680.2203                    5       62.95183778601                    0                    0      0.2078766105652                    0       1.882533778023                    0                    0     0.00875943038807          29.83416307         0.4961358234          1.754235445                   33
         "BPM.13R2.B1"             733.6688                    5       131.9758448464                    0                    0        1.22582614994                    0      -1.034845298419                    0                    0     0.01204489955934          170.1838407         -2.455674382          1.902715285                   41
         "BPM.14R2.B1"             787.1173                    5       21.37244891271                    0                    0      0.1393766108697                    0     -0.2074247827025                    0                    0    0.003952251083771          34.97966159          0.533487711          2.014269882                   33
