@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ FILES %s ""
*                 NAME                    S                X1010             X1010RMS           X1010PHASE        X1010PHASERMS               X1010M          X1010MPHASE
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288     0.01596882278348    0.002807039608832          -0.11366414      0.4442050180972                    0                    0
        "BPMYB.4L2.B1"               48.858     0.01846276514721    0.001229784127656            0.1063048       0.208901959593                    0                    0
         "BPMS.2L2.B1"              161.394      0.0195894111246    0.001093408594553         -0.362127228      0.2039818040423                    0                    0
        "BPMSW.1L2.B1"              171.328     0.01669921001783    0.004499727697817         -0.336486162       0.167191880022                    0                    0
        "BPMSW.1R2.B1"              214.518      0.0291735636264    0.003385761317742          0.319499256      0.2217256874744                    0                    0
         "BPMS.2R2.B1"              224.452     0.02067459054649   0.0009097767665506          0.395009978      0.2089476889577                    0                    0
        "BPMSX.4R2.B1"             262.3035     0.02705232041049    0.005648141241081          0.188722822      0.2035096005238                    0                    0
        "BPMWB.4R2.B1"             312.5965     0.01405588657472   0.0005225935564107         -0.166032396      0.3755006243842                    0                    0
        "BPMYB.4R2.B1"              336.988     0.01516090957784     0.00290089870015         -0.283036768       0.445362006165                    0                    0
         "BPMR.5R2.B1"              366.522     0.01051425503026    0.002669113157987          -0.04996706      0.4376649312456                    0                    0
          "BPM.6R2.B1"              439.818     0.03453008941806    0.007219795465127          -0.00036058      0.1878780936813                    0                    0
        "BPM_A.7R2.B1"              452.693      0.0228414453769    0.002108033375584          0.087440142       0.197160057101                    0                    0
          "BPM.8R2.B1"               494.13     0.01576572188458    0.001340693284407          0.043742298      0.4427392476122                    0                    0
          "BPM.9R2.B1"              533.195     0.01140399080684    0.001487402243953        -0.2785016234      0.1939158458212                    0                    0
         "BPM.11R2.B1"             625.4967     0.01910463397422    0.001375469636974          0.325098078       0.214464422722                    0                    0
         "BPM.12R2.B1"             680.2203     0.01615267189214    0.001551969104129         -0.246809834      0.3636596432686                    0                    0
         "BPM.13R2.B1"             733.6688     0.01249911315243    0.001100103520995         -0.226363862      0.4528482288768                    0                    0
         "BPM.14R2.B1"             787.1173     0.01495152414931    0.001790840320795          -0.06609056      0.2045564273973                    0                    0
         "BPM.15R2.B1"             840.5658     0.01892762399086   0.0005175638588265         -0.072386624      0.4353341236812                    0                    0
         "BPM.16R2.B1"             894.0143      0.0186454904263    0.001346178067486          0.152067669      0.4343009927774                    0                    0
         "BPM.17R2.B1"             947.4628     0.01438074446399    0.001944717545925         -0.221907386      0.2076628995441                    0                    0
         "BPM.19R2.B1"              1054.36     0.02024822108357     0.00156585156289          0.333091744      0.2034250991474                    0                    0
         "BPM.20R2.B1"             1107.808     0.01759150564818   0.0009571189821858        -0.2417233162      0.3630304224014                    0                    0
         "BPM.21R2.B1"             1161.257     0.01551591765891    0.002223076161191         -0.230410826      0.4390164077988                    0                    0
         "BPM.22R2.B1"             1214.705     0.01367484868884    0.002704793692329          -0.10471892       0.197913818723                    0                    0
         "BPM.23R2.B1"             1268.154     0.02093003744311    0.001342391547895          0.132526514      0.2146425566497                    0                    0
         "BPM.24R2.B1"             1321.602     0.01618492455773   0.0009676640005436          0.140995936      0.4404837291284                    0                    0
         "BPM.25R2.B1"             1375.051     0.01356303911071    0.002213577396236          -0.06433026      0.2031500558245                    0                    0
         "BPM.26R2.B1"             1428.499     0.01698162732897    0.001761057123593          0.161725274      0.2091581212007                    0                    0
         "BPM.27R2.B1"             1481.948     0.02057072718499    0.002184131697181           0.31524571      0.2202080240146                    0                    0
         "BPM.28R2.B1"             1535.397    0.009154585086785     0.00249769209143        -0.4432348384      0.4212234972249                    0                    0
         "BPM.29R2.B1"             1588.845     0.02010219868611    0.001424734803244          -0.10694668      0.1826980477901                    0                    0
         "BPM.31R2.B1"             1695.742     0.02002016467542    0.002366938231129           0.12786939      0.1905806659672                    0                    0
         "BPM.32R2.B1"             1749.191    0.008143536571001   0.0009652108543081          0.203375248      0.1955611331163                    0                    0
         "BPM.33R2.B1"             1802.639     0.02082259485008    0.001498538923104          0.017178644      0.2092976647815                    0                    0
         "BPM.34R2.B1"             1856.088     0.02667887515425    0.001710342393252           0.20336098      0.2104917332167                    0                    0
         "BPM.33L3.B1"             1909.536     0.01828887674211    0.002210305648161          0.297216798      0.2027249603567                    0                    0
         "BPM.32L3.B1"             1962.985    0.007605571229051    0.001307637016787         -0.340814236      0.3728439072553                    0                    0
         "BPM.31L3.B1"             2016.433     0.02282374489667    0.001016569151526           0.03686476      0.4420487150423                    0                    0
         "BPM.30L3.B1"             2069.882     0.02351336830908    0.002866651049897          -0.01076904      0.2021280360486                    0                    0
         "BPM.29L3.B1"              2123.33     0.02061001236331    0.001436987991013          0.096417354       0.204079484532                    0                    0
         "BPM.28L3.B1"             2176.779    0.008631860685922   0.0008099691929119          0.038083818      0.2148653860502                    0                    0
         "BPM.27L3.B1"             2230.227     0.02102577194786    0.001786219264907          0.041555354      0.2103578758135                    0                    0
         "BPM.26L3.B1"             2283.676     0.02912364431607    0.001421675288052          0.250241682      0.2089498989482                    0                    0
         "BPM.25L3.B1"             2337.124    0.009838575734558    0.001872188381495          0.401686926      0.2020125358862                    0                    0
         "BPM.24L3.B1"             2390.573     0.01354672174158    0.001352249671904         -0.326691268      0.4465375469866                    0                    0
         "BPM.23L3.B1"             2444.021     0.01810880139198    0.002422581990562           0.01883372      0.4455795258266                    0                    0
         "BPM.22L3.B1"              2497.47     0.02910801197039    0.002280388851702          -0.10306672      0.4366491268847                    0                    0
         "BPM.21L3.B1"             2550.918     0.01606704624579    0.001634458411804         -0.115327592      0.4582184865326                    0                    0
         "BPM.20L3.B1"             2604.367     0.01513423995648    0.002423641463134          -0.29931058      0.2025431574411                    0                    0
         "BPM.19L3.B1"             2657.815     0.01917993681596    0.001679132107361         -0.026204406      0.2124801724548                    0                    0
         "BPM.18L3.B1"             2711.264     0.02733061655547    0.001863935457773          0.298720518      0.2052354419988                    0                    0
         "BPM.17L3.B1"             2764.712     0.01790380683736    0.001012875788721         0.4915193634      0.1905490260044                    0                    0
         "BPM.16L3.B1"             2818.161     0.01153997003289    0.001305508402386         -0.288686014      0.4567407396462                    0                    0
         "BPM.15L3.B1"             2871.609     0.01893657440822    0.001854365399956           0.05969508       0.450597447809                    0                    0
         "BPM.14L3.B1"             2925.058     0.02450709161911    0.001147648598294          -0.11132774      0.4377600309204                    0                    0
         "BPM.13L3.B1"             2978.506     0.01999444040712    0.001578364128054          0.078373944      0.4219918141539                    0                    0
         "BPM.12L3.B1"             3031.955     0.01281244510042     0.00121850591502         -0.278565068       0.217370902593                    0                    0
         "BPM.11L3.B1"             3085.403     0.01907459526504    0.002347889382013           0.02776999      0.2401658297941                    0                    0
         "BPM.10L3.B1"             3138.184     0.02458208623022   0.0005811188256191           0.33632081      0.2110719101814                    0                    0
          "BPM.9L3.B1"             3177.249      0.0237746494171    0.001635356719469          0.431217352      0.2141569089046                    0                    0
          "BPM.8L3.B1"             3217.712      0.0115683293448    0.001210167969213         0.5406456292       0.204284066848                    0                    0
          "BPM.7L3.B1"             3256.776     0.01662489933686    0.002557712297059         -0.168435878      0.3409848162008                    0                    0
          "BPM.6L3.B1"             3329.415     0.02148435825236    0.002567022916396          -0.08374042      0.4470923164509                    0                    0
       "BPMWG.A5L3.B1"              3371.12     0.02255427340057    0.001190039814832           0.03337382      0.4521999530012                    0                    0
         "BPMW.5L3.B1"              3400.09     0.01779145243905    0.001605016823097           -0.1629849      0.3069408732449                    0                    0
        "BPMWE.4L3.B1"             3475.218     0.01827001587607    0.004055287614382         -0.026071446      0.4543936435326                    0                    0
         "BPMW.4R3.B1"             3547.728     0.01627149265811    0.003993911903205         0.0793943716      0.4171410190741                    0                    0
        "BPMWE.4R3.B1"             3575.273     0.01573071017282    0.005225968816134          -0.12828918      0.2471557074072                    0                    0
         "BPMW.5R3.B1"             3650.401     0.02091411199258    0.002018210915317         0.1513928248      0.2037246437706                    0                    0
       "BPMWJ.A5R3.B1"             3679.119     0.02816974640531    0.002702099238325          0.145075546      0.2168812688785                    0                    0
        "BPMWC.6R3.B1"             3718.937     0.02481029376095    0.001738396157749         0.2666545832      0.2191971954144                    0                    0
         "BPMR.6R3.B1"             3731.015     0.02590658660979    0.001764292601177          0.381980994      0.2173252757791                    0                    0
          "BPM.8R3.B1"             3825.903      0.0171057500148    0.002155769381899           -0.0643018      0.4581440033754                    0                    0
          "BPM.9R3.B1"             3864.968     0.01831413651895    0.003403465853418          -0.00555726      0.1993360166129                    0                    0
         "BPM.10R3.B1"             3905.431     0.01148340639224    0.001084286622062           -0.0820908      0.4324750377227                    0                    0
         "BPM.11R3.B1"             3958.212     0.01749791258536    0.001215666829154           0.04624189      0.4383566019552                    0                    0
         "BPM.12R3.B1"             4012.935     0.01681823526732   0.0007914146932672        -0.3752093784      0.2100570279918                    0                    0
         "BPM.13R3.B1"             4066.384     0.01762779270455    0.001134795009741          -0.04761688      0.2095745198343                    0                    0
         "BPM.15R3.B1"             4173.281     0.01703326595938    0.002087278108892           0.42616014      0.2086898870832                    0                    0
         "BPM.16R3.B1"              4226.73     0.01802524436301    0.001141952982057         0.3749683578      0.2036591170521                    0                    0
         "BPM.17R3.B1"             4280.178     0.01714183973245   0.0009844051502945           0.00943854      0.4531276114848                    0                    0
         "BPM.18R3.B1"             4333.627     0.02281396024506    0.002412417751748            0.0520509      0.2035762475452                    0                    0
         "BPM.19R3.B1"             4387.075     0.01138667673232    0.002087480390824          0.038214676      0.4397131682758                    0                    0
         "BPM.20R3.B1"             4440.524     0.01706808713081    0.001174855347706       -0.19777784152      0.4021795022837                    0                    0
         "BPM.21R3.B1"             4493.972     0.01568798587699    0.001109712917763          0.004186188      0.2121362972952                    0                    0
         "BPM.22R3.B1"             4547.421     0.02769999594623    0.001442145429154          0.251614662      0.2030185500554                    0                    0
         "BPM.23R3.B1"             4600.869     0.01313013394142    0.003664546586981          0.449020768       0.209519179782                    0                    0
         "BPM.24R3.B1"             4654.318     0.01373451138343    0.001028646354494          0.256848386      0.6151825894112                    0                    0
         "BPM.25R3.B1"             4707.766     0.02794923120701   0.0008446535272102          -0.08979588      0.1991804562604                    0                    0
         "BPM.26R3.B1"             4761.215     0.04398968499123    0.001596105182135          -0.12755982      0.4333640834532                    0                    0
         "BPM.27R3.B1"             4814.663     0.01098235107714    0.003725965795604          0.062420094      0.4369130638032                    0                    0
         "BPM.28R3.B1"             4868.112      0.0166526926021    0.002188105919882        -0.1193930594      0.2250059396916                    0                    0
         "BPM.29R3.B1"              4921.56     0.04300784463178    0.001472585514062          0.149639502      0.2125397183818                    0                    0
         "BPM.30R3.B1"             4975.009       0.057882016293    0.001753489104499           0.29029847      0.2125766686572                    0                    0
         "BPM.31R3.B1"             5028.457     0.01572478586271   0.0006887350261339           0.46838686      0.2110239578608                    0                    0
         "BPM.32R3.B1"             5081.906      0.0195495596487    0.001414673362509         -0.141159166      0.1956750961896                    0                    0
         "BPM.33R3.B1"             5135.354     0.04290100355594   0.0009699340217562          -0.04420243       0.196986738644                    0                    0
         "BPM.34R3.B1"             5188.803     0.05786682933225    0.002911434818939         -0.103773606       0.435505972809                    0                    0
         "BPM.33L4.B1"             5242.251     0.01742274206777    0.004174315549492          0.075405454      0.4385486632362                    0                    0
         "BPM.32L4.B1"               5295.7     0.01574856473392    0.001983159378379        -0.0407774624      0.2029320186784                    0                    0
         "BPM.31L4.B1"             5349.148     0.04615806947126    0.001686043310473          0.155487318       0.208860617565                    0                    0
         "BPM.30L4.B1"             5402.597      0.0563802640233    0.001691035940145          0.309743692      0.2095636324201                    0                    0
         "BPM.29L4.B1"             5456.045     0.02008118515184    0.003314111346169         0.4843859326      0.2111669271979                    0                    0
         "BPM.28L4.B1"             5509.494     0.01821184210252    0.002275488134756          -0.24540212      0.2140490211439                    0                    0
         "BPM.27L4.B1"             5562.942     0.04560971115607    0.001054044052822         -0.040584638      0.1964134288535                    0                    0
         "BPM.26L4.B1"             5616.391     0.06749429774594    0.002429276892917           -0.0681916      0.4338872007087                    0                    0
         "BPM.25L4.B1"             5669.839     0.04699376246553     0.00351137984302        -0.4625214126      0.2117116186847                    0                    0
         "BPM.24L4.B1"             5723.288     0.01942826091162   0.0006682622472081         -0.198301926      0.2024438121287                    0                    0
         "BPM.23L4.B1"             5776.736     0.04322277305448     0.00105030093739             0.170393      0.2071818843735                    0                    0
         "BPM.22L4.B1"             5830.185     0.07429409480366    0.003116154184076       0.359930965424      0.2132794605524                    0                    0
         "BPM.21L4.B1"             5883.634     0.07100986718777    0.001969557219106          0.361464884       0.193363417448                    0                    0
         "BPM.20L4.B1"             5937.082     0.02732592684166    0.001238570517434          -0.24822744      0.4657949940614                    0                    0
         "BPM.19L4.B1"             5990.531     0.04331345667922   0.0007989152938138         -0.028625404      0.1953370510824                    0                    0
         "BPM.18L4.B1"             6043.979     0.07180002509113    0.001221398484235         -0.431609538      0.4145488639757                    0                    0
         "BPM.17L4.B1"             6097.428     0.07642682844004    0.002396223845888         -0.433599494      0.2149176520009                    0                    0
         "BPM.16L4.B1"             6150.876     0.02854864717423    0.001804313069855         -0.232983108       0.219400360298                    0                    0
         "BPM.15L4.B1"             6204.325     0.04435178592391     0.00111316805747          0.173097234       0.207767355758                    0                    0
         "BPM.14L4.B1"             6257.773     0.06925013119224    0.002001017430827         0.3691989812      0.2145451077238                    0                    0
         "BPM.13L4.B1"             6311.222     0.07539921963468    0.001997506507621          0.371639138      0.1970629300236                    0                    0
         "BPM.12L4.B1"              6364.67       0.031075224356    0.004186779893171           -0.1683386      0.4705366867265                    0                    0
         "BPM.11L4.B1"             6418.119     0.04580227225386   0.0006776217609665          0.045717076      0.1995429235031                    0                    0
         "BPM.10L4.B1"             6469.957     0.06581198593332     0.00194733088212         -0.599102642      0.2120605312066                    0                    0
          "BPM.9L4.B1"             6509.022     0.06760592945357    0.001296209018992         -0.446690582      0.2154076363851                    0                    0
          "BPM.8L4.B1"             6549.485     0.05287913728572    0.006345637523048          0.026804914       0.230198655671                    0                    0
          "BPM.7L4.B1"             6588.549        0.10145022451    0.002270421338095          0.383934664      0.2079715912092                    0                    0
        "BPMYB.6L4.B1"             6685.153     0.08639891277442    0.002491026069873          0.330839768       0.198647472032                    0                    0
        "BPMYA.5L4.B1"             6722.153     0.06439562827828    0.001665027037839          0.336409178      0.1929687201383                    0                    0
       "BPMWA.B5L4.B1"              6824.62     0.04428822182294    0.001743953562319          0.402853422      0.1957875853919                    0                    0
       "BPMWA.A5L4.B1"             6833.505     0.04311967780976    0.001946274370427          0.412062072      0.1940932501525                    0                    0
       "BPMWA.A5R4.B1"             6881.554     0.03721296469235    0.002502375769731          0.259383786      0.5935840761723                    0                    0
       "BPMWA.B5R4.B1"             6890.439     0.04146844068663    0.001709214614334          0.267981166      0.5936519558618                    0                    0
        "BPMYB.5R4.B1"             6992.829     0.04204648658651    0.001550620781629          -0.16398056      0.4559449077986                    0                    0
        "BPMYA.6R4.B1"             7024.393      0.0403518563691    0.001253453323971           -0.0953869      0.4562015359022                    0                    0
          "BPM.7R4.B1"             7120.909     0.07913649256759      0.0025414960814         -0.020652504        0.19079938259                    0                    0
          "BPM.8R4.B1"             7158.698      0.0656747923982    0.001172290998433          -0.61323611      0.2127301490733                    0                    0
          "BPM.9R4.B1"             7197.763     0.02631464516417    0.001672780277575         -0.245148276      0.2160152268556                    0                    0
         "BPM.10R4.B1"             7238.226     0.03773644185942   0.0004809832851643          0.141552422      0.2098325843485                    0                    0
         "BPM.11R4.B1"             7290.065     0.06700311682369    0.001359054182415          0.257319136      0.2073209550404                    0                    0
         "BPM.12R4.B1"             7344.789     0.07513137163558    0.001670228689115          0.313598864       0.192738780283                    0                    0
         "BPM.13R4.B1"             7398.237      0.0240676461782    0.001896981276388          -0.13440862       0.457925882196                    0                    0
         "BPM.14R4.B1"             7451.686     0.03623438926239    0.001680370788231          -0.06266514      0.1972781258537                    0                    0
         "BPM.15R4.B1"             7505.134     0.06671216218554    0.001339361689341          0.048172428       0.194297662929                    0                    0
         "BPM.16R4.B1"             7558.583     0.06810547079855    0.002071629932106        -0.4931625784      0.2140082957741                    0                    0
         "BPM.17R4.B1"             7612.031     0.02519145048612    0.002293922768621           -0.1060192      0.1982852823231                    0                    0
         "BPM.18R4.B1"              7665.48     0.03552169291575    0.001338119854262          0.139145322      0.2111368888615                    0                    0
         "BPM.19R4.B1"             7718.928     0.06474797579521    0.001350531302963           0.25325155      0.2103726112877                    0                    0
         "BPM.20R4.B1"             7772.377     0.06206878094232    0.003125910901694          0.307815636      0.1907479645233                    0                    0
         "BPM.21R4.B1"             7825.825     0.02263236715411    0.002722810228982          -0.14569722      0.4623337459982                    0                    0
         "BPM.22R4.B1"             7879.274     0.03550956289766    0.001309190575849          -0.05964682      0.1964562744245                    0                    0
         "BPM.23R4.B1"             7932.722     0.06079063828581    0.001467464817655          0.046104086       0.196106486287                    0                    0
         "BPM.24R4.B1"             7986.171     0.06028925865623    0.003477443902794        -0.5016165168      0.2129357043366                    0                    0
         "BPM.25R4.B1"             8039.619      0.0231713706088    0.001683867568105          -0.09911868      0.2072003074721                    0                    0
         "BPM.26R4.B1"             8093.068     0.03375002855915    0.001299808528335          0.132175986      0.2083989866385                    0                    0
         "BPM.27R4.B1"             8146.516     0.05878381576533    0.001563796392164          0.242989246      0.2173161724053                    0                    0
         "BPM.28R4.B1"             8199.965     0.05815164087883    0.002231911814238          0.495363602      0.2097768631079                    0                    0
         "BPM.29R4.B1"             8253.413     0.02123928187443    0.002290366018518          -0.13617332      0.4583508404469                    0                    0
         "BPM.30R4.B1"             8306.862     0.03372738478718    0.001115250157337          -0.06480906      0.1974938733844                    0                    0
         "BPM.31R4.B1"              8360.31     0.05931237414629    0.001244850745849          0.045052512      0.2003547478026                    0                    0
         "BPM.32R4.B1"             8413.759     0.05836317623538    0.001403627966168         -0.518334494      0.2108027070696                    0                    0
         "BPM.33R4.B1"             8467.208     0.02087335706263    0.002550250929025         -0.182694156      0.2088402595109                    0                    0
         "BPM.34R4.B1"             8520.656     0.03254250914629    0.001957997041002           0.13006416      0.2119195974734                    0                    0
         "BPM.33L5.B1"             8574.105     0.05631442333136   0.0009865789440192           0.24226065       0.211584531039                    0                    0
         "BPM.32L5.B1"             8627.553     0.04837361984232     0.00415274670853          0.467959692      0.2119024000449                    0                    0
         "BPM.31L5.B1"             8681.002     0.01937227491988    0.001275974767653          -0.15188348      0.4711295794633                    0                    0
         "BPM.30L5.B1"              8734.45     0.03360263364625   0.0008831958659203          -0.07092142      0.2006616916906                    0                    0
         "BPM.29L5.B1"             8787.899     0.05489350842497    0.002612658704241          0.042175496       0.201221930175                    0                    0
         "BPM.28L5.B1"             8841.347     0.05164372333374    0.002111171756455         -0.536160188      0.2126464264132                    0                    0
         "BPM.27L5.B1"             8894.796     0.01839502890278   0.0009544535831634         -0.146840954      0.2090039236772                    0                    0
         "BPM.26L5.B1"             8948.244     0.03083377667334   0.0009442296448635          0.128993084      0.2090319066387                    0                    0
         "BPM.25L5.B1"             9001.693      0.0553165395802   0.0006627294797197          0.230998482      0.2117638178542                    0                    0
         "BPM.24L5.B1"             9055.141     0.05231978864186    0.001247116832561          0.458155522      0.2135991909818                    0                    0
         "BPM.23L5.B1"              9108.59      0.0180045889333   0.0009779780186302          -0.17361686      0.4469226249226                    0                    0
         "BPM.22L5.B1"             9162.038     0.03037822405324    0.001208313415749          -0.07092532      0.1953464012901                    0                    0
         "BPM.21L5.B1"             9215.487     0.05618453608986    0.001250894542916          0.031053866      0.1941970858284                    0                    0
         "BPM.20L5.B1"             9268.935     0.05229277350968    0.002229949492138        -0.5409547798      0.2133356346677                    0                    0
         "BPM.19L5.B1"             9322.384     0.01820905409303    0.001805607664361          -0.16810446      0.1950190685927                    0                    0
         "BPM.18L5.B1"             9375.832     0.03132302186171    0.002358425494686          0.127203382      0.2095511877634                    0                    0
         "BPM.17L5.B1"             9429.281      0.0531324715041    0.001569515080778            0.2357645      0.2083595049587                    0                    0
         "BPM.16L5.B1"             9482.729     0.04755606124614    0.002072565099724          0.457270932       0.212323971989                    0                    0
         "BPM.15L5.B1"             9536.178     0.01694403225951    0.002226244032989           -0.1339064      0.4681708733827                    0                    0
         "BPM.14L5.B1"             9589.626     0.03130633635773   0.0005181263505744          -0.06858234      0.1983549915752                    0                    0
         "BPM.13L5.B1"             9643.075     0.05384554999007   0.0009913046452698          0.030331172      0.1960179752732                    0                    0
         "BPM.12L5.B1"             9696.523      0.0484828687629    0.002275662654345          -0.53895583      0.2119856120141                    0                    0
         "BPM.11L5.B1"             9749.972     0.01759697467293   0.0009818305740546         -0.201701122      0.2116411240052                    0                    0
         "BPM.10L5.B1"             9802.753     0.02858581375448    0.000852275751518          0.118624904      0.2113714406018                    0                    0
