@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ FILES %s ""
*                 NAME                    S                   S1                   S2                X3000               X3000i               X3000r             X3000RMS           X3000PHASE        X3000PHASERMS               X3000M              X3000Mi              X3000Mr          X3000MPHASE
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288               48.858              161.394      0.2804119363452     0.02809177554543    -0.07529261157018      0.1088113792995      0.4838522682681      0.2304887085075                    0                    0                    0                    0
        "BPMYB.4L2.B1"               48.858              161.394              171.328      0.7362310581908      0.1081828841521     0.04182838361879      0.1977146526167       0.514477800905       0.291552425215                    0                    0                    0                    0
         "BPMS.2L2.B1"              161.394              171.328              214.518      0.6698749748157     -0.1624487273067    -0.06109439008449      0.3644834613408      0.6286136550714      0.1971102698611                    0                    0                    0                    0
        "BPMSW.1L2.B1"              171.328              214.518              224.452       2.414283055188      0.1495742781008      0.1978263367382       1.230400161822      0.4068892938764       0.266278236583                    0                    0                    0                    0
        "BPMSW.1R2.B1"              214.518              224.452             262.3035       3.621583054647      0.1957430667451     -0.1704044173214       1.189244313831      0.7549498005288      0.2570899420918                    0                    0                    0                    0
         "BPMS.2R2.B1"              224.452             262.3035             312.5965       1.530306469976     -0.5323780931507     -0.1069938891368       1.106716228558      0.7457360962615      0.1606652919337                    0                    0                    0                    0
        "BPMSX.4R2.B1"             262.3035             312.5965              336.988      0.4912117416502      0.1204881227226      0.1642488176533      0.3464342610942       0.308999872455      0.2837435996017                    0                    0                    0                    0
        "BPMWB.4R2.B1"             312.5965              336.988              366.522       0.195517781576     0.07402714021783     -0.1181798353054       0.194903771585      0.5871594476917       0.173043822367                    0                    0                    0                    0
        "BPMYB.4R2.B1"              336.988              366.522              439.818      0.2282885471823     -0.1200844527172     0.05830304587204      0.1019769267443      0.6852861536039      0.2065886336411                    0                    0                    0                    0
         "BPMR.5R2.B1"              366.522              439.818              452.693       1.873482548814      0.7471833776486     -0.4634868082879      0.7912216059638      0.5432593398521      0.2393149995904                    0                    0                    0                    0
          "BPM.6R2.B1"              439.818              452.693               494.13       1.824999212014     -0.6906941148732      0.4550099047617      0.7664547388577      0.6435025787248      0.2732747296497                    0                    0                    0                    0
        "BPM_A.7R2.B1"              452.693               494.13              533.195      0.0850243578605    -0.03668166270145    -0.01165479630203     0.01726905182107      0.6779826057935      0.1835857376205                    0                    0                    0                    0
          "BPM.8R2.B1"               494.13              533.195             625.4967     0.03859913278211     0.01430415061485  -4.340451801318e-05      0.0201278350024      0.4300084954605      0.2961185155283                    0                    0                    0                    0
          "BPM.9R2.B1"              533.195             625.4967             680.2203     0.03322044367356    -0.01356509354449     0.01969877600772      0.0351763963224      0.6880525315537      0.2364445680832                    0                    0                    0                    0
         "BPM.11R2.B1"             625.4967             680.2203             733.6688      0.0697083846605     0.01565498261175    -0.02050754000211      0.0330514976953       0.359184228248      0.2070509341518                    0                    0                    0                    0
         "BPM.12R2.B1"             680.2203             733.6688             787.1173      0.1081283079096    -0.00763444916936    -0.01888474156164     0.05058563572069      0.4390619915627      0.2654902653168                    0                    0                    0                    0
         "BPM.13R2.B1"             733.6688             787.1173             840.5658      0.1024432726471    -0.00148024914672    0.008575616463178     0.03240674784708      0.6257201407869      0.2560471768373                    0                    0                    0                    0
         "BPM.14R2.B1"             787.1173             840.5658             894.0143     0.09242033060294     0.01460289179768    -0.00153994796172     0.02242330927765      0.4464015423575      0.2479861402743                    0                    0                    0                    0
         "BPM.15R2.B1"             840.5658             894.0143             947.4628     0.08024500294426    -0.03418990187974   -0.008310426357395     0.05581457392945      0.5945061823278       0.241334525488                    0                    0                    0                    0
         "BPM.16R2.B1"             894.0143             947.4628             1000.911     0.09416892049257     0.02179536815256     0.01266721939561     0.04726488386541      0.5774857877404       0.264335852767                    0                    0                    0                    0
         "BPM.17R2.B1"             947.4628             1000.911              1054.36     0.08503555113679     0.02601741355925    -0.02395977815126     0.02841026694669       0.551428213288       0.259139734229                    0                    0                    0                    0
         "BPM.18R2.B1"             1000.911              1054.36             1107.808     0.07842348836858     -0.0371533946902    0.008087975942396      0.0502827106864      0.5150957195904      0.3211533666516                    0                    0                    0                    0
         "BPM.19R2.B1"              1054.36             1107.808             1161.257      0.1175567275862      0.0253153468392   -0.002749382781411     0.02307252471123      0.2534232518536      0.2227645981187                    0                    0                    0                    0
         "BPM.20R2.B1"             1107.808             1161.257             1214.705      0.1276696623234   -0.009845918094393    -0.02848701700607     0.04871956787836       0.559847636766      0.2660914528263                    0                    0                    0                    0
         "BPM.21R2.B1"             1161.257             1214.705             1268.154      0.1477022767934     -0.0246621865184     0.06443405870419     0.05846149088768      0.6530376522357       0.281792964347                    0                    0                    0                    0
         "BPM.22R2.B1"             1214.705             1268.154             1321.602      0.1272423718807     0.07210600168014    -0.07325151156412     0.07958627025242      0.4907227152261      0.1843435046165                    0                    0                    0                    0
         "BPM.23R2.B1"             1268.154             1321.602             1375.051      0.1168935308572    -0.09571318146888     0.02888573266887     0.06381774810875      0.8218527986886     0.09866915505978                    0                    0                    0                    0
         "BPM.24R2.B1"             1321.602             1375.051             1428.499      0.1117384395818     0.02887709204083    0.001452534044567     0.06964829899804      0.5422452784372      0.2650145506014                    0                    0                    0                    0
         "BPM.25R2.B1"             1375.051             1428.499             1481.948      0.1105344936361     0.01945341911562    -0.03907258842524      0.0696413322958      0.5991554444651      0.2560592118445                    0                    0                    0                    0
         "BPM.26R2.B1"             1428.499             1481.948             1535.397      0.1478020132313    -0.05021487066634     0.07054429266243     0.07579006034845      0.7243819571651       0.247766470673                    0                    0                    0                    0
         "BPM.27R2.B1"             1481.948             1535.397             1588.845       0.133278323194   0.0005300415439781    -0.04738214572582     0.04866567697102      0.3695749349014       0.211037343004                    0                    0                    0                    0
         "BPM.28R2.B1"             1535.397             1588.845             1695.742      0.0885026032418    0.007862456670934   -0.002038071776737     0.05195998538293      0.5443064601474      0.2273730388925                    0                    0                    0                    0
         "BPM.29R2.B1"             1588.845             1695.742             1749.191     0.07212529424198    -0.01551045168752    0.004304434066772     0.05065665411984       0.446758499872      0.3431500740856                    0                    0                    0                    0
         "BPM.31R2.B1"             1695.742             1749.191             1802.639      0.0934203846255   -0.002147614830705     0.03440583200948     0.04090056348015      0.6970194273206      0.2694944745876                    0                    0                    0                    0
         "BPM.32R2.B1"             1749.191             1802.639             1856.088     0.06334028854081    -0.01745783469592    -0.04188858595728     0.02983183438001      0.6232723682302      0.1506401296664                    0                    0                    0                    0
         "BPM.33R2.B1"             1802.639             1856.088             1909.536     0.08478952877938     0.04613104589124    -0.01435539694137     0.01303495712043      0.4310539613428        0.24711453852                    0                    0                    0                    0
         "BPM.34R2.B1"             1856.088             1909.536             1962.985      0.1077562429772    -0.04297263492757     0.04808900032418     0.03310168081158      0.7601136867778      0.2226158322526                    0                    0                    0                    0
         "BPM.33L3.B1"             1909.536             1962.985             2016.433     0.08296750157491    -0.03004277308324    -0.04318141137805     0.02031875573248      0.5398029220848        0.17179595609                    0                    0                    0                    0
         "BPM.32L3.B1"             1962.985             2016.433             2069.882     0.06731203318186     0.04606103425271    0.005326694028316     0.04410537870434      0.2302857896407      0.1252997304512                    0                    0                    0                    0
         "BPM.31L3.B1"             2016.433             2069.882              2123.33       0.131633148766     -0.1073518452307    -0.02481365870889     0.07102692889006      0.7191225042394     0.09904503501924                    0                    0                    0                    0
         "BPM.30L3.B1"             2069.882              2123.33             2176.779      0.1589238229537      0.1018350232183     0.04107543676867     0.09103515064582      0.3521981419492      0.2968325283169                    0                    0                    0                    0
         "BPM.29L3.B1"              2123.33             2176.779             2230.227      0.1399972641112    -0.08443302680827    -0.05697997864293      0.0737644566196      0.5834288941087      0.1424175474838                    0                    0                    0                    0
         "BPM.28L3.B1"             2176.779             2230.227             2283.676      0.1141921916413     -0.0066880097766     0.02854045623889     0.07417495899319      0.5677233579255      0.3623724082065                    0                    0                    0                    0
