@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ CG %le 0.0009025274624515142
@ CG_std %le 5.743884957322778e-07
@ QG %le 2.766951593450068
@ Q1F %le 0.27998806745173926
@ Q2F %le 0.30998589849523894
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean"
*                 NAME                    S                COUNT               F1001W               FWSTD1               F1001R               F1001I               F1010W               FWSTD2               F1010R               F1010I                Q1001             Q1001STD                Q1010             Q1010STD            MDLF1001R            MDLF1001I            MDLF1010R            MDLF1010I
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMSW.1L2.B1"              171.328                    5     0.05109816661067   0.0002555770212412     0.04677970387296    -0.02055922995956     0.03147425974281   0.0002178847976192     0.02413208711215     0.02020572686071        0.93409714723     0.02976586274884       0.110942613681     0.03444175406668                    0                    0                    0                    0
        "BPMSX.4R2.B1"             262.3035                    5     0.05899488528286    0.001110747924175     0.05886670044086    0.003886909922351      0.0497559887639    0.001094551000578    0.003942660892854     0.04959953470505     0.01049361081825     0.04585723285094      0.2373753387899     0.02195348289507                    0                    0                    0                    0
        "BPMYB.4R2.B1"              336.988                    5     0.02849633482075   0.0001477853830674     0.02183637896433    -0.01830884081373     0.02126088429235   0.0001066713946825     0.01372526991212     0.01623706151777       0.888949029681     0.04688719309771      0.1383110969729     0.04877367994232                    0                    0                    0                    0
         "BPMR.5R2.B1"              366.522                    5     0.03057904851744   0.0001607324380238     0.02986743578952   -0.006558543099693     0.03403237339527   0.0001452457009136     0.03131968798287    -0.01331463794368      0.9655974345122     0.01648302651412      0.9360240715382     0.01943698260898                    0                    0                    0                    0
        "BPM_A.7R2.B1"              452.693                    5      0.0360907772057   0.0002834191515643     0.03553552957281    0.006306372752308     0.02429459210452   0.0001529821384752    -0.01674626205414     0.01760084977322     0.02795366395071      0.0448684213805      0.3710408955375       0.021936916556                    0                    0                    0                    0
          "BPM.8R2.B1"               494.13                    5      0.0149739916535   8.621640528893e-05     0.01096756166998     -0.0101947543891     0.01420723153554   7.758737362597e-05    -0.01075621767269     0.00928165983444      0.8808094524017      0.0182961294073      0.3866909046658     0.01679941875616                    0                    0                    0                    0
          "BPM.9R2.B1"              533.195                    5     0.02605949754317   8.783447330695e-05     0.02161156039569    -0.01456152016329     0.01752189288957   8.233905043629e-05     0.01451558654551    0.009813993971525      0.9056348528765    0.007275425772901     0.09461844919387     0.01938452219881                    0                    0                    0                    0
         "BPM.11R2.B1"             625.4967                    5     0.02592753709043   0.0001930279076171     0.02504151502652   -0.006720097079068     0.01024858315791   8.610838003353e-05    -0.01005211216429    0.001997122375062      0.9582725975429     0.02186313401322      0.4687860527314     0.03608522613394                    0                    0                    0                    0
         "BPM.12R2.B1"             680.2203                    5     0.02013439131792   8.758633389959e-05     0.01016980537625    -0.01737724869916     0.01052619808357   6.573793991104e-05   -0.006152863120328    0.008540674535254      0.8342715035703     0.01490739237889      0.3493602499623     0.03012499404158                    0                    0                    0                    0
         "BPM.13R2.B1"             733.6688                    5     0.02224708355002   0.0001097375863232    0.009577900131265    -0.02007975486795     0.01355542343191   7.098192753991e-05    0.009101853862748     0.01004518594549      0.8208355826957     0.02923857351862      0.1328348750699     0.02936966002873                    0                    0                    0                    0
         "BPM.14R2.B1"             787.1173                    5     0.02848061557743   0.0001264130740757     0.02191132495629     -0.0181944854923     0.01639015109117   7.965083256794e-05   0.0008130884816492    -0.01636997067537      0.8897078057064     0.02170106318035      0.7578986573948     0.03217427481996                    0                    0                    0                    0
         "BPM.15R2.B1"             840.5658                    5     0.02070760124561   8.715590925273e-05        0.01835208065   -0.009591969827043     0.01013591229464   9.769396571688e-05   -0.009758634587032   -0.002739665863105      0.9233487680689     0.02601075816658      0.5435602810003      0.0381982016576                    0                    0                    0                    0
         "BPM.16R2.B1"             894.0143                    5     0.02911645864871   0.0001445846157241     0.01920396138123    -0.02188552104726      0.0113237217839   8.465460474021e-05   -0.001936417253058      0.0111569244535      0.8646280241093     0.01790042625659      0.2773507739659     0.03276879664439                    0                    0                    0                    0
