@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ CG %le 0.0009025274624515142
@ QG %le 2.766951593450068
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean"
*                 NAME                    S                COUNT               F1001W               FWSTD1               F1001R               F1001I               F1010W               FWSTD2               F1010R               F1010I                Q1001             Q1001STD                Q1010             Q1010STD            MDLF1001R            MDLF1001I            MDLF1010R            MDLF1010I
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288                    5     0.07700856812245     0.01578053430934     0.02031442980947    -0.07428084211818     0.04047493676353    0.006545799232413    -0.02396061196063    -0.03262069251999      0.8580725372902     0.01386059480737      0.6641430281877     0.08452101483339                    0                    0                    0                    0
        "BPMYB.4L2.B1"               48.858                    5     0.07782505029178    0.007834947030149     0.02664064774285    -0.07312328179697     0.01168225005552    0.003255535678959    -0.01165376162436   0.0008153565859385      0.8478949353326     0.00733949772199       0.505774945547     0.05374800074146                    0                    0                    0                    0
         "BPMS.2L2.B1"              161.394                    5      0.1341281049851     0.02379348985979    -0.01783343612814     -0.1329372675466     0.08081431186657     0.02555721366468    -0.07030808390744      0.0398462838886      0.7520535918387     0.04360712844981      0.4242391141053     0.08356012367163                    0                    0                    0                    0
        "BPMSW.1L2.B1"              171.328                    5     0.07378862271149     0.01070157103225      0.0148863664286    -0.07227141161076     0.03282175714522     0.01533235817043      0.0278754030531     0.01732713613749      0.8384626815982     0.01910468138235      0.1090049634605     0.02985891657615                    0                    0                    0                    0
        "BPMSW.1R2.B1"              214.518                    5      0.1557650093931     0.05445971728369      0.1556214792674   -0.006685307911239      0.1435304008834     0.06765487960498     0.09378098628505      0.1086558907246      0.9970854508011     0.06649186510168      0.1323740480012     0.07736654909607                    0                    0                    0                    0
         "BPMS.2R2.B1"              224.452                    5     0.09612835044683      0.0257555065968    -0.04386645316938      -0.085535922547     0.07465165757457     0.02664697132544    -0.06868391966426    -0.02924703674195       0.673804084512     0.06206735659438      0.5724017012138     0.07017936446854                    0                    0                    0                    0
        "BPMSX.4R2.B1"             262.3035                    5     0.06959307182658     0.01576468485403     0.03324443721815    -0.06113921033435     0.05405789650268     0.02038531121962    0.008155066484346     0.05343922777259      0.8733642300461     0.03395956266529      0.2307395301611     0.02332854776818                    0                    0                    0                    0
        "BPMWB.4R2.B1"             312.5965                    5     0.07307666822732     0.01700201553495    -0.01224210232952    -0.07204394748874     0.02064049800009    0.008518663871007   -0.003151764365584     0.02039844452588      0.7750450782271     0.02538723762547      0.3640242798094      0.0816584053996                    0                    0                    0                    0
        "BPMYB.4R2.B1"              336.988                    5     0.07738835191579     0.01203090188021    0.003078662394493    -0.07732709001445     0.02203265251871    0.003793055197159     0.01800670367363     0.01269631441877      0.8136782580005     0.01319992396431      0.1155998560447     0.05291257961767                    0                    0                    0                    0
         "BPMR.5R2.B1"              366.522                    5     0.06198051482379    0.009982634266032   -0.004560546688247    -0.06181250384612     0.03541365950898    0.006545110024888     0.03336751368173    -0.01186323356078      0.8255826028611     0.01899829054472      0.9448827971029     0.01830072225063                    0                    0                    0                    0
          "BPM.6R2.B1"              439.818                    5      0.1431490471639     0.09263416140221       0.132653468533    -0.05380248126347      0.1131139355161     0.02917690447697    -0.02369912680048       0.110603407709      0.9747976820535      0.0876648884084      0.3470497971365     0.08295852172552                    0                    0                    0                    0
        "BPM_A.7R2.B1"              452.693                    5     0.07112053396904    0.009024946792858     0.01713783437737    -0.06902481426919     0.02647516974723    0.006900700116719    -0.01737163705256     0.01997900996693      0.8431426819399     0.01270075406225      0.3717334638574       0.023142925554                    0                    0                    0                    0
          "BPM.8R2.B1"               494.13                    5     0.07316555489147    0.008511398139186   -0.007812624460481      -0.072747242708      0.0148433921965    0.001912546361087   -0.009812277591853     0.01113757156473      0.7841075259249    0.003771621137044      0.3768032427497     0.01391847273388                    0                    0                    0                    0
