@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ CG %le 0.0009025274624515142
@ QG %le 2.766951593450068
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean"
*                 NAME                    S                COUNT               F1001W               FWSTD1               F1001R               F1001I               F1010W               FWSTD2               F1010R               F1010I                Q1001             Q1001STD                Q1010             Q1010STD            MDLF1001R            MDLF1001I            MDLF1010R            MDLF1010I
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMSW.1L2.B1"              171.328                    5     0.06972494280618   0.0002555770212412     0.06383227409868    -0.02805367057475     0.03142498833293   0.0002178847976192      0.0240943095134     0.02017409578635       1.274602876895     0.02976586274884      0.1107689384607     0.03444175406668                    0                    0                    0                    0
        "BPMSX.4R2.B1"             262.3035                    5     0.08050024638939    0.001110747924175     0.08032533442345    0.005303802269338     0.04967809820392    0.001094551000578    0.003936488850605     0.04952188906622      0.0143188388677     0.04585723285094      0.2370037393398     0.02195348289507                    0                    0                    0                    0
        "BPMYB.4R2.B1"              336.988                    5     0.03888408229402   0.0001477853830674     0.02979637774448    -0.02498294876823     0.02122760142078   0.0001066713946825     0.01370378367527     0.01621164319436       1.212996950054     0.04688719309771      0.1380945777344     0.04877367994232                    0                    0                    0                    0
         "BPMR.5R2.B1"              366.522                    5     0.04172600604619   0.0001607324380238     0.04075498966644   -0.008949323876964     0.03397909738394   0.0001452457009136     0.03127065854749    -0.01329379453103       1.317585940179     0.01648302651412      0.9345587717642     0.01943698260898                    0                    0                    0                    0
        "BPM_A.7R2.B1"              452.693                    5     0.04924692104261   0.0002834191515643     0.04848926940824    0.008605230062742     0.02425656011218   0.0001529821384752    -0.01672004660226     0.01757329650618     0.03814359202038      0.0448684213805      0.3704600492143       0.021936916556                    0                    0                    0                    0
          "BPM.8R2.B1"               494.13                    5      0.0204324495549   8.621640528893e-05     0.01496555866651    -0.01391104052948      0.0141849908114   7.758737362597e-05    -0.01073937934149    0.009267129851213       1.201890258799      0.0182961294073      0.3860855590209     0.01679941875616                    0                    0                    0                    0
          "BPM.9R2.B1"              533.195                    5     0.03555894655868   8.783447330695e-05     0.02948960623231    -0.01986962014298     0.01749446322566   8.233905043629e-05     0.01449286310673    0.009798630645317       1.235765243814    0.007275425772901     0.09447032865248     0.01938452219881                    0                    0                    0                    0
         "BPM.11R2.B1"             625.4967                    5     0.03537888266147   0.0001930279076171     0.03416987964181   -0.009169769006784     0.01023253950364   8.610838003353e-05    -0.01003637607573    0.001993995977939       1.307590985905     0.02186313401322      0.4680521911588     0.03608522613394                    0                    0                    0                    0
         "BPM.12R2.B1"             680.2203                    5       0.027473965823   8.758633389959e-05     0.01387699687176    -0.02371176408167     0.01050971983676   6.573793991104e-05   -0.006143231114897     0.00852730452817       1.138387866525     0.01490739237889      0.3488133436263     0.03012499404158                    0                    0                    0                    0
         "BPM.13R2.B1"             733.6688                    5     0.03035679616351   0.0001097375863232     0.01306932485355    -0.02739941278906     0.01353420308139   7.098192753991e-05    0.009087605356952     0.01002946069959       1.120054159532     0.02923857351862      0.1326269285882     0.02936966002873                    0                    0                    0                    0
         "BPM.14R2.B1"             787.1173                    5     0.03886263292677   0.0001264130740757     0.02989864374245    -0.02482690758759     0.01636449311354   7.965083256794e-05   0.0008118156315114    -0.01634434428919       1.214032322133     0.02170106318035      0.7567122042199     0.03217427481996                    0                    0                    0                    0
         "BPM.15R2.B1"             840.5658                    5     0.02825612753397   8.715590925273e-05     0.02504195078945    -0.01308852336494     0.01012004502109   9.769396571688e-05   -0.009743357923225   -0.002735377050571       1.259936399172     0.02601075816658      0.5427093640408      0.0381982016576                    0                    0                    0                    0
         "BPM.16R2.B1"             894.0143                    5       0.039730259394   0.0001445846157241     0.02620436696214    -0.02986343355389     0.01130599505285   8.465460474021e-05   -0.001933385886825     0.01113945883549       1.179810226636     0.01790042625659      0.2769165949327     0.03276879664439                    0                    0                    0                    0
         "BPM.17R2.B1"             947.4628                    5      0.0359983183856   0.0001043427931535       0.013219628706    -0.03348313520963     0.01849375892166   7.039309535481e-05    0.005199074115875      0.0177479223401        1.10505956664     0.01216588662133      0.2043257149471     0.03596607421812                    0                    0                    0                    0
