@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ DQMIN %le 0.010042066576596108
@ DQMINE %le 0.00594721796389
@ FILES %s ""
*                 NAME                    S                 DETC                DETCE                GAMMA               GAMMAE                  C11                  C12                  C21                  C22
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
          BPMYB.5L2.B1               28.288     0.01687861744094      0.6897218080371       1.008547666813      0.6897218080371     0.08403249335263     0.00735469700265    -0.00735469700265    -0.08403249335263
          BPMYB.4L2.B1               48.858     0.02313323457042      0.2188372628995       1.011771245859      0.2188372628995      0.1496179765475    -0.03032660087928     0.03032660087928     -0.1496179765475
           BPMS.2L2.B1              161.394     0.04382858577553      0.9174592710461        1.02266200779      0.9174592710461      0.3533983472478      0.1802779676986     -0.1802779676986     -0.3533983472478
          BPMSW.1L2.B1              171.328     0.01717001274943      0.5920509061747       1.008697165852      0.5920509061747      0.1807556023563    -0.08626735136603     0.08626735136603     -0.1807556023563
          BPMSW.1R2.B1              214.518     0.01443560961696       9.936991810878       1.007296901958       9.936991810878       0.232365664108     -0.5024446617833      0.5024446617833      -0.232365664108
           BPMS.2R2.B1              224.452      0.0144590284173       2.434749650044       1.007308869773       2.434749650044      0.1134005878822      0.2267459777032     -0.2267459777032     -0.1134005878822
          BPMSX.4R2.B1             262.3035    0.007625167943526       2.289608726928       1.003834527145       2.289608726928      0.2300355844761    -0.08311650244644     0.08311650244644     -0.2300355844761
          BPMWB.4R2.B1             312.5965     0.01927774079944      0.5772206986728       1.009780509381      0.5772206986728      0.1866930513939     0.03108885310545    -0.03108885310545     -0.1866930513939
          BPMYB.4R2.B1              336.988      0.0215398960128      0.3687177939592       1.010947118766      0.3687177939592      0.1820178026665    -0.04263238014938     0.04263238014938     -0.1820178026665
           BPMR.5R2.B1              366.522     0.01024380612312      0.6574139236749       1.005161592856      0.6574139236749       0.100414176164    -0.05791131365701     0.05791131365701      -0.100414176164
            BPM.6R2.B1              439.818     0.02986798706324       4.303247740093       1.015277080005       4.303247740093      0.3338350617832     -0.2212376918561      0.2212376918561     -0.3338350617832
          BPM_A.7R2.B1              452.693     0.01713022399952       0.378480238817       1.008676748496       0.378480238817      0.1795521760683   0.0004716626443974  -0.0004716626443974     -0.1795521760683
            BPM.8R2.B1               494.13     0.02011842726424      0.2537097464773       1.010213585596      0.2537097464773       0.169483158007     0.03560983099613    -0.03560983099613      -0.169483158007
            BPM.9R2.B1              533.195     0.01991822757322      0.2336718827722       1.010110402993      0.2336718827722      0.1693275013009   -0.007149765804333    0.007149765804333     -0.1693275013009
