@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ Q1 %le 0.26998810745173746
@ MUX %le 0.0
@ Q2 %le 0.3219859684952381
@ MUY %le 0.0
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean_linx"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEX               STDPHX               PHXMDL               MUXMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"       "BPMYB.5L2.B1"               28.288               28.288                    5                    0                    0                    0        0.02747351719
        "BPMYB.4L2.B1"       "BPMYB.5L2.B1"               48.858               28.288                    5           0.02914704    0.001384258878048        0.02633013958        0.05380365677
         "BPMS.2L2.B1"       "BPMYB.5L2.B1"              161.394               28.288                    5          0.190812216   0.0009688508217076        0.20452641881          0.231999936
        "BPMSW.1L2.B1"       "BPMYB.5L2.B1"              171.328               28.288                    5          0.211559346     0.00135043116936        0.22909496921         0.2565684864
        "BPMSW.1R2.B1"       "BPMYB.5L2.B1"              214.518               28.288                    5           0.58909518     0.00149505232179        0.58336024311         0.6108337603
         "BPMS.2R2.B1"       "BPMYB.5L2.B1"              224.452               28.288                    5           0.60553604   0.0003150273238847        0.60207948161         0.6295529988
        "BPMSX.4R2.B1"       "BPMYB.5L2.B1"             262.3035               28.288                    5           0.64326404   0.0006249774549556        0.64800873391         0.6754822511
        "BPMWB.4R2.B1"       "BPMYB.5L2.B1"             312.5965               28.288                    5           0.71275282     0.00145037989878        0.73419909981          0.761672617
        "BPMYB.4R2.B1"       "BPMYB.5L2.B1"              336.988               28.288                    5           0.74182994   0.0008649242364203        0.76998038871         0.7974539059
         "BPMR.5R2.B1"       "BPMYB.5L2.B1"              366.522               28.288                    5           0.83720856    0.002798148241578        0.86813068721         0.8956042044
          "BPM.6R2.B1"       "BPMYB.5L2.B1"              439.818               28.288                    5           0.03025176    0.001059098843417        0.02624360181          1.053717119
        "BPM_A.7R2.B1"       "BPMYB.5L2.B1"              452.693               28.288                    5          0.048322982    0.001816776751579        0.04344160181          1.070915119
          "BPM.8R2.B1"       "BPMYB.5L2.B1"               494.13               28.288                    5          0.127058318   0.0005155631935376        0.12783306881          1.155306586
          "BPM.9R2.B1"       "BPMYB.5L2.B1"              533.195               28.288                    5          0.254354896    0.002128548099478        0.28421084781          1.311684365
         "BPM.11R2.B1"       "BPMYB.5L2.B1"             625.4967               28.288                    5           0.55962366   0.0009092057851909        0.55403129081          1.581504808
         "BPM.12R2.B1"       "BPMYB.5L2.B1"             680.2203               28.288                    5           0.68007312   0.0006861373211746        0.69775439381          1.725227911
         "BPM.13R2.B1"       "BPMYB.5L2.B1"             733.6688               28.288                    5           0.77686728    0.001319239185267        0.81321866681          1.840692184
         "BPM.14R2.B1"       "BPMYB.5L2.B1"             787.1173               28.288                    5           0.93058224   0.0006564162781472        0.94410506081          1.971578578
         "BPM.15R2.B1"       "BPMYB.5L2.B1"             840.5658               28.288                    5          0.060064756    0.001329073290126        0.05279390381          2.080267421
         "BPM.16R2.B1"       "BPMYB.5L2.B1"             894.0143               28.288                    5          0.180239185   0.0005001528416214        0.19300378981          2.220477307
         "BPM.17R2.B1"       "BPMYB.5L2.B1"             947.4628               28.288                    5           0.28158404    0.001899073732367        0.31163458881          2.339108106
         "BPM.18R2.B1"       "BPMYB.5L2.B1"             1000.911               28.288                    5          0.436504704   0.0006540566922117        0.44263119381          2.470104711
         "BPM.19R2.B1"       "BPMYB.5L2.B1"              1054.36               28.288                    5           0.56586954   0.0008241687447265        0.55124669081          2.578720208
         "BPM.20R2.B1"       "BPMYB.5L2.B1"             1107.808               28.288                    5           0.68482488   0.0008783830218638        0.69133739981          2.718810917
         "BPM.21R2.B1"       "BPMYB.5L2.B1"             1161.257               28.288                    5           0.78518768   0.0003239102272379        0.81005197881          2.837525496
