@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ Q1 %le 0.27998806745173926
@ MUX %le 63.279988067451775
@ Q2 %le 0.30998589849523894
@ MUY %le 60.3099858984952
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean_linx"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEX               STDPHX               PHXMDL               MUXMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"       "BPMYB.5L2.B1"               28.288               28.288                    5                    0                    0                    0        0.02850035689
        "BPMYB.4L2.B1"       "BPMYB.5L2.B1"               48.858               28.288                    5     0.03021928125979     0.00141727023904        0.02678783796        0.05528819485
         "BPMS.2L2.B1"       "BPMYB.5L2.B1"              161.394               28.288                    5      0.1872273246099   0.0008741298509758        0.19746907691         0.2259694338
        "BPMSW.1L2.B1"       "BPMYB.5L2.B1"              171.328               28.288                    5      0.2067110452888    0.001212927653978        0.22084048931         0.2493408462
        "BPMSW.1R2.B1"       "BPMYB.5L2.B1"              214.518               28.288                    5      0.5903382288731    0.001477460291892        0.58295600341         0.6114563603
         "BPMS.2R2.B1"       "BPMYB.5L2.B1"              224.452               28.288                    5      0.6063481866231   0.0003449526119595        0.60090962641         0.6294099833
        "BPMSX.4R2.B1"       "BPMYB.5L2.B1"             262.3035               28.288                    5      0.6424598330751    0.000603724471733        0.64432237461         0.6728227315
        "BPMWB.4R2.B1"       "BPMYB.5L2.B1"             312.5965               28.288                    5      0.7078329104271    0.001409543641877        0.72573361801         0.7542339749
        "BPMYB.4R2.B1"       "BPMYB.5L2.B1"              336.988               28.288                    5      0.7353022950418   0.0008245483698796        0.76050165711          0.789002014
         "BPMR.5R2.B1"       "BPMYB.5L2.B1"              366.522               28.288                    5      0.8287654657209    0.002851212617619        0.86080394881         0.8893043057
          "BPM.6R2.B1"       "BPMYB.5L2.B1"              439.818               28.288                    5     0.03135333630853    0.001081295967545        0.02670069811          1.055201055
        "BPM_A.7R2.B1"       "BPMYB.5L2.B1"              452.693               28.288                    5     0.04975860967983    0.001839221989349        0.04390055711          1.072400914
          "BPM.8R2.B1"       "BPMYB.5L2.B1"               494.13               28.288                    5      0.1270408978228   0.0005193681589417        0.12533385411          1.153834211
          "BPM.9R2.B1"       "BPMYB.5L2.B1"              533.195               28.288                    5      0.2472403094385    0.002020087340416        0.27458703811          1.303087395
         "BPM.11R2.B1"       "BPMYB.5L2.B1"             625.4967               28.288                    5      0.5611400535009   0.0009167593986654        0.55437526311           1.58287562
         "BPM.12R2.B1"       "BPMYB.5L2.B1"             680.2203               28.288                    5      0.6771486363791   0.0006570717274428        0.69107020711          1.719570564
         "BPM.13R2.B1"       "BPMYB.5L2.B1"             733.6688               28.288                    5      0.7689052498023    0.001302440333161        0.80379690911          1.832297266
         "BPM.14R2.B1"       "BPMYB.5L2.B1"             787.1173               28.288                    5      0.9264172488356   0.0006964575080008        0.94154740211          1.970047759
         "BPM.15R2.B1"       "BPMYB.5L2.B1"             840.5658               28.288                    5     0.06158027790982    0.001323472521409        0.05315577311           2.08165613
         "BPM.16R2.B1"       "BPMYB.5L2.B1"             894.0143               28.288                    5      0.1773045869315   0.0005061840309078        0.18658988511          2.215090242
         "BPM.17R2.B1"       "BPMYB.5L2.B1"             947.4628               28.288                    5      0.2734875755394    0.001861788719712        0.30218445511          2.330684812
         "BPM.18R2.B1"       "BPMYB.5L2.B1"             1000.911               28.288                    5      0.4327271400022   0.0006880312763423        0.43998459211          2.468484949
         "BPM.19R2.B1"       "BPMYB.5L2.B1"              1054.36               28.288                    5      0.5673848726928   0.0008182436074327        0.55162929311           2.58012965
         "BPM.20R2.B1"       "BPMYB.5L2.B1"             1107.808               28.288                    5      0.6816087529194    0.000807127517266        0.68501977211          2.713520129
         "BPM.21R2.B1"       "BPMYB.5L2.B1"             1161.257               28.288                    5       0.776994508821   0.0003403638073668        0.80057547511          2.829075832
