@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ Q1 %le 0.27998806745173926
@ MUX %le 63.27998806745176
@ Q2 %le 0.30998589849523894
@ MUY %le 60.30998589849529
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean_linx"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEX               STDPHX               PHXMDL               MUXMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"       "BPMYB.5L2.B1"               28.288               28.288                    5                    0                    0                    0        0.02850035689
        "BPMYB.4L2.B1"       "BPMYB.5L2.B1"               48.858               28.288                    5        0.02960473838    0.001384258878048        0.02678783796        0.05528819485
         "BPMS.2L2.B1"       "BPMYB.5L2.B1"              161.394               28.288                    5         0.1837548741   0.0009688508217076        0.19746907691         0.2259694338
        "BPMSW.1L2.B1"       "BPMYB.5L2.B1"              171.328               28.288                    5         0.2033048661     0.00135043116936        0.22084048931         0.2493408462
        "BPMSW.1R2.B1"       "BPMYB.5L2.B1"              214.518               28.288                    5         0.5886909403     0.00149505232179        0.58295600341         0.6114563603
         "BPMS.2R2.B1"       "BPMYB.5L2.B1"              224.452               28.288                    5         0.6043661848   0.0003150273238847        0.60090962641         0.6294099833
        "BPMSX.4R2.B1"       "BPMYB.5L2.B1"             262.3035               28.288                    5         0.6395776807   0.0006249774549556        0.64432237461         0.6728227315
        "BPMWB.4R2.B1"       "BPMYB.5L2.B1"             312.5965               28.288                    5         0.7042873382     0.00145037989878        0.72573361801         0.7542339749
        "BPMYB.4R2.B1"       "BPMYB.5L2.B1"              336.988               28.288                    5         0.7323512084   0.0008649242364203        0.76050165711          0.789002014
         "BPMR.5R2.B1"       "BPMYB.5L2.B1"              366.522               28.288                    5         0.8298818216    0.002798148241578        0.86080394881         0.8893043057
          "BPM.6R2.B1"       "BPMYB.5L2.B1"              439.818               28.288                    5         0.0307088563    0.001059098843417        0.02670069811          1.055201055
        "BPM_A.7R2.B1"       "BPMYB.5L2.B1"              452.693               28.288                    5         0.0487819373    0.001816776751579        0.04390055711          1.072400914
          "BPM.8R2.B1"       "BPMYB.5L2.B1"               494.13               28.288                    5         0.1245591033   0.0005155631935376        0.12533385411          1.153834211
          "BPM.9R2.B1"       "BPMYB.5L2.B1"              533.195               28.288                    5         0.2447310863    0.002128548099478        0.27458703811          1.303087395
         "BPM.11R2.B1"       "BPMYB.5L2.B1"             625.4967               28.288                    5         0.5599676323   0.0009092057851909        0.55437526311           1.58287562
         "BPM.12R2.B1"       "BPMYB.5L2.B1"             680.2203               28.288                    5         0.6733889333   0.0006861373211746        0.69107020711          1.719570564
         "BPM.13R2.B1"       "BPMYB.5L2.B1"             733.6688               28.288                    5         0.7674455223    0.001319239185267        0.80379690911          1.832297266
         "BPM.14R2.B1"       "BPMYB.5L2.B1"             787.1173               28.288                    5         0.9280245813   0.0006564162781472        0.94154740211          1.970047759
         "BPM.15R2.B1"       "BPMYB.5L2.B1"             840.5658               28.288                    5         0.0604266253    0.001329073290126        0.05315577311           2.08165613
         "BPM.16R2.B1"       "BPMYB.5L2.B1"             894.0143               28.288                    5         0.1738252803   0.0005001528416214        0.18658988511          2.215090242
         "BPM.17R2.B1"       "BPMYB.5L2.B1"             947.4628               28.288                    5         0.2721339063    0.001899073732367        0.30218445511          2.330684812
         "BPM.18R2.B1"       "BPMYB.5L2.B1"             1000.911               28.288                    5         0.4338581023   0.0006540566922117        0.43998459211          2.468484949
         "BPM.19R2.B1"       "BPMYB.5L2.B1"              1054.36               28.288                    5         0.5662521423   0.0008241687447265        0.55162929311           2.58012965
         "BPM.20R2.B1"       "BPMYB.5L2.B1"             1107.808               28.288                    5         0.6785072523   0.0008783830218638        0.68501977211          2.713520129
         "BPM.21R2.B1"       "BPMYB.5L2.B1"             1161.257               28.288                    5         0.7757111763   0.0003239102272379        0.80057547511          2.829075832
         "BPM.22R2.B1"       "BPMYB.5L2.B1"             1214.705               28.288                    5         0.9377230473   0.0006135299335587        0.93842097511          2.966921332
         "BPM.23R2.B1"       "BPMYB.5L2.B1"             1268.154               28.288                    5         0.0693377983    0.001409908716649        0.05385551711          3.082355874
         "BPM.24R2.B1"       "BPMYB.5L2.B1"             1321.602               28.288                    5         0.1812022793   0.0006059823892024        0.19135548611          3.219855843
         "BPM.25R2.B1"       "BPMYB.5L2.B1"             1375.051               28.288                    5         0.2810379673    0.001069887377824        0.30614008611          3.334640443
         "BPM.26R2.B1"       "BPMYB.5L2.B1"             1428.499               28.288                    5         0.4438381193   0.0006383053207659        0.44401088911          3.472511246
         "BPM.27R2.B1"       "BPMYB.5L2.B1"             1481.948               28.288                    5         0.5756974623   0.0009806277258155        0.55943409311           3.58793445
         "BPM.28R2.B1"       "BPMYB.5L2.B1"             1535.397               28.288                    5         0.6848606733    0.000445112556263        0.69690840411          3.725408761
         "BPM.29R2.B1"       "BPMYB.5L2.B1"             1588.845               28.288                    5         0.7864619483    0.000961094595819        0.81170501911          3.840205376
         "BPM.31R2.B1"       "BPMYB.5L2.B1"             1695.742               28.288                    5         0.0783896303    0.001094924502007        0.06501141211          4.093511769
         "BPM.32R2.B1"       "BPMYB.5L2.B1"             1749.191               28.288                    5         0.1892580173   0.0002314267009469        0.20246107311           4.23096143
         "BPM.33R2.B1"       "BPMYB.5L2.B1"             1802.639               28.288                    5         0.2883345333   0.0006225794976702        0.31727121811          4.345771575
         "BPM.34R2.B1"       "BPMYB.5L2.B1"             1856.088               28.288                    5         0.4567162473   0.0004300847372167        0.45519152111          4.483691878
         "BPM.33L3.B1"       "BPMYB.5L2.B1"             1909.536               28.288                    5         0.5835587843    0.001678696197909        0.57058744711          4.599087804
         "BPM.32L3.B1"       "BPMYB.5L2.B1"             1962.985               28.288                    5         0.6933178983   0.0008725966659383        0.70801358511          4.736513942
