@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ Q1 %le 0.26998810745173746
@ MUX %le 0.0
@ Q2 %le 0.3219859684952381
@ MUY %le 0.0
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean_liny"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEY               STDPHY               PHYMDL               MUYMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"       "BPMYB.5L2.B1"               28.288               28.288                    5                    0                    0                    0         0.1270655138
        "BPMYB.4L2.B1"       "BPMYB.5L2.B1"               48.858               28.288                    5          0.024129344    0.001445384928136         0.0508104393         0.1778759531
        "BPMWI.4L2.B1"       "BPMYB.5L2.B1"              73.3255               28.288                    5          0.038835976    0.001649164321491         0.0832284428         0.2102939566
        "BPMSX.4L2.B1"       "BPMYB.5L2.B1"             123.4225               28.288                    5            0.0755836    0.001693057209909         0.1612957949         0.2883613087
         "BPMS.2L2.B1"       "BPMYB.5L2.B1"              161.394               28.288                    5           0.10038274    0.001209283832992         0.2057018812          0.332767395
        "BPMSW.1L2.B1"       "BPMYB.5L2.B1"              171.328               28.288                    5           0.11444282    0.002776393930575         0.2244983921         0.3515639059
        "BPMSW.1R2.B1"       "BPMYB.5L2.B1"              214.518               28.288                    5          0.539702104    0.001446873438361         0.5877031574         0.7147686712
         "BPMS.2R2.B1"       "BPMYB.5L2.B1"              224.452               28.288                    5          0.549309724     0.00199732501143         0.6097664675         0.7368319813
        "BPMSX.4R2.B1"       "BPMYB.5L2.B1"             262.3035               28.288                    5          0.571642422    0.001885219735559         0.6586110741         0.7856765879
        "BPMWB.4R2.B1"       "BPMYB.5L2.B1"             312.5965               28.288                    5           0.61836356    0.001171428733758         0.7297794096         0.8568449234
        "BPMYB.4R2.B1"       "BPMYB.5L2.B1"              336.988               28.288                    5           0.68148196    0.003063827932776         0.7846406589         0.9117061727
         "BPMR.5R2.B1"       "BPMYB.5L2.B1"              366.522               28.288                    5          0.747202742    0.001400633681849         0.8216471319         0.9487126457
          "BPM.6R2.B1"       "BPMYB.5L2.B1"              439.818               28.288                    5          0.997777124    0.001718951383388         0.0012779032          1.128343417
        "BPM_A.7R2.B1"       "BPMYB.5L2.B1"              452.693               28.288                    5          0.011427832    0.001941989965291         0.0291026532          1.156168167
          "BPM.8R2.B1"       "BPMYB.5L2.B1"               494.13               28.288                    5            0.0647365    0.001179584311119         0.1442165802          1.271282094
          "BPM.9R2.B1"       "BPMYB.5L2.B1"              533.195               28.288                    5           0.17796744    0.001081126076749         0.2831736342          1.410239148
         "BPM.10R2.B1"       "BPMYB.5L2.B1"              573.658               28.288                    5           0.36732174    0.001474593756483         0.3792043072          1.506269821
         "BPM.11R2.B1"       "BPMYB.5L2.B1"             625.4967               28.288                    5         0.4971904278    0.001097423070474         0.5032283002          1.630293814
         "BPM.12R2.B1"       "BPMYB.5L2.B1"             680.2203               28.288                    5           0.55467448    0.002529980876733         0.6165321862            1.7435977
         "BPM.13R2.B1"       "BPMYB.5L2.B1"             733.6688               28.288                    5           0.66205734    0.001417441766248         0.7682702412          1.895335755
         "BPM.14R2.B1"       "BPMYB.5L2.B1"             787.1173               28.288                    5          0.883818436    0.001119686627368         0.8878064492          2.014871963
         "BPM.15R2.B1"       "BPMYB.5L2.B1"             840.5658               28.288                    5          0.003893376    0.001358300874264         0.0160791222          2.143144636
         "BPM.16R2.B1"       "BPMYB.5L2.B1"             894.0143               28.288                    5          0.049854294    0.001545619416842         0.1157425032          2.242808017
         "BPM.17R2.B1"       "BPMYB.5L2.B1"             947.4628               28.288                    5           0.12730724    0.001122907336578         0.2450414302          2.372106944
         "BPM.19R2.B1"       "BPMYB.5L2.B1"              1054.36               28.288                    5         0.4871123382    0.001336955692761         0.4960958522          2.623161366
         "BPM.20R2.B1"       "BPMYB.5L2.B1"             1107.808               28.288                    5           0.53818117   0.0009016984231133         0.5959671752          2.723032689
         "BPM.21R2.B1"       "BPMYB.5L2.B1"             1161.257               28.288                    5           0.60285112    0.000961685660704         0.7222725492          2.849338063
         "BPM.22R2.B1"       "BPMYB.5L2.B1"             1214.705               28.288                    5          0.751963842    0.001839546778762         0.8412524062           2.96831792
         "BPM.23R2.B1"       "BPMYB.5L2.B1"             1268.154               28.288                    5          0.966553856    0.001141346234516         0.9748395202          3.101905034
         "BPM.24R2.B1"       "BPMYB.5L2.B1"             1321.602               28.288                    5          0.029917508     0.00114024411001         0.0781943682          3.205259882
         "BPM.25R2.B1"       "BPMYB.5L2.B1"             1375.051               28.288                    5           0.09317772    0.001309916844248         0.2075624762           3.33462799
         "BPM.26R2.B1"       "BPMYB.5L2.B1"             1428.499               28.288                    5           0.22416182    0.002502376657493         0.3261767932          3.453242307
         "BPM.27R2.B1"       "BPMYB.5L2.B1"             1481.948               28.288                    5           0.45580562    0.001487417369888         0.4613595832          3.588425097
         "BPM.28R2.B1"       "BPMYB.5L2.B1"             1535.397               28.288                    5          0.523482568    0.001577865876314         0.5651119042          3.692177418
         "BPM.29R2.B1"       "BPMYB.5L2.B1"             1588.845               28.288                    5          0.586777852    0.001405143805499         0.6930305132          3.820096027
         "BPM.30R2.B1"       "BPMYB.5L2.B1"             1642.294               28.288                    5           0.69852946     0.00212045562043         0.8110196512          3.938085165
         "BPM.31R2.B1"       "BPMYB.5L2.B1"             1695.742               28.288                    5          0.941039839    0.001077158203168         0.9477188212          4.074784335
         "BPM.32R2.B1"       "BPMYB.5L2.B1"             1749.191               28.288                    5          0.016458862    0.001669855958814         0.0520763912          4.179141905
         "BPM.33R2.B1"       "BPMYB.5L2.B1"             1802.639               28.288                    5           0.07759004    0.001117735009255         0.1786881032          4.305753617
         "BPM.34R2.B1"       "BPMYB.5L2.B1"             1856.088               28.288                    5           0.17194002    0.001590319170806         0.2958184402          4.422883954
         "BPM.33L3.B1"       "BPMYB.5L2.B1"             1909.536               28.288                    5           0.42435637    0.001088015339567         0.4339013182          4.560966832
         "BPM.32L3.B1"       "BPMYB.5L2.B1"             1962.985               28.288                    5          0.509944704    0.001085230822646         0.5390588682          4.666124382
         "BPM.31L3.B1"       "BPMYB.5L2.B1"             2016.433               28.288                    5          0.571461594    0.001105436221408         0.6645401322          4.791605646
         "BPM.30L3.B1"       "BPMYB.5L2.B1"             2069.882               28.288                    5              0.65633     0.00152847112178         0.7806126582          4.907678172
         "BPM.29L3.B1"       "BPMYB.5L2.B1"              2123.33               28.288                    5          0.905589876    0.001185793472297         0.9198958012          5.046961315
         "BPM.28L3.B1"       "BPMYB.5L2.B1"             2176.779               28.288                    5          0.003169982    0.001583875655496         0.0260300522          5.153095566
         "BPM.27L3.B1"       "BPMYB.5L2.B1"             2230.227               28.288                    5           0.06539954   0.0009686487625536         0.1505850782          5.277650592
         "BPM.26L3.B1"       "BPMYB.5L2.B1"             2283.676               28.288                    5           0.14350292     0.00114209655351         0.2654420152          5.392507529
         "BPM.25L3.B1"       "BPMYB.5L2.B1"             2337.124               28.288                    5           0.38654904    0.001055493720293         0.4056963692          5.532761883
         "BPM.24L3.B1"       "BPMYB.5L2.B1"             2390.573               28.288                    5         0.4965442952    0.000797637537329         0.5129608602          5.640026374
         "BPM.23L3.B1"       "BPMYB.5L2.B1"             2444.021               28.288                    5          0.559891346    0.001221485363284         0.6368155542          5.763881068
         "BPM.22L3.B1"       "BPMYB.5L2.B1"              2497.47               28.288                    5           0.62932022    0.001552104299464         0.7503445942          5.877410108
         "BPM.21L3.B1"       "BPMYB.5L2.B1"             2550.918               28.288                    5          0.864238306   0.0009831169679483         0.8913031472          6.018368661
         "BPM.20L3.B1"       "BPMYB.5L2.B1"             2604.367               28.288                    5          0.985382692    0.001273037132086         0.9964008392          6.123466353
         "BPM.19L3.B1"       "BPMYB.5L2.B1"             2657.815               28.288                    5          0.047093938    0.001315487561564         0.1153239542          6.242389468
         "BPM.18L3.B1"       "BPMYB.5L2.B1"             2711.264               28.288                    5            0.1069652   0.0007650459618675         0.2268434412          6.353908955
         "BPM.17L3.B1"       "BPMYB.5L2.B1"             2764.712               28.288                    5           0.30807354    0.001379024419646         0.3689526072          6.496018121
         "BPM.16L3.B1"       "BPMYB.5L2.B1"             2818.161               28.288                    5          0.465458772     0.00164030079338         0.4766511012          6.603716615
         "BPM.15L3.B1"       "BPMYB.5L2.B1"             2871.609               28.288                    5          0.534317666   0.0009890822028765         0.5950627942          6.722128308
         "BPM.14L3.B1"       "BPMYB.5L2.B1"             2925.058               28.288                    5            0.5848549    0.001681543604719         0.7037571122          6.830822626
         "BPM.13L3.B1"       "BPMYB.5L2.B1"             2978.506               28.288                    5           0.73860195    0.001334946208984         0.8460459522          6.973111466
         "BPM.12L3.B1"       "BPMYB.5L2.B1"             3031.955               28.288                    5       0.949073756704    0.001365867962165         0.9623725262           7.08943804
         "BPM.11L3.B1"       "BPMYB.5L2.B1"             3085.403               28.288                    5          0.029714604    0.001268648605243         0.0856632192          7.212728733
         "BPM.10L3.B1"       "BPMYB.5L2.B1"             3138.184               28.288                    5             0.079264    0.001186237317072         0.1906179632          7.317683477
          "BPM.9L3.B1"       "BPMYB.5L2.B1"             3177.249               28.288                    5           0.18902554    0.001497916563764         0.3158338872          7.442899401
          "BPM.8L3.B1"       "BPMYB.5L2.B1"             3217.712               28.288                    5          0.470578066   0.0009545278054899         0.4852720432          7.612337557
          "BPM.7L3.B1"       "BPMYB.5L2.B1"             3256.776               28.288                    5          0.557993596    0.001050848587891         0.6478414772          7.774906991
          "BPM.6L3.B1"       "BPMYB.5L2.B1"             3329.415               28.288                    5           0.63647232    0.001246956795424         0.7715577112          7.898623225
       "BPMWG.A5L3.B1"       "BPMYB.5L2.B1"              3371.12               28.288                    5           0.69988124    0.002088570495363         0.8221447552          7.949210269
         "BPMW.5L3.B1"       "BPMYB.5L2.B1"              3400.09               28.288                    5          0.729442692    0.001391777713618         0.8389147502          7.965980264
        "BPMWE.4L3.B1"       "BPMYB.5L2.B1"             3475.218               28.288                    5          0.884084678    0.002756133780521         0.9154481262           8.04251364
         "BPMW.4R3.B1"       "BPMYB.5L2.B1"             3547.728               28.288                    5          0.976615974    0.001026233684534         0.9938509002          8.120916414
        "BPMWE.4R3.B1"       "BPMYB.5L2.B1"             3575.273               28.288                    5          0.984162762    0.001175087846443    0.004423130199999          8.131488644
         "BPMW.5R3.B1"       "BPMYB.5L2.B1"             3650.401               28.288                    5          0.023212428   0.0009050363819829         0.0723882962           8.19945381
       "BPMWJ.A5R3.B1"       "BPMYB.5L2.B1"             3679.119               28.288                    5           0.04953291     0.00124771659032         0.1322243032          8.259289817
        "BPMWC.6R3.B1"       "BPMYB.5L2.B1"             3718.937               28.288                    5            0.0700994     0.00103456216738         0.1766190162           8.30368453
         "BPMR.6R3.B1"       "BPMYB.5L2.B1"             3731.015               28.288                    5           0.07385968    0.001170681454958         0.1843969562           8.31146247
        "BPM_A.7R3.B1"       "BPMYB.5L2.B1"             3786.839               28.288                    5           0.12126072    0.001053694002579         0.2594382952          8.386503809
          "BPM.8R3.B1"       "BPMYB.5L2.B1"             3825.903               28.288                    5           0.20078134   0.0009462325337061         0.3264478122          8.453513326
          "BPM.9R3.B1"       "BPMYB.5L2.B1"             3864.968               28.288                    5           0.31566474    0.001088343889736         0.3824046942          8.509470208
         "BPM.10R3.B1"       "BPMYB.5L2.B1"             3905.431               28.288                    5           0.42794415   0.0009182126701671         0.4461672402          8.573232754
         "BPM.11R3.B1"       "BPMYB.5L2.B1"             3958.212               28.288                    5          0.506778244    0.001102432697851         0.5420552652          8.669120779
         "BPM.12R3.B1"       "BPMYB.5L2.B1"             4012.935               28.288                    5          0.560496496    0.001248711810746         0.6575732072          8.784638721
         "BPM.13R3.B1"       "BPMYB.5L2.B1"             4066.384               28.288                    5           0.63663186    0.001459735459087         0.7774855492          8.904551063
         "BPM.14R3.B1"       "BPMYB.5L2.B1"             4119.833               28.288                    5          0.884403048    0.001339591339199         0.9158313292          9.042896843
         "BPM.15R3.B1"       "BPMYB.5L2.B1"             4173.281               28.288                    5          0.991405402     0.00140915889876         0.0182903942          9.145355908
         "BPM.16R3.B1"       "BPMYB.5L2.B1"              4226.73               28.288                    5           0.04854057    0.001263953770349         0.1388961012          9.265961615
         "BPM.17R3.B1"       "BPMYB.5L2.B1"             4280.178               28.288                    5           0.10879822    0.001591585130539         0.2537165122          9.380782026
         "BPM.18R3.B1"       "BPMYB.5L2.B1"             4333.627               28.288                    5           0.32688608    0.000988467146937         0.3942175892          9.521283103
         "BPM.19R3.B1"       "BPMYB.5L2.B1"             4387.075               28.288                    5          0.472304744    0.001442483051952         0.4988022072          9.625867721
         "BPM.20R3.B1"       "BPMYB.5L2.B1"             4440.524               28.288                    5          0.537122004    0.001318498227739         0.6180145202          9.745080034
         "BPM.21R3.B1"       "BPMYB.5L2.B1"             4493.972               28.288                    5          0.588966406    0.001222196420732         0.7301571132          9.857222627
         "BPM.22R3.B1"       "BPMYB.5L2.B1"             4547.421               28.288                    5          0.753954922    0.001134950778529         0.8720055862            9.9990711
         "BPM.23R3.B1"       "BPMYB.5L2.B1"             4600.869               28.288                    5        0.95476231582    0.001308465435894         0.9825668762          10.10963239
         "BPM.24R3.B1"       "BPMYB.5L2.B1"             4654.318               28.288                    5          0.031920926     0.00108666598449         0.1053983362          10.23246385
         "BPM.25R3.B1"       "BPMYB.5L2.B1"             4707.766               28.288                    5           0.08123118    0.001333700776501         0.2153594162          10.34242493
         "BPM.26R3.B1"       "BPMYB.5L2.B1"             4761.215               28.288                    5            0.2265861     0.00158698288267         0.3571385862           10.4842041
         "BPM.27R3.B1"       "BPMYB.5L2.B1"             4814.663               28.288                    5          0.440231084    0.001911548866587         0.4691675162          10.59623303
         "BPM.28R3.B1"       "BPMYB.5L2.B1"             4868.112               28.288                    5          0.526338946   0.0008294500649638         0.5921866262          10.71925214
         "BPM.29R3.B1"       "BPMYB.5L2.B1"              4921.56               28.288                    5          0.575741774   0.0007665087786437         0.7007403762          10.82780589
         "BPM.30R3.B1"       "BPMYB.5L2.B1"             4975.009               28.288                    5           0.70020114     0.00115367295356         0.8421245462          10.96919006
         "BPM.31R3.B1"       "BPMYB.5L2.B1"             5028.457               28.288                    5          0.922467688    0.002076478072092         0.9556084562          11.08267397
         "BPM.32R3.B1"       "BPMYB.5L2.B1"             5081.906               28.288                    5           0.02001536    0.001129245124981         0.0790767962          11.20614231
         "BPM.33R3.B1"       "BPMYB.5L2.B1"             5135.354               28.288                    5           0.06823998    0.001605408419949         0.1863154362          11.31338095
         "BPM.34R3.B1"       "BPMYB.5L2.B1"             5188.803               28.288                    5           0.17546706    0.001286973968895         0.3269941162          11.45405963
         "BPM.33L4.B1"       "BPMYB.5L2.B1"             5242.251               28.288                    5          0.403329718    0.002146364942855         0.4418714562          11.56893697
         "BPM.32L4.B1"       "BPMYB.5L2.B1"               5295.7               28.288                    5          0.513705862   0.0009223553461041         0.5660409862           11.6931065
         "BPM.31L4.B1"       "BPMYB.5L2.B1"             5349.148               28.288                    5          0.560915856    0.001707580179405         0.6720920262          11.79915754
         "BPM.30L4.B1"       "BPMYB.5L2.B1"             5402.597               28.288                    5           0.65415114    0.001122517891768         0.8117831962          11.93884871
         "BPM.29L4.B1"       "BPMYB.5L2.B1"             5456.045               28.288                    5          0.874700468    0.002436367151233         0.9279427762          12.05500829
         "BPM.28L4.B1"       "BPMYB.5L2.B1"             5509.494               28.288                    5          0.006190834    0.001106621401692         0.0530499362          12.18011545
         "BPM.27L4.B1"       "BPMYB.5L2.B1"             5562.942               28.288                    5           0.05525102    0.001222558373792         0.1580706962          12.28513621
         "BPM.26L4.B1"       "BPMYB.5L2.B1"             5616.391               28.288                    5           0.13753216     0.00125073468892         0.2965313262          12.42359684
         "BPM.25L4.B1"       "BPMYB.5L2.B1"             5669.839               28.288                    5           0.34654246    0.001662263250803         0.4138139362          12.54087945
         "BPM.24L4.B1"       "BPMYB.5L2.B1"             5723.288               28.288                    5         0.4995201058   0.0009536977910487         0.5400736362          12.66713915
         "BPM.23L4.B1"       "BPMYB.5L2.B1"             5776.736               28.288                    5          0.550299082    0.001061900543831         0.6442456962          12.77131121
         "BPM.22L4.B1"       "BPMYB.5L2.B1"             5830.185               28.288                    5           0.62122602    0.001050422034805         0.7812800262          12.90834554
