@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ Q1 %le 0.27998806745173926
@ MUX %le 63.279988067451775
@ Q2 %le 0.30998589849523894
@ MUY %le 60.3099858984952
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean_liny"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEY               STDPHY               PHYMDL               MUYMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"       "BPMYB.5L2.B1"               28.288               28.288                    5                    0                    0                    0         0.1288149927
        "BPMYB.4L2.B1"       "BPMYB.5L2.B1"               48.858               28.288                    5      0.0260825718829    0.001557570817021         0.0549556673           0.18377066
        "BPMWI.4L2.B1"       "BPMYB.5L2.B1"              73.3255               28.288                    5     0.04183906625358    0.001753820040209         0.0900120189         0.2188270116
        "BPMSX.4L2.B1"       "BPMYB.5L2.B1"             123.4225               28.288                    5     0.08049106373705    0.001818850098616         0.1714355249         0.3002505176
         "BPMS.2L2.B1"       "BPMYB.5L2.B1"              161.394               28.288                    5      0.1058389075889    0.001283091874532         0.2150743363          0.343889329
        "BPMSW.1L2.B1"       "BPMYB.5L2.B1"              171.328               28.288                    5      0.1199253448411     0.00286378480724         0.2330083997         0.3618233924
        "BPMSW.1R2.B1"       "BPMYB.5L2.B1"              214.518               28.288                    5      0.5427674764165    0.001564151954944         0.5948150526         0.7236300453
         "BPMS.2R2.B1"       "BPMYB.5L2.B1"              224.452               28.288                    5      0.5529728837816    0.002129986671616          0.618297332         0.7471123247
        "BPMSX.4R2.B1"       "BPMYB.5L2.B1"             262.3035               28.288                    5      0.5764005778866    0.001986279892389         0.6687335743          0.797548567
        "BPMWB.4R2.B1"       "BPMYB.5L2.B1"             312.5965               28.288                    5      0.6238207467015    0.001253581610686         0.7379992877         0.8668142804
        "BPMYB.4R2.B1"       "BPMYB.5L2.B1"              336.988               28.288                    5      0.6845440694028    0.003037650651009          0.789006731         0.9178217237
         "BPMR.5R2.B1"       "BPMYB.5L2.B1"              366.522               28.288                    5      0.7453934428185    0.001472982414651         0.8231245181         0.9519395108
          "BPM.6R2.B1"       "BPMYB.5L2.B1"              439.818               28.288                    5      0.9975875465819    0.001865007551219         0.0013695863          1.130184579
        "BPM_A.7R2.B1"       "BPMYB.5L2.B1"              452.693               28.288                    5     0.01237852368692    0.002101945382327         0.0313929163          1.160207909
          "BPM.8R2.B1"       "BPMYB.5L2.B1"               494.13               28.288                    5      0.0692085445751    0.001280313599727         0.1541185733          1.282933566
          "BPM.9R2.B1"       "BPMYB.5L2.B1"              533.195               28.288                    5      0.1812466094017    0.001151928602955         0.2876548673           1.41646986
         "BPM.10R2.B1"       "BPMYB.5L2.B1"              573.658               28.288                    5      0.3597194991354    0.001443896636132         0.3771783833          1.505993376
         "BPM.11R2.B1"       "BPMYB.5L2.B1"             625.4967               28.288                    5      0.4969517979293    0.001190834213229         0.5034618403          1.632276833
         "BPM.12R2.B1"       "BPMYB.5L2.B1"             680.2203               28.288                    5      0.5586364191149    0.002673047771981         0.6254204523          1.754235445
         "BPM.13R2.B1"       "BPMYB.5L2.B1"             733.6688               28.288                    5      0.6662045713028    0.001471747474245         0.7739002923          1.902715285
         "BPM.14R2.B1"       "BPMYB.5L2.B1"             787.1173               28.288                    5      0.8763746982225    0.001216880214821         0.8854548893          2.014269882
         "BPM.15R2.B1"       "BPMYB.5L2.B1"             840.5658               28.288                    5    0.004221584765952     0.00147315304132         0.0172990883          2.146114081
         "BPM.16R2.B1"       "BPMYB.5L2.B1"             894.0143               28.288                    5     0.05355101717112    0.001655402144346         0.1245911313          2.253406124
         "BPM.17R2.B1"       "BPMYB.5L2.B1"             947.4628               28.288                    5      0.1326420913285    0.001214681255914         0.2523227043          2.381137697
         "BPM.19R2.B1"       "BPMYB.5L2.B1"              1054.36               28.288                    5      0.4860106647608     0.00145099766385         0.4958222293          2.624637222
