@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ Q1 %le 0.26998810745173746
@ MUX %le 0.0
@ Q2 %le 0.3219859684952381
@ MUY %le 0.0
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean_linx"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEX               STDPHX               PHXMDL               MUXMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"       "BPMYB.4L2.B1"               28.288               48.858                    5           0.02914704    0.001384258878048        0.02633013958        0.02747351719
        "BPMYB.4L2.B1"        "BPMS.2L2.B1"               48.858              161.394                    5          0.161665176    0.001382781133916        0.17819627923        0.05380365677
         "BPMS.2L2.B1"       "BPMSW.1L2.B1"              161.394              171.328                    5           0.02074713     0.00139563833779         0.0245685504          0.231999936
        "BPMSW.1L2.B1"       "BPMSW.1R2.B1"              171.328              214.518                    5          0.377535834    0.001789489783605         0.3542652739         0.2565684864
        "BPMSW.1R2.B1"        "BPMS.2R2.B1"              214.518              224.452                    5           0.01644086    0.001540245524625         0.0187192385         0.6108337603
         "BPMS.2R2.B1"       "BPMSX.4R2.B1"              224.452             262.3035                    5             0.037728    0.000573146557145         0.0459292523         0.6295529988
        "BPMSX.4R2.B1"       "BPMWB.4R2.B1"             262.3035             312.5965                    5           0.06948878    0.001247687915273         0.0861903659         0.6754822511
        "BPMWB.4R2.B1"       "BPMYB.4R2.B1"             312.5965              336.988                    5           0.02907712   0.0009927938428895         0.0357812889          0.761672617
        "BPMYB.4R2.B1"        "BPMR.5R2.B1"              336.988              366.522                    5           0.09537862    0.002547993167153         0.0981502985         0.7974539059
         "BPMR.5R2.B1"         "BPM.6R2.B1"              366.522              439.818                    5            0.1930432    0.003371469425195         0.1581129146         0.8956042044
          "BPM.6R2.B1"       "BPM_A.7R2.B1"              439.818              452.693                    5          0.018071222    0.001143858825891             0.017198          1.053717119
        "BPM_A.7R2.B1"         "BPM.8R2.B1"              452.693               494.13                    5          0.078735336    0.001929178972435          0.084391467          1.070915119
          "BPM.8R2.B1"         "BPM.9R2.B1"               494.13              533.195                    5          0.127296578    0.002500612269392          0.156377779          1.155306586
          "BPM.9R2.B1"        "BPM.11R2.B1"              533.195             625.4967                    5          0.305268764    0.002395701295708          0.269820443          1.311684365
         "BPM.11R2.B1"        "BPM.12R2.B1"             625.4967             680.2203                    5           0.12044946    0.001247802469919          0.143723103          1.581504808
         "BPM.12R2.B1"        "BPM.13R2.B1"             680.2203             733.6688                    5           0.09679416    0.001047106111524          0.115464273          1.725227911
         "BPM.13R2.B1"        "BPM.14R2.B1"             733.6688             787.1173                    5           0.15371496    0.001025445025602          0.130886394          1.840692184
         "BPM.14R2.B1"        "BPM.15R2.B1"             787.1173             840.5658                    5          0.129482516    0.001527134598108          0.108688843          1.971578578
         "BPM.15R2.B1"        "BPM.16R2.B1"             840.5658             894.0143                    5          0.120174429    0.001295289751208          0.140209886          2.080267421
         "BPM.16R2.B1"        "BPM.17R2.B1"             894.0143             947.4628                    5          0.101344855    0.001938997546981          0.118630799          2.220477307
         "BPM.17R2.B1"        "BPM.18R2.B1"             947.4628             1000.911                    5          0.154920664     0.00197812400544          0.130996605          2.339108106
         "BPM.18R2.B1"        "BPM.19R2.B1"             1000.911              1054.36                    5          0.129364836    0.001327851637809          0.108615497          2.470104711
         "BPM.19R2.B1"        "BPM.20R2.B1"              1054.36             1107.808                    5           0.11895534   0.0003470073114625          0.140090709          2.578720208
         "BPM.20R2.B1"        "BPM.21R2.B1"             1107.808             1161.257                    5            0.1003628    0.001154195631249          0.118714579          2.718810917
         "BPM.21R2.B1"        "BPM.22R2.B1"             1161.257             1214.705                    5           0.15527164   0.0008980704378858          0.131105269          2.837525496
         "BPM.22R2.B1"        "BPM.23R2.B1"             1214.705             1268.154                    5          0.128526734      0.0014006602818          0.112346525          2.968630765
