@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ Q1 %le 0.27998806745173926
@ MUX %le 63.279988067451775
@ Q2 %le 0.30998589849523894
@ MUY %le 60.3099858984952
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean_linx"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEX               STDPHX               PHXMDL               MUXMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"       "BPMYB.4L2.B1"               28.288               48.858                    5     0.03021928125979     0.00141727023904        0.02678783796        0.02850035689
        "BPMYB.4L2.B1"        "BPMS.2L2.B1"               48.858              161.394                    5      0.1570080433502    0.001381981711597        0.17068123895        0.05528819485
         "BPMS.2L2.B1"       "BPMSW.1L2.B1"              161.394              171.328                    5     0.01948372067889    0.001312336934902         0.0233714124         0.2259694338
        "BPMSW.1L2.B1"       "BPMSW.1R2.B1"              171.328              214.518                    5      0.3836271835842    0.001701742191566         0.3621155141         0.2493408462
        "BPMSW.1R2.B1"        "BPMS.2R2.B1"              214.518              224.452                    5     0.01600995775006    0.001507423199547          0.017953623         0.6114563603
         "BPMS.2R2.B1"       "BPMSX.4R2.B1"              224.452             262.3035                    5     0.03611164645199   0.0005404326468052         0.0434127482         0.6294099833
        "BPMSX.4R2.B1"       "BPMWB.4R2.B1"             262.3035             312.5965                    5       0.065373077352    0.001176505454932         0.0814112434         0.6728227315
        "BPMWB.4R2.B1"       "BPMYB.4R2.B1"             312.5965              336.988                    5     0.02746938461465   0.0009377514832133         0.0347680391         0.7542339749
        "BPMYB.4R2.B1"        "BPMR.5R2.B1"              336.988              366.522                    5     0.09346317067911    0.002566672509328         0.1003022917          0.789002014
         "BPMR.5R2.B1"         "BPM.6R2.B1"              366.522              439.818                    5      0.2025878705877    0.003434135796809         0.1658967493         0.8893043057
          "BPM.6R2.B1"       "BPM_A.7R2.B1"              439.818              452.693                    5      0.0184052733713    0.001155527237225          0.017199859          1.055201055
        "BPM_A.7R2.B1"         "BPM.8R2.B1"              452.693               494.13                    5     0.07728228814302    0.001943278850265          0.081433297          1.072400914
          "BPM.8R2.B1"         "BPM.9R2.B1"               494.13              533.195                    5      0.1201994116156    0.002390447333106          0.149253184          1.153834211
          "BPM.9R2.B1"        "BPM.11R2.B1"              533.195             625.4967                    5      0.3138997440624    0.002301052545578          0.279788225          1.303087395
         "BPM.11R2.B1"        "BPM.12R2.B1"             625.4967             680.2203                    5      0.1160085828783    0.001217850614462          0.136694944           1.58287562
         "BPM.12R2.B1"        "BPM.13R2.B1"             680.2203             733.6688                    5     0.09175661342318    0.001009023754314          0.112726702          1.719570564
         "BPM.13R2.B1"        "BPM.14R2.B1"             733.6688             787.1173                    5      0.1575119990333    0.001010655900672          0.137750493          1.832297266
         "BPM.14R2.B1"        "BPM.15R2.B1"             787.1173             840.5658                    5      0.1351630290742    0.001536213567153          0.111608371          1.970047759
         "BPM.15R2.B1"        "BPM.16R2.B1"             840.5658             894.0143                    5      0.1157243090216    0.001312902402013          0.133434112           2.08165613
         "BPM.16R2.B1"        "BPM.17R2.B1"             894.0143             947.4628                    5     0.09618298860795    0.001879605577627           0.11559457          2.215090242
         "BPM.17R2.B1"        "BPM.18R2.B1"             947.4628             1000.911                    5      0.1592395644628    0.001944169130791          0.137800137          2.330684812
         "BPM.18R2.B1"        "BPM.19R2.B1"             1000.911              1054.36                    5      0.1346577326906    0.001343591363574          0.111644701          2.468484949
         "BPM.19R2.B1"        "BPM.20R2.B1"              1054.36             1107.808                    5      0.1142238802266   0.0003166751111361          0.133390479           2.58012965
         "BPM.20R2.B1"        "BPM.21R2.B1"             1107.808             1161.257                    5      0.0953857559016    0.001085797873459          0.115555703          2.713520129
         "BPM.21R2.B1"        "BPM.22R2.B1"             1161.257             1214.705                    5       0.159946923519   0.0009445484272045            0.1378455          2.829075832
