@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ Q1 %le 0.27998806745173926
@ MUX %le 63.27998806745176
@ Q2 %le 0.30998589849523894
@ MUY %le 60.30998589849529
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean_linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean_linx"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEX               STDPHX               PHXMDL               MUXMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"       "BPMYB.4L2.B1"               28.288               48.858                    5        0.02960473838    0.001384258878048        0.02678783796        0.02850035689
        "BPMYB.4L2.B1"        "BPMS.2L2.B1"               48.858              161.394                    5        0.15415013572    0.001382781133916        0.17068123895        0.05528819485
         "BPMS.2L2.B1"       "BPMSW.1L2.B1"              161.394              171.328                    5          0.019549992     0.00139563833779         0.0233714124         0.2259694338
        "BPMSW.1L2.B1"       "BPMSW.1R2.B1"              171.328              214.518                    5         0.3853860742    0.001789489783605         0.3621155141         0.2493408462
        "BPMSW.1R2.B1"        "BPMS.2R2.B1"              214.518              224.452                    5         0.0156752445    0.001540245524625          0.017953623         0.6114563603
         "BPMS.2R2.B1"       "BPMSX.4R2.B1"              224.452             262.3035                    5         0.0352114959    0.000573146557145         0.0434127482         0.6294099833
        "BPMSX.4R2.B1"       "BPMWB.4R2.B1"             262.3035             312.5965                    5         0.0647096575    0.001247687915273         0.0814112434         0.6728227315
        "BPMWB.4R2.B1"       "BPMYB.4R2.B1"             312.5965              336.988                    5         0.0280638702   0.0009927938428895         0.0347680391         0.7542339749
        "BPMYB.4R2.B1"        "BPMR.5R2.B1"              336.988              366.522                    5         0.0975306132    0.002547993167153         0.1003022917          0.789002014
         "BPMR.5R2.B1"         "BPM.6R2.B1"              366.522              439.818                    5         0.2008270347    0.003371469425195         0.1658967493         0.8893043057
          "BPM.6R2.B1"       "BPM_A.7R2.B1"              439.818              452.693                    5          0.018073081    0.001143858825891          0.017199859          1.055201055
        "BPM_A.7R2.B1"         "BPM.8R2.B1"              452.693          494.1300106                    5          0.075777166    0.001929178972435          0.081433297          1.072400914
          "BPM.8R2.B1"         "BPM.9R2.B1"               494.13          533.1950212                    5          0.120171983    0.002500612269392          0.149253184          1.153834211
          "BPM.9R2.B1"        "BPM.11R2.B1"              533.195          625.4967424                    5          0.315236546    0.002395701295708          0.279788225          1.303087395
         "BPM.11R2.B1"        "BPM.12R2.B1"             625.4967          680.2202583                    5          0.113421301    0.001247802469919          0.136694944           1.58287562
         "BPM.12R2.B1"        "BPM.13R2.B1"             680.2203          733.6687742                    5          0.094056589    0.001047106111524          0.112726702          1.719570564
         "BPM.13R2.B1"        "BPM.14R2.B1"             733.6688          787.1172901                    5          0.160579059    0.001025445025602          0.137750493          1.832297266
         "BPM.14R2.B1"        "BPM.15R2.B1"             787.1173           840.565806                    5          0.132402044    0.001527134598108          0.111608371          1.970047759
         "BPM.15R2.B1"        "BPM.16R2.B1"             840.5658          894.0143219                    5          0.113398655    0.001295289751208          0.133434112           2.08165613
         "BPM.16R2.B1"        "BPM.17R2.B1"             894.0143          947.4628378                    5          0.098308626    0.001938997546981           0.11559457          2.215090242
         "BPM.17R2.B1"        "BPM.18R2.B1"             947.4628          1000.911354                    5          0.161724196     0.00197812400544          0.137800137          2.330684812
         "BPM.18R2.B1"        "BPM.19R2.B1"             1000.911           1054.35987                    5           0.13239404    0.001327851637809          0.111644701          2.468484949
         "BPM.19R2.B1"        "BPM.20R2.B1"              1054.36          1107.808386                    5           0.11225511   0.0003470073114625          0.133390479           2.58012965
         "BPM.20R2.B1"        "BPM.21R2.B1"             1107.808          1161.256901                    5          0.097203924    0.001154195631249          0.115555703          2.713520129
         "BPM.21R2.B1"        "BPM.22R2.B1"             1161.257          1214.705417                    5          0.162011871   0.0008980704378858            0.1378455          2.829075832
         "BPM.22R2.B1"        "BPM.23R2.B1"             1214.705          1268.153933                    5          0.131614751      0.0014006602818          0.115434542          2.966921332
         "BPM.23R2.B1"        "BPM.24R2.B1"             1268.154          1321.602449                    5          0.111864481    0.001473233038227          0.137499969          3.082355874
         "BPM.24R2.B1"        "BPM.25R2.B1"             1321.602          1375.050965                    5          0.099835688   0.0008947247799635            0.1147846          3.219855843
         "BPM.25R2.B1"        "BPM.26R2.B1"             1375.051          1428.499481                    5          0.162800152   0.0009817014279564          0.137870803          3.334640443
         "BPM.26R2.B1"        "BPM.27R2.B1"             1428.499          1481.947997                    5          0.131859343   0.0007464507966599          0.115423204          3.472511246
         "BPM.27R2.B1"        "BPM.28R2.B1"             1481.948          1535.396513                    5          0.109163211    0.001064838675298          0.137474311           3.58793445
         "BPM.28R2.B1"        "BPM.29R2.B1"             1535.397          1588.845029                    5          0.101601275    0.000792849491489          0.114796615          3.725408761
         "BPM.29R2.B1"        "BPM.31R2.B1"             1588.845           1695.74206                    5          0.291927682    0.001647340477952          0.253306393          3.840205376
         "BPM.31R2.B1"        "BPM.32R2.B1"             1695.742          1749.190576                    5          0.110868387    0.001250056066317          0.137449661          4.093511769
         "BPM.32R2.B1"        "BPM.33R2.B1"             1749.191          1802.639092                    5          0.099076516   0.0006233612691575          0.114810145           4.23096143
         "BPM.33R2.B1"        "BPM.34R2.B1"             1802.639          1856.087608                    5          0.168381714   0.0004181634251597          0.137920303          4.345771575
         "BPM.34R2.B1"        "BPM.33L3.B1"             1856.088          1909.536124                    5          0.126842537    0.001948011568271          0.115395926          4.483691878
         "BPM.33L3.B1"        "BPM.32L3.B1"             1909.536           1962.98464                    5          0.109759114     0.00209469593665          0.137426138          4.599087804
