@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ Q1 %le 0.26998810745173746
@ MUX %le 0.0
@ Q2 %le 0.3219859684952381
@ MUY %le 0.0
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean_liny"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEY               STDPHY               PHYMDL               MUYMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"       "BPMYB.4L2.B1"               28.288               48.858                    5          0.024129344    0.001445384928136         0.0508104393         0.1270655138
        "BPMYB.4L2.B1"       "BPMWI.4L2.B1"               48.858              73.3255                    5          0.014706632    0.001043803112936         0.0324180035         0.1778759531
        "BPMWI.4L2.B1"       "BPMSX.4L2.B1"              73.3255             123.4225                    5          0.036747624     0.00235521889155         0.0780673521         0.2102939566
        "BPMSX.4L2.B1"        "BPMS.2L2.B1"             123.4225              161.394                    5           0.02479914    0.001217677714185         0.0444060863         0.2883613087
         "BPMS.2L2.B1"       "BPMSW.1L2.B1"              161.394              171.328                    5           0.01406008    0.002032298838653         0.0187965109          0.332767395
        "BPMSW.1L2.B1"       "BPMSW.1R2.B1"              171.328              214.518                    5          0.425259284    0.001582062106836         0.3632047653         0.3515639059
        "BPMSW.1R2.B1"        "BPMS.2R2.B1"              214.518              224.452                    5           0.00960762    0.001154796694086         0.0220633101         0.7147686712
         "BPMS.2R2.B1"       "BPMSX.4R2.B1"              224.452             262.3035                    5          0.022332698    0.001762607340552         0.0488446066         0.7368319813
        "BPMSX.4R2.B1"       "BPMWB.4R2.B1"             262.3035             312.5965                    5          0.046721138   0.0009868247318759         0.0711683355         0.7856765879
        "BPMWB.4R2.B1"       "BPMYB.4R2.B1"             312.5965              336.988                    5            0.0631184    0.002471270315583         0.0548612493         0.8568449234
        "BPMYB.4R2.B1"        "BPMR.5R2.B1"              336.988              366.522                    5          0.065720782    0.001842388463919          0.037006473         0.9117061727
         "BPMR.5R2.B1"         "BPM.6R2.B1"              366.522              439.818                    5          0.250574382    0.001992826958351         0.1796307713         0.9487126457
          "BPM.6R2.B1"       "BPM_A.7R2.B1"              439.818              452.693                    5          0.013650708    0.001122976165335           0.02782475          1.128343417
        "BPM_A.7R2.B1"         "BPM.8R2.B1"              452.693               494.13                    5          0.053308668    0.001701314864328          0.115113927          1.156168167
          "BPM.8R2.B1"         "BPM.9R2.B1"               494.13              533.195                    5           0.11323094   0.0007010403353106          0.138957054          1.271282094
          "BPM.9R2.B1"        "BPM.10R2.B1"              533.195              573.658                    5            0.1893543    0.001340053885649          0.096030673          1.410239148
         "BPM.10R2.B1"        "BPM.11R2.B1"              573.658             625.4967                    5         0.1298686878    0.001272331210533          0.124023993          1.506269821
         "BPM.11R2.B1"        "BPM.12R2.B1"             625.4967             680.2203                    5         0.0574840522    0.001691611420981          0.113303886          1.630293814
         "BPM.12R2.B1"        "BPM.13R2.B1"             680.2203             733.6688                    5           0.10738286    0.002092012855321          0.151738055            1.7435977
         "BPM.13R2.B1"        "BPM.14R2.B1"             733.6688             787.1173                    5          0.221761096    0.001099293161776          0.119536208          1.895335755
         "BPM.14R2.B1"        "BPM.15R2.B1"             787.1173             840.5658                    5           0.12007494   0.0009015608786487          0.128272673          2.014871963
         "BPM.15R2.B1"        "BPM.16R2.B1"             840.5658             894.0143                    5          0.045960918   0.0004821200814459          0.099663381          2.143144636
         "BPM.16R2.B1"        "BPM.17R2.B1"             894.0143             947.4628                    5          0.077452946    0.001114720237277          0.129298927          2.242808017
         "BPM.17R2.B1"        "BPM.19R2.B1"             947.4628              1054.36                    5         0.3598050982   0.0005241918120244          0.251054422          2.372106944
         "BPM.19R2.B1"        "BPM.20R2.B1"              1054.36             1107.808                    5         0.0510688318    0.000498676734954          0.099871323          2.623161366
