@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ Q1 %le 0.27998806745173926
@ MUX %le 63.279988067451775
@ Q2 %le 0.30998589849523894
@ MUY %le 60.3099858984952
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean_liny"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEY               STDPHY               PHYMDL               MUYMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"       "BPMYB.4L2.B1"               28.288               48.858                    5      0.0260825718829    0.001557570817021         0.0549556673         0.1288149927
        "BPMYB.4L2.B1"       "BPMWI.4L2.B1"               48.858              73.3255                    5     0.01575649437068    0.001108573621277         0.0350563516           0.18377066
        "BPMWI.4L2.B1"       "BPMSX.4L2.B1"              73.3255             123.4225                    5     0.03865199748347    0.002505341348695          0.081423506         0.2188270116
        "BPMSX.4L2.B1"        "BPMS.2L2.B1"             123.4225              161.394                    5     0.02534784385186    0.001230173759037         0.0436388114         0.3002505176
         "BPMS.2L2.B1"       "BPMSW.1L2.B1"              161.394              171.328                    5     0.01408643725218    0.002026627105226         0.0179340634          0.343889329
        "BPMSW.1L2.B1"       "BPMSW.1R2.B1"              171.328              214.518                    5      0.4228421315754    0.001572374307269         0.3618066529         0.3618233924
        "BPMSW.1R2.B1"        "BPMS.2R2.B1"              214.518              224.452                    5     0.01020540736516    0.001217382306414         0.0234822794         0.7236300453
         "BPMS.2R2.B1"       "BPMSX.4R2.B1"              224.452             262.3035                    5     0.02342769410497    0.001849820959041         0.0504362423         0.7471123247
        "BPMSX.4R2.B1"       "BPMWB.4R2.B1"             262.3035             312.5965                    5     0.04742016881489    0.001062922113681         0.0692657134          0.797548567
        "BPMWB.4R2.B1"       "BPMYB.4R2.B1"             312.5965              336.988                    5     0.06072332270132    0.002345470353877         0.0510074433         0.8668142804
        "BPMYB.4R2.B1"        "BPMR.5R2.B1"              336.988              366.522                    5     0.06084937341569    0.001728206651678         0.0341177871         0.9178217237
         "BPMR.5R2.B1"         "BPM.6R2.B1"              366.522              439.818                    5      0.2521941037634     0.00218674681192         0.1782450682         0.9519395108
          "BPM.6R2.B1"       "BPM_A.7R2.B1"              439.818              452.693                    5     0.01479097710502    0.001218736834854           0.03002333          1.130184579
        "BPM_A.7R2.B1"         "BPM.8R2.B1"              452.693               494.13                    5     0.05683002088818    0.001846342842493          0.122725657          1.160207909
          "BPM.8R2.B1"         "BPM.9R2.B1"               494.13              533.195                    5      0.1120380648266   0.0006454887707537          0.133536294          1.282933566
          "BPM.9R2.B1"        "BPM.10R2.B1"              533.195              573.658                    5      0.1784728897337    0.001404196338177          0.089523516           1.41646986
         "BPM.10R2.B1"        "BPM.11R2.B1"              573.658             625.4967                    5       0.137232298794    0.001212017273324          0.126283457          1.505993376
         "BPM.11R2.B1"        "BPM.12R2.B1"             625.4967             680.2203                    5     0.06168462118559    0.001758334629389          0.121958612          1.632276833
         "BPM.12R2.B1"        "BPM.13R2.B1"             680.2203             733.6688                    5      0.1075681521878    0.002248100650557           0.14847984          1.754235445
         "BPM.13R2.B1"        "BPM.14R2.B1"             733.6688             787.1173                    5      0.2101701269198    0.001057654413235          0.111554597          1.902715285
         "BPM.14R2.B1"        "BPM.15R2.B1"             787.1173             840.5658                    5      0.1278468865434   0.0009880155789846          0.131844199          2.014269882
         "BPM.15R2.B1"        "BPM.16R2.B1"             840.5658             894.0143                    5     0.04932943240517    0.000506086703734          0.107292043          2.146114081
         "BPM.16R2.B1"        "BPM.17R2.B1"             894.0143             947.4628                    5     0.07909107415737    0.001185598083315          0.127731573          2.253406124
         "BPM.17R2.B1"        "BPM.19R2.B1"             947.4628              1054.36                    5      0.3533685734323   0.0006192874456028          0.243499525          2.381137697
         "BPM.19R2.B1"        "BPM.20R2.B1"              1054.36             1107.808                    5     0.05513376728867   0.0005411279261058           0.10782995          2.624637222
         "BPM.20R2.B1"        "BPM.21R2.B1"             1107.808             1161.257                    5      0.0671811566097   0.0005051827298759          0.127246757          2.732467172
         "BPM.21R2.B1"        "BPM.22R2.B1"             1161.257             1214.705                    5      0.1414567436557    0.001799724075597          0.110430349          2.859713929
         "BPM.22R2.B1"        "BPM.23R2.B1"             1214.705             1268.154                    5      0.2139283656032    0.001821417207127          0.131943748          2.970144278
         "BPM.23R2.B1"        "BPM.24R2.B1"             1268.154             1321.602                    5     0.06859168308563   0.0005364215509573          0.111322179          3.102088026
         "BPM.24R2.B1"        "BPM.25R2.B1"             1321.602             1375.051                    5     0.06623733519901   0.0007062607362842          0.132267121          3.213410205
         "BPM.25R2.B1"        "BPM.26R2.B1"             1375.051             1428.499                    5      0.1256273096655    0.002256018088561          0.110455208          3.345677326
         "BPM.26R2.B1"        "BPM.27R2.B1"             1428.499             1481.948                    5      0.2279307223105    0.001714497055059          0.131855835          3.456132534
         "BPM.27R2.B1"        "BPM.28R2.B1"             1481.948             1535.397                    5     0.07328981096013   0.0009704813194828          0.111290359          3.587988369
         "BPM.28R2.B1"        "BPM.29R2.B1"             1535.397             1588.845                    5     0.06662283164595   0.0007367846782962          0.132352226          3.699278728
         "BPM.29R2.B1"        "BPM.30R2.B1"             1588.845             1642.294                    5      0.1084448118969    0.001405091742162          0.110493118          3.831630954
         "BPM.30R2.B1"        "BPM.31R2.B1"             1642.294             1695.742                    5      0.2357791510091    0.001307771465779          0.131775076          3.942124072
         "BPM.31R2.B1"        "BPM.32R2.B1"             1695.742             1749.191                    5     0.08158102114188    0.001002477145901          0.111245731          4.073899148
         "BPM.32R2.B1"        "BPM.33R2.B1"             1749.191             1802.639                    5     0.06474803337306   0.0008848234361202          0.132428997          4.185144879
         "BPM.33R2.B1"        "BPM.34R2.B1"             1802.639             1856.088                    5     0.09300256587385   0.0008280914127692          0.110543092          4.317573876
         "BPM.34R2.B1"        "BPM.33L3.B1"             1856.088             1909.536                    5        0.24291880062   0.0007989217522809          0.131703965          4.428116968
         "BPM.33L3.B1"        "BPM.32L3.B1"             1909.536             1962.985                    5     0.09228964767207    0.001005078949191          0.111189714          4.559820933
         "BPM.32L3.B1"        "BPM.31L3.B1"             1962.985             2016.433                    5     0.06544113173316    0.001278166819649          0.132495012          4.671010647
         "BPM.31L3.B1"        "BPM.30L3.B1"             2016.433             2069.882                    5     0.08453019006278    0.001060262494187          0.110603599          4.803505659
         "BPM.30L3.B1"        "BPM.29L3.B1"             2069.882              2123.33                    5      0.2380491688994    0.001179432356261          0.131644693          4.914109258
         "BPM.29L3.B1"        "BPM.28L3.B1"              2123.33             2176.779                    5      0.1046423854256    0.001030846034305          0.111124079          5.045753951
         "BPM.28L3.B1"        "BPM.27L3.B1"             2176.779             2230.227                    5     0.06646400593046    0.001134852445777          0.132548186           5.15687803
         "BPM.27L3.B1"        "BPM.26L3.B1"             2230.227             2283.676                    5     0.07851700012296   0.0004661530719383          0.110672778          5.289426216
         "BPM.26L3.B1"        "BPM.25L3.B1"             2283.676             2337.124                    5      0.2307424846946     0.00058329981211          0.131599084          5.400098994
         "BPM.25L3.B1"        "BPM.24L3.B1"             2337.124             2390.573                    5       0.117089778331   0.0006204513698437          0.111050896          5.531698078
         "BPM.24L3.B1"        "BPM.23L3.B1"             2390.573             2444.021                    5     0.06788183256953   0.0007929215360541          0.132586839          5.642748974
         "BPM.23L3.B1"        "BPM.22L3.B1"             2444.021              2497.47                    5     0.07048418531278    0.001404524128764          0.110748493          5.775335813
         "BPM.22L3.B1"        "BPM.21L3.B1"              2497.47             2550.918                    5      0.2220158633904    0.001591757705683          0.131568537          5.886084306
         "BPM.21L3.B1"        "BPM.20L3.B1"             2550.918             2604.367                    5        0.12750007677   0.0007837602535009           0.10731038          6.017652843
         "BPM.20L3.B1"        "BPM.19L3.B1"             2604.367             2657.815                    5     0.06649565721997   0.0005235742913919          0.128003117          6.124963223
         "BPM.19L3.B1"        "BPM.18L3.B1"             2657.815             2711.264                    5     0.06183281322314    0.000627878789661          0.111075656           6.25296634
         "BPM.18L3.B1"        "BPM.17L3.B1"             2711.264             2764.712                    5       0.189620293577    0.001056959323519          0.132167856          6.364041996
         "BPM.17L3.B1"        "BPM.16L3.B1"             2764.712             2818.161                    5      0.1604440873943    0.001568210486081          0.107785618          6.496209852
         "BPM.16L3.B1"        "BPM.15L3.B1"             2818.161             2871.609                    5     0.07449077503752   0.0009057901242487          0.127506857           6.60399547
         "BPM.15L3.B1"        "BPM.14L3.B1"             2871.609             2925.058                    5     0.05302374835899   0.0008434820001451           0.11051493          6.731502327
         "BPM.14L3.B1"        "BPM.13L3.B1"             2925.058             2978.506                    5      0.1474313722243    0.001015606035543          0.132604492          6.842017257
         "BPM.13L3.B1"        "BPM.12L3.B1"             2978.506             3031.955                    5      0.2073798615544    0.001370887752489          0.114420198          6.974621749
         "BPM.12L3.B1"        "BPM.11L3.B1"             3031.955             3085.403                    5     0.08723356682391   0.0007496036946831          0.132399952          7.089041947
         "BPM.11L3.B1"        "BPM.10L3.B1"             3085.403             3138.184                    5     0.05220623468264   0.0007819358612938          0.107838413          7.221441899
         "BPM.10L3.B1"         "BPM.9L3.B1"             3138.184             3177.249                    5      0.1073155608126   0.0008574731098238          0.117286801          7.329280312
          "BPM.9L3.B1"         "BPM.8L3.B1"             3177.249             3217.712                    5      0.2764627166821    0.001439419206524           0.16654356          7.446567113
          "BPM.8L3.B1"         "BPM.7L3.B1"             3217.712             3256.776                    5     0.09406949692123    0.001032479286094          0.173523612          7.613110673
          "BPM.7L3.B1"         "BPM.6L3.B1"             3256.776             3329.415                    5     0.07946208784855    0.001150794228294          0.119119266          7.786634285
          "BPM.6L3.B1"      "BPMWG.A5L3.B1"             3329.415              3371.12                    5     0.06011253924923    0.001717389451591          0.046646283          7.905753551
       "BPMWG.A5L3.B1"        "BPMW.5L3.B1"              3371.12              3400.09                    5     0.02732168244309    0.001533732538061          0.015565171          7.952399834
         "BPMW.5L3.B1"       "BPMWE.4L3.B1"              3400.09             3475.218                    5      0.1476322434115     0.00228852920426          0.073364239          7.967965005
        "BPMWE.4L3.B1"        "BPMW.4R3.B1"             3475.218             3547.728                    5     0.09794933560321    0.002771649647057          0.080910308          8.041329244
         "BPMW.4R3.B1"       "BPMWE.4R3.B1"             3547.728             3575.273                    5    0.008191326320347   0.0004347615888996          0.011320128          8.122239552
        "BPMWE.4R3.B1"        "BPMW.5R3.B1"             3575.273             3650.401                    5     0.04228889014836   0.0004524663492555          0.073587542           8.13355968
         "BPMW.5R3.B1"      "BPMWJ.A5R3.B1"             3650.401             3679.119                    5     0.02811552431987    0.001218312105894          0.063447431          8.207147222
       "BPMWJ.A5R3.B1"       "BPMWC.6R3.B1"             3679.119             3718.937                    5     0.02158694424196    0.001386107322909          0.044934541          8.270594653
        "BPMWC.6R3.B1"        "BPMR.6R3.B1"             3718.937             3731.015                    5    0.003904482652007   0.0007503203923463          0.007664021          8.315529194
         "BPMR.6R3.B1"       "BPM_A.7R3.B1"             3731.015             3786.839                    5      0.0479824375116   0.0004379324648163          0.071343272          8.323193215
        "BPM_A.7R3.B1"         "BPM.8R3.B1"             3786.839             3825.903                    5     0.07586395819901   0.0005111817804708          0.061847138          8.394536487
          "BPM.8R3.B1"         "BPM.9R3.B1"             3825.903             3864.968                    5      0.1067404399466    0.001019919387566          0.052681544          8.456383625
          "BPM.9R3.B1"        "BPM.10R3.B1"             3864.968             3905.431                    5      0.1129934073781    0.001188403615173          0.063243284          8.509065169
         "BPM.10R3.B1"        "BPM.11R3.B1"             3905.431             3958.212                    5     0.08506333242416   0.0009536691616276          0.101955635          8.572308453
         "BPM.11R3.B1"        "BPM.12R3.B1"             3958.212             4012.935                    5      0.0574198164559   0.0009614436184664          0.122237937          8.674264088
         "BPM.12R3.B1"        "BPM.13R3.B1"             4012.935             4066.384                    5     0.07698850057746     0.00109687977481          0.114723424          8.796502025
         "BPM.13R3.B1"        "BPM.14R3.B1"             4066.384             4119.833                    5      0.2352146446633    0.001003401488554          0.130484221          8.911225449
         "BPM.14R3.B1"        "BPM.15R3.B1"             4119.833             4173.281                    5       0.113701969663   0.0004875174116582          0.106793235           9.04170967
         "BPM.15R3.B1"        "BPM.16R3.B1"             4173.281              4226.73                    5     0.06148845879221   0.0005191790603712          0.128974401          9.148502905
         "BPM.16R3.B1"        "BPM.17R3.B1"              4226.73             4280.178                    5     0.06213595092703   0.0007358913694108          0.111745198          9.277477306
         "BPM.17R3.B1"        "BPM.18R3.B1"             4280.178             4333.627                    5      0.2057389421978    0.001112964067531          0.131258505          9.389222504
         "BPM.18R3.B1"        "BPM.19R3.B1"             4333.627             4387.075                    5      0.1499055089843     0.00149786206102           0.10705119          9.520481009
         "BPM.19R3.B1"        "BPM.20R3.B1"             4387.075             4440.524                    5      0.0700720781559   0.0008652875164875          0.128258468          9.627532199
         "BPM.20R3.B1"        "BPM.21R3.B1"             4440.524             4493.972                    5     0.05423569468593   0.0007684766705327          0.111379835          9.755790667
         "BPM.21R3.B1"        "BPM.22R3.B1"             4493.972             4547.421                    5      0.1573689424784   0.0008216068934347          0.131944229          9.867170502
         "BPM.22R3.B1"        "BPM.23R3.B1"             4547.421             4600.869                    5      0.1993566867584    0.002148656349781          0.111129089          9.999114731
         "BPM.23R3.B1"        "BPM.24R3.B1"             4600.869             4654.318                    5     0.08347533802643      0.0016680535021           0.13224889          10.11024382
         "BPM.24R3.B1"        "BPM.25R3.B1"             4654.318             4707.766                    5     0.05186755690191   0.0005390351194759           0.11064593          10.24249271
         "BPM.25R3.B1"        "BPM.26R3.B1"             4707.766             4761.215                    5      0.1400856977654   0.0006251498419282           0.13189438          10.35313864
         "BPM.26R3.B1"        "BPM.27R3.B1"             4761.215             4814.663                    5      0.2089682051085    0.001564601592438           0.11110175          10.48503302
         "BPM.27R3.B1"        "BPM.28R3.B1"             4814.663             4868.112                    5     0.09308834014875    0.001271598088453           0.13229532          10.59613477
         "BPM.28R3.B1"        "BPM.29R3.B1"             4868.112              4921.56                    5     0.05219340433857   0.0006204373551378           0.11067664          10.72843009
         "BPM.29R3.B1"        "BPM.30R3.B1"              4921.56             4975.009                    5      0.1213578997712    0.000649296465234           0.13185129          10.83910673
         "BPM.30R3.B1"        "BPM.31R3.B1"             4975.009             5028.457                    5      0.2144775704765    0.001679694826795            0.1110675          10.97095802
         "BPM.31R3.B1"        "BPM.32R3.B1"             5028.457             5081.906                    5      0.1051644917361    0.001858236330293           0.13233516          11.08202552
         "BPM.32R3.B1"        "BPM.33R3.B1"             5081.906             5135.354                    5     0.05121048374217   0.0006240010904545           0.11071372          11.21436068
         "BPM.33R3.B1"        "BPM.34R3.B1"             5135.354             5188.803                    5      0.1060289448567   0.0008496606349895           0.13181545           11.3250744
         "BPM.34R3.B1"        "BPM.33L4.B1"             5188.803             5242.251                    5       0.217558016658    0.001544757468078           0.11102745          11.45688985
         "BPM.33L4.B1"        "BPM.32L4.B1"             5242.251               5295.7                    5      0.1183917039583    0.001584088041745           0.13236715           11.5679173
         "BPM.32L4.B1"        "BPM.31L4.B1"               5295.7             5349.148                    5     0.05036383072884    0.001091373667201           0.11075602          11.70028445
         "BPM.31L4.B1"        "BPM.30L4.B1"             5349.148             5402.597                    5     0.09345464891733   0.0007843450111264           0.13178796          11.81104047
         "BPM.30L4.B1"        "BPM.29L4.B1"             5402.597             5456.045                    5      0.2084733212009    0.001482454042288           0.11098285          11.94282843
         "BPM.29L4.B1"        "BPM.28L4.B1"             5456.045             5509.494                    5      0.1395769893405    0.001572869496068           0.13239028          12.05381128
         "BPM.28L4.B1"        "BPM.27L4.B1"             5509.494             5562.942                    5     0.05254154853394    0.001089019398324           0.11080225          12.18620156
         "BPM.27L4.B1"        "BPM.26L4.B1"             5562.942             5616.391                    5     0.08337710969451   0.0009378902370028           0.13176966          12.29700381
         "BPM.26L4.B1"        "BPM.25L4.B1"             5616.391             5669.839                    5      0.1964967802886   0.0006563611308475            0.1109351          12.42877347
         "BPM.25L4.B1"        "BPM.24L4.B1"             5669.839             5723.288                    5      0.1603530770163   0.0006959507961599           0.13240383          12.53970857
