@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ Q1 %le 0.27998806745173926
@ MUX %le 63.27998806745176
@ Q2 %le 0.30998589849523894
@ MUY %le 60.30998589849529
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean_liny"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEY               STDPHY               PHYMDL               MUYMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"       "BPMYB.4L2.B1"               28.288               48.858                    5          0.028274572    0.001445384928136         0.0549556673         0.1288149927
        "BPMYB.4L2.B1"       "BPMWI.4L2.B1"               48.858              73.3255                    5         0.0173449801    0.001043803112936         0.0350563516           0.18377066
        "BPMWI.4L2.B1"       "BPMSX.4L2.B1"              73.3255             123.4225                    5         0.0401037779     0.00235521889155          0.081423506         0.2188270116
        "BPMSX.4L2.B1"        "BPMS.2L2.B1"             123.4225              161.394                    5         0.0240318651    0.001217677714185         0.0436388114         0.3002505176
         "BPMS.2L2.B1"       "BPMSW.1L2.B1"              161.394              171.328                    5         0.0131976325    0.002032298838653         0.0179340634          0.343889329
        "BPMSW.1L2.B1"       "BPMSW.1R2.B1"              171.328              214.518                    5         0.4238611716    0.001582062106836         0.3618066529         0.3618233924
        "BPMSW.1R2.B1"        "BPMS.2R2.B1"              214.518              224.452                    5         0.0110265893    0.001154796694086         0.0234822794         0.7236300453
         "BPMS.2R2.B1"       "BPMSX.4R2.B1"              224.452             262.3035                    5         0.0239243337    0.001762607340552         0.0504362423         0.7471123247
        "BPMSX.4R2.B1"       "BPMWB.4R2.B1"             262.3035             312.5965                    5         0.0448185159   0.0009868247318759         0.0692657134          0.797548567
        "BPMWB.4R2.B1"       "BPMYB.4R2.B1"             312.5965              336.988                    5          0.059264594    0.002471270315583         0.0510074433         0.8668142804
        "BPMYB.4R2.B1"        "BPMR.5R2.B1"              336.988              366.522                    5         0.0628320961    0.001842388463919         0.0341177871         0.9178217237
         "BPMR.5R2.B1"         "BPM.6R2.B1"              366.522              439.818                    5         0.2491886789    0.001992826958351         0.1782450682         0.9519395108
          "BPM.6R2.B1"       "BPM_A.7R2.B1"              439.818              452.693                    5          0.015849288    0.001122976165335           0.03002333          1.130184579
        "BPM_A.7R2.B1"         "BPM.8R2.B1"              452.693          494.1300106                    5          0.060920398    0.001701314864328          0.122725657          1.160207909
          "BPM.8R2.B1"         "BPM.9R2.B1"               494.13          533.1950212                    5           0.10781018   0.0007010403353106          0.133536294          1.282933566
          "BPM.9R2.B1"        "BPM.10R2.B1"              533.195          573.6580318                    5          0.182847143    0.001340053885649          0.089523516           1.41646986
         "BPM.10R2.B1"        "BPM.11R2.B1"              573.658          625.4967424                    5         0.1321281518    0.001272331210533          0.126283457          1.505993376
         "BPM.11R2.B1"        "BPM.12R2.B1"             625.4967          680.2202583                    5         0.0661387782    0.001691611420981          0.121958612          1.632276833
         "BPM.12R2.B1"        "BPM.13R2.B1"             680.2203          733.6687742                    5          0.104124645    0.002092012855321           0.14847984          1.754235445
         "BPM.13R2.B1"        "BPM.14R2.B1"             733.6688          787.1172901                    5          0.213779485    0.001099293161776          0.111554597          1.902715285
         "BPM.14R2.B1"        "BPM.15R2.B1"             787.1173           840.565806                    5          0.123646466   0.0009015608786487          0.131844199          2.014269882
         "BPM.15R2.B1"        "BPM.16R2.B1"             840.5658          894.0143219                    5           0.05358958   0.0004821200814459          0.107292043          2.146114081
         "BPM.16R2.B1"        "BPM.17R2.B1"             894.0143          947.4628378                    5          0.075885592    0.001114720237277          0.127731573          2.253406124
         "BPM.17R2.B1"        "BPM.19R2.B1"             947.4628           1054.35987                    5         0.3522502012   0.0005241918120244          0.243499525          2.381137697
         "BPM.19R2.B1"        "BPM.20R2.B1"              1054.36          1107.808386                    5         0.0590274588    0.000498676734954           0.10782995          2.624637222
         "BPM.20R2.B1"        "BPM.21R2.B1"             1107.808          1161.256901                    5          0.065611333   0.0005537032300236          0.127246757          2.732467172
         "BPM.21R2.B1"        "BPM.22R2.B1"             1161.257          1214.705417                    5          0.140563214    0.001878091260513          0.110430349          2.859713929
         "BPM.22R2.B1"        "BPM.23R2.B1"             1214.705          1268.153933                    5          0.212946648    0.001895672979999          0.131943748          2.970144278
         "BPM.23R2.B1"        "BPM.24R2.B1"             1268.154          1321.602449                    5          0.071330983    0.000498035554128          0.111322179          3.102088026
         "BPM.24R2.B1"        "BPM.25R2.B1"             1321.602          1375.050965                    5          0.066159225   0.0006749458896828          0.132267121          3.213410205
         "BPM.25R2.B1"        "BPM.26R2.B1"             1375.051          1428.499481                    5          0.122824991    0.002510611258143          0.110455208          3.345677326
