@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ f2h_factor %le 0.4643631275422452
@ p_f2h_factor %le 586.9750589350991
@ FILES %s ""
*                 NAME                    S               AMP_20            AMP_20std             PHASE_20          PHASE_20std                f3000             f3000std         phase_f_3000      phase_f_3000std                h3000            h3000_std         phase_h_3000     phase_h_3000_std
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
          BPMWB.4R5.B1             10340.87    0.000671888275942   0.0002420783750367      0.3634425391427      0.2155244725895      0.1168845861721     0.04211299958719      0.4075386611427      0.1890611761901      0.2517094472827     0.09068980091095      0.4324797260436      0.1890611761901
           BPM.12L3.B1             3031.955   0.0002990311751541   2.319922669332e-05      0.2429771014531     0.02139170664731     0.05202075465811    0.004035837666255      0.3723160734531      0.1893270405312      0.1120260235421    0.008691124309581       0.397257138354      0.1893270405312
           BPM.25R7.B1             18037.26   0.0002171479843595   6.577229755765e-05      0.7281393830301      0.7998621904698     0.03777600115791     0.01144203293447      0.8474434190301      0.1254129704023     0.08135013078632     0.02464027020197       0.872384483931      0.1254129704024
           BPM.16L2.B1             26145.17   0.0001935726415796   8.783486667542e-05      0.3994541866125           0.42641474      0.0336747327129     0.01528013273999      0.4738057266125      0.1064451286617     0.07251810213944     0.03290556858135      0.4987467915134      0.1064451286617
            BPM.8R3.B1             3825.903   0.0001654676002288   7.768954674961e-05      0.4938270801053           0.24326966     0.02878545834205     0.01351520907103      0.6244573401053      0.2136776873684     0.06198911290482     0.02910482824629      0.4493984050061      0.2489423670676
            BPM.9L5.B1             9841.818    0.001599542511728   0.0008713206841498      0.5231922591165       0.520897177655      0.2782633232972      0.1515787091943      0.5128882891165       0.142760196736      0.5992364742007      0.3264227932922      0.5378293540173       0.142760196736
           BPM.23R3.B1             4600.869   0.0001003978419174   3.730478451608e-05      0.4850596164436       0.048867568942      0.0174656421689    0.006489701422887      0.6356205964436      0.2363397126396     0.03761203492048     0.01397548822887      0.6605616613445      0.2363397126396
           BPM.22L3.B1              2497.47    0.000139782548802   3.176944440802e-05      0.3605269494988           0.23295795     0.02431717586961    0.005526749752171      0.4878871074988      0.2504029095975      0.0523667242882     0.01190178423817      0.5128281723997      0.2504029095974
           BPM.20R4.B1             7772.377   0.0003024890309868   0.0001145535513509       0.481505865367      0.9577446192273     0.05262229819225     0.01992823051634       0.382309925367      0.3115160263085      0.1133214397766     0.04291518713343      0.4072509902679      0.3115160263084
         BPMWA.B5R4.B1             6890.439   0.0003584432777972   0.0001261900479647      0.4195203286833       0.654420368636     0.06235634061744      0.0219525657219      0.4086192086833      0.2872491520574      0.1342835744678     0.04727456686341      0.4335602735842      0.2872491520574
