@ PLANE %s "X"
*            NAME                 S           CAL_AMP       CAL_AMP_STD       CALIBRATION ERROR_CALIBRATION          CAL_BETA      CAL_BETA_STD
$              %s               %le               %le               %le               %le               %le               %le               %le
       BPM.5L1.B2       3001.907584      1.0196259725  0.00117416955727     1.02161361456   0.0105237252805      1.0396371238  0.00977349887955
     BPMYA.4L1.B2       3023.025584     1.02723759485  0.00123233917575     1.03046630754   0.0123125572051     1.05521707628    0.016089913291
     BPMWB.4L1.B2       3044.082084     1.03514121549  0.00127537132576     1.03307792863   0.0102269261427       1.071517336   0.0133236868352
     BPMSY.4L1.B2       3136.938084     1.02000791258 0.000962113459584     1.02140902723  0.00569734506082     1.04041614172  0.00878822905294
      BPMS.2L1.B2       3163.723584     1.03287711316 0.000751494336664     1.03374774818  0.00554274929814     1.06683513088  0.00863484685549
     BPMSW.1L1.B2       3173.673584     1.01644908456 0.000627305771442      1.0165349761   0.0112841298371      1.0331687415   0.0222401608871
     BPMSW.1R1.B2       3216.816584     1.03009191048 0.000143773234783      1.0298183503  0.00531256942245     1.06108934404   0.0106277322578
      BPMS.2R1.B2       3226.781584     1.01308752111 2.37758737959e-05     1.01264075849  0.00435220770974     1.02634632543  0.00717401227769
     BPMSY.4R1.B2       3253.567084     1.06212096432 0.000299880485775     1.06317713372   0.0104822961111     1.12810094285   0.0197685452555
     BPMWB.4R1.B2       3346.423084     1.04844869822  0.00103602856033     1.05223205169   0.0080946230245      1.0992446728  0.00903829873612
     BPMYA.4R1.B2       3367.479584     1.02944301061  0.00108291366481     1.03093709166  0.00965844064411     1.05975291209   0.0168202802404
     BPMYA.4L5.B2       16352.61755     1.04622235907  0.00235135293501     1.04088571986   0.0088099474568     1.09458122462  0.00880047050341
     BPMWB.4L5.B2       16373.67605     1.05099460834  0.00240546749016     1.04451772492  0.00966253678053     1.10458966676    0.014877716024
     BPMSY.4L5.B2       16466.53205     1.01824596711  0.00178040496181     1.01637495176  0.00886089910719     1.03682484953   0.0174165444038
      BPMS.2L5.B2       16493.31755     1.03317570203  0.00144454702938     1.03376475003  0.00571815721226     1.06745203126   0.0109815394662
     BPMSW.1L5.B2       16503.28255       1.009788082  0.00121445482628     1.01011715367  0.00870312918186     1.01967197055   0.0171597664556
     BPMSW.1R5.B2       16546.41055     1.01009342221 0.000399253340018       1.010057826  0.00833357044784      1.0202887216   0.0166102130051
      BPMS.2R5.B2       16556.37555     1.02847904549 0.000207297416542     1.02902770254  0.00662963475486     1.05776914701   0.0129957931972
     BPMSY.4R5.B2       16583.16105     1.03546445098 0.000340704255915     1.03630760618  0.00491204251543     1.07218662925  0.00830071314431
     BPMWB.4R5.B2       16676.01705     1.04668841979  0.00176875761437     1.04126575211   0.0104474416909     1.09555664813   0.0170806251327
     BPMYA.4R5.B2       16697.07355     1.03393525642  0.00190362111533      1.0286959399  0.00771004124004     1.06902211446   0.0104457816064
      BPMR.5R5.B2       16718.19155     1.03191227266  0.00203366406666     1.02538352897  0.00801232675529     1.06484293847  0.00849029809152
