@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ TABLE %s "ORBIT"
@ TYPE %s "ORBIT"
@ SEQUENCE %s "LHCB2"
@ Q1 %le 0.2699882059850884
@ Q2 %le 0.3219860194100735
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds.linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds.linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds.linx"
*                 NAME                    S                COUNT                    X                 STDX                 XMDL               MUXMDL
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"               16.238                    3      0.5567105632367   0.0003460874205436                    0        0.01043463339
        "BPM_A.7R8.B2"              122.586                    3       0.241265242334    0.000260238957301                    0         0.3186035649
          "BPM.8R8.B2"          164.0249894                    3     -0.1182639226628    0.001965799313074                    0          0.503197187
          "BPM.9R8.B2"          203.0919788                    3     -0.3171709840312     0.00222056273834                    0         0.7124951037
         "BPM.10R8.B2"          243.5569682                    3  -0.0005996402538337    0.001326455358882                    0         0.7670496408
         "BPM.11R8.B2"          295.3976576                    3     -0.5328684104878    0.003000989640828                    0         0.9214429809
         "BPM.12R8.B2"          350.1241417                    3     -0.1448966080169   0.0004882064240222                    0          1.106724044
         "BPM.13R8.B2"          403.5756258                    3      0.2568142132908    0.002200136943515                    0          1.197044623
         "BPM.14R8.B2"          457.0271099                    3     -0.9041724273056    0.001260640576664                    0           1.26478427
         "BPM.15R8.B2"           510.478594                    3      0.1606076848267    0.003289146144856                    0          1.462137835
         "BPM.16R8.B2"          563.9300781                    3     -0.5401481674288    0.001529030864073                    0          1.617516314
         "BPM.17R8.B2"          617.3815622                    3      0.1236578756562   0.0002161285143929                    0          1.697044822
         "BPM.18R8.B2"          670.8330463                    3     -0.5575033809906   0.0003844246904648                    0           1.76478427
         "BPM.19R8.B2"          724.2845304                    3     -0.2216421715918   0.0005393074039248                    0          1.962137835
         "BPM.20R8.B2"          777.7360145                    3    0.003790217979731   0.0008137373100869                    0          2.117516314
         "BPM.21R8.B2"          831.1874986                    3   -0.001846182339978    0.003378350800157                    0          2.197044822
         "BPM.22R8.B2"          884.6389827                    3     -0.1527601573005    0.001591486081379                    0           2.26478427
         "BPM.23R8.B2"          938.0904667                    3     -0.1006726820837      0.0013500698424                    0          2.462137835
         "BPM.24R8.B2"          991.5419508                    3     -0.1578755170804   0.0004030929452743                    0          2.617516314
         "BPM.25R8.B2"          1044.993435                    3     -0.2299221081693    0.003802896610843                    0          2.697044822
         "BPM.26R8.B2"          1098.444919                    3    -0.01470800479664   0.0005004271755013                    0           2.76478427
         "BPM.27R8.B2"          1151.896403                    3    -0.09491931147915    0.001680799083274                    0          2.962137835
         "BPM.28R8.B2"          1205.347887                    3     -0.6106189663942    0.001148577467673                    0          3.117516314
         "BPM.29R8.B2"          1258.799371                    3     0.03212447701094    0.002102969045372                    0          3.197044822
         "BPM.30R8.B2"          1312.250855                    3     0.08533529503582    0.001262101112031                    0           3.26478427
         "BPM.31R8.B2"           1365.70234                    3    -0.07869158627596   0.0008561385178938                    0          3.462137835
         "BPM.32R8.B2"          1419.153824                    3     -0.2179737987356    0.003513046911166                    0          3.617516314
         "BPM.33R8.B2"          1472.605308                    3     -0.1924698137011    0.002958250515139                    0          3.697044822
         "BPM.34R8.B2"          1526.056792                    3     -0.2426595951817      0.0017659810537                    0           3.76478427
         "BPM.33L1.B2"          1579.508276                    3    -0.01746728853932    0.002158184954245                    0          3.962137835
         "BPM.32L1.B2"           1632.95976                    3     -0.6532577571618    0.004363178116072                    0          4.117516314
         "BPM.31L1.B2"          1686.411244                    3      0.1044864075458    0.001175355375843                    0          4.197044822
         "BPM.30L1.B2"          1739.862728                    3     -0.3483001779473   0.0008910113618985                    0           4.26478427
         "BPM.29L1.B2"          1793.314212                    3      0.1096182233034   0.0008178494318848                    0          4.462137835
         "BPM.28L1.B2"          1846.765696                    3     -0.3482186241721    0.001369848830414                    0          4.617516314
         "BPM.27L1.B2"           1900.21718                    3     -0.1336002179119    0.002845958957191                    0          4.697044822
         "BPM.26L1.B2"          1953.668665                    3      -0.437688698347    0.002481763601169                    0           4.76478427
         "BPM.25L1.B2"          2007.120149                    3     -0.1232673420801    0.002550697331526                    0          4.962137834
         "BPM.24L1.B2"          2060.571633                    3    -0.08308689347157    0.001630628027951                    0          5.117516314
         "BPM.23L1.B2"          2114.023117                    3     -0.2719818171069    0.003131247290018                    0          5.197044822
         "BPM.22L1.B2"          2167.474601                    3      0.2610842943329    0.001069516763244                    0           5.26478427
         "BPM.21L1.B2"          2220.926085                    3    -0.04319320871574    0.002096196469803                    0          5.462137834
         "BPM.20L1.B2"          2274.377569                    3     -0.3867291473425    0.002227038785981                    0          5.617516314
         "BPM.19L1.B2"          2327.829053                    3     -0.2632199919744    0.001624504026289                    0          5.697044822
         "BPM.18L1.B2"          2381.280537                    3    -0.03631073496746    0.001809261193515                    0           5.76478427
         "BPM.17L1.B2"          2434.732021                    3     -0.2235773196902   0.0006223413401375                    0          5.962137834
         "BPM.16L1.B2"          2488.183506                    3     -0.2006861293492    0.003621232681366                    0          6.117516314
         "BPM.15L1.B2"           2541.63499                    3    -0.06830867460965    0.002024865977725                    0          6.197044822
         "BPM.14L1.B2"          2595.086474                    3     -0.2577194963386    0.002057804124083                    0           6.26478427
         "BPM.13L1.B2"          2648.537958                    3  -0.0001293864202614    0.001646687939067                    0          6.462137834
         "BPM.12L1.B2"          2701.989442                    3     -0.2882134005696    0.001849298814367                    0          6.615303952
         "BPM.11L1.B2"          2755.440926                    3     -0.2196082349952    0.003521810618677                    0          6.693776633
         "BPM.10L1.B2"          2808.223615                    3     -0.4730456615532    0.001382520461596                    0          6.755282491
          "BPM.9L1.B2"          2847.290605                    3     0.03071777768541     0.00264046339832                    0          6.879669561
          "BPM.8L1.B2"          2887.755594                    3     -0.3294200065955    0.001927025466068                    0          7.106632631
          "BPM.7L1.B2"          2926.823584                    3     -0.2986679337403    0.002960160907854                    0          7.215470983
        "BPMSX.7L1.B2"          2957.502084                    3      0.2906850500204    0.001007735998651                    0          7.251965741
         "BPMR.6L1.B2"          2970.007584                    3     0.03827585410655    0.001506799662094                    0          7.373277573
