@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ TABLE %s "ORBIT"
@ TYPE %s "ORBIT"
@ SEQUENCE %s "LHCB2"
@ Q1 %le 0.2699882059850884
@ Q2 %le 0.3219860194100735
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds.liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds.liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds.liny"
*                 NAME                    S                COUNT                    Y                 STDY                 YMDL               MUYMDL
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"               16.238                    3     -0.7572453899128    0.001879175592711                    0        0.01767919863
         "BPMR.6R8.B2"              100.346                    3       0.534263102517    0.002276138222541                    0         0.4256076878
        "BPM_A.7R8.B2"              122.586                    3      -0.571366701742    0.003412406369682                    0         0.4638314398
          "BPM.8R8.B2"          164.0249894                    3     -0.5923592550325    0.001233355198086                    0         0.6858314404
          "BPM.9R8.B2"          203.0919788                    3     -0.1662903817962    0.001291954230754                    0          0.811759279
         "BPM.10R8.B2"          243.5569682                    3      0.3366208302545    0.001063266065101                    0         0.8805379158
         "BPM.11R8.B2"          295.3976576                    3      -0.205853535383    0.003719403354511                    0         0.9437312706
         "BPM.12R8.B2"          350.1241417                    3     0.07055450456344    0.002651135811729                    0          1.114148642
         "BPM.13R8.B2"          403.5756258                    3      -0.256573034811    0.001835847955713                    0          1.298344194
         "BPM.14R8.B2"          457.0271099                    3    -0.09119062620226   0.0008841775928228                    0          1.390600366
         "BPM.15R8.B2"           510.478594                    3      0.5352171579377    0.002001850502713                    0          1.451963601
         "BPM.16R8.B2"          563.9300781                    3    -0.04160838814142   0.0005624471834942                    0          1.610822822
         "BPM.17R8.B2"          617.3815622                    3     -0.5587808703436   0.0009997548789404                    0          1.798342067
         "BPM.18R8.B2"          670.8330463                    3      0.2660046916712    0.003201103152657                    0          1.890600366
         "BPM.19R8.B2"          724.2845304                    3     -0.3661625620194    0.001415184723362                    0          1.951963601
         "BPM.20R8.B2"          777.7360145                    3      0.3237580730143    0.002713629076174                    0          2.110822822
         "BPM.21R8.B2"          831.1874986                    3     -0.4569588936627    0.002266226141961                    0          2.298342067
         "BPM.22R8.B2"          884.6389827                    3      0.2132513955323    0.004746202122489                    0          2.390600366
         "BPM.23R8.B2"          938.0904667                    3     -0.2319191532121   0.0006429109855867                    0          2.451963601
         "BPM.24R8.B2"          991.5419508                    3      0.1357220995712    0.003626977167824                    0          2.610822822
         "BPM.25R8.B2"          1044.993435                    3     -0.3275213563324   0.0009992386238267                    0          2.798342067
         "BPM.26R8.B2"          1098.444919                    3    -0.02371975790607    0.003872667347611                    0          2.890600366
         "BPM.27R8.B2"          1151.896403                    3      0.2314268570894    0.003244116912711                    0          2.951963601
         "BPM.28R8.B2"          1205.347887                    3      0.1793332752067     0.00379648340639                    0          3.110822822
         "BPM.29R8.B2"          1258.799371                    3     -0.5060512867859    0.003289996424924                    0          3.298342067
         "BPM.30R8.B2"          1312.250855                    3      0.2207353129808    0.002145632441604                    0          3.390600366
         "BPM.31R8.B2"           1365.70234                    3     -0.2776693688914    0.001994672155597                    0          3.451963601
