@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ Q1 %le 0.2699882059850884
@ Q2 %le 0.3219860194100735
@ RMSbetabeat %le 0.2206276224269459
@ RescalingFactor %le 0.8192505763073712
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds.linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds.linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds.linx"
*                 NAME                    S                COUNT                 BETX              BETXSTD              BETXMDL               MUXMDL            BETXPHASE         BETXSTDPHASE
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"               16.238                    3       264.6520743584       75.88082080573          274.0159211        0.01043463339       216.8125683993       5.277529973316
        "BPM_A.7R8.B2"              122.586                    3       266.4701230634       76.10945779445          149.4754651         0.3186035649       218.3048251892       1.787273105305
          "BPM.8R8.B2"          164.0249894                    3       8.206785348861       2.481728108436           9.12974302          0.503197187       6.723695286872      0.6904432169535
          "BPM.9R8.B2"          203.0919788                    3       213.9271534581       61.08414065265          216.2021521         0.7124951037       175.2595306592       1.061634757509
         "BPM.10R8.B2"          243.5569682                    3        75.3346392263       21.51542408102          50.21932889         0.7670496408       61.71851670554      0.8669294983572
         "BPM.11R8.B2"          295.3976576                    3        173.427793661       49.52086545653          93.89998342         0.9214429809        142.081767438       1.464716515354
         "BPM.12R8.B2"          350.1241417                    3        17.4217913254       5.012890243028          33.10500511          1.106724044       14.27264549036      0.5129275364418
         "BPM.13R8.B2"          403.5756258                    3       300.1768934486       85.72359926996          342.8302617          1.197044623       245.9206413602       2.247274952819
         "BPM.14R8.B2"          457.0271099                    3       60.36889954663       17.40454117002          42.26772098           1.26478427        49.4590489099        2.19716938546
         "BPM.15R8.B2"           510.478594                    3       127.3466353801       36.36555161626          86.66369997          1.462137835        104.328491102       0.790154143993
         "BPM.16R8.B2"          563.9300781                    3        20.8666273745       5.965407750225          41.58214979          1.617516314       17.09489169455      0.2308424802988
         "BPM.17R8.B2"          617.3815622                    3       302.2598167113       86.28389809397          343.2201083          1.697044822       247.6273668788       1.532613348269
         "BPM.18R8.B2"          670.8330463                    3       61.44853237162       17.54988206715          42.26772099           1.76478427       50.34193922208      0.5287410678615
         "BPM.19R8.B2"          724.2845304                    3       129.6717213449       37.07547744542          86.66369996          1.962137835       106.2335722943       1.639608420167
         "BPM.20R8.B2"          777.7360145                    3       19.53102204771       5.715207139012          41.58214978          2.117516314       16.00083283909       1.014986818933
         "BPM.21R8.B2"          831.1874986                    3       303.9843639652       86.76735974402          343.2201083          2.197044822       249.0400219662       1.134604298523
         "BPM.22R8.B2"          884.6389827                    3       63.51974384024        18.1325789268            42.267721           2.26478427       52.03874546845      0.3121392036294
         "BPM.23R8.B2"          938.0904667                    3       122.4114889042       34.98977102434          86.66369996          2.462137835       100.2868074851       1.749267657585
         "BPM.24R8.B2"          991.5419508                    3       20.00195094258       5.810765379874          41.58214977          2.617516314       16.38598128725      0.8304622999888
         "BPM.25R8.B2"          1044.993435                    3        302.721462462       86.65249911991          343.2201083          2.697044822       248.0020572291       4.613211408153
         "BPM.26R8.B2"          1098.444919                    3        58.2080284298       16.81859938483          42.26772101           2.76478427       47.68588581259       2.072345173999
