@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ Q1 %le 0.2799881659850902
@ Q2 %le 0.3099859594100752
@ RMSbetabeat %le 0
@ RescalingFactor %le 0.8192506579935414
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds.linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds.linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds.linx"
*                 NAME                    S                COUNT                 BETX              BETXSTD              BETXMDL               MUXMDL            BETXPHASE         BETXSTDPHASE
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"               16.238                    3       248.2942403539       71.19275492856          274.0159211        0.01043463339       203.4116270237       4.970400053753
        "BPM_A.7R8.B2"              122.586                    3       266.1778787857       76.02832216352          149.4754651         0.3186035649       218.0654827934       1.819038295397
          "BPM.8R8.B2"          164.0249894                    3        7.71761182487       2.330679158159           9.12974302          0.503197187       6.322916646985      0.6413962410965
          "BPM.9R8.B2"          203.0919788                    3        224.804509668       64.19230677373          216.2021521         0.7124951037       184.1708713743       1.184626164179
         "BPM.10R8.B2"          243.5569682                    3       77.10829090207       22.02563229454          50.21932889         0.7670496408       63.17161372619       0.958063127218
         "BPM.11R8.B2"          295.3976576                    3       166.0909802279       47.43391521715          93.89998342         0.9214429809       136.0710827224       1.571107116644
         "BPM.12R8.B2"          350.1241417                    3        17.5954153953       5.064227574443          33.10500511          1.106724044       14.41486097186      0.5237247296464
         "BPM.13R8.B2"          403.5756258                    3        317.635206689       90.71621145277          342.8302617          1.197044623       260.2234026413       2.527303136568
         "BPM.14R8.B2"          457.0271099                    3       61.64616976099       17.76818484755          42.26772098           1.26478427       50.50547025051       2.216340249528
         "BPM.15R8.B2"           510.478594                    3       120.3565059316       34.36915448109          86.66369997          1.462137835       98.60182393545      0.7069825125155
         "BPM.16R8.B2"          563.9300781                    3       21.47780368846       6.141637578284          41.58214979          1.617516314       17.59558113934      0.2573313167743
         "BPM.17R8.B2"          617.3815622                    3       319.9961543521       91.35326164731          343.2201083          1.697044822       262.1579731821        1.83354629602
         "BPM.18R8.B2"          670.8330463                    3       62.98242163811       17.99675321455          42.26772099           1.76478427       51.59869063144      0.7317088754044
         "BPM.19R8.B2"          724.2845304                    3       122.7612460352       35.10297261528          86.66369996          1.962137835       100.5722232672       1.612807792432
         "BPM.20R8.B2"          777.7360145                    3       20.12933637696       5.873557389327          41.58214978          2.117516314       16.49100793245      0.9825591260299
         "BPM.21R8.B2"          831.1874986                    3       322.0666546825       91.93275792753          343.2201083          2.197044822       263.8540813275       1.400087277345
         "BPM.22R8.B2"          884.6389827                    3       65.21193068779        18.6206770271            42.267721           2.26478427       53.42509076343      0.4626815779156
         "BPM.23R8.B2"          938.0904667                    3       116.0977715272       33.18793023763          86.66369996          2.462137835       95.11419823536        1.68295434326
         "BPM.24R8.B2"          991.5419508                    3       20.59283834776       5.989142954533          41.58214977          2.617516314       16.87002709639      0.8838212164236
         "BPM.25R8.B2"          1044.993435                    3       320.4751702459       91.73408429074          343.2201083          2.697044822        262.546736887       4.891334495492
         "BPM.26R8.B2"          1098.444919                    3       59.51204923226       17.17368046598          42.26772101           2.76478427       48.75419149121       1.993529845884
