@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ Q1 %le 0.2799881659850902
@ Q2 %le 0.3099859594100752
@ RMSbetabeat %le 0.27607972880024256
@ RescalingFactor %le 0.8192505763073712
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds.linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds.linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds.linx"
*                 NAME                    S                COUNT                 BETX              BETXSTD              BETXMDL               MUXMDL            BETXPHASE         BETXSTDPHASE
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"               16.238                    3       248.3524731488       75.88082080573          274.0159211        0.01043463339       203.4593445083       5.277529973316
        "BPM_A.7R8.B2"              122.586                    3       278.5668725992       76.10945779445          149.4754651         0.3186035649       228.2150498794       1.787273105305
          "BPM.8R8.B2"          164.0249894                    3       7.701364745985       2.481728108436           9.12974302          0.503197187       6.309611820449      0.6904432169535
          "BPM.9R8.B2"          203.0919788                    3       225.6621127015       61.08414065265          216.2021521         0.7124951037       184.8733801218       1.061634757509
         "BPM.10R8.B2"          243.5569682                    3       80.23921194327       21.51542408102          50.21932889         0.7670496408       65.73662784637      0.8669294983572
         "BPM.11R8.B2"          295.3976576                    3       167.9846795678       49.52086545653          93.89998342         0.9214429809       137.6224633415       1.464716515354
         "BPM.12R8.B2"          350.1241417                    3       17.04998821014       5.012890243028          33.10500511          1.106724044       13.96804913989      0.5129275364418
         "BPM.13R8.B2"          403.5756258                    3       314.1527059016       85.72359926996          342.8302617          1.197044623       257.3703592998       2.247274952819
         "BPM.14R8.B2"          457.0271099                    3        64.3132388579       17.40454117002          42.26772098           1.26478427       52.69056832434        2.19716938546
         "BPM.15R8.B2"           510.478594                    3        120.604787312       36.36555161626          86.66369997          1.462137835       98.80524477454       0.790154143993
         "BPM.16R8.B2"          563.9300781                    3       20.58984708183       5.965407750225          41.58214979          1.617516314       16.86814067046      0.2308424802988
         "BPM.17R8.B2"          617.3815622                    3       316.3326431764       86.28389809397          343.2201083          1.697044822       259.1565770796       1.532613348269
         "BPM.18R8.B2"          670.8330463                    3       65.46341194724       17.54988206715          42.26772099           1.76478427       53.63114428165      0.5287410678615
         "BPM.19R8.B2"          724.2845304                    3       122.8067810855       37.07547744542          86.66369996          1.962137835       100.6094692147       1.639608420167
         "BPM.20R8.B2"          777.7360145                    3       19.27195756629       5.715207139012          41.58214978          2.117516314       15.78859369197       1.014986818933
         "BPM.21R8.B2"          831.1874986                    3       318.1374831218       86.76735974402          343.2201083          2.197044822       260.6350035623       1.134604298523
         "BPM.22R8.B2"          884.6389827                    3       67.66995072535        18.1325789268            42.267721           2.26478427       55.43881522124      0.3121392036294
         "BPM.23R8.B2"          938.0904667                    3       115.9309120441       34.98977102434          86.66369996          2.462137835       94.97753161746       1.749267657585
         "BPM.24R8.B2"          991.5419508                    3       19.73663993954       5.810765379874          41.58214977          2.617516314       16.16863343236      0.8304622999888
         "BPM.25R8.B2"          1044.993435                    3       316.8157825566       86.65249911991          343.2201083          2.697044822       259.5487125284       4.613211408153
         "BPM.26R8.B2"          1098.444919                    3       62.01118231066       16.81859938483          42.26772101           2.76478427       50.80155158212       2.072345173999
         "BPM.27R8.B2"          1151.896403                    3       117.2471427616        35.3970885072          86.66369995          2.962137835       96.05390013826       1.406935600249
         "BPM.28R8.B2"          1205.347887                    3       20.46289173119       5.995512082512          41.58214976          3.117516314       16.76393705697      0.7679570321187
         "BPM.29R8.B2"          1258.799371                    3       328.0208820809       89.47036445942          343.2201083          3.197044822       268.7323297777       1.622812328147
         "BPM.30R8.B2"          1312.250855                    3       65.77270061978       17.86992226645          42.26772102           3.26478427       53.88248275854       2.268599085564
         "BPM.31R8.B2"           1365.70234                    3       118.5272157269       35.73043554447          86.66369994          3.462137835       97.10370880712      0.6763759504663
         "BPM.32R8.B2"          1419.153824                    3       19.70140510584       5.965528718717          41.58214975          3.617516314       16.14036746941       1.462198190095
         "BPM.33R8.B2"          1472.605308                    3       305.3683010318        83.4939487033          343.2201083          3.697044822       250.1701731293       4.130915577508
         "BPM.34R8.B2"          1526.056792                    3       63.39344920373       17.11323669856          42.26772104           3.76478427       51.93387325276       1.563894398628
         "BPM.33L1.B2"          1579.508276                    3       116.9035494281       35.24331780445          86.66369994          3.962137835       95.77423088345       1.156323089736
         "BPM.32L1.B2"           1632.95976                    3       20.40019228193       5.920569144627          41.58214973          4.117516314       16.71320387536      0.4449102288006
         "BPM.31L1.B2"          1686.411244                    3       331.7975026458       90.84605727844          343.2201083          4.197044822       271.8303555009       7.182638011091
         "BPM.30L1.B2"          1739.862728                    3       63.75842892364       17.23639541688          42.26772105           4.26478427       52.23468415785       1.995872593157
         "BPM.29L1.B2"          1793.314212                    3       115.7916110105        34.9211892854          86.66369993          4.462137835       94.86215426035       1.053497581319
         "BPM.28L1.B2"          1846.765696                    3       21.52334017118       6.250619754031          41.58214972          4.617516314       17.63342190869      0.5172985107592
         "BPM.27L1.B2"           1900.21718                    3       296.3587018761       80.84358236957          343.2201083          4.697044822       242.7917979973       1.118760504857
         "BPM.26L1.B2"          1953.668665                    3       66.59398804603       17.84924702275          42.26772106           4.76478427       54.55729714832      0.4244665568428
         "BPM.25L1.B2"          2007.120149                    3       116.8043862382       35.31046188383          86.66369992          4.962137834        95.6917280513       2.071991334864
         "BPM.24L1.B2"          2060.571633                    3       21.91362682781         6.3408329232          41.58214971          5.117516314       17.95292689683      0.2178048245613
         "BPM.23L1.B2"          2114.023117                    3       305.1289859483       83.32367370086          343.2201084          5.197044822       249.9754446141       2.781160396973
         "BPM.22L1.B2"          2167.474601                    3        63.5552893482       17.12412451011          42.26772107           5.26478427       52.06714214388       1.453077311419
         "BPM.21L1.B2"          2220.926085                    3       110.2792962962        33.3147420775          86.66369992          5.462137834       90.34554327917       1.592888836745
         "BPM.20L1.B2"          2274.377569                    3       25.19850881913       7.323925801248           41.5821497          5.617516314       20.64378706041      0.5903491051152
         "BPM.19L1.B2"          2327.829053                    3       331.5220937339       90.47059705688          343.2201084          5.697044822        271.598864497       2.396663135991
         "BPM.18L1.B2"          2381.280537                    3       65.48583172226       17.56613803783          42.26772108           5.76478427       53.64940587968      0.6748718443968
         "BPM.17L1.B2"          2434.732021                    3       116.2865809894       35.04818661292          86.66369991          5.962137834       95.26849468891      0.8338851797488
         "BPM.16L1.B2"          2488.183506                    3       22.91675011661       6.678380903266          41.58214969          6.117516314       18.77495798692      0.6969212422421
         "BPM.15L1.B2"           2541.63499                    3        302.827285746       82.73427091534          343.2201084          6.197044822       248.0919501209       3.853502380678
         "BPM.14L1.B2"          2595.086474                    3       69.14339357633       18.80599679834          42.26772109           6.26478427       56.64604843902       2.736609620811
         "BPM.13L1.B2"          2648.537958                    3       115.7969051125       34.97721692805           86.6636999          6.462137834       94.86577291458       1.613818300934
         "BPM.12L1.B2"          2701.989442                    3       23.53732874686         6.8487691312          42.39818811          6.615303952       19.28270350219      0.4772988301879
         "BPM.11L1.B2"          2755.440926                    3       326.6591249372       89.36715951228          344.9683606          6.693776633       267.6144423586       2.968100714318
         "BPM.10L1.B2"          2808.223615                    3       74.77867541119       20.02872162806           50.0387986          6.755282491       61.26272964712      0.3935545282435
          "BPM.9L1.B2"          2847.290605                    3       137.5915978795       39.44065640491          73.00687698          6.879669561       112.7203585088       2.650339554591
          "BPM.8L1.B2"          2887.755594                    3       9.408756872694       2.759121305917          17.37219558          7.106632631       7.708056744528      0.2147823364402
          "BPM.7L1.B2"          2926.823584                    3        299.606745752       81.21744064997            269.86534          7.215470983       245.4574316956       6.160308173517
        "BPMSX.7L1.B2"          2957.502084                    3       60.69382048124       16.29640929931          47.86584441          7.251965741       49.72303312247      0.7873733437961
         "BPMR.6L1.B2"          2970.007584                    3       9.671186138886       2.765595601925          6.898663601          7.373277573       7.922979501983       0.236336613745
          "BPM.5L1.B2"          3001.907584                    3       104.8524925766       29.65582875034           151.156285          7.665862715       85.90398245203       4.508123900092
        "BPMYA.4L1.B2"          3023.025584                    3       298.4295470306       82.41320255855           366.123447          7.680169138       244.4870351123       3.755863738229
        "BPMWB.4L1.B2"          3044.082084                    3        733.499039831       201.7841952053          916.9267321          7.686107516       600.9157461869       9.117574708948
        "BPMSY.4L1.B2"          3136.998084                    3       5718.751167396       1564.855775468          6779.569911          7.692040086       4685.089261906       36.05078758841
         "BPMS.2L1.B2"          3163.723584                    3       1780.240316217       487.3652942477          1958.174789          7.693286116       1458.453958343       18.97740462417
        "BPMSW.1L1.B2"          3173.673584                    3       1287.885908639       352.7042329334           1556.52385          7.694089026       1055.099921454       18.87082144487
        "BPMSW.1R1.B2"          3216.816584                    3       1398.417605992       383.4646214282          1554.145089          8.189673703       1145.664225392       16.19777490679
         "BPMS.2R1.B2"          3226.781584                    3       4524.085861625       1240.041226305          5203.242242          8.190299578       3706.339219423       36.88002805839
        "BPMSY.4R1.B2"          3253.627084                    3       3247.283675252       889.7952282485          3452.061017          8.191142949       2660.331368527       31.94117397212
        "BPMWB.4R1.B2"          3346.423084                    3       2406.693465375       656.9936239937          2493.128044          8.196178075       1971.686590845       16.32948998921
        "BPMYA.4R1.B2"          3367.479584                    3       2145.814622391       585.4074996825          2158.520655          8.197584824       1757.965258348       19.70127535303
         "BPMR.5R1.B2"          3394.887584                    3       841.7733795692       229.3817914269          881.3248292          8.200828077        689.631954687       11.26993749359
          "BPM.6R1.B2"          3426.787584                    3       376.5564862033       102.0593480472          333.8500791          8.210153039       308.4929131366        2.37209661822
        "BPMRA.7R1.B2"          3454.511584                    3       91.32528611412          24.51456737          60.71575693          8.241344322       74.81910558885       1.160487379928
          "BPM.8R1.B2"          3495.948594                    3       137.2124708846       39.42431280978          64.01564804          8.387023843       112.4117008529       1.264536445822
          "BPM.9R1.B2"          3535.013605                    3       8.416552908206       2.563162937042          20.43889195          8.596324036       6.895016980068       0.542982544426
         "BPM.10R1.B2"          3575.476615                    3       283.2216986318       77.19330716512          285.3645711          8.698612175        232.031009751        2.00307362971
         "BPM.11R1.B2"          3628.257326                    3       83.33838801668       22.38890166828          41.91439263          8.770393109       68.27439237597       1.066021775981
         "BPM.12R1.B2"          3682.980842                    3       139.2540948644       42.10259538384          88.47880747          8.966213149       114.0848561177       2.061701690903
         "BPM.13R1.B2"          3736.429358                    3       19.11141842789       5.584712656746           41.9366923          9.118335353       15.65671743632      0.6201141854779
         "BPM.14R1.B2"          3789.877874                    3       319.5196486532         87.212439487          342.9755698          9.197549923       261.7650430245       2.898114491512
         "BPM.15R1.B2"           3843.32639                    3       79.56472034312        21.5048334782          41.95359154          9.265580908       65.18195965492       2.109144585057
         "BPM.16R1.B2"          3896.774906                    3       148.7646800009       44.87011502172          86.87024248          9.464099505       121.8760336482       0.700825455353
         "BPM.17R1.B2"          3950.223421                    3       15.36351574269       4.441234511551          41.89727319          9.618305568       12.58662854755     0.07759668603102
