@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ Q1 %le 0.2699882059850884
@ Q2 %le 0.3219860194100735
@ RMSbetabeat %le 0.029194666777292353
@ RescalingFactor %le 0.9716334740724579
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds.liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds.liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds.liny"
*                 NAME                    S                COUNT                 BETY              BETYSTD              BETYMDL               MUYMDL            BETYPHASE         BETYSTDPHASE
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"               16.238                    3       102.8155049566       8.037700910345          83.07424941        0.01767919863        99.8990048822       1.342839428935
         "BPMR.6R8.B2"              100.346                    3       273.9366044204       21.10437791696          215.3757378         0.4256076878       266.1659577212      0.8015105347866
        "BPM_A.7R8.B2"              122.586                    3       52.72570560085       4.437557257579          40.58939617         0.4638314398       51.23000018051       1.752677282861
          "BPM.8R8.B2"          164.0249894                    3       55.63407365374       4.293212921424          62.39868786         0.6858314404       54.05593140753      0.2784473446799
          "BPM.9R8.B2"          203.0919788                    3       32.40174947326       2.495307288677          39.43234012          0.811759279       31.48262651147     0.05306277543017
         "BPM.10R8.B2"          243.5569682                    3       345.6602047675       26.64169167369          308.2631622         0.8805379158       335.8550881009       1.154828133273
         "BPM.11R8.B2"          295.3976576                    3       64.09561371231       5.012946850262          48.27821769         0.9437312706       62.27746099658      0.8567386258126
         "BPM.12R8.B2"          350.1241417                    3        100.854602772       7.950158360657          91.44725385          1.114148642       97.99372595113       1.647192441232
         "BPM.13R8.B2"          403.5756258                    3       23.01188993515       1.880495113638          32.22644752          1.298344194       22.35911607522      0.6152636543527
         "BPM.14R8.B2"          457.0271099                    3       367.0487432894       28.26475183552          339.2954273          1.390600366       356.6368099873      0.6800590986899
         "BPM.15R8.B2"           510.478594                    3       70.65479719049       5.447432729665          51.54059601          1.451963601       68.65054734948      0.3036988227145
         "BPM.16R8.B2"          563.9300781                    3        101.804598889        7.85190472927          90.00776913          1.610822822       98.91676576471      0.4551743294163
         "BPM.17R8.B2"          617.3815622                    3       25.16580667749       1.995720406012          32.19007406          1.798342067       24.45195807996      0.4624443053818
         "BPM.18R8.B2"          670.8330463                    3       391.3866046402       30.20480043028          339.2954273          1.890600366        380.284345447       2.045482454393
         "BPM.19R8.B2"          724.2845304                    3       64.96278038142       5.078536944665          51.54059601          1.951963601        63.1200621985      0.8409291782113
         "BPM.20R8.B2"          777.7360145                    3        104.294438019       8.155255890424          90.00776913          2.110822822        101.335999135       1.369342517635
         "BPM.21R8.B2"          831.1874986                    3       24.73716040779       1.993490211412          32.19007405          2.298342067       24.03547957202      0.5664639895409
         "BPM.22R8.B2"          884.6389827                    3       391.1005852238       30.18401808258          339.2954273          2.390600366       380.0064334668       2.067099504475
         "BPM.23R8.B2"          938.0904667                    3       69.21593186636       5.337999617084          51.54059602          2.451963601       67.25251011137      0.3145125896816
         "BPM.24R8.B2"          991.5419508                    3       101.3277685484       7.837640568107          90.00776913          2.610822822       98.45342085896      0.7463648224072
         "BPM.25R8.B2"          1044.993435                    3       23.62866547559       1.838847644983          32.19007405          2.798342067       22.95839241732      0.2631661128847
