@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ Q1 %le 0.2799881659850902
@ Q2 %le 0.3099859594100752
@ RMSbetabeat %le 0
@ RescalingFactor %le 0.9716334714155771
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds.liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds.liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds.liny"
*                 NAME                    S                COUNT                 BETY              BETYSTD              BETYMDL               MUYMDL            BETYPHASE         BETYSTDPHASE
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"               16.238                    3         99.757824608       7.797328944644          83.07424941        0.01767919863       96.92805007928       1.298250398324
         "BPMR.6R8.B2"              100.346                    3       283.8696391737       21.86644660236          215.3757378         0.4256076878       275.8172406577      0.7218776627087
        "BPM_A.7R8.B2"              122.586                    3       53.13853525676       4.502248095783          40.58939617         0.4638314398       51.63111596095       1.837269748042
          "BPM.8R8.B2"          164.0249894                    3       52.66740906942       4.066754608442          62.39868786         0.6858314404       51.17342044458      0.2971377290456
          "BPM.9R8.B2"          203.0919788                    3       34.94438555255       2.691102668533          39.43234012          0.811759279       33.95313667195     0.05699644321386
         "BPM.10R8.B2"          243.5569682                    3       368.3644022791       28.38732334886          308.2631622         0.8805379158       357.9152437091       1.144368963266
         "BPM.11R8.B2"          295.3976576                    3       65.51648302128       5.130880237853          48.27821769         0.9437312706       63.65803097951      0.9109810954122
         "BPM.12R8.B2"          350.1241417                    3       93.49886303437       7.371334086798          91.44725385          1.114148642       90.84664238181       1.531483435066
         "BPM.13R8.B2"          403.5756258                    3       24.64242669762       2.014477622276          32.22644752          1.298344194       23.94340001673      0.6609457792707
         "BPM.14R8.B2"          457.0271099                    3       389.1674213872       29.97068034015          339.2954273          1.390600366       378.1280534345      0.8279372939113
         "BPM.15R8.B2"           510.478594                    3       71.88876625925       5.542822862955          51.54059601          1.451963601        69.8495126107      0.3134881882334
         "BPM.16R8.B2"          563.9300781                    3       94.41420135177       7.281799301455          90.00776913          1.610822822       91.73600796983      0.4198125216306
         "BPM.17R8.B2"          617.3815622                    3       26.96556409926       2.141125803486          32.19007406          1.798342067       26.20066433637      0.5062626504456
         "BPM.18R8.B2"          670.8330463                    3       414.6425522097        31.9977063644          339.2954273          1.890600366       402.8805886996       2.153408747816
         "BPM.19R8.B2"          724.2845304                    3       66.19570153662       5.179750032819          51.54059601          1.951963601        64.3180122303      0.8834674840474
         "BPM.20R8.B2"          777.7360145                    3       96.64972042544       7.556723506878          90.00776913          2.110822822       93.90813280811       1.264859621119
         "BPM.21R8.B2"          831.1874986                    3       26.52641051988       2.136565766156          32.19007405          2.298342067       25.77397726945       0.603689277274
         "BPM.22R8.B2"          884.6389827                    3        414.394305764       31.99185026437          339.2954273          2.390600366       402.6393939286       2.326160934887
         "BPM.23R8.B2"          938.0904667                    3       70.30346185751       5.420685694789          51.54059602          2.451963601       68.30919225705      0.2979482006646
         "BPM.24R8.B2"          991.5419508                    3       93.97152566117       7.267873124335          90.00776913          2.610822822       91.30585253653      0.6837615884192
         "BPM.25R8.B2"          1044.993435                    3       25.30011812887       1.971384040602          32.19007405          2.798342067       24.58243122668      0.2973845129809
         "BPM.26R8.B2"          1098.444919                    3       411.7312274882       31.70931325046          339.2954273          2.890600366       400.0517844329       0.908067933152
         "BPM.27R8.B2"          1151.896403                    3       72.05052383403       5.549417238758          51.54059602          2.951963601       70.00670656444      0.1427627231509
         "BPM.28R8.B2"          1205.347887                    3       102.4206752255       8.043389141887          90.00776914          3.110822822       99.51544496526       1.519661422412
         "BPM.29R8.B2"          1258.799371                    3       24.51429108185       1.911982147105          32.19007405          3.298342067       23.81890932628      0.2979873501565
         "BPM.30R8.B2"          1312.250855                    3       398.8149545309       30.79534058496          339.2954273          3.390600366       387.5018810538       2.330910600771
