@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ Q1 %le 0.2799881659850902
@ Q2 %le 0.3099859594100752
@ RMSbetabeat %le 0.043996582711582084
@ RescalingFactor %le 0.9716334740724579
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds.liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds.liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds.liny"
*                 NAME                    S                COUNT                 BETY              BETYSTD              BETYMDL               MUYMDL            BETYPHASE         BETYSTDPHASE
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"               16.238                    3       98.78705880107       8.037700910345          83.07424941        0.01767919863       95.98483101972       1.342839428935
         "BPMR.6R8.B2"              100.346                    3       288.0256843206       21.10437791696          215.3757378         0.4256076878       279.8553785015      0.8015105347866
        "BPM_A.7R8.B2"              122.586                    3       53.44809245416       4.437557257579          40.58939617         0.4638314398       51.93189460191       1.752677282861
          "BPM.8R8.B2"          164.0249894                    3       53.13125488053       4.293212921424          62.39868786         0.6858314404        51.6241087664      0.2784473446799
          "BPM.9R8.B2"          203.0919788                    3       34.73169590361       2.495307288677          39.43234012          0.811759279       33.74648060733     0.05306277543017
         "BPM.10R8.B2"          243.5569682                    3       373.6789596024       26.64169167369          308.2631622         0.8805379158        363.079053266       1.154828133273
         "BPM.11R8.B2"          295.3976576                    3       66.29392507582       5.012946850262          48.27821769         0.9437312706       64.41341449277      0.8567386258126
         "BPM.12R8.B2"          350.1241417                    3       92.92017055009       7.950158360657          91.44725385          1.114148642       90.28436459963       1.647192441232
         "BPM.13R8.B2"          403.5756258                    3       24.45183197283       1.880495113638          32.22644752          1.298344194       23.75821155381      0.6152636543527
         "BPM.14R8.B2"          457.0271099                    3       395.1457095694       28.26475183552          339.2954273          1.390600366       383.9367602191      0.6800590986899
         "BPM.15R8.B2"           510.478594                    3       72.49074103933       5.447432729665          51.54059601          1.451963601       70.43441136349      0.3036988227145
         "BPM.16R8.B2"          563.9300781                    3       93.76842245053        7.85190472927          90.00776913          1.610822822       91.10854697023      0.4551743294163
         "BPM.17R8.B2"          617.3815622                    3       26.74048645365       1.995720406012          32.19007406          1.798342067       25.98197078209      0.4624443053818
         "BPM.18R8.B2"          670.8330463                    3       421.3465934267       30.20480043028          339.2954273          1.890600366       409.3944748949       2.045482454393
         "BPM.19R8.B2"          724.2845304                    3       66.65081886977       5.078536944665          51.54059601          1.951963601       64.76021820403      0.8409291782113
         "BPM.20R8.B2"          777.7360145                    3       96.06172049322       8.155255890424          90.00776913          2.110822822       93.33681267876       1.369342517635
         "BPM.21R8.B2"          831.1874986                    3       26.28501883758       1.993490211412          32.19007405          2.298342067       25.53943229158      0.5664639895409
         "BPM.22R8.B2"          884.6389827                    3       421.0386797032       30.18401808258          339.2954273          2.390600366       409.0952892183       2.067099504475
         "BPM.23R8.B2"          938.0904667                    3       71.01448724232       5.337999617084          51.54059602          2.451963601       69.00004655777      0.3145125896816
         "BPM.24R8.B2"          991.5419508                    3       93.32923179215       7.837640568107          90.00776913          2.610822822       90.68177724335      0.7463648224072
         "BPM.25R8.B2"          1044.993435                    3       25.10716294411       1.838847644983          32.19007405          2.798342067       24.39494942919      0.2631661128847
         "BPM.26R8.B2"          1098.444919                    3       418.3916544174       29.92768282671          339.2954273          2.890600366       406.5232846173      0.7256491761172
         "BPM.27R8.B2"          1151.896403                    3       72.61170930162       5.450459875841          51.54059602          2.951963601       70.55197080129      0.1237603360153
         "BPM.28R8.B2"          1205.347887                    3       101.7073619949       8.671236220211          90.00776914          3.110822822       98.82236496885       1.635230092612
         "BPM.29R8.B2"          1258.799371                    3       24.32157835126       1.788532083961          32.19007405          3.298342067       23.63166411598      0.2973036593205
         "BPM.30R8.B2"          1312.250855                    3        405.164830396       29.05924877623          339.2954273          3.390600366       393.6716391213        2.17138958772
         "BPM.31R8.B2"           1365.70234                    3       69.10111261659       5.241095222285          51.54059602          3.451963601       67.14095973347      0.7442241750317
         "BPM.32R8.B2"          1419.153824                    3       96.49486467718       8.173906192369          90.00776914          3.610822822       93.75766738995       1.285423102399
         "BPM.33R8.B2"          1472.605308                    3       24.60557139986        1.78341399581          32.19007405          3.798342067       23.90759315579      0.0521299891283
         "BPM.34R8.B2"          1526.056792                    3       413.2579324273       29.56256112161          339.2954273          3.890600366       401.5351945015      0.7724870255296
         "BPM.33L1.B2"          1579.508276                    3       74.09981994437       5.586205982107          51.54059602          3.951963601       71.99783374436      0.5367201659524
         "BPM.32L1.B2"           1632.95976                    3       97.16415410675       8.143416028596          90.00776914          4.110822822       94.40793336265      0.5801699475274
         "BPM.31L1.B2"          1686.411244                    3       25.84782087225       1.884865856579          32.19007405          4.298342067       25.11461554395      0.2048483245851
         "BPM.30L1.B2"          1739.862728                    3       404.1203567504       28.91724435497          339.2954273          4.390600366       392.6568707204      0.9267749462216
         "BPM.29L1.B2"          1793.314212                    3       72.02272681722       5.441115580069          51.54059602          4.451963601       69.97969568563      0.6056831166018
         "BPM.28L1.B2"          1846.765696                    3       93.16064869146       7.787947005132          90.00776914          4.610822822       90.51800595876      0.1203765153684
         "BPM.27L1.B2"           1900.21718                    3       24.10154706206       1.808817346675          32.19007405          4.798342067       23.41789854402      0.4528913833637
         "BPM.26L1.B2"          1953.668665                    3        380.821103339       27.26796323391          339.2954273          4.890600366       370.0184648662       1.405587432637
         "BPM.25L1.B2"          2007.120149                    3       75.53876308009       5.785756392625          51.54059602          4.951963601       73.39601830681       1.124558234265
         "BPM.24L1.B2"          2060.571633                    3       97.17565134265       8.128764414168          90.00776915          5.110822822       94.41910335618      0.3325220401839
         "BPM.23L1.B2"          2114.023117                    3         25.311672795       1.843570136169          32.19007404          5.298342067        24.5936696182        0.18045233126
