@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ Q1 %le 0.2699882059850884
@ Q2 %le 0.3219860194100735
@ RMSbetabeat %le -1
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds.linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds.linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds.linx"
*                 NAME                    S                COUNT                 BETX              SYSBETX             STATBETX              ERRBETX        CORR_ALFABETA                 ALFX              SYSALFX             STATALFX              ERRALFX              BETXMDL              ALFXMDL               MUXMDL        NCOMBINATIONS
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"               16.238                    3       264.7350874598                    0                    0         4.9333136664                    0     -0.9488640107796                    0                    0     0.04195663360702           291.999838          -1.74933284       0.009791932429                   34
        "BPM_A.7R8.B2"              122.586                    3       273.0421746959                    0                    0       2.863290819552                    0      -7.202991768403                    0                    0     0.06521689907001          142.9845021         -3.653611205         0.3218073162                   41
          "BPM.8R8.B2"          164.0249894                    3       10.88422811301                    0                    0      0.4410942853987                    0      0.8705147805291                    0                    0     0.04253694671285          9.728904386         0.2344318227            0.5030005                   21
          "BPM.9R8.B2"          203.0919788                    3        225.025944698                    0                    0       5.379972666989                    0      -6.217245262826                    0                    0      0.1349398554043           204.959133          -5.01554198         0.7093202688                   41
         "BPM.10R8.B2"          243.5569682                    3       73.52113773574                    0                    0       1.662579480108                    0       1.663463864672                    0                    0     0.06305340261109          47.14970315          1.481618203         0.7672940976                   34
         "BPM.11R8.B2"          295.3976576                    3       157.1014043618                    0                    0        1.56330319383                    0      -1.414099677146                    0                    0     0.02775821801746          96.94257233         -1.230939973         0.9254010613                   43
         "BPM.12R8.B2"          350.1241417                    3       16.98505184909                    0                    0      0.9252902296426                    0    0.009124367375768                    0                    0     0.02252060125146          33.82691435        -0.1151563555          1.101538784                   43
         "BPM.13R8.B2"          403.5756258                    3        294.449127757                    0                    0       11.08664497881                    0      -4.808753230574                    0                    0      0.1549528147777          327.5786616         -4.610096255          1.193083808                   33
         "BPM.14R8.B2"          457.0271099                    3       60.95688355114                    0                    0       1.079836799358                    0       1.348713530627                    0                    0     0.05280203500148          39.67543615           1.32544952          1.264880968                   26
         "BPM.15R8.B2"           510.478594                    3       125.6067431011                    0                    0       3.991319349889                    0       -1.19879205998                    0                    0     0.06080805491782          91.50822987         -1.390017188          1.464341662                   31
         "BPM.16R8.B2"          563.9300781                    3       21.34461420516                    0                    0       1.204110977484                    0    -0.05873986806189                    0                    0     0.02977567484796          42.14112041       -0.03689620828          1.612143949                   31
         "BPM.17R8.B2"          617.3815622                    3       309.8452563196                    0                    0       12.86873373381                    0      -4.770622561273                    0                    0       0.179239162958          327.9511276         -4.365692123          1.693084017                   23
         "BPM.18R8.B2"          670.8330463                    3       62.53425647965                    0                    0       1.767604644286                    0       1.425125975811                    0                    0     0.09273463176954          39.67543616          1.325449521          1.764880968                   21
         "BPM.19R8.B2"          724.2845304                    3        127.319603257                    0                    0       3.695933450583                    0      -1.198962830414                    0                    0     0.05978091914471          91.50822986         -1.390017188          1.964341661                   21
         "BPM.20R8.B2"          777.7360145                    3       21.66850731939                    0                    0        1.06716973844                    0     -0.1234293895967                    0                    0     0.02893975363522           42.1411204       -0.03689620846          2.112143948                   21
         "BPM.21R8.B2"          831.1874986                    3       299.8409771206                    0                    0       9.235181522657                    0      -4.648150577218                    0                    0       0.129906548176          327.9511276         -4.365692123          2.193084017                   21
