@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ Q1 %le 0.2799881659850902
@ Q2 %le 0.3099859594100752
@ RMSbetabeat %le -1
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds.linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds.linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds.linx"
*                 NAME                    S                COUNT                 BETX              SYSBETX             STATBETX              ERRBETX        CORR_ALFABETA                 ALFX              SYSALFX             STATALFX              ERRALFX              BETXMDL              ALFXMDL               MUXMDL        NCOMBINATIONS
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"               16.238                    3       248.3565001085                    0                    0       4.334720518167                    0     -0.8923292659877                    0                    0     0.03686491007856          274.0159211         -1.644273422        0.01043463339                   34
        "BPM_A.7R8.B2"              122.586                    3       273.1429921361                    0                    0        2.84777378478                    0      -7.141030676839                    0                    0     0.06485763429819          149.4754651          -3.77285816         0.3186035649                   41
          "BPM.8R8.B2"          164.0249894                    3       10.23860643993                    0                    0      0.4327012668136                    0      0.8084189223608                    0                    0     0.04335537985795           9.12974302         0.2227464887          0.503197187                   21
          "BPM.9R8.B2"          203.0919788                    3       237.2831358399                    0                    0       5.151682796018                    0      -6.510696156783                    0                    0      0.1284807122131          216.2021521          -5.32620606         0.7124951037                   41
         "BPM.10R8.B2"          243.5569682                    3       75.10485176964                    0                    0       1.804737573304                    0       1.759022889632                    0                    0     0.06730074042706          50.21932889          1.586733482         0.7670496408                   34
         "BPM.11R8.B2"          295.3976576                    3        150.259023963                    0                    0       1.446497464073                    0      -1.305277881325                    0                    0      0.0253899849202          93.89998342         -1.138106431         0.9214429809                   43
         "BPM.12R8.B2"          350.1241417                    3       17.16976806887                    0                    0      0.9142769009127                    0    -0.05378048344564                    0                    0     0.02258186870127          33.10500511        -0.1719263413          1.106724044                   43
         "BPM.13R8.B2"          403.5756258                    3       311.0749695329                    0                    0         11.542649049                    0      -5.051382867486                    0                    0      0.1615719909707          342.8302617         -4.870240027          1.197044623                   33
         "BPM.14R8.B2"          457.0271099                    3       62.28588466038                    0                    0       1.166542302058                    0       1.437956035367                    0                    0     0.05467163175744          42.26772098          1.418790544           1.26478427                   26
         "BPM.15R8.B2"           510.478594                    3       118.5648817095                    0                    0       3.682960417659                    0      -1.102395069961                    0                    0     0.05688695209295          86.66369997         -1.284293654          1.462137835                   31
         "BPM.16R8.B2"          563.9300781                    3       21.93956845522                    0                    0       1.188292614134                    0     -0.1181472746085                    0                    0     0.02967166273054          41.58214979       -0.09821396095          1.617516314                   31
         "BPM.17R8.B2"          617.3815622                    3       325.8463371381                    0                    0       13.80463411804                    0      -4.989717200672                    0                    0      0.1927128154487          343.2201083         -4.614457188          1.697044822                   23
         "BPM.18R8.B2"          670.8330463                    3       64.06439579118                    0                    0       1.890811006803                    0        1.51955106103                    0                    0     0.09711500675786          42.26772099          1.418790544           1.76478427                   21
         "BPM.19R8.B2"          724.2845304                    3       120.1205642845                    0                    0       3.458181117312                    0      -1.097408532158                    0                    0     0.05546124994828          86.66369996         -1.284293654          1.962137835                   21
         "BPM.20R8.B2"          777.7360145                    3       22.35798072693                    0                    0       1.013500183515                    0      -0.182752929973                    0                    0     0.02817916325387          41.58214978       -0.09821396111          2.117516314                   21
         "BPM.21R8.B2"          831.1874986                    3       316.8213531763                    0                    0       10.20671646131                    0      -4.883203933048                    0                    0      0.1442670425526          343.2201083         -4.614457189          2.197044822                   21
