@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ Q1 %le 0.2799881659850902
@ Q2 %le 0.3099859594100752
@ RMSbetabeat %le 0
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds.linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds.linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds.linx"
*                 NAME                    S                COUNT                 BETX              SYSBETX             STATBETX              ERRBETX        CORR_ALFABETA                 ALFX              SYSALFX             STATALFX              ERRALFX              BETXMDL              ALFXMDL               MUXMDL        NCOMBINATIONS
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"               16.238                    3       248.4303735737                    0                    0         4.9333136664                    0      -1.009490850209                    0                    0     0.04195663360702          274.0159211         -1.644273422        0.01043463339                   34
        "BPM_A.7R8.B2"              122.586                    3       285.4372708592                    0                    0       2.863290819552                    0      -6.975330192259                    0                    0     0.06521689907001          149.4754651          -3.77285816         0.3186035649                   41
          "BPM.8R8.B2"          164.0249894                    3       10.21391532903                    0                    0      0.4410942853987                    0      0.9161821938373                    0                    0     0.04253694671285           9.12974302         0.2227464887          0.503197187                   21
          "BPM.9R8.B2"          203.0919788                    3       237.3697273692                    0                    0       5.379972666989                    0      -5.854609127845                    0                    0      0.1349398554043          216.2021521          -5.32620606         0.7124951037                   41
         "BPM.10R8.B2"          243.5569682                    3        78.3076445799                    0                    0       1.662579480108                    0       1.553265478979                    0                    0     0.06305340261109          50.21932889          1.586733482         0.7670496408                   34
         "BPM.11R8.B2"          295.3976576                    3       152.1707017905                    0                    0        1.56330319383                    0      -1.529445551832                    0                    0     0.02775821801746          93.89998342         -1.138106431         0.9214429809                   43
         "BPM.12R8.B2"          350.1241417                    3       16.62256930798                    0                    0      0.9252902296426                    0    0.006111506156018                    0                    0     0.02252060125146          33.10500511        -0.1719263413          1.106724044                   43
         "BPM.13R8.B2"          403.5756258                    3       308.1582635243                    0                    0       11.08664497881                    0      -4.551893774555                    0                    0      0.1549528147777          342.8302617         -4.870240027          1.197044623                   33
         "BPM.14R8.B2"          457.0271099                    3       64.93964013424                    0                    0       1.079836799358                    0       1.259982813775                    0                    0     0.05280203500148          42.26772098          1.418790544           1.26478427                   26
         "BPM.15R8.B2"           510.478594                    3       118.9570065314                    0                    0       3.991319349889                    0      -1.297477070778                    0                    0     0.06080805491782          86.66369997         -1.284293654          1.462137835                   31
         "BPM.16R8.B2"          563.9300781                    3       21.06149377267                    0                    0       1.204110977484                    0    -0.02206690765129                    0                    0     0.02977567484796          41.58214979       -0.09821396095          1.617516314                   31
         "BPM.17R8.B2"          617.3815622                    3       324.2712510504                    0                    0       12.86873373381                    0      -4.513438631897                    0                    0       0.179239162958          343.2201083         -4.614457188          1.697044822                   23
         "BPM.18R8.B2"          670.8330463                    3       66.62007430844                    0                    0       1.767604644286                    0       1.331368150141                    0                    0     0.09273463176954          42.26772099          1.418790544           1.76478427                   21
         "BPM.19R8.B2"          724.2845304                    3       120.5791862936                    0                    0       3.695933450583                    0      -1.297661899098                    0                    0     0.05978091914471          86.66369996         -1.284293654          1.962137835                   21
         "BPM.20R8.B2"          777.7360145                    3       21.38109068557                    0                    0        1.06716973844                    0    -0.04636893204572                    0                    0     0.02893975363522          41.58214978       -0.09821396111          2.117516314                   21
         "BPM.21R8.B2"          831.1874986                    3       313.8011855402                    0                    0       9.235181522657                    0      -4.397569103003                    0                    0       0.129906548176          343.2201083         -4.614457189          2.197044822                   21
         "BPM.22R8.B2"          884.6389827                    3       68.06499167553                    0                    0      0.6166378036042                    0       1.366963191897                    0                    0     0.02048543781532            42.267721          1.418790544           2.26478427                   21
         "BPM.23R8.B2"          938.0904667                    3       123.4512956305                    0                    0       3.962173708915                    0       -1.31565107825                    0                    0     0.06561002905395          86.66369996         -1.284293653          2.462137835                   21
