@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ Q1 %le 0.2699882059850884
@ Q2 %le 0.3219860194100735
@ RMSbetabeat %le -1
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds.liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds.liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds.liny"
*                 NAME                    S                COUNT                 BETY              SYSBETY             STATBETY              ERRBETY        CORR_ALFABETA                 ALFY              SYSALFY             STATALFY              ERRALFY              BETYMDL              ALFYMDL               MUYMDL        NCOMBINATIONS
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"               16.238                    3       115.3866203498                    0                    0       2.526913265951                    0       5.385357892985                    0                    0     0.07968055241092          86.46194153           3.93270581        0.01712583033                   38
         "BPMR.6R8.B2"              100.346                    3       268.7763765141                    0                    0       4.380158152453                    0       6.743309903545                    0                    0     0.07076713089411          204.8404066          5.262988013         0.4245231951                   41
        "BPM_A.7R8.B2"              122.586                    3       54.88117747017                    0                    0      0.6394492009659                    0       2.913765798632                    0                    0     0.01671024314181          40.04080323          2.147066096         0.4640107795                   35
          "BPM.8R8.B2"          164.0249894                    3       51.38670761303                    0                    0      0.8115888861516                    0     -0.8775738848399                    0                    0      0.0118011524203          65.33806145         -1.359338887         0.6741060934                   44
          "BPM.9R8.B2"          203.0919788                    3       32.24365562569                    0                    0      0.2734122366769                    0     -0.2494980945231                    0                    0    0.007111402493909          36.78705495        0.03406323129          0.801941355                   44
         "BPM.10R8.B2"          243.5569682                    3       328.8233212035                    0                    0       3.597261058089                    0      -6.281827011784                    0                    0     0.05393238373474          285.1493375         -5.183583698          0.876381256                   35
         "BPM.11R8.B2"          295.3976576                    3       64.06240318118                    0                    0      0.6685958468378                    0        1.70584612062                    0                    0     0.02304377154326          46.67730849           1.33826348         0.9434265953                   34
         "BPM.12R8.B2"          350.1241417                    3       104.3256361569                    0                    0        1.16990354381                    0     -0.9145268601198                    0                    0      0.0147358851054          99.25591405         -1.217619927          1.107159857                   33
         "BPM.13R8.B2"          403.5756258                    3       24.31476734764                    0                    0      0.2204724503919                    0     -0.3085315265833                    0                    0    0.007120708021798          30.32866675       -0.09781465581             1.287622                   31
         "BPM.14R8.B2"          457.0271099                    3       376.2047776558                    0                    0       3.377097893958                    0      -5.736586710201                    0                    0     0.04282709690724          315.1697138         -4.536723106          1.387237826                   23
         "BPM.15R8.B2"           510.478594                    3       68.81924051916                    0                    0      0.3235390674496                    0       1.788411537051                    0                    0     0.01302274837466          50.23524806          1.388516371          1.451907219                   21
         "BPM.16R8.B2"          563.9300781                    3        100.890431489                    0                    0       1.047871861964                    0      -0.826699704111                    0                    0     0.01210907335132          97.72164865         -1.129844808           1.60409616                   21
         "BPM.17R8.B2"          617.3815622                    3        24.5160437777                    0                    0      0.2489304914046                    0     -0.3316883127406                    0                    0    0.007925216901481          30.29448182        -0.1204070562           1.78761974                   21
         "BPM.18R8.B2"          670.8330463                    3       380.1120832691                    0                    0       5.563099751341                    0      -5.689853521232                    0                    0     0.05018718033678          315.1697138         -4.536723106          1.887237826                   21
         "BPM.19R8.B2"          724.2845304                    3       69.44710558852                    0                    0      0.5147101216403                    0       1.873809695358                    0                    0     0.01190678936906          50.23524806          1.388516371          1.951907219                   21
         "BPM.20R8.B2"          777.7360145                    3       100.0056067024                    0                    0       1.487720508266                    0     -0.8339204884892                    0                    0     0.01289373583922          97.72164865         -1.129844808           2.10409616                   21
         "BPM.21R8.B2"          831.1874986                    3       25.01477360755                    0                    0       0.404695598196                    0     -0.3443045426263                    0                    0     0.01276482925675          30.29448182        -0.1204070562           2.28761974                   21
         "BPM.22R8.B2"          884.6389827                    3       377.9777075178                    0                    0       5.441082820736                    0      -5.791571595787                    0                    0     0.05873577131798          315.1697138         -4.536723106          2.387237826                   21
         "BPM.23R8.B2"          938.0904667                    3        68.4453274782                    0                    0      0.4177316764014                    0       1.750350496998                    0                    0      0.0133880829338          50.23524806          1.388516371          2.451907219                   21
         "BPM.24R8.B2"          991.5419508                    3       103.7535582496                    0                    0       1.356367864387                    0     -0.8384068845153                    0                    0     0.01915058500872          97.72164865         -1.129844808           2.60409616                   21
         "BPM.25R8.B2"          1044.993435                    3       24.26726072298                    0                    0      0.5749172018491                    0      -0.318285017472                    0                    0     0.02280640013196          30.29448182        -0.1204070562           2.78761974                   21
         "BPM.26R8.B2"          1098.444919                    3       385.0697207555                    0                    0       8.015571272136                    0      -5.838403298804                    0                    0     0.07278875895398          315.1697138         -4.536723106          2.887237826                   21
         "BPM.27R8.B2"          1151.896403                    3       69.90151721155                    0                    0      0.5722554503174                    0       1.835000671796                    0                    0     0.01980388806757          50.23524807          1.388516371          2.951907219                   21
         "BPM.28R8.B2"          1205.347887                    3       102.4275786731                    0                    0        1.75909638867                    0     -0.8862814179722                    0                    0     0.01674594482897          97.72164866         -1.129844808           3.10409616                   21
         "BPM.29R8.B2"          1258.799371                    3       24.49522884952                    0                    0       0.610196217777                    0     -0.3418102339246                    0                    0     0.02282707368483          30.29448182        -0.1204070562           3.28761974                   21
         "BPM.30R8.B2"          1312.250855                    3       386.7329645913                    0                    0       4.414422860318                    0      -5.872158273751                    0                    0      0.0550372598661          315.1697138         -4.536723106          3.387237826                   21
         "BPM.31R8.B2"           1365.70234                    3       71.97946760661                    0                    0        0.47004757291                    0       1.814958867833                    0                    0     0.01813074988965          50.23524807          1.388516371          3.451907219                   21
         "BPM.32R8.B2"          1419.153824                    3       105.9804261037                    0                    0        1.22276453461                    0     -0.8494056181854                    0                    0     0.01486828783942          97.72164866         -1.129844808           3.60409616                   21
         "BPM.33R8.B2"          1472.605308                    3       22.94775416991                    0                    0      0.3543840335576                    0     -0.2998989006203                    0                    0     0.00944644237204          30.29448182        -0.1204070562           3.78761974                   21
         "BPM.34R8.B2"          1526.056792                    3       373.2994852272                    0                    0       4.851467251132                    0      -5.803640950148                    0                    0     0.04722827868211          315.1697138         -4.536723106          3.887237826                   21
         "BPM.33L1.B2"          1579.508276                    3       71.10311194915                    0                    0      0.4356829702991                    0       1.827743409273                    0                    0     0.01350581122702          50.23524807          1.388516371          3.951907219                   21
         "BPM.32L1.B2"           1632.95976                    3       106.8120893917                    0                    0        1.04501297671                    0     -0.8565265403764                    0                    0     0.01074378390526          97.72164866         -1.129844808           4.10409616                   21
         "BPM.31L1.B2"          1686.411244                    3       23.01958750206                    0                    0      0.3385558079712                    0     -0.3035295173406                    0                    0    0.009893690566043          30.29448181        -0.1204070562           4.28761974                   21
         "BPM.30L1.B2"          1739.862728                    3       374.7452608902                    0                    0       5.393774553258                    0      -5.781054476808                    0                    0     0.04611319409363          315.1697138         -4.536723106          4.387237826                   21
         "BPM.29L1.B2"          1793.314212                    3       70.10576537949                    0                    0      0.5558413622734                    0       1.795569336799                    0                    0     0.02053788895488          50.23524807          1.388516371          4.451907219                   21
         "BPM.28L1.B2"          1846.765696                    3        107.159509377                    0                    0       1.462165303445                    0     -0.8727309813725                    0                    0      0.0176014335521          97.72164866         -1.129844808           4.60409616                   21
         "BPM.27L1.B2"           1900.21718                    3       23.13954130392                    0                    0      0.3219997455082                    0     -0.3113400432124                    0                    0     0.01306508190117          30.29448181        -0.1204070562           4.78761974                   21
         "BPM.26L1.B2"          1953.668665                    3       375.6780339234                    0                    0       5.875775228004                    0      -5.729201540232                    0                    0     0.05100361350544          315.1697138         -4.536723106          4.887237826                   21
         "BPM.25L1.B2"          2007.120149                    3       71.74347621841                    0                    0      0.5786220903197                    0       1.775624527236                    0                    0     0.01046824893102          50.23524807          1.388516371          4.951907219                   21
         "BPM.24L1.B2"          2060.571633                    3       107.7266162546                    0                    0       1.820975450432                    0     -0.8756300928628                    0                    0       0.015606806197          97.72164867         -1.129844808           5.10409616                   21
         "BPM.23L1.B2"          2114.023117                    3       23.12474092552                    0                    0      0.6033860068787                    0      -0.307624048773                    0                    0      0.0242065496212          30.29448181        -0.1204070562           5.28761974                   21
         "BPM.22L1.B2"          2167.474601                    3       366.9694798456                    0                    0       5.550200487389                    0      -5.575120744198                    0                    0      0.0395741387056          315.1697138         -4.536723106          5.387237826                   21
         "BPM.21L1.B2"          2220.926085                    3       71.12756091759                    0                    0      0.5907208201868                    0       1.802251826147                    0                    0     0.02244388639214          50.23524807          1.388516371          5.451907219                   21
         "BPM.20L1.B2"          2274.377569                    3        111.005789234                    0                    0       1.321805607235                    0     -0.9266992221031                    0                    0      0.0109278740097          97.72164867         -1.129844808           5.60409616                   21
         "BPM.19L1.B2"          2327.829053                    3       23.22225657161                    0                    0      0.4696661204852                    0     -0.3226974013456                    0                    0     0.01488262048942          30.29448181        -0.1204070562           5.78761974                   21
         "BPM.18L1.B2"          2381.280537                    3       368.0971748114                    0                    0       5.130209583994                    0      -5.635776166941                    0                    0        0.06160095559          315.1697138         -4.536723106          5.887237826                   21
         "BPM.17L1.B2"          2434.732021                    3       68.66257668156                    0                    0      0.5617237724837                    0       1.725415775378                    0                    0     0.01293455937301          50.23524807          1.388516371          5.951907219                   21
         "BPM.16L1.B2"          2488.183506                    3       105.3606195753                    0                    0       1.318901878683                    0     -0.8651546447072                    0                    0     0.01478410110051          97.72164867         -1.129844808           6.10409616                   21
         "BPM.15L1.B2"           2541.63499                    3       23.85950917861                    0                    0      0.2371921110515                    0      -0.303355101421                    0                    0     0.01010651825678          30.29448181        -0.1204070562           6.28761974                   21
         "BPM.14L1.B2"          2595.086474                    3       374.5592070777                    0                    0       5.992888356076                    0        -5.7139464421                    0                    0     0.07204479201006          315.1697138         -4.536723106          6.387237826                   23
         "BPM.13L1.B2"          2648.537958                    3       68.48884327759                    0                    0      0.5303142853014                    0         1.7608271458                    0                    0     0.01685838667832          50.23524808          1.388516371          6.451907219                   31
         "BPM.12L1.B2"          2701.989442                    3       100.0243196234                    0                    0       1.733177752293                    0     -0.8288870467816                    0                    0     0.01219446239937          96.68314908         -1.121340743          6.605271606                   33
         "BPM.11L1.B2"          2755.440926                    3       24.97588131183                    0                    0      0.6649970538552                    0     -0.3318149204706                    0                    0     0.02546615694224           30.5651833        -0.1278394013          6.789113376                   31
         "BPM.10L1.B2"          2808.223615                    3       369.2393876425                    0                    0       7.983778068776                    0      -5.565128718309                    0                    0     0.04839651398717          306.1674724          -4.41483587          6.887576139                   20
          "BPM.9L1.B2"          2847.290605                    3       77.86714683457                    0                    0      0.5200806199048                    0       2.664056194138                    0                    0     0.01666360741168          58.99798864          2.138573481          6.930320336                   35
          "BPM.8L1.B2"          2887.755594                    3        94.7642714969                    0                    0      0.7473459765126                    0     -0.7677662656179                    0                    0    0.008248046646625          73.28470242        -0.8156756563          7.053415314                   36
        "BPMSX.7L1.B2"          2957.502084                    3       239.0210170796                    0                    0       2.770646828518                    0      -6.791902741278                    0                    0     0.06422097841173          206.2003547         -5.587510444          7.373879876                   26
         "BPMR.6L1.B2"          2970.007584                    3       395.0893633161                    0                    0       3.997470786085                    0       -7.96053137016                    0                    0     0.06243457656334          367.0647524         -6.974022546          7.381092155                   15
          "BPM.5L1.B2"          3001.907584                    3       1196.527539453                    0                    0       23.60971251991                    0      -24.30345505848                    0                    0      0.3802458407046          999.4671632         -19.68869069          7.389679039                    3
        "BPMYA.4L1.B2"          3023.025584                    3       2461.050847137                    0                    0       42.89201458466                    0      -34.52238762019                    0                    0      0.5223042297305          2004.454882         -27.90046164          7.392053727                    5
        "BPMWB.4L1.B2"          3044.082084                    3       2821.707729616                    0                    0       134.3687219478                    0      -5.701853043501                    0                    0      0.2673901710221          2317.062311          -4.44064343          7.393567988                    2
        "BPMSY.4L1.B2"          3136.998084                    3       3002.014671377       2829.997766755       895.6565759095       2968.347698941                    0      -29.25758480661       111.1972938121       34.11365286765       2968.347698941           3219.47084         -5.271302991           7.39898342                   -1
         "BPMS.2L1.B2"          3163.723584                    3       7688.150776719       14526.02872711       2262.692727651       14701.20025578                    0       437.2022322601       714.4305828157       125.3524012137       14701.20025578          4853.400785          311.5872155          7.399881897                   -1
        "BPMSW.1L1.B2"          3173.673584                    3       3568.265205561       8939.195345037       620.6211246885         8960.7133643                    0       82.71725064801         217.43649158        38.5273407918         8960.7133643          1452.262529          67.24030604          7.400551103                   -1
        "BPMSW.1R1.B2"          3216.816584                    3       1765.050528777                    0                    0       159.9842139123                    0      -81.77946759693                    0                    0       7.634196614137          1446.399936         -67.10441858          7.895812745                    1
         "BPMS.2R1.B2"          3226.781584                    3       2145.400380388                    0                    0       152.7095079731                    0       32.54461101689                    0                    0      0.8805516933944          1823.062229          28.04985664          7.896677023                    3
        "BPMSY.4R1.B2"          3253.627084                    3       7328.760203517                    0                    0        242.491803207                    0       49.64105016888                    0                    0       1.623171502211          6306.386524          42.91687098          7.898017908                    3
        "BPMWB.4R1.B2"          3346.423084                    3       1016.847049085                    0                    0        21.0944797635                    0       18.50149431261                    0                    0      0.4116220309232          857.6801421          15.79988035          7.904369922                    6
        "BPMYA.4R1.B2"          3367.479584                    3       419.9266288097                    0                    0       8.004733444562                    0       6.908004068896                    0                    0      0.1099928419802          343.9449878          5.807616484          7.910705052                   20
         "BPMR.5R1.B2"          3394.887584                    3       120.0796117562                    0                    0       2.073288414271                    0       4.912363635598                    0                    0     0.05634458398508          94.96409207          3.933923655          7.934320095                   37
          "BPM.6R1.B2"          3426.787584                    3       18.21418568951                    0                    0       0.784547553462                    0      -1.668612802508                    0                    0     0.02131381691596          20.67134564          -1.62928457          8.305681628                   39
        "BPMRA.7R1.B2"          3454.511584                    3       273.5444261472                    0                    0       4.634329028383                    0      -7.521113408023                    0                    0      0.1163277108779          246.8992897         -6.530719183          8.369110926                   32
          "BPM.8R1.B2"          3495.948594                    3       15.24788956447                    0                    0      0.2228611353039                    0       1.241688295946                    0                    0     0.01198210653735          11.52461895         0.9415349085          8.478992288                   42
          "BPM.9R1.B2"          3535.013605                    3        144.102025798                    0                    0        2.82220313611                    0      -4.181040213738                    0                    0     0.04582045670506          177.9894483         -4.911744451          8.776558142                   43
         "BPM.10R1.B2"          3575.476615                    3       81.35148374984                    0                    0      0.5191081260482                    0      0.9444958485288                    0                    0     0.01570854992589          84.64544897          1.269385637          8.823100181                   42
         "BPM.11R1.B2"          3628.257326                    3       385.6839582429                    0                    0       3.052205501237                    0      -4.422007125093                    0                    0     0.03334869728021          328.1070996         -3.569353997          8.879735971                   27
         "BPM.12R1.B2"          3682.980842                    3       62.95383387105                    0                    0      0.6238068652372                    0       1.624490854698                    0                    0     0.01327418149729          47.91362971          1.317301672          8.947880933                   33
         "BPM.13R1.B2"          3736.429358                    3       97.67036283106                    0                    0       1.544835369415                    0      -0.900218463739                    0                    0     0.01728624667304           97.1063738         -1.174941534          9.106240687                   33
         "BPM.14R1.B2"          3789.877874                    3       26.10257276813                    0                    0      0.2690627151585                    0     -0.3072082809394                    0                    0    0.006339626730753          30.60220421         -0.120030243           9.28895022                   31
         "BPM.15R1.B2"           3843.32639                    3        370.158086391                    0                    0        3.56887483985                    0      -5.586267584508                    0                    0      0.0351046014685          315.6792085          -4.53414444          9.387890647                   23
         "BPM.16R1.B2"          3896.774906                    3       65.03043735472                    0                    0      0.3212681566219                    0         1.7385506823                    0                    0     0.01374942635446          49.93853604          1.388214247          9.452703964                   21
