@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ Q1 %le 0.2799881659850902
@ Q2 %le 0.3099859594100752
@ RMSbetabeat %le -1
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds.liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds.liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds.liny"
*                 NAME                    S                COUNT                 BETY              SYSBETY             STATBETY              ERRBETY        CORR_ALFABETA                 ALFY              SYSALFY             STATALFY              ERRALFY              BETYMDL              ALFYMDL               MUYMDL        NCOMBINATIONS
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"               16.238                    3       111.7885815716                    0                    0       2.465699808892                    0       5.295756526445                    0                    0     0.08119526524704          83.07424941          3.849287243        0.01767919863                   38
         "BPMR.6R8.B2"              100.346                    3       279.0300155049                    0                    0       4.680356573732                    0       7.078534343102                    0                    0     0.07335654688236          215.3757378          5.600755243         0.4256076878                   41
        "BPM_A.7R8.B2"              122.586                    3       55.41165838967                    0                    0      0.7020042851086                    0       3.025517727505                    0                    0     0.01798505550013          40.58939617          2.258342853         0.4638314398                   35
          "BPM.8R8.B2"          164.0249894                    3       48.50433431223                    0                    0      0.8378904991237                    0     -0.8842022264844                    0                    0     0.01214929484534          62.39868786         -1.365015167         0.6858314404                   44
          "BPM.9R8.B2"          203.0919788                    3       34.89539879429                    0                    0      0.2970186253789                    0     -0.2938330228656                    0                    0    0.006924518214145          39.43234012      -0.009461095596          0.811759279                   44
         "BPM.10R8.B2"          243.5569682                    3        351.337823614                    0                    0       3.917409115183                    0      -6.674009676609                    0                    0     0.05797447195744          308.2631622         -5.575900763         0.8805379158                   34
         "BPM.11R8.B2"          295.3976576                    3       65.71936909592                    0                    0      0.7092338665424                    0       1.830090761193                    0                    0     0.02459180677965          48.27821769          1.460663725         0.9437312706                   34
         "BPM.12R8.B2"          350.1241417                    3       96.28884818579                    0                    0       1.105542841558                    0     -0.8240745615048                    0                    0      0.0139160207717          91.44725385         -1.130299387          1.114148642                   32
         "BPM.13R8.B2"          403.5756258                    3       26.13587714911                    0                    0      0.2425857728163                    0     -0.3726311352007                    0                    0    0.007085367971804          32.22644752        -0.1614282136          1.298344194                   31
         "BPM.14R8.B2"          457.0271099                    3       400.0984440128                    0                    0       3.594928313998                    0      -6.042445734997                    0                    0     0.04456295655619          339.2954273         -4.845840943          1.390600366                   23
         "BPM.15R8.B2"           510.478594                    3       70.12335883064                    0                    0      0.3555824854099                    0       1.902602385286                    0                    0     0.01420540393839          51.54059601          1.503950615          1.451963601                   21
         "BPM.16R8.B2"          563.9300781                    3       93.20941833773                    0                    0      0.9907544532888                    0     -0.7418662440241                    0                    0     0.01139865989838          90.00776913         -1.045964843          1.610822822                   21
         "BPM.17R8.B2"          617.3815622                    3       26.37391160819                    0                    0      0.2695836661325                    0     -0.3963764948833                    0                    0    0.007838778367341          32.19007406        -0.1854357907          1.798342067                   21
         "BPM.18R8.B2"          670.8330463                    3       404.2815282212                    0                    0       5.980098729393                    0      -5.987315064722                    0                    0     0.05250870405467          339.2954273         -4.845840943          1.890600366                   21
         "BPM.19R8.B2"          724.2845304                    3       70.79755399803                    0                    0      0.5340685586657                    0        1.99197428641                    0                    0     0.01239985792271          51.54059601          1.503950615          1.951963601                   21
         "BPM.20R8.B2"          777.7360145                    3       92.32438619302                    0                    0       1.372596358617                    0      -0.751767903836                    0                    0      0.0119206831009          90.00776913         -1.045964843          2.110822822                   21
