@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ Q1 %le 0.2799881659850902
@ Q2 %le 0.3099859594100752
@ RMSbetabeat %le 0
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds.liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds.liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds.liny"
*                 NAME                    S                COUNT                 BETY              SYSBETY             STATBETY              ERRBETY        CORR_ALFABETA                 ALFY              SYSALFY             STATALFY              ERRALFY              BETYMDL              ALFYMDL               MUYMDL        NCOMBINATIONS
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"               16.238                    3       110.8656214271                    0                    0       2.526913265951                    0       5.502064911676                    0                    0     0.07968055241092          83.07424941          3.849287243        0.01767919863                   38
         "BPMR.6R8.B2"              100.346                    3       282.6000560914                    0                    0       4.380158152453                    0       6.336638122985                    0                    0     0.07076713089411          215.3757378          5.600755243         0.4256076878                   41
        "BPM_A.7R8.B2"              122.586                    3       55.63309611491                    0                    0      0.6394492009659                    0       2.770193971928                    0                    0     0.01671024314181          40.58939617          2.258342853         0.4638314398                   35
          "BPM.8R8.B2"          164.0249894                    3       49.07496576023                    0                    0      0.8115888861516                    0     -0.8739245809996                    0                    0      0.0118011524203          62.39868786         -1.365015167         0.6858314404                   44
          "BPM.9R8.B2"          203.0919788                    3       34.56223383668                    0                    0      0.2734122366769                    0      0.8982798254091                    0                    0    0.007111402493909          39.43234012      -0.009461095596          0.811759279                   44
         "BPM.10R8.B2"          243.5569682                    3       355.4773007295                    0                    0       3.597261058089                    0      -5.839841395316                    0                    0     0.05393238373474          308.2631622         -5.575900763         0.8805379158                   35
         "BPM.11R8.B2"          295.3976576                    3       66.25957551062                    0                    0      0.6685958468378                    0        1.56290015741                    0                    0     0.02304377154326          48.27821769          1.460663725         0.9437312706                   34
         "BPM.12R8.B2"          350.1241417                    3       96.11813083398                    0                    0        1.16990354381                    0     -0.9851780346569                    0                    0      0.0147358851054          91.44725385         -1.130299387          1.114148642                   33
         "BPM.13R8.B2"          403.5756258                    3       25.83623541215                    0                    0      0.2204724503919                    0     -0.1869493839166                    0                    0    0.007120708021798          32.22644752        -0.1614282136          1.298344194                   31
         "BPM.14R8.B2"          457.0271099                    3        405.002623025                    0                    0       3.377097893958                    0      -5.370647898656                    0                    0     0.04282709690724          339.2954273         -4.845840943          1.390600366                   23
         "BPM.15R8.B2"           510.478594                    3       70.60748797491                    0                    0      0.3235390674496                    0       1.651143775942                    0                    0     0.01302274837466          51.54059601          1.503950615          1.451963601                   21
         "BPM.16R8.B2"          563.9300781                    3       92.92641692338                    0                    0       1.047871861964                    0     -0.8929959498314                    0                    0     0.01210907335132          90.00776913         -1.045964843          1.610822822                   21
         "BPM.17R8.B2"          617.3815622                    3       26.05006646264                    0                    0      0.2489304914046                    0      -0.215371655937                    0                    0    0.007925216901481          32.19007406        -0.1854357907          1.798342067                   21
         "BPM.18R8.B2"          670.8330463                    3       409.2090263359                    0                    0       5.563099751341                    0      -5.326895835658                    0                    0     0.05018718033678          339.2954273         -4.845840943          1.890600366                   21
         "BPM.19R8.B2"          724.2845304                    3       71.25166793098                    0                    0      0.5147101216403                    0       1.729987282956                    0                    0     0.01190678936906          51.54059601          1.503950615          1.951963601                   21
         "BPM.20R8.B2"          777.7360145                    3       92.11143778404                    0                    0       1.487720508266                    0     -0.9007957968281                    0                    0     0.01289373583922          90.00776913         -1.045964843          2.110822822                   21
