@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ FILES %s ""
*                 NAME                    S                X1010             X1010RMS           X1010PHASE        X1010PHASERMS               X1010M          X1010MPHASE
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"               16.238    0.007770997725844    0.001491602954812      -0.301006176114     0.04714273503101                    0                    0
        "BPM_A.7R8.B2"              122.586    0.005671994497547    0.001746434510529     -0.1256412266295     0.03035581718153                    0                    0
          "BPM.8R8.B2"          164.0249894    0.004870701863832    0.001501776333756     -0.2427760503489      0.1037986258342                    0                    0
          "BPM.9R8.B2"          203.0919788    0.003924954828329   0.0003429309930492      0.0490964112999     0.00468148000839                    0                    0
         "BPM.10R8.B2"          243.5569682    0.005334722549566   0.0001866349117894    -0.06608200974497     0.01638146567123                    0                    0
         "BPM.11R8.B2"          295.3976576     0.00728401505047   0.0007739530854407     -0.1976635768067     0.02669220392622                    0                    0
         "BPM.12R8.B2"          350.1241417    0.007879389725411   0.0009148911716047     -0.1288085966923       0.425389515507                    0                    0
         "BPM.13R8.B2"          403.5756258    0.003369457021278   0.0005395428537785      0.0952471821509     0.01333749134946                    0                    0
         "BPM.14R8.B2"          457.0271099    0.005095085761251   0.0004299390637089    -0.03688733284357     0.01706025278725                    0                    0
         "BPM.15R8.B2"           510.478594    0.007482871278676   0.0006918893767394     -0.2264106089854     0.04839467384484                    0                    0
         "BPM.16R8.B2"          563.9300781    0.007153437316585   0.0004150050931648      0.4825824086278     0.02253279151245                    0                    0
         "BPM.17R8.B2"          617.3815622    0.003266248771602   9.885080968157e-05       0.120149954312     0.02017254857653                    0                    0
         "BPM.18R8.B2"          670.8330463    0.004532516755883   0.0006962671407044      0.0120469220201     0.04911601485597                    0                    0
         "BPM.19R8.B2"          724.2845304    0.006685905224333   0.0005097025035326     -0.2300828866557     0.04240599330883                    0                    0
         "BPM.20R8.B2"          777.7360145    0.005936842042832   0.0009329369183977       0.393971618287      0.0894038744904                    0                    0
         "BPM.21R8.B2"          831.1874986    0.003392311907174   0.0001625419077631      0.1225172959597     0.01473103067329                    0                    0
         "BPM.22R8.B2"          884.6389827    0.004905147420428   0.0009636654207135      0.0010097504136     0.06464615851408                    0                    0
         "BPM.23R8.B2"          938.0904667    0.007028413801037   0.0005618838063219     -0.2301451966682      0.0361722462073                    0                    0
         "BPM.24R8.B2"          991.5419508    0.006542646804237   0.0005435712316983      0.4752367781675     0.04131010783642                    0                    0
         "BPM.25R8.B2"          1044.993435    0.003326917793372   0.0005225321820974      0.1177729406568     0.02982082797821                    0                    0
         "BPM.26R8.B2"          1098.444919    0.005446592392454   0.0006589462875098     -0.0616172869786      0.0169174941007                    0                    0
         "BPM.27R8.B2"          1151.896403    0.006668787174824   0.0003998622979765     -0.2240313077443     0.01681878925818                    0                    0
         "BPM.28R8.B2"          1205.347887    0.006849350316602   0.0006028780624984     0.08906830631419      0.4332753032254                    0                    0
         "BPM.29R8.B2"          1258.799371    0.003792178186873   0.0007628682717872       0.145677849864     0.02507430611936                    0                    0
         "BPM.30R8.B2"          1312.250855    0.005195502788698    0.001308709952075     -0.0261844881659     0.06802428941398                    0                    0
         "BPM.31R8.B2"           1365.70234    0.006738658518312   0.0005227307670566     -0.2250390233093     0.02957754086287                    0                    0
         "BPM.32R8.B2"          1419.153824     0.00667562096284    0.001038337269785      0.4698209058986     0.04114354192195                    0                    0
         "BPM.33R8.B2"          1472.605308    0.003250417180924   0.0002742642529277      0.1175139420114    0.007015942681428                    0                    0
         "BPM.34R8.B2"          1526.056792    0.005925559692122   0.0004676867423958     -0.0651810298229     0.03765100198386                    0                    0
         "BPM.33L1.B2"          1579.508276    0.007225023071788   0.0003239819923834     -0.2452072534529     0.01906645958274                    0                    0
         "BPM.32L1.B2"           1632.95976    0.006853421269056   0.0006085634483381      0.1605622368085      0.4199475143303                    0                    0
         "BPM.31L1.B2"          1686.411244    0.003357859170101   0.0003960300231671     0.07890239903027     0.01622891638381                    0                    0
         "BPM.30L1.B2"          1739.862728    0.005216720458272   0.0008324607616119    -0.05718507396023      0.0214393844476                    0                    0
         "BPM.29L1.B2"          1793.314212    0.007929857164227   0.0004965858232909     -0.2537454749485     0.02527892945032                    0                    0
         "BPM.28L1.B2"          1846.765696    0.005081728817476   7.390949013633e-05      0.3861058366213     0.01946106088986                    0                    0
         "BPM.27L1.B2"           1900.21718    0.003339890206907   0.0003282684176756      0.1015732109747     0.01910487933842                    0                    0
         "BPM.26L1.B2"          1953.668665    0.005739455218949   0.0007632694263192    -0.04829852570393     0.04800349261997                    0                    0
         "BPM.25L1.B2"          2007.120149    0.007958621384683   0.0006952846307499      -0.239847992995     0.02380073132848                    0                    0
         "BPM.24L1.B2"          2060.571633    0.005481782221418   0.0005081879274861      0.1076993797207      0.4013754314501                    0                    0
         "BPM.23L1.B2"          2114.023117    0.003387946012455   0.0003611922321639     0.08099711373263     0.01451541446792                    0                    0
         "BPM.22L1.B2"          2167.474601    0.004947424344467   0.0006171327335699    -0.01833822247413     0.01852046668117                    0                    0
         "BPM.21L1.B2"          2220.926085    0.007289086928152   0.0006941256271483     -0.2566565617658     0.02200909122664                    0                    0
         "BPM.20L1.B2"          2274.377569    0.005945167425009   0.0009525838442595      0.3960378440773     0.05678408194551                    0                    0
         "BPM.19L1.B2"          2327.829053    0.003432178876627   0.0001322559629753      0.1442916004178     0.04767474690696                    0                    0
         "BPM.18L1.B2"          2381.280537    0.005224257238033     0.00131580992902    -0.07488443071507     0.02236278785675                    0                    0
         "BPM.17L1.B2"          2434.732021    0.007438550512479    0.001063204201544     -0.2399927767342       0.038489795601                    0                    0
         "BPM.16L1.B2"          2488.183506    0.006960867137394    0.001831808254039      0.0749414660655      0.4028762982055                    0                    0
         "BPM.15L1.B2"           2541.63499    0.002372530611549    0.001684670055247      0.1083584842183     0.01982105681066                    0                    0
         "BPM.14L1.B2"          2595.086474    0.005583937024619   6.366906007363e-05    -0.05534069694423     0.00943827036111                    0                    0
         "BPM.13L1.B2"          2648.537958    0.007716391254401   0.0004991233116827     -0.2460796950809     0.02241587732223                    0                    0
         "BPM.12L1.B2"          2701.989442    0.005989791724578    0.000337422488326      0.4483094958889     0.02411053162783                    0                    0
         "BPM.11L1.B2"          2755.440926    0.003391913190895   0.0002089158476041      0.1015003283638     0.03731417479485                    0                    0
         "BPM.10L1.B2"          2808.223615    0.005942551860557   0.0008912845394468    -0.06012037868377     0.01967477393664                    0                    0
          "BPM.9L1.B2"          2847.290605    0.006832331209295   0.0009280650256318     -0.1806465504968       0.017628381173                    0                    0
          "BPM.8L1.B2"          2887.755594    0.006833342142536    0.001368535222711      0.4265858561744     0.07026025399046                    0                    0
        "BPMSX.7L1.B2"          2957.502084    0.005718135617728   0.0007248379296387    -0.04941042426377     0.02857157847214                    0                    0
         "BPMR.6L1.B2"          2970.007584    0.007484278981428    0.002083473851216     -0.2366735613015      0.1210377037441                    0                    0
          "BPM.5L1.B2"          3001.907584    0.005058419177715   0.0006981276480582      0.1528495551548     0.05927929408663                    0                    0
        "BPMYA.4L1.B2"          3023.025584    0.005295399827526   0.0003666192602474      0.1195332290653     0.06926902128602                    0                    0
        "BPMWB.4L1.B2"          3044.082084    0.005304260788622   0.0002079245447209      0.0763747253962     0.02019636190881                    0                    0
        "BPMSY.4L1.B2"          3136.998084    0.005063147589081   0.0002137621792056     0.08140450522553       0.029924195178                    0                    0
         "BPMS.2L1.B2"          3163.723584    0.005319183124404    0.000791911496923     0.04523413181533      0.0321360627641                    0                    0
        "BPMSW.1L1.B2"          3173.673584    0.005022485619332   0.0004269097013352     0.08728128040097     0.04526508713239                    0                    0
        "BPMSW.1R1.B2"          3216.816584     0.00480759147874   0.0001486254406106       0.104501529041     0.02932916727355                    0                    0
         "BPMS.2R1.B2"          3226.781584    0.005667109162208   0.0002372010332104      0.0488714670153      0.0253062615158                    0                    0
        "BPMSY.4R1.B2"          3253.627084    0.005196312084112   0.0004884972203636     0.08318367957007     0.03455485797438                    0                    0
        "BPMWB.4R1.B2"          3346.423084    0.004782523433427    4.91919312821e-05     0.08477735470667     0.01324388745842                    0                    0
        "BPMYA.4R1.B2"          3367.479584    0.005418215747324   0.0001726380144912      0.0555874508156    0.001704323172415                    0                    0
         "BPMR.5R1.B2"          3394.887584    0.005397821386762   0.0003361644526061      0.1023069282428      0.0529432255794                    0                    0
          "BPM.6R1.B2"          3426.787584    0.001556100596489    0.002200658568022      0.0542487582425     0.03228387506334                    0                    0
        "BPMRA.7R1.B2"          3454.511584                    0   1.483239697419e-08    -0.07735097441638     0.05983414792331                    0                    0
          "BPM.8R1.B2"          3495.948594    0.007965428303221   0.0004461387471132     -0.1524727688495     0.02416125916785                    0                    0
          "BPM.9R1.B2"          3535.013605    0.004358969694157   0.0009740016211733     -0.4620229877768     0.04634150639001                    0                    0
         "BPM.10R1.B2"          3575.476615    0.004107128456149   0.0002833287690586      0.1118245004581     0.03314663430499                    0                    0
         "BPM.11R1.B2"          3628.257326    0.005852200815938    0.000457493564829     -0.0333746667143     0.01366861354253                    0                    0
         "BPM.12R1.B2"          3682.980842     0.00786128875006   0.0002148106661979     -0.2164836260837     0.02010643796732                    0                    0
         "BPM.13R1.B2"          3736.429358    0.006508355763417    0.001096667380221       0.450598206409     0.03481784684248                    0                    0
         "BPM.14R1.B2"          3789.877874    0.003368399804037   0.0003843946423817      0.1112635372933     0.01577138422814                    0                    0
         "BPM.15R1.B2"           3843.32639     0.00557498123553   0.0005264722877444     -0.0445963774673     0.02086566846148                    0                    0
         "BPM.16R1.B2"          3896.774906    0.007999937677406    0.000450677035969     -0.2088090642959     0.01222915499131                    0                    0
         "BPM.17R1.B2"          3950.223421    0.005604020259702    0.001149545842764     0.05835837803571       0.564222097123                    0                    0
