@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ FILES %s ""
*                 NAME                    S                   S1                   S2                X3000               X3000i               X3000r             X3000RMS           X3000PHASE        X3000PHASERMS               X3000M              X3000Mi              X3000Mr          X3000MPHASE
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"               16.238              122.586          164.0249894     0.04680950161235    0.000327920997799    -0.04680835298337     0.06619863202811        0.16629501367      0.2351766636872                    0                    0                    0                    0
        "BPM_A.7R8.B2"              122.586          164.0249894          203.0919788      0.2247330651573     0.03952993639151      0.1348447197023      0.2134829201967      0.4544905974034      0.4127185138082                    0                    0                    0                    0
          "BPM.8R8.B2"          164.0249894          203.0919788          243.5569682      0.1063675846291    -0.07996987821817     0.07013473916396      0.1504264807793      0.2881955837333      0.4075701031317                    0                    0                    0                    0
          "BPM.9R8.B2"          203.0919788          243.5569682          295.3976576      0.1417539001858      0.1065742178347    -0.09346712957403       0.200470288162      0.1215289170667      0.1718678427362                    0                    0                    0                    0
         "BPM.10R8.B2"          243.5569682          295.3976576          350.1241417                    0                    0                    0   1.483239697419e-08                    0   1.483239697419e-08                    0                    0                    0                    0
         "BPM.11R8.B2"          295.3976576          350.1241417          403.5756258                    0                    0                    0   1.483239697419e-08                    0   1.483239697419e-08                    0                    0                    0                    0
         "BPM.12R8.B2"          350.1241417          403.5756258          457.0271099                    0                    0                    0   1.483239697419e-08                    0   1.483239697419e-08                    0                    0                    0                    0
         "BPM.13R8.B2"          403.5756258          457.0271099           510.478594      0.1076713654573     0.01670715195601      0.1063672600614       0.152270305309    0.008265315414667     0.01168892115672                    0                    0                    0                    0
         "BPM.14R8.B2"          457.0271099           510.478594          563.9300781      0.1021896201893    -0.01585656042883     -0.1009519091736      0.1445179468054      0.1749319820813      0.2473911815522                    0                    0                    0                    0
         "BPM.15R8.B2"           510.478594          563.9300781          617.3815622      0.0787720725542     0.06702667238168     0.04138193571987      0.1114005333424     0.05398983641622     0.07635315889013                    0                    0                    0                    0
         "BPM.16R8.B2"          563.9300781          617.3815622          670.8330463      0.1557042167127      -0.140503998022     0.06710014636309      0.2201990149937      0.2736366905101      0.3869807188822                    0                    0                    0                    0
         "BPM.17R8.B2"          617.3815622          670.8330463          724.2845304      0.2920961237957      0.1929803588231     -0.2192686175561      0.4130862997884      0.1283784187762      0.1815545009493                    0                    0                    0                    0
         "BPM.18R8.B2"          670.8330463          724.2845304          777.7360145      0.1511507687691     -0.1403192707619     0.05618769573801      0.2137594671564       0.270206039052      0.3821290450624                    0                    0                    0                    0
         "BPM.19R8.B2"          724.2845304          777.7360145          831.1874986      0.1619470186959       0.141277386571     0.07916777695606      0.2290276702257     0.05623609812842     0.07952985266815                    0                    0                    0                    0
         "BPM.20R8.B2"          777.7360145          831.1874986          884.6389827      0.5317608642362    -0.02295061521124     -0.1165456951038      0.4023898064794      0.2061877990348       0.246678922388                    0                    0                    0                    0
         "BPM.21R8.B2"          831.1874986          884.6389827          938.0904667       0.424166684292    -0.08955368132638     -0.1392697796381      0.3588278669132       0.199725229427      0.2590614801264                    0                    0                    0                    0
         "BPM.22R8.B2"          884.6389827          938.0904667          991.5419508        0.17368388296     0.05609544061528     0.06480485141817      0.1532141633366      0.1817063308905      0.2122946732223                    0                    0                    0                    0
         "BPM.23R8.B2"          938.0904667          991.5419508          1044.993435      0.1065269115783    -0.04951323269805     0.08014359264486     0.07698524398635      0.6010665114374      0.4297559679858                    0                    0                    0                    0
         "BPM.24R8.B2"          991.5419508          1044.993435          1098.444919      0.1898911260468      0.1205208983639     -0.1199144963546      0.1536743213005      0.2677331781041       0.199725420922                    0                    0                    0                    0
         "BPM.25R8.B2"          1044.993435          1098.444919          1151.896403      0.1051922813859    -0.07035999443309    -0.07819774451063      0.1487643509929      0.2055369768279      0.2906731801992                    0                    0                    0                    0
         "BPM.26R8.B2"          1098.444919          1151.896403          1205.347887      0.1218481114823    -0.01620944283105      0.1207651283895      0.1723192518079      0.3262548941693      0.4613940961248                    0                    0                    0                    0
