@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ CG %le 0.00032270993110702055
@ CG_std %le 1.4712342740360174e-05
@ QG %le 1.8687164879952562
@ Q1F %le 0.2799881659850902
@ Q2F %le 0.3099859594100752
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds"
*                 NAME                    S                COUNT               F1001W               FWSTD1               F1001R               F1001I               F1010W               FWSTD2               F1010R               F1010I                Q1001             Q1001STD                Q1010             Q1010STD            MDLF1001R            MDLF1001I            MDLF1010R            MDLF1010I
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
         "BPM.17R8.B2"          617.3815622                    3    0.005631434373486   0.0003618113509108    0.001138488771337    0.005515151531955    0.005108041926224   0.0005220659846647    0.002259372708361      0.0045811927797      0.2176008522027     0.05633009761154      0.1770783468232     0.07919369405287                    0                    0                    0                    0
         "BPM.21R8.B2"          831.1874986                    3     0.00833539605721   0.0004426292820923    0.002991483134518    0.007780093578258    0.006763541824534   0.0005111056268139    0.005493839246856    0.003945025772022      0.1915778053773     0.05440583590617     0.09911510566621     0.09136428088248                    0                    0                    0                    0
         "BPM.29R8.B2"          1258.799371                    3     0.00682036706149   0.0007987230410591  -0.0003263073355628    0.006812556816366    0.008126396476129   0.0004572226471909    0.007538329477401    0.003035112580676      0.2576173698047     0.06869017154297     0.06091916805218     0.08168565501229                    0                    0                    0                    0
         "BPM.20L1.B2"          2274.377569                    3    0.005961444650978   0.0004007984933826    0.005623994469974    0.001977247715481    0.005832131355012   0.0005504652125572   -0.005570908718892    0.001725900399179     0.05380646010931     0.04084315392946      0.4521853065218     0.07585887950284                    0                    0                    0                    0
         "BPM.16L1.B2"          2488.183506                    3    0.008588302305414   0.0006322430679925    0.007769932534087    0.003658836550723    0.006115973972614   0.0003749238486079   -0.005749922628694    0.002084113096192      0.0700433254208     0.02734853404745      0.4446568861427       0.100297398637                    0                    0                    0                    0
          "BPM.5L1.B2"          3001.907584                    3     0.04875433436308    0.007169174520823     0.01046783369263    -0.04761732433653     0.05277992763464     0.00732976139249    -0.02962743156984    -0.04367992742315      0.7844396172115      0.1393434906819      0.6551431975486      0.1283444302023                    0                    0                    0                    0
        "BPMSW.1R1.B2"          3216.816584                    3      0.5121725130138     0.01387355347235      0.3727521944982      -0.351249889087      0.5136767043371      0.0143201116809      0.3958754336326      0.3273322434849      0.8797253904746     0.06317516201242      0.1099607532329     0.06843564097511                    0                    0                    0                    0
        "BPMRA.7R1.B2"          3454.511584                    3     0.01520497814161    0.001230711131612    0.008579150597134     0.01255346706367     0.01301779918877     0.00117564662473   -0.003741079371385     0.01246865754025      0.1545859801274     0.07327545900923      0.2963924352003     0.08360941648306                    0                    0                    0                    0
         "BPMS.2R2.B2"            6559.0658                    3      0.1088462576404    0.001435414951671     0.08342412901486     0.06991367892224      0.1075345106352    0.001454416754907     0.09561718245601     0.04920391647743      0.1110131272988     0.08464095063516     0.07563896010485     0.09435731128333                    0                    0                    0                    0
        "BPMSX.4R2.B2"            6597.0373                    3     0.04722925967869   0.0009332934739837    -0.04255198411922    -0.02049223309733     0.05694290642321   0.0006756767451646    -0.03973239865588    -0.04079008567009      0.5714294141508      0.0721445328759      0.6270904277558     0.08276930587815                    0                    0                    0                    0
         "BPMR.6L3.B2"          9664.181384                    3     0.02831562653126    0.001672460024991    -0.02769875222916   -0.005878250658595     0.03002260449555     0.00157671865521    -0.02096877094295    -0.02148644749228      0.5332821978582       0.111225816807      0.6269405552919     0.08640391806405                    0                    0                    0                    0
          "BPM.8R3.B2"          10160.67137                    3    0.007652546498999    0.001156387060982   -0.004977084863425     0.00581292475279    0.009923994842271   0.0007801136384197    0.006547370525344   -0.007457721691862       0.362695755502     0.06682001152107      0.8646692329095     0.09324374535699                    0                    0                    0                    0
         "BPM.28R4.B2"          14534.94185                    3    0.008929446814995   0.0005528290355789    0.006537482722737   -0.006082461678608    0.007228507140578   0.0007463239126338    -0.00219573783748   -0.006886947860297      0.8807359595807     0.05070601018721      0.7008787993482     0.09996634560526                    0                    0                    0                    0
          "BPM.7L5.B2"          16256.41755                    3     0.01113593678134    0.001064441614738     0.00571090163999   -0.009560057032062     0.00581814041165   0.0008899806640109   -0.002195022441253    0.005388193976841      0.8357024273392     0.05204823772357       0.311568934524      0.1360939872426                    0                    0                    0                    0
        "BPMSW.1R5.B2"          16546.41055                    3      0.1142980323744     0.01281252554115     0.09742458361428     0.05977031631383      0.1204512907789     0.01318503298504      0.1068615280374     0.05557991791836     0.08758127376823     0.09301205078604     0.07633184334799     0.08946096074025                    0                    0                    0                    0
        "BPMSY.4R5.B2"          16583.22105                    3     0.03519322261831   0.0009173111668028    -0.03260625180974    -0.01324368759757     0.02592950343596    0.001147587074064    -0.02234906881649     -0.0131475576238      0.5614042316513     0.04696043366735      0.5846320505084      0.0647489724216                    0                    0                    0                    0
         "BPM.11L7.B2"          22749.61124                    3    0.006090364218675   0.0003483268748692    0.002966534199355   -0.005319042316073    0.008190082857796   0.0005155029193612    0.004068164795394   -0.007108269298154      0.8309701804841     0.02409046600298      0.8327309085566       0.066057873923                    0                    0                    0                    0
          "BPM.9L7.B2"          22841.45696                    3    0.009675412444404   0.0007717152128317    0.004656976586201   -0.008480930081359    0.008570557107134    0.000439931315041   -0.008481601987715   -0.001231615544166       0.829921379405     0.04075544948729      0.5229505145763     0.06837575084359                    0                    0                    0                    0
          "BPM.8L7.B2"          22881.91997                    3    0.006898670013813    0.000384059006891   5.787443521923e-05   -0.006898427248963     0.01107089250987   0.0004774044020311    0.003082303827091     0.01063315870673      0.7513352009115     0.09040461129239      0.2050954537292     0.06179845044986                    0                    0                    0                    0
         "BPMR.6L7.B2"          22955.80198                    3     0.03930548780301     0.00226743951127    -0.02456691056436    -0.03068205137788     0.03582513072264    0.003205428032855    -0.01242307594581    -0.03360219003784      0.6425443923067     0.07925238830319      0.6936392423685     0.07920908500943                    0                    0                    0                    0
        "BPMWC.6L7.B2"          22967.98048                    3    0.007830569883606   0.0005560626167752   -0.001400623186478    -0.00770428967469    0.009913943726949   0.0008706010478871    0.008988516369934    -0.00418244589786      0.7213785610899     0.05769497876638      0.9306860376431     0.06482150609976                    0                    0                    0                    0
        "BPMWE.5L7.B2"          23045.03448                    3     0.02096276149229    0.002776788918632     0.01414305273412    -0.01547292566848     0.01897014147513    0.003102649929564     0.01373708882959    -0.01308276186723      0.8678581199641      0.1095425267744      0.8788821512131      0.1020999913519                    0                    0                    0                    0
