@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ CG %le 0.00032270993110702055
@ QG %le 1.8687164879952562
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds"
*                 NAME                    S                COUNT               F1001W               FWSTD1               F1001R               F1001I               F1010W               FWSTD2               F1010R               F1010I                Q1001             Q1001STD                Q1010             Q1010STD            MDLF1001R            MDLF1001I            MDLF1010R            MDLF1010I
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"               16.238                    3     0.01539964867131    0.005473310082233    0.008396243606651     0.01290938699155     0.00952284817876    0.004162363628768    0.005266552053483    0.007933981781153      0.1106689159319     0.05151414668577      0.1608857053081      0.1062163679187                    0                    0                    0                    0
        "BPM_A.7R8.B2"              122.586                    3     0.01185540991965    0.003487156187081   0.0007763352495005     0.01182996398741    0.006873124736591   0.0005310363118964    0.005283308140341   -0.004396191390164      0.1653895865422     0.05066482204147      0.8859130405902      0.1145508445842                    0                    0                    0                    0
          "BPM.8R8.B2"          164.0249894                    3      0.0134300314422    0.004432589134103   -0.007104390154198     0.01139707791829    0.006663266117385   0.0007687142740934   -0.006283530015721   -0.002217287958888      0.2775503137711     0.02706973927886      0.5438582565824      0.1017770241851                    0                    0                    0                    0
          "BPM.9R8.B2"          203.0919788                    3     0.01538966419656    0.006822400107227   0.0006305401110818      0.0153767416331    0.002313668133448    0.003745560634784   -0.002299822845537  -0.0002527352584797       0.184423519496     0.05781107350223     0.06416947622995      0.1247596804316                    0                    0                    0                    0
         "BPM.10R8.B2"          243.5569682                    3     0.01324286119687    0.004795670616315    0.002653926273118     0.01297420702843    0.007314193783869    0.001508927733414    0.005590816694536   -0.004715951589666      0.1616599722735     0.02894231745966      0.8433731617876      0.1150876282466                    0                    0                    0                    0
         "BPM.11R8.B2"          295.3976576                    3     0.01374773707033    0.004795853950247    0.004448341126584     0.01300817188449    0.009047494878037   0.0006576056262106   -0.001926005280805   -0.008840116923797      0.1729614975925     0.03949003473686      0.7227835998902     0.08365242992255                    0                    0                    0                    0
         "BPM.12R8.B2"          350.1241417                    3     0.01528674523499    0.004835955518188     0.01106035031465     0.01055240402926    0.008498346135156    0.001089999074921   -0.005810133017392     0.00620195463972     0.09055411360332     0.04221317235899       0.369875916059     0.09570679146426                    0                    0                    0                    0
         "BPM.13R8.B2"          403.5756258                    3     0.01109140498826    0.004569791333476   0.0003095588070423     0.01108708428572    0.002647291336205    0.000486433900789   -0.002025054201602    0.001705082666418      0.1583215696603     0.05590983805285      0.1203503458728      0.1231930492983                    0                    0                    0                    0
         "BPM.14R8.B2"          457.0271099                    3     0.01450657854889     0.00475423569888    0.005698373721832     0.01334051566176    0.008750062581956    0.001735523954111    0.006311200560031   -0.006060721300241      0.1299671576219     0.02157232084417      0.8351213364505      0.1048973204506                    0                    0                    0                    0
         "BPM.15R8.B2"           510.478594                    3     0.01532879013101    0.005218842412304     0.00615881350071     0.01403712303657    0.006351250414535    0.001417466551299   -0.002443301336587   -0.005862479032522      0.1670952298553     0.02270090233786      0.7029669139616     0.06263891696521                    0                    0                    0                    0
