@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ CG %le 0.00032270993110702055
@ QG %le 1.8687164879952562
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds"
*                 NAME                    S                COUNT               F1001W               FWSTD1               F1001R               F1001I               F1010W               FWSTD2               F1010R               F1010I                Q1001             Q1001STD                Q1010             Q1010STD            MDLF1001R            MDLF1001I            MDLF1010R            MDLF1010I
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
         "BPM.17R8.B2"          617.3815622                    3    0.007684258587221   0.0003618113509108    0.001553501565923    0.007525587214295    0.005100045554021   0.0005220659846647    0.002255835778676    0.004574021162253      0.2969227919974     0.05633009761154      0.1768011399422     0.07919369405287                    0                    0                    0                    0
         "BPM.21R8.B2"          831.1874986                    3     0.01137389419507   0.0004426292820923    0.004081967122475     0.01061616755574    0.006752953853913   0.0005111056268139    0.005485238929146    0.003938850040718      0.2614135757353     0.05440583590617     0.09895994615747     0.09136428088248                    0                    0                    0                    0
         "BPM.29R8.B2"          1258.799371                    3    0.009306592367836   0.0007987230410591  -0.0004452560003499    0.009295935057605    0.008113675027904   0.0004572226471909    0.007526528617275    0.003030361270834      0.3515265125808     0.06869017154297     0.06082380228403     0.08168565501229                    0                    0                    0                    0
         "BPM.20L1.B2"          2274.377569                    3     0.00813456736124   0.0004007984933826    0.007674106619062    0.002698012926917    0.005823001458717   0.0005504652125572   -0.005562187752958    0.001723198592464     0.07342050456801     0.04084315392946      0.4514774340987     0.07585887950284                    0                    0                    0                    0
         "BPM.16L1.B2"          2488.183506                    3     0.01171899224303   0.0006322430679925     0.01060230251076    0.004992590576302    0.006106399735562   0.0003749238486079   -0.005740921425857    0.002080850526254     0.09557618701488     0.02734853404745      0.4439607990675       0.100297398637                    0                    0                    0                    0
          "BPM.5L1.B2"          3001.907584                    3     0.06652672971874    0.007169174520823     0.01428366835294    -0.06497524594377     0.05269730342123     0.00732976139249    -0.02958105137687    -0.04361154878364       1.070391034493      0.1393434906819       0.654117605173      0.1283444302023                    0                    0                    0                    0
        "BPMSW.1R1.B2"          3216.816584                    3      0.6988745264962     0.01387355347235      0.5086313826125     -0.4792908515787      0.5128725703501      0.0143201116809      0.3952557113673      0.3268198219953       1.200411287394     0.06317516201242      0.1097886154307     0.06843564097511                    0                    0                    0                    0
        "BPMRA.7R1.B2"          3454.511584                    3     0.02074764191576    0.001230711131612     0.01170650446669     0.01712957670919     0.01299742050569     0.00117564662473   -0.003735222907493     0.01244913850967      0.2109371372329     0.07327545900923      0.2959284483607     0.08360941648306                    0                    0                    0                    0
         "BPMS.2R2.B2"            6559.0658                    3      0.1485239344879    0.001435414951671       0.113834688864     0.09539928053709      0.1073661709887    0.001454416754907     0.09546749876293     0.04912689032226      0.1514806921583     0.08464095063516     0.07552055127289     0.09435731128333                    0                    0                    0                    0
        "BPMSX.4R2.B2"            6597.0373                    3     0.06444572025252   0.0009332934739837    -0.05806343955829    -0.02796225751843     0.05685376528446   0.0006756767451646    -0.03967019966598    -0.04072623092654      0.7797323188836      0.0721445328759      0.6261087505226     0.08276930587815                    0                    0                    0                    0
