@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ DQMIN %le 0.001655152059790549
@ DQMINE %le 0.0014880871438
@ FILES %s ""
*                 NAME                    S                 DETC                DETCE                GAMMA               GAMMAE                  C11                  C12                  C21                  C22
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
          BPMYB.5R8.B2               16.238   0.0005855151382302       1.692213115127       1.000292886192       1.692213115127   -0.009953724875759    -0.02733359460866     0.02733359460866    0.009953724875759
          BPM_A.7R8.B2              122.586   0.0003731043440636       0.964336310478       1.000186604391       0.964336310478    -0.03245836649883    -0.01212154829181     0.01212154829181     0.03245836649883
            BPM.8R8.B2          164.0249894   0.0005435708867448      0.9509974558354       1.000271896295      0.9509974558354    -0.02723613514562     0.02678312059161    -0.02678312059161     0.02723613514562
            BPM.9R8.B2          203.0919788   0.0009250982162563      0.9819954845009       1.000462870283      0.9819954845009    -0.03127342262395    0.003340110791655   -0.003340110791655     0.03127342262395
           BPM.10R8.B2          243.5569682   0.0004872662237666       1.223292947892       1.000243722184       1.223292947892    -0.03538894020436    -0.01649350478883     0.01649350478883     0.03538894020436
           BPM.11R8.B2          295.3976576   0.0004283888482915         1.3417908442       1.000214263268         1.3417908442    -0.04370594018808   -0.005045752579397    0.005045752579397     0.04370594018808
           BPM.12R8.B2          350.1241417   0.0006454339173926        1.03044496451       1.000322873262        1.03044496451    -0.00870370806665    -0.01050382490408     0.01050382490408     0.00870370806665
           BPM.13R8.B2          403.5756258    0.000463829215405      0.8960027571724       1.000231995315      0.8960027571724    -0.01876835639945     0.00343178676291    -0.00343178676291     0.01876835639945
           BPM.14R8.B2          457.0271099   0.0005352222877277       1.257176284968       1.000267718615       1.257176284968    -0.03881286206859    -0.02402557893692     0.02402557893692     0.03881286206859
           BPM.15R8.B2           510.478594   0.0007779280570004      0.9145523186741       1.000389191115      0.9145523186741    -0.03981469363483   -0.007433916416893    0.007433916416893     0.03981469363483
           BPM.16R8.B2          563.9300781   0.0005537288976779      0.9176984560975       1.000276979483      0.9176984560975   -0.004074669096573    -0.01275658937179     0.01275658937179    0.004074669096573
