@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ Q1 %le 0.2699882059850884
@ MUX %le 0.0
@ Q2 %le 0.3219860194100735
@ MUY %le 0.0
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds.linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds.linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds.linx"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEX               STDPHX               PHXMDL               MUXMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"       "BPMYB.5R8.B2"               16.238               16.238                    3                    0                    0                    0       0.009791932429
        "BPM_A.7R8.B2"       "BPMYB.5R8.B2"              122.586               16.238                    3      0.3758059177733   0.0002969983093538       0.312015383771         0.3218073162
          "BPM.8R8.B2"       "BPMYB.5R8.B2"          164.0249894               16.238                    3       0.478007940307     0.01909831782218       0.493208567571            0.5030005
          "BPM.9R8.B2"       "BPMYB.5R8.B2"          203.0919788               16.238                    3      0.8025712707478    0.002729654943576       0.699528336371         0.7093202688
         "BPM.10R8.B2"       "BPMYB.5R8.B2"          243.5569682               16.238                    3      0.8447064213012     0.01100995581782       0.757502165171         0.7672940976
         "BPM.11R8.B2"       "BPMYB.5R8.B2"          295.3976576               16.238                    3      0.9329300503926    0.001466472255044       0.915609128871         0.9254010613
         "BPM.12R8.B2"       "BPMYB.5R8.B2"          350.1241417               16.238                    3      0.1317238286142     0.01050954671949       0.091746851571          1.101538784
         "BPM.13R8.B2"       "BPMYB.5R8.B2"          403.5756258               16.238                    3      0.2869080479225    0.003374347005917       0.183291875571          1.193083808
         "BPM.14R8.B2"       "BPMYB.5R8.B2"          457.0271099               16.238                    3      0.3476920003473    0.006146763765531       0.255089035571          1.264880968
         "BPM.15R8.B2"       "BPMYB.5R8.B2"           510.478594               16.238                    3       0.459436020644    0.002337627820749       0.454549729571          1.464341662
         "BPM.16R8.B2"       "BPMYB.5R8.B2"          563.9300781               16.238                    3       0.656801208192    0.009166700594828       0.602352016571          1.612143949
         "BPM.17R8.B2"       "BPMYB.5R8.B2"          617.3815622               16.238                    3      0.7853514585942   0.0005873098606231       0.683292084571          1.693084017
         "BPM.18R8.B2"       "BPMYB.5R8.B2"          670.8330463               16.238                    3      0.8427269978326    0.007292990793078       0.755089035571          1.764880968
         "BPM.19R8.B2"       "BPMYB.5R8.B2"          724.2845304               16.238                    3      0.9551480248836    0.003916856602454       0.954549728571          1.964341661
         "BPM.20R8.B2"       "BPMYB.5R8.B2"          777.7360145               16.238                    3      0.1601265157582    0.006296419826143       0.102352015571          2.112143948
         "BPM.21R8.B2"       "BPMYB.5R8.B2"          831.1874986               16.238                    3      0.2828622626215    0.001964593035602       0.183292084571          2.193084017
         "BPM.22R8.B2"       "BPMYB.5R8.B2"          884.6389827               16.238                    3      0.3404386473537    0.003370742576908       0.255089035571          2.264880968
         "BPM.23R8.B2"       "BPMYB.5R8.B2"          938.0904667               16.238                    3      0.4509792260509    0.004383469048038       0.454549728571          2.464341661
         "BPM.24R8.B2"       "BPMYB.5R8.B2"          991.5419508               16.238                    3      0.6568775667109     0.01131371823167       0.602352015571          2.612143948
         "BPM.25R8.B2"       "BPMYB.5R8.B2"          1044.993435               16.238                    3      0.7854805869349    0.003118356782564       0.683292084571          2.693084017
         "BPM.26R8.B2"       "BPMYB.5R8.B2"          1098.444919               16.238                    3      0.8456119584807    0.002990002552162       0.755089034571          2.764880967
         "BPM.27R8.B2"       "BPMYB.5R8.B2"          1151.896403               16.238                    3      0.9520911055254     0.00526745288601       0.954549728571          2.964341661
         "BPM.28R8.B2"       "BPMYB.5R8.B2"          1205.347887               16.238                    3      0.1566522023809    0.007083716024813       0.102352015571          3.112143948
         "BPM.29R8.B2"       "BPMYB.5R8.B2"          1258.799371               16.238                    3      0.2845920935365   0.0004040229353429       0.183292084571          3.193084017
         "BPM.30R8.B2"       "BPMYB.5R8.B2"          1312.250855               16.238                    3      0.3477308500073     0.00150646995631       0.255089034571          3.264880967
         "BPM.31R8.B2"       "BPMYB.5R8.B2"           1365.70234               16.238                    3      0.4560804708288    0.002132312082345       0.454549728571          3.464341661
         "BPM.32R8.B2"       "BPMYB.5R8.B2"          1419.153824               16.238                    3      0.6610882738596    0.003488301179388       0.602352015571          3.612143948
         "BPM.33R8.B2"       "BPMYB.5R8.B2"          1472.605308               16.238                    3      0.7842171916341    0.003151726706992       0.683292084571          3.693084017
         "BPM.34R8.B2"       "BPMYB.5R8.B2"          1526.056792               16.238                    3      0.8441325464207    0.004944742483338       0.755089034571          3.764880967
         "BPM.33L1.B2"       "BPMYB.5R8.B2"          1579.508276               16.238                    3      0.9592385500938    0.002486500048002       0.954549728571          3.964341661
         "BPM.32L1.B2"       "BPMYB.5R8.B2"           1632.95976               16.238                    3      0.1610891087534     0.00584911441131       0.102352015571          4.112143948
