@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ Q1 %le 0.2799881659850902
@ MUX %le 64.27998816598507
@ Q2 %le 0.3099859594100752
@ MUY %le 61.30998595941011
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds.linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds.linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds.linx"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEX               STDPHX               PHXMDL               MUXMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"       "BPMYB.5R8.B2"               16.238               16.238                    3                    0                    0                    0        0.01043463339
        "BPM_A.7R8.B2"       "BPMYB.5R8.B2"              122.586               16.238                    3      0.3705519684509   0.0007427403804344        0.30816893151         0.3186035649
          "BPM.8R8.B2"       "BPMYB.5R8.B2"          164.0249894               16.238                    3      0.4765984382034     0.02031789133937        0.49276255361          0.503197187
          "BPM.9R8.B2"       "BPMYB.5R8.B2"          203.0919788               16.238                    3      0.7991997822396    0.001826685776238        0.70206047031         0.7124951037
         "BPM.10R8.B2"       "BPMYB.5R8.B2"          243.5569682               16.238                    3      0.8397894990432     0.01137765682924        0.75661500741         0.7670496408
         "BPM.11R8.B2"       "BPMYB.5R8.B2"          295.3976576               16.238                    3      0.9290070816181    0.001669138679658        0.91100834751         0.9214429809
         "BPM.12R8.B2"       "BPMYB.5R8.B2"          350.1241417               16.238                    3      0.1365115488346     0.01082112671378        0.09628941061          1.106724044
         "BPM.13R8.B2"       "BPMYB.5R8.B2"          403.5756258               16.238                    3      0.2843332904497    0.004017869442575        0.18660998961          1.197044623
         "BPM.14R8.B2"       "BPMYB.5R8.B2"          457.0271099               16.238                    3      0.3427074161475    0.006607868935315        0.25434963661           1.26478427
         "BPM.15R8.B2"       "BPMYB.5R8.B2"           510.478594               16.238                    3      0.4568780518242    0.002454636361399        0.45170320161          1.462137835
         "BPM.16R8.B2"       "BPMYB.5R8.B2"          563.9300781               16.238                    3      0.6611148205602    0.009523318095324        0.60708168061          1.617516314
         "BPM.17R8.B2"       "BPMYB.5R8.B2"          617.3815622               16.238                    3      0.7828649153883    0.001381657699728        0.68661018861          1.697044822
         "BPM.18R8.B2"       "BPMYB.5R8.B2"          670.8330463               16.238                    3      0.8378860821623    0.006817568091565        0.75434963661           1.76478427
         "BPM.19R8.B2"       "BPMYB.5R8.B2"          724.2845304               16.238                    3      0.9523422688893     0.00417442124416        0.95170320161          1.962137835
         "BPM.20R8.B2"       "BPMYB.5R8.B2"          777.7360145               16.238                    3      0.1643114448207    0.005476439962313        0.10708168061          2.117516314
         "BPM.21R8.B2"       "BPMYB.5R8.B2"          831.1874986               16.238                    3      0.2805171134312    0.001263413520875        0.18661018861          2.197044822
         "BPM.22R8.B2"       "BPMYB.5R8.B2"          884.6389827               16.238                    3      0.3356443891769    0.002667560630877        0.25434963661           2.26478427
         "BPM.23R8.B2"       "BPMYB.5R8.B2"          938.0904667               16.238                    3      0.4479427440428     0.00468254196095        0.45170320161          2.462137835
