@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ Q1 %le 0.2799881659850902
@ MUX %le 64.27998816598507
@ Q2 %le 0.3099859594100752
@ MUY %le 61.3099859594101
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds.linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds.linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds.linx"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEX               STDPHX               PHXMDL               MUXMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"       "BPMYB.5R8.B2"               16.238               16.238                    3                    0                    0                    0        0.01043463339
        "BPM_A.7R8.B2"       "BPMYB.5R8.B2"              122.586               16.238                    3      0.3719594655123   0.0002969983093538        0.30816893151         0.3186035649
          "BPM.8R8.B2"       "BPMYB.5R8.B2"          164.0249894               16.238                    3       0.477561926346     0.01909831782218        0.49276255361          0.503197187
          "BPM.9R8.B2"       "BPMYB.5R8.B2"          203.0919788               16.238                    3      0.8051034046868    0.002729654943576        0.70206047031         0.7124951037
         "BPM.10R8.B2"       "BPMYB.5R8.B2"          243.5569682               16.238                    3      0.8438192635402     0.01100995581782        0.75661500741         0.7670496408
         "BPM.11R8.B2"       "BPMYB.5R8.B2"          295.3976576               16.238                    3      0.9283292690316    0.001466472255044        0.91100834751         0.9214429809
         "BPM.12R8.B2"       "BPMYB.5R8.B2"          350.1241417               16.238                    3      0.1362663876532     0.01050954671949        0.09628941061          1.106724044
         "BPM.13R8.B2"       "BPMYB.5R8.B2"          403.5756258               16.238                    3      0.2902261619615    0.003374347005917        0.18660998961          1.197044623
         "BPM.14R8.B2"       "BPMYB.5R8.B2"          457.0271099               16.238                    3      0.3469526013863    0.006146763765531        0.25434963661           1.26478427
         "BPM.15R8.B2"       "BPMYB.5R8.B2"           510.478594               16.238                    3       0.456589492683    0.002337627820749        0.45170320161          1.462137835
         "BPM.16R8.B2"       "BPMYB.5R8.B2"          563.9300781               16.238                    3       0.661530872231    0.009166700594828        0.60708168061          1.617516314
         "BPM.17R8.B2"       "BPMYB.5R8.B2"          617.3815622               16.238                    3      0.7886695626332   0.0005873098606231        0.68661018861          1.697044822
         "BPM.18R8.B2"       "BPMYB.5R8.B2"          670.8330463               16.238                    3      0.8419875988716    0.007292990793078        0.75434963661           1.76478427
         "BPM.19R8.B2"       "BPMYB.5R8.B2"          724.2845304               16.238                    3      0.9523014979226    0.003916856602454        0.95170320161          1.962137835
         "BPM.20R8.B2"       "BPMYB.5R8.B2"          777.7360145               16.238                    3      0.1648561807972    0.006296419826143        0.10708168061          2.117516314
         "BPM.21R8.B2"       "BPMYB.5R8.B2"          831.1874986               16.238                    3      0.2861803666605    0.001964593035602        0.18661018861          2.197044822
         "BPM.22R8.B2"       "BPMYB.5R8.B2"          884.6389827               16.238                    3      0.3396992483927    0.003370742576908        0.25434963661           2.26478427
         "BPM.23R8.B2"       "BPMYB.5R8.B2"          938.0904667               16.238                    3      0.4481326990899    0.004383469048038        0.45170320161          2.462137835
         "BPM.24R8.B2"       "BPMYB.5R8.B2"          991.5419508               16.238                    3      0.6616072317499     0.01131371823167        0.60708168061          2.617516314
         "BPM.25R8.B2"       "BPMYB.5R8.B2"          1044.993435               16.238                    3      0.7887986909739    0.003118356782564        0.68661018861          2.697044822
         "BPM.26R8.B2"       "BPMYB.5R8.B2"          1098.444919               16.238                    3      0.8448725605197    0.002990002552162        0.75434963661           2.76478427
         "BPM.27R8.B2"       "BPMYB.5R8.B2"          1151.896403               16.238                    3      0.9492445785644     0.00526745288601        0.95170320161          2.962137835
         "BPM.28R8.B2"       "BPMYB.5R8.B2"          1205.347887               16.238                    3      0.1613818674199    0.007083716024813        0.10708168061          3.117516314
         "BPM.29R8.B2"       "BPMYB.5R8.B2"          1258.799371               16.238                    3      0.2879101975755   0.0004040229353429        0.18661018861          3.197044822
         "BPM.30R8.B2"       "BPMYB.5R8.B2"          1312.250855               16.238                    3      0.3469914520463     0.00150646995631        0.25434963661           3.26478427
         "BPM.31R8.B2"       "BPMYB.5R8.B2"           1365.70234               16.238                    3      0.4532339438678    0.002132312082345        0.45170320161          3.462137835
         "BPM.32R8.B2"       "BPMYB.5R8.B2"          1419.153824               16.238                    3      0.6658179388986    0.003488301179388        0.60708168061          3.617516314
         "BPM.33R8.B2"       "BPMYB.5R8.B2"          1472.605308               16.238                    3      0.7875352956731    0.003151726706992        0.68661018861          3.697044822
         "BPM.34R8.B2"       "BPMYB.5R8.B2"          1526.056792               16.238                    3      0.8433931484597    0.004944742483338        0.75434963661           3.76478427
         "BPM.33L1.B2"       "BPMYB.5R8.B2"          1579.508276               16.238                    3      0.9563920231328    0.002486500048002        0.95170320161          3.962137835
         "BPM.32L1.B2"       "BPMYB.5R8.B2"           1632.95976               16.238                    3      0.1658187737924     0.00584911441131        0.10708168061          4.117516314
         "BPM.31L1.B2"       "BPMYB.5R8.B2"          1686.411244               16.238                    3       0.290362528616    0.002291567435414        0.18661018861          4.197044822
         "BPM.30L1.B2"       "BPMYB.5R8.B2"          1739.862728               16.238                    3      0.3434135078773    0.003035818495627        0.25434963661           4.26478427
         "BPM.29L1.B2"       "BPMYB.5R8.B2"          1793.314212               16.238                    3      0.4632442331045    0.002108343417499        0.45170320161          4.462137835
         "BPM.28L1.B2"       "BPMYB.5R8.B2"          1846.765696               16.238                    3      0.6700460134605    0.006548623373372        0.60708168061          4.617516314
         "BPM.27L1.B2"       "BPMYB.5R8.B2"           1900.21718               16.238                    3       0.790073194263    0.002934000049545        0.68661018861          4.697044822
         "BPM.26L1.B2"       "BPMYB.5R8.B2"          1953.668665               16.238                    3      0.8419795168534    0.006592165032748        0.75434963661           4.76478427
         "BPM.25L1.B2"       "BPMYB.5R8.B2"          2007.120149               16.238                    3      0.9585155936816    0.002540728476581        0.95170320061          4.962137834
         "BPM.24L1.B2"       "BPMYB.5R8.B2"          2060.571633               16.238                    3      0.1636440397775    0.007106667597723        0.10708168061          5.117516314
         "BPM.23L1.B2"       "BPMYB.5R8.B2"          2114.023117               16.238                    3      0.2897378792052    0.001721831162347        0.18661018861          5.197044822
         "BPM.22L1.B2"       "BPMYB.5R8.B2"          2167.474601               16.238                    3      0.3445375559508    0.004373433117954        0.25434963661           5.26478427
         "BPM.21L1.B2"       "BPMYB.5R8.B2"          2220.926085               16.238                    3      0.4622615988731    0.002094600807076        0.45170320061          5.462137834
         "BPM.20L1.B2"       "BPMYB.5R8.B2"          2274.377569               16.238                    3      0.6765372725201    0.006637414413951        0.60708168061          5.617516314
         "BPM.19L1.B2"       "BPMYB.5R8.B2"          2327.829053               16.238                    3      0.7901770894047     0.00185335509925        0.68661018861          5.697044822
         "BPM.18L1.B2"       "BPMYB.5R8.B2"          2381.280537               16.238                    3      0.8457358843984    0.001271515961666        0.75434963661           5.76478427
         "BPM.17L1.B2"       "BPMYB.5R8.B2"          2434.732021               16.238                    3      0.9602864429156    0.001102042685984        0.95170320061          5.962137834
         "BPM.16L1.B2"       "BPMYB.5R8.B2"          2488.183506               16.238                    3      0.1708548175353    0.003850212660544        0.10708168061          6.117516314
         "BPM.15L1.B2"       "BPMYB.5R8.B2"           2541.63499               16.238                    3      0.2902383253385    0.001412788450147        0.18661018861          6.197044822
         "BPM.14L1.B2"       "BPMYB.5R8.B2"          2595.086474               16.238                    3      0.3431773932961    0.002629088915347        0.25434963661           6.26478427
         "BPM.13L1.B2"       "BPMYB.5R8.B2"          2648.537958               16.238                    3      0.4578463063359    0.005210450942464        0.45170320061          6.462137834
         "BPM.12L1.B2"       "BPMYB.5R8.B2"          2701.989442               16.238                    3       0.669521444525    0.007490669677265        0.60486931861          6.615303952
         "BPM.11L1.B2"       "BPMYB.5R8.B2"          2755.440926               16.238                    3      0.7859957170024   0.0009904007284119        0.68334199961          6.693776633
         "BPM.10L1.B2"       "BPMYB.5R8.B2"          2808.223615               16.238                    3      0.8387188391738    0.003747916076289        0.74484785761          6.755282491
          "BPM.9L1.B2"       "BPMYB.5R8.B2"          2847.290605               16.238                    3      0.9091624469963    0.003560868009707        0.86923492761          6.879669561
          "BPM.8L1.B2"       "BPMYB.5R8.B2"          2887.755594               16.238                    3      0.1520772834147     0.01037420156181        0.09619799761          7.106632631
          "BPM.7L1.B2"       "BPMYB.5R8.B2"          2926.823584               16.238                    3      0.3063338356502    0.004865567589423        0.20503634961          7.215470983
        "BPMSX.7L1.B2"       "BPMYB.5R8.B2"          2957.502084               16.238                    3      0.3409640959704    0.005323666479833        0.24153110761          7.251965741
         "BPMR.6L1.B2"       "BPMYB.5R8.B2"          2970.007584               16.238                    3       0.394669682248     0.01642395796675        0.36284293961          7.373277573
          "BPM.5L1.B2"       "BPMYB.5R8.B2"          3001.907584               16.238                    3      0.7392747608932    0.008369152490561        0.65542808161          7.665862715
        "BPMYA.4L1.B2"       "BPMYB.5R8.B2"          3023.025584               16.238                    3      0.7640825016655    0.005471107991505        0.66973450461          7.680169138
        "BPMWB.4L1.B2"       "BPMYB.5R8.B2"          3044.082084               16.238                    3      0.7764839116974    0.003338841869588        0.67567288261          7.686107516
        "BPMSY.4L1.B2"       "BPMYB.5R8.B2"          3136.998084               16.238                    3      0.7824775137883     0.00121939978804        0.68160545261          7.692040086
         "BPMS.2L1.B2"       "BPMYB.5R8.B2"          3163.723584               16.238                    3      0.7850886578369    0.001307336362841        0.68285148261          7.693286116
        "BPMSW.1L1.B2"       "BPMYB.5R8.B2"          3173.673584               16.238                    3      0.7840554649652     0.00397460454629        0.68365439261          7.694089026
        "BPMSW.1R1.B2"       "BPMYB.5R8.B2"          3216.816584               16.238                    3      0.2807469460666   0.0001868178410811        0.17923906961          8.189673703
         "BPMS.2R1.B2"       "BPMYB.5R8.B2"          3226.781584               16.238                    3      0.2811843880052   0.0008982635292973        0.17986494461          8.190299578
        "BPMSY.4R1.B2"       "BPMYB.5R8.B2"          3253.627084               16.238                    3      0.2831305253286    0.001697303243941        0.18070831561          8.191142949
        "BPMWB.4R1.B2"       "BPMYB.5R8.B2"          3346.423084               16.238                    3      0.2867473944468    0.001019793778147        0.18574344161          8.196178075
        "BPMYA.4R1.B2"       "BPMYB.5R8.B2"          3367.479584               16.238                    3      0.2894752784125   0.0006688530004013        0.18715019061          8.197584824
         "BPMR.5R1.B2"       "BPMYB.5R8.B2"          3394.887584               16.238                    3      0.2922404520402    0.003092510411499        0.19039344361          8.200828077
          "BPM.6R1.B2"       "BPMYB.5R8.B2"          3426.787584               16.238                    3      0.3036946350331    0.001602978083231        0.19971840561          8.210153039
        "BPMRA.7R1.B2"       "BPMYB.5R8.B2"          3454.511584               16.238                    3      0.3186155490146    0.009798077988284        0.23090968861          8.241344322
          "BPM.8R1.B2"       "BPMYB.5R8.B2"          3495.948594               16.238                    3      0.3909013093944    0.002666965753701        0.37658920961          8.387023843
          "BPM.9R1.B2"       "BPMYB.5R8.B2"          3535.013605               16.238                    3      0.6073781788485    0.007479801851426        0.58588940261          8.596324036
         "BPM.10R1.B2"       "BPMYB.5R8.B2"          3575.476615               16.238                    3       0.789461394996    0.000574607127876        0.68817754161          8.698612175
         "BPM.11R1.B2"       "BPMYB.5R8.B2"          3628.257326               16.238                    3      0.8445421859813    0.001912427792458        0.75995847561          8.770393109
         "BPM.12R1.B2"       "BPMYB.5R8.B2"          3682.980842               16.238                    3      0.9322670743503    0.001971104616379        0.95577851561          8.966213149
         "BPM.13R1.B2"       "BPMYB.5R8.B2"          3736.429358               16.238                    3      0.1462326891881     0.01291671589048        0.10790071961          9.118335353
         "BPM.14R1.B2"       "BPMYB.5R8.B2"          3789.877874               16.238                    3      0.2884457757999    0.002049089570166        0.18711528961          9.197549923
         "BPM.15R1.B2"       "BPMYB.5R8.B2"           3843.32639               16.238                    3       0.334009608844    0.003637078520017        0.25514627461          9.265580908
         "BPM.16R1.B2"       "BPMYB.5R8.B2"          3896.774906               16.238                    3       0.425927695797    0.002777091959638        0.45366487161          9.464099505
         "BPM.17R1.B2"       "BPMYB.5R8.B2"          3950.223421               16.238                    3      0.6549757721656     0.01529351929384        0.60787093461          9.618305568
         "BPM.18R1.B2"       "BPMYB.5R8.B2"          4003.671937               16.238                    3      0.7867320594287    0.002765776345192        0.68709724261          9.697531876
         "BPM.19R1.B2"       "BPMYB.5R8.B2"          4057.120453               16.238                    3      0.8350919521383    0.003277604488942        0.75511749761          9.765552131
         "BPM.20R1.B2"       "BPMYB.5R8.B2"          4110.568969               16.238                    3      0.9294081118525    0.002407510150586        0.95359361661           9.96402825
         "BPM.21R1.B2"       "BPMYB.5R8.B2"          4164.017485               16.238                    3      0.1521989189207     0.01365874998034        0.10784210661          10.11827674
         "BPM.22R1.B2"       "BPMYB.5R8.B2"          4217.466001               16.238                    3      0.2870609453233    0.001990592215332        0.18707919661          10.19751383
         "BPM.23R1.B2"       "BPMYB.5R8.B2"          4270.914517               16.238                    3      0.3439200075837    0.002128633133556        0.25508872661          10.26552336
         "BPM.24R1.B2"       "BPMYB.5R8.B2"          4324.363033               16.238                    3      0.4268829402593   0.0005045889358338        0.45352235661          10.46395699
         "BPM.25R1.B2"       "BPMYB.5R8.B2"          4377.811549               16.238                    3      0.6455581884371    0.002861058956975        0.60781327661          10.61824791
         "BPM.26R1.B2"       "BPMYB.5R8.B2"          4431.260065               16.238                    3      0.7869897758774    0.001757830159617        0.68706114661          10.69749578
         "BPM.27R1.B2"       "BPMYB.5R8.B2"           4484.70858               16.238                    3      0.8362997927168     0.00283825813723        0.75505996661           10.7654946
         "BPM.28R1.B2"       "BPMYB.5R8.B2"          4538.157096               16.238                    3      0.9231293522281     0.00147421307326        0.95345108661          10.96388572
         "BPM.29R1.B2"       "BPMYB.5R8.B2"          4591.605612               16.238                    3      0.1435701655938    0.008938504243376        0.10778443661          11.11821907
         "BPM.30R1.B2"       "BPMYB.5R8.B2"          4645.054128               16.238                    3      0.2872426003367    0.002788342225076        0.18704310661          11.19747774
         "BPM.31R1.B2"       "BPMYB.5R8.B2"          4698.502644               16.238                    3      0.3393697727254    0.002487638178488        0.25503120661          11.26546584
         "BPM.32R1.B2"       "BPMYB.5R8.B2"           4751.95116               16.238                    3      0.4237189426843    0.002466141452405        0.45337981661          11.46381445
         "BPM.33R1.B2"       "BPMYB.5R8.B2"          4805.399676               16.238                    3      0.6537248367034    0.009105073155291        0.60775558661          11.61819022
         "BPM.34R1.B2"       "BPMYB.5R8.B2"          4858.848192               16.238                    3      0.7880250420427    0.004598036096885        0.68702505661          11.69745969
         "BPM.33L2.B2"       "BPMYB.5R8.B2"          4912.296708               16.238                    3      0.8364206586455    0.006633462530163        0.75500246661           11.7654371
         "BPM.32L2.B2"       "BPMYB.5R8.B2"          4965.745224               16.238                    3      0.9222372693124    0.001373674296937        0.95330853661          11.96374317
         "BPM.31L2.B2"       "BPMYB.5R8.B2"           5019.19374               16.238                    3      0.1452526679249    0.006952583025357        0.10772673661          12.11816137
         "BPM.30L2.B2"       "BPMYB.5R8.B2"          5072.642255               16.238                    3        0.28803425181    0.003993307349702        0.18700701661          12.19744165
         "BPM.29L2.B2"       "BPMYB.5R8.B2"          5126.090771               16.238                    3      0.3309792912865    0.004104985995615        0.25497372661          12.26540836
         "BPM.28L2.B2"       "BPMYB.5R8.B2"          5179.539287               16.238                    3      0.4211783207209    0.006419233101244        0.45323724661          12.46367188
         "BPM.27L2.B2"       "BPMYB.5R8.B2"          5232.987803               16.238                    3      0.6505358238944    0.002751617230297        0.60769787661          12.61813251
         "BPM.26L2.B2"       "BPMYB.5R8.B2"          5286.436319               16.238                    3       0.789089053886     0.00446562096683        0.68698897661          12.69742361
         "BPM.25L2.B2"       "BPMYB.5R8.B2"          5339.884835               16.238                    3      0.8366915304713    0.003895926345053        0.75494499661          12.76537963
         "BPM.24L2.B2"       "BPMYB.5R8.B2"          5393.333351               16.238                    3      0.9216022916133    0.003659237614483        0.95316594661          12.96360058
         "BPM.23L2.B2"       "BPMYB.5R8.B2"          5446.781867               16.238                    3      0.1406260484492     0.01140900506773        0.10766899661          13.11810363
         "BPM.22L2.B2"       "BPMYB.5R8.B2"          5500.230383               16.238                    3      0.2859109267343    0.001004911158884        0.18697092661          13.19740556
         "BPM.21L2.B2"       "BPMYB.5R8.B2"          5553.678899               16.238                    3      0.3358984679474     0.00448729452855        0.25491627661          13.26535091
         "BPM.20L2.B2"       "BPMYB.5R8.B2"          5607.127414               16.238                    3      0.4226454787031    0.002710992196227        0.45309464661          13.46352928
         "BPM.19L2.B2"       "BPMYB.5R8.B2"           5660.57593               16.238                    3      0.6424747991785     0.01555100710706        0.60764011661          13.61807475
         "BPM.18L2.B2"       "BPMYB.5R8.B2"          5714.024446               16.238                    3      0.7870085583747    0.003078882568142        0.68695288661          13.69738752
         "BPM.17L2.B2"       "BPMYB.5R8.B2"          5767.472962               16.238                    3      0.8388423909977    0.006639352670939        0.75488755661          13.76532219
         "BPM.16L2.B2"       "BPMYB.5R8.B2"          5820.921478               16.238                    3      0.9225638894354    0.003362627139115        0.95302334661          13.96345798
         "BPM.15L2.B2"       "BPMYB.5R8.B2"          5874.369994               16.238                    3      0.1360704612303    0.008045751308236        0.10761123661          14.11804587
         "BPM.14L2.B2"       "BPMYB.5R8.B2"           5927.81851               16.238                    3      0.2873228836858    0.004352771179739        0.18693484661          14.19736948
         "BPM.13L2.B2"       "BPMYB.5R8.B2"          5981.267026               16.238                    3        0.33139655933    0.005520748581442        0.25485884661          14.26529348
         "BPM.12L2.B2"       "BPMYB.5R8.B2"          6034.715542               16.238                    3      0.4255558816888    0.001650211111398        0.45913476661           14.4695694
         "BPM.11L2.B2"       "BPMYB.5R8.B2"          6088.164058               16.238                    3      0.6327183218307     0.01066036188474        0.60205131661          14.61248595
         "BPM.10L2.B2"       "BPMYB.5R8.B2"          6140.002768               16.238                    3      0.7733602149781    0.002079665761751        0.67638947661          14.68682411
          "BPM.9L2.B2"       "BPMYB.5R8.B2"          6179.067779               16.238                    3      0.8278454429831    0.005776832689449        0.74528034661          14.75571498
