@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ Q1 %le 0.2699882059850884
@ MUX %le 0.0
@ Q2 %le 0.3219860194100735
@ MUY %le 0.0
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds.liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds.liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds.liny"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEY               STDPHY               PHYMDL               MUYMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"       "BPMYB.5R8.B2"               16.238               16.238                    3                    0                    0                    0        0.01712583033
         "BPMR.6R8.B2"       "BPMYB.5R8.B2"              100.346               16.238                    3      0.4307692144779    0.006243315033579        0.40739736477         0.4245231951
        "BPM_A.7R8.B2"       "BPMYB.5R8.B2"              122.586               16.238                    3       0.460896237557    0.003425035307194        0.44688494917         0.4640107795
          "BPM.8R8.B2"       "BPMYB.5R8.B2"          164.0249894               16.238                    3      0.6516367211423    0.004951096737686        0.65698026307         0.6741060934
          "BPM.9R8.B2"       "BPMYB.5R8.B2"          203.0919788               16.238                    3        0.81880805744    0.006028096010195        0.78481552467          0.801941355
         "BPM.10R8.B2"       "BPMYB.5R8.B2"          243.5569682               16.238                    3      0.8918942709954    0.003111125256952        0.85925542567          0.876381256
         "BPM.11R8.B2"       "BPMYB.5R8.B2"          295.3976576               16.238                    3      0.9460123922677    0.007378244472176        0.92630076497         0.9434265953
         "BPM.12R8.B2"       "BPMYB.5R8.B2"          350.1241417               16.238                    3      0.0710888370938     0.00505428139937        0.09003402667          1.107159857
         "BPM.13R8.B2"       "BPMYB.5R8.B2"          403.5756258               16.238                    3      0.2988054993254     0.00293062925935        0.27049616967             1.287622
         "BPM.14R8.B2"       "BPMYB.5R8.B2"          457.0271099               16.238                    3       0.400475804314    0.003967205631679        0.37011199567          1.387237826
         "BPM.15R8.B2"       "BPMYB.5R8.B2"           510.478594               16.238                    3      0.4508922896356     0.00405275527173        0.43478138867          1.451907219
         "BPM.16R8.B2"       "BPMYB.5R8.B2"          563.9300781               16.238                    3      0.5696993326626    0.004756131492959        0.58697032967           1.60409616
         "BPM.17R8.B2"       "BPMYB.5R8.B2"          617.3815622               16.238                    3       0.800144543999    0.002838536955687        0.77049390967           1.78761974
         "BPM.18R8.B2"       "BPMYB.5R8.B2"          670.8330463               16.238                    3      0.9016999513848    0.002012289018022        0.87011199567          1.887237826
         "BPM.19R8.B2"       "BPMYB.5R8.B2"          724.2845304               16.238                    3      0.9493403818688    0.004951829461272        0.93478138867          1.951907219
         "BPM.20R8.B2"       "BPMYB.5R8.B2"          777.7360145               16.238                    3     0.07265337718833    0.003276781258857        0.08697032967           2.10409616
         "BPM.21R8.B2"       "BPMYB.5R8.B2"          831.1874986               16.238                    3      0.3020245285482    0.003723533890116        0.27049390967           2.28761974
         "BPM.22R8.B2"       "BPMYB.5R8.B2"          884.6389827               16.238                    3      0.4015170748777    0.004489438046629        0.37011199567          2.387237826
         "BPM.23R8.B2"       "BPMYB.5R8.B2"          938.0904667               16.238                    3      0.4526932716829     0.00493826197435        0.43478138867          2.451907219
         "BPM.24R8.B2"       "BPMYB.5R8.B2"          991.5419508               16.238                    3      0.5697477878032    0.005804504142929        0.58697032967           2.60409616
         "BPM.25R8.B2"       "BPMYB.5R8.B2"          1044.993435               16.238                    3      0.7986357852154    0.005816044526337        0.77049390967           2.78761974
         "BPM.26R8.B2"       "BPMYB.5R8.B2"          1098.444919               16.238                    3      0.9017266775949    0.002968020262151        0.87011199567          2.887237826
         "BPM.27R8.B2"       "BPMYB.5R8.B2"          1151.896403               16.238                    3      0.9502802422586    0.005414539198498        0.93478138867          2.951907219
         "BPM.28R8.B2"       "BPMYB.5R8.B2"          1205.347887               16.238                    3      0.0692583760895    0.004476649993092        0.08697032967           3.10409616
         "BPM.29R8.B2"       "BPMYB.5R8.B2"          1258.799371               16.238                    3      0.2993327786814    0.008570539352989        0.27049390967           3.28761974
         "BPM.30R8.B2"       "BPMYB.5R8.B2"          1312.250855               16.238                    3      0.4013394954362    0.003030454628213        0.37011199567          3.387237826
         "BPM.31R8.B2"       "BPMYB.5R8.B2"           1365.70234               16.238                    3      0.4484496063117    0.003717284026505        0.43478138867          3.451907219
         "BPM.32R8.B2"       "BPMYB.5R8.B2"          1419.153824               16.238                    3      0.5641685382678    0.005107217614884        0.58697032967           3.60409616
         "BPM.33R8.B2"       "BPMYB.5R8.B2"          1472.605308               16.238                    3      0.7928978387498    0.002813477568388        0.77049390967           3.78761974
         "BPM.34R8.B2"       "BPMYB.5R8.B2"          1526.056792               16.238                    3      0.9001398196232    0.003675769570882        0.87011199567          3.887237826
         "BPM.33L1.B2"       "BPMYB.5R8.B2"          1579.508276               16.238                    3      0.9489402128656    0.005496924699303        0.93478138867          3.951907219
         "BPM.32L1.B2"       "BPMYB.5R8.B2"           1632.95976               16.238                    3     0.06299817629817    0.005050895875201        0.08697032967           4.10409616
         "BPM.31L1.B2"       "BPMYB.5R8.B2"          1686.411244               16.238                    3        0.29373263073    0.001940074904321        0.27049390967           4.28761974
         "BPM.30L1.B2"       "BPMYB.5R8.B2"          1739.862728               16.238                    3      0.4000822780189    0.004396244824372        0.37011199567          4.387237826
         "BPM.29L1.B2"       "BPMYB.5R8.B2"          1793.314212               16.238                    3      0.4493018087027    0.003614650176116        0.43478138867          4.451907219
         "BPM.28L1.B2"       "BPMYB.5R8.B2"          1846.765696               16.238                    3      0.5644215357841    0.003511261717939        0.58697032967           4.60409616
         "BPM.27L1.B2"       "BPMYB.5R8.B2"           1900.21718               16.238                    3      0.7937582110647    0.001298186373744        0.77049390967           4.78761974
         "BPM.26L1.B2"       "BPMYB.5R8.B2"          1953.668665               16.238                    3      0.9009207959805    0.002795910064985        0.87011199567          4.887237826
         "BPM.25L1.B2"       "BPMYB.5R8.B2"          2007.120149               16.238                    3      0.9489490752514    0.005098845335333        0.93478138867          4.951907219
         "BPM.24L1.B2"       "BPMYB.5R8.B2"          2060.571633               16.238                    3      0.0620186681102    0.003055298007784        0.08697032967           5.10409616
         "BPM.23L1.B2"       "BPMYB.5R8.B2"          2114.023117               16.238                    3      0.2929102775304    0.002115574424131        0.27049390967           5.28761974
         "BPM.22L1.B2"       "BPMYB.5R8.B2"          2167.474601               16.238                    3      0.3983672038578    0.004405889813331        0.37011199567          5.387237826
         "BPM.21L1.B2"       "BPMYB.5R8.B2"          2220.926085               16.238                    3      0.4481548037716    0.004868018482313        0.43478138867          5.451907219
         "BPM.20L1.B2"       "BPMYB.5R8.B2"          2274.377569               16.238                    3      0.5606929503868     0.00517478196867        0.58697032967           5.60409616
         "BPM.19L1.B2"       "BPMYB.5R8.B2"          2327.829053               16.238                    3      0.7952377419404    0.007023914536792        0.77049390967           5.78761974
         "BPM.18L1.B2"       "BPMYB.5R8.B2"          2381.280537               16.238                    3      0.8989137679751    0.002420948707293        0.87011199567          5.887237826
         "BPM.17L1.B2"       "BPMYB.5R8.B2"          2434.732021               16.238                    3      0.9497815797866    0.004756546987676        0.93478138867          5.951907219
         "BPM.16L1.B2"       "BPMYB.5R8.B2"          2488.183506               16.238                    3     0.06747179177493    0.003663266986813        0.08697032967           6.10409616
         "BPM.15L1.B2"       "BPMYB.5R8.B2"           2541.63499               16.238                    3      0.2949449955738    0.002518438096766        0.27049390967           6.28761974
