@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ Q1 %le 0.2799881659850902
@ MUX %le 64.27998816598507
@ Q2 %le 0.3099859594100752
@ MUY %le 61.3099859594101
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds.liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds.liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds.liny"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEY               STDPHY               PHYMDL               MUYMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"       "BPMYB.5R8.B2"               16.238               16.238                    3                    0                    0                    0        0.01767919863
         "BPMR.6R8.B2"       "BPMYB.5R8.B2"              100.346               16.238                    3      0.4313003388779    0.006243315033579        0.40792848917         0.4256076878
        "BPM_A.7R8.B2"       "BPMYB.5R8.B2"              122.586               16.238                    3       0.460163529557    0.003425035307194        0.44615224117         0.4638314398
          "BPM.8R8.B2"       "BPMYB.5R8.B2"          164.0249894               16.238                    3      0.6628086998423    0.004951096737686        0.66815224177         0.6858314404
          "BPM.9R8.B2"       "BPMYB.5R8.B2"          203.0919788               16.238                    3        0.82807261314    0.006028096010195        0.79408008037          0.811759279
         "BPM.10R8.B2"       "BPMYB.5R8.B2"          243.5569682               16.238                    3      0.8954975624954    0.003111125256952        0.86285871717         0.8805379158
         "BPM.11R8.B2"       "BPMYB.5R8.B2"          295.3976576               16.238                    3      0.9457636992677    0.007378244472176        0.92605207197         0.9437312706
         "BPM.12R8.B2"       "BPMYB.5R8.B2"          350.1241417               16.238                    3      0.0775242537938     0.00505428139937        0.09646944337          1.114148642
         "BPM.13R8.B2"       "BPMYB.5R8.B2"          403.5756258               16.238                    3      0.3089743250254     0.00293062925935        0.28066499537          1.298344194
         "BPM.14R8.B2"       "BPMYB.5R8.B2"          457.0271099               16.238                    3       0.403284976014    0.003967205631679        0.37292116737          1.390600366
         "BPM.15R8.B2"       "BPMYB.5R8.B2"           510.478594               16.238                    3      0.4503953033356     0.00405275527173        0.43428440237          1.451963601
         "BPM.16R8.B2"       "BPMYB.5R8.B2"          563.9300781               16.238                    3      0.5758726263626    0.004756131492959        0.59314362337          1.610822822
         "BPM.17R8.B2"       "BPMYB.5R8.B2"          617.3815622               16.238                    3       0.810313502699    0.002838536955687        0.78066286837          1.798342067
         "BPM.18R8.B2"       "BPMYB.5R8.B2"          670.8330463               16.238                    3      0.9045091230848    0.002012289018022        0.87292116737          1.890600366
         "BPM.19R8.B2"       "BPMYB.5R8.B2"          724.2845304               16.238                    3      0.9488433955688    0.004951829461272        0.93428440237          1.951963601
         "BPM.20R8.B2"       "BPMYB.5R8.B2"          777.7360145               16.238                    3     0.07882667088833    0.003276781258857        0.09314362337          2.110822822
         "BPM.21R8.B2"       "BPMYB.5R8.B2"          831.1874986               16.238                    3      0.3121934872482    0.003723533890116        0.28066286837          2.298342067
         "BPM.22R8.B2"       "BPMYB.5R8.B2"          884.6389827               16.238                    3      0.4043262465777    0.004489438046629        0.37292116737          2.390600366
