@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ Q1 %le 0.2699882059850884
@ MUX %le 0.0
@ Q2 %le 0.3219860194100735
@ MUY %le 0.0
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds.linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds.linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds.linx"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEX               STDPHX               PHXMDL               MUXMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"       "BPM_A.7R8.B2"               16.238              122.586                    3      0.3758059177733   0.0002969983093538       0.312015383771       0.009791932429
        "BPM_A.7R8.B2"         "BPM.8R8.B2"              122.586          164.0249894                    3      0.1022020225337     0.01910731793606         0.1811931838         0.3218073162
          "BPM.8R8.B2"         "BPM.9R8.B2"          164.0249894          203.0919788                    3      0.3245633304408     0.02032104919725         0.2063197688            0.5030005
          "BPM.9R8.B2"        "BPM.10R8.B2"          203.0919788          243.5569682                    3     0.04213515055337     0.01359011333272         0.0579738288         0.7093202688
         "BPM.10R8.B2"        "BPM.11R8.B2"          243.5569682          295.3976576                    3      0.0882236290914    0.009588911214213         0.1581069637         0.7672940976
         "BPM.11R8.B2"        "BPM.12R8.B2"          295.3976576          350.1241417                    3      0.1987937782216    0.009110935132763         0.1761377227         0.9254010613
         "BPM.12R8.B2"        "BPM.13R8.B2"          350.1241417          403.5756258                    3      0.1551842193083    0.008977763698556          0.091545024          1.101538784
         "BPM.13R8.B2"        "BPM.14R8.B2"          403.5756258          457.0271099                    3     0.06078395242483    0.002775480974972           0.07179716          1.193083808
         "BPM.14R8.B2"        "BPM.15R8.B2"          457.0271099           510.478594                    3      0.1117440202967       0.006421421291          0.199460694          1.264880968
         "BPM.15R8.B2"        "BPM.16R8.B2"           510.478594          563.9300781                    3       0.197365187548     0.01068785554606          0.147802287          1.464341662
         "BPM.16R8.B2"        "BPM.17R8.B2"          563.9300781          617.3815622                    3      0.1285502504022    0.008579396696251          0.080940068          1.612143949
         "BPM.17R8.B2"        "BPM.18R8.B2"          617.3815622          670.8330463                    3      0.0573755392384    0.007399007370921          0.071796951          1.693084017
         "BPM.18R8.B2"        "BPM.19R8.B2"          670.8330463          724.2845304                    3       0.112421027051     0.00689141483192          0.199460693          1.764880968
         "BPM.19R8.B2"        "BPM.20R8.B2"          724.2845304          777.7360145                    3      0.2049784908746     0.00986268489931          0.147802287          1.964341661
         "BPM.20R8.B2"        "BPM.21R8.B2"          777.7360145          831.1874986                    3      0.1227357468633    0.005479924822473          0.080940069          2.112143948
         "BPM.21R8.B2"        "BPM.22R8.B2"          831.1874986          884.6389827                    3     0.05757638473223    0.002573073980501          0.071796951          2.193084017
         "BPM.22R8.B2"        "BPM.23R8.B2"          884.6389827          938.0904667                    3      0.1105405786972    0.006940684467966          0.199460693          2.264880968
         "BPM.23R8.B2"        "BPM.24R8.B2"          938.0904667          991.5419508                    3        0.20589834066     0.01061770668988          0.147802287          2.464341661
         "BPM.24R8.B2"        "BPM.25R8.B2"          991.5419508          1044.993435                    3       0.128603020224    0.008410185622592          0.080940069          2.612143948
         "BPM.25R8.B2"        "BPM.26R8.B2"          1044.993435          1098.444919                    3     0.06013137154583    0.005994641403865           0.07179695          2.693084017
         "BPM.26R8.B2"        "BPM.27R8.B2"          1098.444919          1151.896403                    3      0.1064791470447    0.006572196744323          0.199460694          2.764880967
         "BPM.27R8.B2"        "BPM.28R8.B2"          1151.896403          1205.347887                    3      0.2045610968556     0.01198787628261          0.147802287          2.964341661
         "BPM.28R8.B2"        "BPM.29R8.B2"          1205.347887          1258.799371                    3      0.1279398911555    0.007150275954475          0.080940069          3.112143948
         "BPM.29R8.B2"        "BPM.30R8.B2"          1258.799371          1312.250855                    3     0.06313875647083     0.00112551857555           0.07179695          3.193084017
         "BPM.30R8.B2"        "BPM.31R8.B2"          1312.250855           1365.70234                    3      0.1083496208215    0.003017142332362          0.199460694          3.264880967
         "BPM.31R8.B2"        "BPM.32R8.B2"           1365.70234          1419.153824                    3      0.2050078030308    0.005384529794122          0.147802287          3.464341661
         "BPM.32R8.B2"        "BPM.33R8.B2"          1419.153824          1472.605308                    3      0.1231289177745    0.002967533591886          0.080940069          3.612143948
         "BPM.33R8.B2"        "BPM.34R8.B2"          1472.605308          1526.056792                    3     0.05991535478657    0.005262431524691           0.07179695          3.693084017
         "BPM.34R8.B2"        "BPM.33L1.B2"          1526.056792          1579.508276                    3      0.1151060036732    0.006732907424722          0.199460694          3.764880967
         "BPM.33L1.B2"        "BPM.32L1.B2"          1579.508276           1632.95976                    3      0.2018505586596    0.005366800394485          0.147802287          3.964341661
         "BPM.32L1.B2"        "BPM.31L1.B2"           1632.95976          1686.411244                    3      0.1259553158236     0.00433676649073          0.080940069          4.112143948
         "BPM.31L1.B2"        "BPM.30L1.B2"          1686.411244          1739.862728                    3     0.05710848126127    0.001541764092974           0.07179695          4.193084017
         "BPM.30L1.B2"        "BPM.29L1.B2"          1739.862728          1793.314212                    3      0.1219378542273    0.001037423460926          0.199460694          4.264880967
         "BPM.29L1.B2"        "BPM.28L1.B2"          1793.314212          1846.765696                    3       0.199225588356    0.008653890943923          0.147802287          4.464341661
         "BPM.28L1.B2"        "BPM.27L1.B2"          1846.765696           1900.21718                    3      0.1214387418024    0.008394412094916          0.080940069          4.612143948
         "BPM.27L1.B2"        "BPM.26L1.B2"           1900.21718          1953.668665                    3     0.05596382459047    0.006498434733811           0.07179695          4.693084017
         "BPM.26L1.B2"        "BPM.25L1.B2"          1953.668665          2007.120149                    3      0.1186432068282    0.005323443053787          0.199460694          4.764880967
         "BPM.25L1.B2"        "BPM.24L1.B2"          2007.120149          2060.571633                    3      0.1975522530959    0.005760617947236          0.147802287          4.964341661
         "BPM.24L1.B2"        "BPM.23L1.B2"          2060.571633          2114.023117                    3      0.1275054004277    0.005433312983653          0.080940069          5.112143948
         "BPM.23L1.B2"        "BPM.22L1.B2"          2114.023117          2167.474601                    3     0.05885717874563    0.005927736870592           0.07179695          5.193084017
         "BPM.22L1.B2"        "BPM.21L1.B2"          2167.474601          2220.926085                    3      0.1198311729223    0.002396939905669          0.199460694          5.264880967
         "BPM.21L1.B2"        "BPM.20L1.B2"          2220.926085          2274.377569                    3       0.206699480647    0.008408986142479          0.147802287          5.464341661
         "BPM.20L1.B2"        "BPM.19L1.B2"          2274.377569          2327.829053                    3      0.1150513778846    0.007634186663786          0.080940069          5.612143948
         "BPM.19L1.B2"        "BPM.18L1.B2"          2327.829053          2381.280537                    3     0.05961629699377    0.001723881211142           0.07179695          5.693084017
         "BPM.18L1.B2"        "BPM.17L1.B2"          2381.280537          2434.732021                    3      0.1166576885172    0.001915454016603          0.199460694          5.764880967
         "BPM.17L1.B2"        "BPM.16L1.B2"          2434.732021          2488.183506                    3      0.2029921816196    0.004702117381636          0.147802287          5.964341661
