@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ Q1 %le 0.2799881659850902
@ MUX %le 64.27998816598507
@ Q2 %le 0.3099859594100752
@ MUY %le 61.3099859594101
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds.linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds.linx,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds.linx"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEX               STDPHX               PHXMDL               MUXMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"       "BPM_A.7R8.B2"               16.238              122.586                    3      0.3719594655123   0.0002969983093538        0.30816893151        0.01043463339
        "BPM_A.7R8.B2"         "BPM.8R8.B2"              122.586          164.0249894                    3      0.1056024608337     0.01910731793606         0.1845936221         0.3186035649
          "BPM.8R8.B2"         "BPM.9R8.B2"          164.0249894          203.0919788                    3      0.3275414783408     0.02032104919725         0.2092979167          0.503197187
          "BPM.9R8.B2"        "BPM.10R8.B2"          203.0919788          243.5569682                    3     0.03871585885337     0.01359011333272         0.0545545371         0.7124951037
         "BPM.10R8.B2"        "BPM.11R8.B2"          243.5569682          295.3976576                    3      0.0845100054914    0.009588911214213         0.1543933401         0.7670496408
         "BPM.11R8.B2"        "BPM.12R8.B2"          295.3976576          350.1241417                    3      0.2079371186216    0.009110935132763         0.1852810631         0.9214429809
         "BPM.12R8.B2"        "BPM.13R8.B2"          350.1241417          403.5756258                    3      0.1539597743083    0.008977763698556          0.090320579          1.106724044
         "BPM.13R8.B2"        "BPM.14R8.B2"          403.5756258          457.0271099                    3     0.05672643942483    0.002775480974972          0.067739647          1.197044623
         "BPM.14R8.B2"        "BPM.15R8.B2"          457.0271099           510.478594                    3      0.1096368912967       0.006421421291          0.197353565           1.26478427
         "BPM.15R8.B2"        "BPM.16R8.B2"           510.478594          563.9300781                    3       0.204941379548     0.01068785554606          0.155378479          1.462137835
         "BPM.16R8.B2"        "BPM.17R8.B2"          563.9300781          617.3815622                    3      0.1271386904022    0.008579396696251          0.079528508          1.617516314
         "BPM.17R8.B2"        "BPM.18R8.B2"          617.3815622          670.8330463                    3      0.0533180362384    0.007399007370921          0.067739448          1.697044822
         "BPM.18R8.B2"        "BPM.19R8.B2"          670.8330463          724.2845304                    3       0.110313899051     0.00689141483192          0.197353565           1.76478427
         "BPM.19R8.B2"        "BPM.20R8.B2"          724.2845304          777.7360145                    3      0.2125546828746     0.00986268489931          0.155378479          1.962137835
         "BPM.20R8.B2"        "BPM.21R8.B2"          777.7360145          831.1874986                    3      0.1213241858633    0.005479924822473          0.079528508          2.117516314
         "BPM.21R8.B2"        "BPM.22R8.B2"          831.1874986          884.6389827                    3     0.05351888173223    0.002573073980501          0.067739448          2.197044822
         "BPM.22R8.B2"        "BPM.23R8.B2"          884.6389827          938.0904667                    3      0.1084334506972    0.006940684467966          0.197353565           2.26478427
         "BPM.23R8.B2"        "BPM.24R8.B2"          938.0904667          991.5419508                    3        0.21347453266     0.01061770668988          0.155378479          2.462137835
