@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ Q1 %le 0.2699882059850884
@ MUX %le 0.0
@ Q2 %le 0.3219860194100735
@ MUY %le 0.0
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds.liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds.liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds.liny"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEY               STDPHY               PHYMDL               MUYMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"        "BPMR.6R8.B2"               16.238              100.346                    3      0.4307692144779    0.006243315033579        0.40739736477        0.01712583033
         "BPMR.6R8.B2"       "BPM_A.7R8.B2"              100.346              122.586                    3     0.03012702307903    0.005345950639737         0.0394875844         0.4245231951
        "BPM_A.7R8.B2"         "BPM.8R8.B2"              122.586          164.0249894                    3      0.1907404835853    0.002265595454774         0.2100953139         0.4640107795
          "BPM.8R8.B2"         "BPM.9R8.B2"          164.0249894          203.0919788                    3      0.1671713362977    0.001362079248292         0.1278352616         0.6741060934
          "BPM.9R8.B2"        "BPM.10R8.B2"          203.0919788          243.5569682                    3     0.07308621355547    0.002932871505016          0.074439901          0.801941355
         "BPM.10R8.B2"        "BPM.11R8.B2"          243.5569682          295.3976576                    3     0.05411812127227     0.00470008272731         0.0670453393          0.876381256
         "BPM.11R8.B2"        "BPM.12R8.B2"          295.3976576          350.1241417                    3      0.1250764448261    0.002327651857282         0.1637332617         0.9434265953
         "BPM.12R8.B2"        "BPM.13R8.B2"          350.1241417          403.5756258                    3      0.2277166622316     0.00214433870132          0.180462143          1.107159857
         "BPM.13R8.B2"        "BPM.14R8.B2"          403.5756258          457.0271099                    3      0.1016703049886     0.00182742356518          0.099615826             1.287622
         "BPM.14R8.B2"        "BPM.15R8.B2"          457.0271099           510.478594                    3     0.05041648532167   0.0008008120555667          0.064669393          1.387237826
         "BPM.15R8.B2"        "BPM.16R8.B2"           510.478594          563.9300781                    3       0.118807043027    0.001269666820493          0.152188941          1.451907219
         "BPM.16R8.B2"        "BPM.17R8.B2"          563.9300781          617.3815622                    3      0.2304452113364    0.002339803990971           0.18352358           1.60409616
         "BPM.17R8.B2"        "BPM.18R8.B2"          617.3815622          670.8330463                    3      0.1015554073858    0.001959238332952          0.099618086           1.78761974
         "BPM.18R8.B2"        "BPM.19R8.B2"          670.8330463          724.2845304                    3     0.04764043048397    0.003108806416371          0.064669393          1.887237826
         "BPM.19R8.B2"        "BPM.20R8.B2"          724.2845304          777.7360145                    3      0.1233129953195    0.001779412391468          0.152188941          1.951907219
         "BPM.20R8.B2"        "BPM.21R8.B2"          777.7360145          831.1874986                    3      0.2293711513599    0.003513522509818           0.18352358           2.10409616
         "BPM.21R8.B2"        "BPM.22R8.B2"          831.1874986          884.6389827                    3      0.0994925463295    0.004778781393193          0.099618086           2.28761974
         "BPM.22R8.B2"        "BPM.23R8.B2"          884.6389827          938.0904667                    3     0.05117619680523    0.001890301189754          0.064669393          2.387237826
