@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ Q1 %le 0.2799881659850902
@ MUX %le 64.27998816598507
@ Q2 %le 0.3099859594100752
@ MUY %le 61.30998595941011
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds.liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds.liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds.liny"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEY               STDPHY               PHYMDL               MUYMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"        "BPMR.6R8.B2"               16.238              100.346                    3      0.4309869316545    0.006288680702006        0.40792848917        0.01767919863
         "BPMR.6R8.B2"       "BPM_A.7R8.B2"              100.346              122.586                    3     0.02943714287222    0.005234236269055          0.038223752         0.4256076878
        "BPM_A.7R8.B2"         "BPM.8R8.B2"              122.586          164.0249894                    3      0.2019451796763    0.002252647389717         0.2220000006         0.4638314398
          "BPM.8R8.B2"         "BPM.9R8.B2"          164.0249894          203.0919788                    3      0.1641910305607    0.001316412638498         0.1259278386         0.6858314404
          "BPM.9R8.B2"        "BPM.10R8.B2"          203.0919788          243.5569682                    3     0.06757048500713    0.002718480093216         0.0687786368          0.811759279
         "BPM.10R8.B2"        "BPM.11R8.B2"          243.5569682          295.3976576                    3     0.05164276095669     0.00453103574943         0.0631933548         0.8805379158
         "BPM.11R8.B2"        "BPM.12R8.B2"          295.3976576          350.1241417                    3      0.1297061266428    0.002163605550844         0.1704173714         0.9437312706
         "BPM.12R8.B2"        "BPM.13R8.B2"          350.1241417          403.5756258                    3      0.2325461132965    0.002149930588915          0.184195552          1.114148642
         "BPM.13R8.B2"        "BPM.14R8.B2"          403.5756258          457.0271099                    3     0.09415098146388    0.001708897741061          0.092256172          1.298344194
         "BPM.14R8.B2"        "BPM.15R8.B2"          457.0271099           510.478594                    3     0.04837297122554   0.0007382089029185          0.061363235          1.390600366
         "BPM.15R8.B2"        "BPM.16R8.B2"           510.478594          563.9300781                    3      0.1234253865503    0.001343791164677          0.158859221          1.451963601
         "BPM.16R8.B2"        "BPM.17R8.B2"          563.9300781          617.3815622                    3      0.2352957705845    0.002247714635061          0.187519245          1.610822822
         "BPM.17R8.B2"        "BPM.18R8.B2"          617.3815622          670.8330463                    3     0.09405787084249     0.00183390145559          0.092258299          1.798342067
         "BPM.18R8.B2"        "BPM.19R8.B2"          670.8330463          724.2845304                    3     0.04569876686295    0.002964645219848          0.061363235          1.890600366
         "BPM.19R8.B2"        "BPM.20R8.B2"          724.2845304          777.7360145                    3      0.1281468222222     0.00182516477319          0.158859221          1.951963601
         "BPM.20R8.B2"        "BPM.21R8.B2"          777.7360145          831.1874986                    3      0.2338427784484    0.003263182212119          0.187519245          2.110822822
         "BPM.21R8.B2"        "BPM.22R8.B2"          831.1874986          884.6389827                    3     0.09213897546474    0.004454621363534          0.092258299          2.298342067
         "BPM.22R8.B2"        "BPM.23R8.B2"          884.6389827          938.0904667                    3     0.04916370549073    0.001816739937383          0.061363235          2.390600366
