@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ Q1 %le 0.2799881659850902
@ MUX %le 64.27998816598507
@ Q2 %le 0.3099859594100752
@ MUY %le 61.3099859594101
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds.liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds.liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds.liny"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEY               STDPHY               PHYMDL               MUYMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"        "BPMR.6R8.B2"               16.238              100.346                    3      0.4313003388779    0.006243315033579        0.40792848917        0.01767919863
         "BPMR.6R8.B2"       "BPM_A.7R8.B2"              100.346              122.586                    3     0.02886319067903    0.005345950639737          0.038223752         0.4256076878
        "BPM_A.7R8.B2"         "BPM.8R8.B2"              122.586          164.0249894                    3      0.2026451702853    0.002265595454774         0.2220000006         0.4638314398
          "BPM.8R8.B2"         "BPM.9R8.B2"          164.0249894          203.0919788                    3      0.1652639132977    0.001362079248292         0.1259278386         0.6858314404
          "BPM.9R8.B2"        "BPM.10R8.B2"          203.0919788          243.5569682                    3     0.06742494935547    0.002932871505016         0.0687786368          0.811759279
         "BPM.10R8.B2"        "BPM.11R8.B2"          243.5569682          295.3976576                    3     0.05026613677227     0.00470008272731         0.0631933548         0.8805379158
         "BPM.11R8.B2"        "BPM.12R8.B2"          295.3976576          350.1241417                    3      0.1317605545261    0.002327651857282         0.1704173714         0.9437312706
         "BPM.12R8.B2"        "BPM.13R8.B2"          350.1241417          403.5756258                    3      0.2314500712316     0.00214433870132          0.184195552          1.114148642
         "BPM.13R8.B2"        "BPM.14R8.B2"          403.5756258          457.0271099                    3      0.0943106509886     0.00182742356518          0.092256172          1.298344194
         "BPM.14R8.B2"        "BPM.15R8.B2"          457.0271099           510.478594                    3     0.04711032732167   0.0008008120555667          0.061363235          1.390600366
         "BPM.15R8.B2"        "BPM.16R8.B2"           510.478594          563.9300781                    3       0.125477323027    0.001269666820493          0.158859221          1.451963601
         "BPM.16R8.B2"        "BPM.17R8.B2"          563.9300781          617.3815622                    3      0.2344408763364    0.002339803990971          0.187519245          1.610822822
         "BPM.17R8.B2"        "BPM.18R8.B2"          617.3815622          670.8330463                    3     0.09419562038583    0.001959238332952          0.092258299          1.798342067
         "BPM.18R8.B2"        "BPM.19R8.B2"          670.8330463          724.2845304                    3     0.04433427248397    0.003108806416371          0.061363235          1.890600366
         "BPM.19R8.B2"        "BPM.20R8.B2"          724.2845304          777.7360145                    3      0.1299832753195    0.001779412391468          0.158859221          1.951963601
         "BPM.20R8.B2"        "BPM.21R8.B2"          777.7360145          831.1874986                    3      0.2333668163599    0.003513522509818          0.187519245          2.110822822
         "BPM.21R8.B2"        "BPM.22R8.B2"          831.1874986          884.6389827                    3      0.0921327593295    0.004778781393193          0.092258299          2.298342067
         "BPM.22R8.B2"        "BPM.23R8.B2"          884.6389827          938.0904667                    3     0.04787003880523    0.001890301189754          0.061363235          2.390600366
