@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_23_32_100-1_6600/Beam2@Turn@2022_04_27@22_23_32_100.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_24_53_620-1_6600/Beam2@Turn@2022_04_27@22_24_53_620.sdds,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Measurements/Beam2@Turn@2022_04_27@22_27_44_180-1_6600/Beam2@Turn@2022_04_27@22_27_44_180.sdds' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB2/Results/b2_3files_12percent_30cm_beforecorrection' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB2/LHCB2_30cm_noknowledge/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 00:32:15"
@ f2h_factor %le 0.46436155914081356
@ p_f2h_factor %le 586.975059863754
@ FILES %s ""
*                 NAME                    S               AMP_20            AMP_20std             PHASE_20          PHASE_20std                f3000             f3000std         phase_f_3000      phase_f_3000std                h3000            h3000_std         phase_h_3000     phase_h_3000_std
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
           BPM.11L8.B2          26082.32646   0.0001685002512131                    0      0.9697113041777      0.9697113041777      0.1243107264111                    0     0.09556262093087                    0      0.2677024485857                    0      0.1205027571768                    0
          BPMWB.4R5.B2          16676.01705    0.000290978888151                    0      0.9042974905898                    0      0.2146690980929                    0      0.1532413083374                    0      0.4622886926517                    0      0.1781814445833                    0
           BPM.24R5.B2            17653.957    0.000100250249798                    0      0.8266789928449      0.8266789928449      0.0739594231199                    0    0.001123972775967                    0      0.1592712007789                    0     0.02606410902195                    0
           BPM.14L4.B2          12592.67486   0.0002079819680626                    0      0.7673922886178      0.7673922886178      0.1534382847749                    0      0.9096768512727                    0      0.3304284813298                    0      0.9346169875187                    0
           BPM.25L2.B2          5339.884835   0.0001166740013138                    0      0.1343232672898      0.1343232672898     0.08607601325331                    0      0.2974220961478                    0      0.1853642093298                    0      0.3223622323937                    0
           BPM.12R4.B2          13679.71811   0.0001161587346997                    0      0.9762597268883      0.9762597268883      0.0856958763299                    0      0.1379317151285                    0      0.1845455866081                    0      0.1628718513745                    0
            BPM.9R5.B2          16864.60757   9.724461867238e-05                    0      0.4720428602978      0.4720428602978     0.07174202471333                    0       0.653418329393                    0      0.1544960458098                    0       0.678358465639                    0
           BPM.22R8.B2          884.6389827   0.0001139559098983                    0      0.3250390891441                    0     0.08407074669803                    0      0.4644985104469                    0      0.1810458791067                    0      0.4894386466929                    0
           BPM.30L5.B2           15069.4567   6.890566232964e-05                    0      0.0848943015409                    0     0.05083501583153                    0      0.2454789172403                    0      0.1094729200358                    0      0.2704190534863                    0
           BPM.16L2.B2          5820.921478   0.0002912352102469                    0      0.1593391359809      0.1593391359809      0.2148581992111                    0       0.203345454186                    0      0.4626959208438                    0      0.2282855904319                    0
           BPM.25R7.B2          24371.97395   0.0001692425290112                    0      0.6170503265497                    0      0.1248583403857                    0      0.7295888527109                    0      0.2688817321931                    0      0.7545289889568                    0
           BPM.14L6.B2          19257.41248   0.0001408825597698                    0     0.08218780900857     0.08218780900857      0.1039358292795                    0      0.2399657919408                    0      0.2238252224664                    0      0.2649059281867                    0
